Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.002785515320334262,"Models of human behavior for prediction and collaboration tend to fall into two
categories: ones that learn from large amounts of data via imitation learning,
and ones that assume human behavior to be noisily-optimal for some reward
function. The former are very useful, but only when it is possible to gather a
lot of human data in the target environment and distribution. The advantage
of the latter type, which includes Boltzmann rationality, is the ability to make
accurate predictions in new environments without extensive data when humans
are actually close to optimal. However, these models fail when humans exhibit
systematic suboptimality, i.e. when their deviations from optimal behavior are not
independent, but instead consistent over time. Our key insight is that systematic
suboptimality can be modeled by predicting policies, which couple action choices
over time, instead of trajectories. We introduce the Boltzmann policy distribution
(BPD), which serves as a prior over human policies and adapts via Bayesian
inference to capture systematic deviations by observing human actions during a
single episode. The BPD is difﬁcult to compute and represent because policies
lie in a high-dimensional continuous space, but we leverage tools from generative
and sequence models to enable efﬁcient sampling and inference. We show that the
BPD enables prediction of human behavior and human-AI collaboration equally as
well as imitation learning-based human models while using far less data."
INTRODUCTION,0.005571030640668524,"1
INTRODUCTION"
INTRODUCTION,0.008356545961002786,"Understanding human preferences, predicting human actions, and collaborating with humans all
require models of human behavior. One way of modeling human behavior is to postulate intentions,
or rewards, and assume that the human will act rationally with regard to those intentions or rewards.
However, people are rarely perfectly rational; thus, some models relax this assumption to include
random deviations from optimal decision-making. The most common method for modeling humans
in this manner, Boltzmann rationality (Luce, 1959; 1977; Ziebart et al., 2010), predicts that a human
will act out a trajectory with probability proportional to the exponentiated return they receive for
the trajectory. Alternatively, some human models eschew rewards and rationality for a data-driven
approach. These methods use extensive data of humans acting in the target environment to train a
(typically high capacity) model with imitation learning to predict future human actions (Ding et al.,
2011; Mainprice & Berenson, 2013; Koppula & Saxena, 2013; Alahi et al., 2016; Ho & Ermon, 2016;
Ma et al., 2017; Schmerling et al., 2018; Chai et al., 2019; Wang et al., 2019; Carroll et al., 2020)."
INTRODUCTION,0.011142061281337047,"Both these methods for modeling humans are successful in many settings but also suffer drawbacks.
Imitation learning has been applied to modeling humans in driving (Sun et al., 2018), arm motion
(Ding et al., 2011), and pedestrian navigation (Ma et al., 2017), among other areas. However, it
requires a lengthy process of data collection, data cleaning, and feature engineering. Furthermore,
policies learned in one environment may not transfer to others, although there is ongoing work to
enable models to predict better out-of-distribution (Torrey et al., 2005; Brys et al., 2015) or in many"
INTRODUCTION,0.013927576601671309,"Our code and pretrained models are available at https://github.com/cassidylaidlaw/
boltzmann-policy-distribution."
INTRODUCTION,0.016713091922005572,Published as a conference paper at ICLR 2022
INTRODUCTION,0.019498607242339833,"A
rew=4"
INTRODUCTION,0.022284122562674095,"B
rew=5"
INTRODUCTION,0.025069637883008356,"C
rew=1"
