Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.002617801047120419,"Most value function learning algorithms in reinforcement learning are based on the
mean squared (projected) Bellman error. However, squared errors are known to be
sensitive to outliers, both skewing the solution of the objective and resulting in high-
magnitude and high-variance gradients. Typical strategies to control these high-
magnitude updates in RL involve clipping gradients, clipping rewards, rescaling
rewards, and clipping errors. Clipping errors is related to using robust losses,
like the Huber loss, but as yet no work explicitly formalizes and derives value
learning algorithms with robust losses. In this work, we build on recent insights
reformulating squared Bellman errors as a saddlepoint optimization problem, and
propose a saddlepoint reformulation for a Huber Bellman error and Absolute
Bellman error. We show that the resulting solutions have signiﬁcantly lower error
for certain problems and are otherwise comparable, in terms of both absolute and
squared value error. We show that the resulting gradient-based algorithms are more
robust, for both prediction and control, with less stepsize sensitivity."
INTRODUCTION,0.005235602094240838,"1
INTRODUCTION"
INTRODUCTION,0.007853403141361256,"Learning value functions from off-policy data remains an open challenge due to high-variance samples
and the inability to optimize the objective of interest. Progress towards this goal has been made over
years of algorithm development, by reducing the variance for temporal difference (TD) algorithms
(Precup et al., 2000; Munos et al., 2016; Mahmood et al., 2017); following approximate gradients of
a proxy objective—the mean squared Bellman error (MSBE)—which upper bounds our objective
of interest (Dai et al., 2017; 2018; Feng et al., 2019); and following an approximate gradient of
a projected version of the MSBE (Sutton et al., 2009; Maei et al., 2009; Mahadevan et al., 2014;
Liu et al., 2016; Ghiassian et al., 2020). For many years, however, there was only a limited set of
choices—mainly vanilla TD algorithms. Because it was unclear precisely what objective TD was
optimizing (Baird, 1995; Antos et al., 2008), it was difﬁcult to extend the algorithm. The known
alternative—optimizing the MSBE—suffers from an issue of double sampling in the absence of a
simulator (Baird, 1995; Scherrer, 2010)."
INTRODUCTION,0.010471204188481676,"Driving the recent innovations are two key advances for objectives in RL. The ﬁrst is the formalization
of the objective underlying TD, called the mean squared projected Bellman error (MSPBE) (Antos
et al., 2008; Sutton et al., 2009), which projects the Bellman error into the space spanned by the
function approximator. Many algorithms are built on the originally introduced variants, GTD2 and
TD with gradient corrections (TDC) (Sutton et al., 2009). These algorithms, however, are limited to
linear function approximation because the MSPBE is deﬁned only for the linear case."
INTRODUCTION,0.013089005235602094,"The second advance is the introduction of a conjugate form for the MSBE to handle the double
sampling problem (Dai et al., 2017). By transforming the MSBE using biconjugate functions, the
double sampling problem instead became a better understood saddlepoint optimization problem. The
SBEED algorithm (Dai et al., 2018) later extended the conjugate MSBE to control using a smoothed
Bellman optimality operator and parameterizing both the policy and value function estimates. By
transforming the MSBE into an objective for which we can obtain unbiased sample gradients, the
conjugate MSBE allowed a natural extension to nonlinear function approximation."
INTRODUCTION,0.015706806282722512,"A natural next step is to use these advances to revisit deﬁning and optimizing statistically robust
losses for value functions. The MSBE and MSPBE are built on squared errors, which are known to
be sensitive to outliers. In the RL setting, this translates into overemphasizing states for which the
Bellman residual is high, at the cost of obtaining accurate estimates in other states. For example,
consider the CliffWorld domain (Sutton and Barto, 2018) where the agent must navigate alongside"
INTRODUCTION,0.01832460732984293,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.020942408376963352,"a cliff to reach a rewarding goal state. Should the agent step into the cliff, the agent is sent back to
the start state with a large negative reward. In order to represent the optimal policy, the agent must
learn that actions which lead to the cliff yield negative return, while actions that lead towards the goal
yield positive return (or at least less negative). Perfectly representing the exact magnitude of negative
returns for stepping in the cliff is not useful, as it is sufﬁcient to only know that these actions are
more negative than actions leading towards the goal. Further, because the agent bootstraps off these
value estimates in the states near the goal, squared errors tend to magnify these inaccuracies across
all states visited in the episode. In general, the ability to replace squared errors with alternatives,
like absolute errors or the Huber loss (Huber, 1964), provides another dimension to improve our
algorithms and, to the best of our knowledge, has yet to be explored."
INTRODUCTION,0.02356020942408377,"Issues with squared errors have been noted in the RL literature and addressed heuristically in control
using clipping. DQN uses clipped TD errors by default to avoid large magnitude updates (Mnih
et al., 2015), likewise, Dueling DQN (Wang et al., 2016) directly clips its gradients. There is a close
relationship between clipping TD errors and using a Huber loss in the linear function approximation
setting. However, even for linear Q-learning or TD-learning, clipping TD errors does not correspond
to minimizing a Huber loss for the Bellman error. Rather, it takes a non-gradient update and applies
clipping to that update to mimic the Huber loss which results in a bias similar to residual TD methods
(Baird, 1995; Sutton and Barto, 2018)."
INTRODUCTION,0.02617801047120419,"In this work, we develop practical algorithms that can use absolute and Huber errors instead of
squared errors for the BE. To do so, we develop a uniﬁed perspective of the mean absolute Bellman
Error (MABE), mean squared Bellman Error (MSBE), and mean Huber Bellman Error (MHBE)
which smoothly interpolates between these other two. We rely on the insight that the MSBE can
be reformulated into a saddlepoint problem with the introduction of an auxiliary learned variable;
using the same strategy, we derive a biconjugate form for the MHBE and MABE amenable to simple
gradient-descent techniques. The resulting approach is a simple modiﬁcation of existing gradient TD
algorithms, using a different update for the auxiliary variable, making it straightforward to use either
of these losses. We show that the MHBE and MABE can signiﬁcantly change the solution quality,
improving accuracy in terms of the mean squared value error, as well as the mean absolute value error.
We then show that gradient algorithms for the MHBE tend to perform similar to those for the MSBE,
but provide signiﬁcant robustness improvements in certain cases, particularly under bad state aliasing.
Finally, we show that in control with nonlinear function approximation, gradient-based algorithms
minimizing the MHBE often outperform those using squared losses or those using non-gradient
updates."
PROBLEM FORMULATION,0.028795811518324606,"2
PROBLEM FORMULATION"
PROBLEM FORMULATION,0.031413612565445025,"We model the agent’s interactions with its environment as a Markov Decision Process (MDP),
(S, A, P, R, γ). At each time-step t, the agent observes states St ∈S, selects an action At ∈A
according to policy π : S →∆(A), transitions to the next state St+1 ∈S according to transition
function P : S × A →∆(S), and receives a scalar reward signal Rt+1 and discount γt+1 ∈[0, 1].
The discount depends on the state, and encodes termination when γt+1 = 0 (White, 2017)."
PROBLEM FORMULATION,0.034031413612565446,"For the prediction setting, the agent’s goal is to estimate the value function vπ for a given policy. The
value function can be deﬁned recursively, using the Bellman operator"
PROBLEM FORMULATION,0.03664921465968586,"(T v)(s)
def= E[Rt+1 + γt+1v(St+1) | St = s]"
PROBLEM FORMULATION,0.03926701570680628,"where the expectation is taken with respect to the policy π and transition dynamics P. The true values
vπ are the ﬁxed point for this operator: T vπ = vπ. Our goal is to approximate vπ, with vθ ∈F for
some (parameterized) function space F. Typically, the quality of this approximation is evaluated
under the value error, either mean squared value error (MSVE) or mean absolute value error (MAVE)"
PROBLEM FORMULATION,0.041884816753926704,"MSVE(vθ)
def=
X"
PROBLEM FORMULATION,0.04450261780104712,"s∈S
d(s) (vθ(s) −vπ(s))2
MAVE(vθ)
def=
X"
PROBLEM FORMULATION,0.04712041884816754,"s∈S
d(s)|V (s) −vπ(s)|"
PROBLEM FORMULATION,0.049738219895287955,"where d : S →[0, 1] is typically the visitation distribution under a behavior policy.1"
PROBLEM FORMULATION,0.05235602094240838,"1For exposition, we assume discrete states and actions throughout this paper. The connection to continuous
state-actions is straightforward and we will explicitly call out where this connection is less obvious."
PROBLEM FORMULATION,0.0549738219895288,Under review as a conference paper at ICLR 2022
PROBLEM FORMULATION,0.05759162303664921,One objective used to learn approximation vθ is the mean squared Bellman error (MSBE)
PROBLEM FORMULATION,0.060209424083769635,"MSBE(θ)
def=
X"
PROBLEM FORMULATION,0.06282722513089005,"s∈S
d(s)((T vθ)(s) −vθ(s))2 =
X"
PROBLEM FORMULATION,0.06544502617801047,"s∈S
d(s)E[δ(θ) | S = s]2
(1)"
PROBLEM FORMULATION,0.06806282722513089,"where δ(θ)
def= Rt+1 + γt+1vθ(St+1) −vθ(St). If vπ ∈F, then there exists a θ such that vθ = vπ
and MSBE(θ) = 0. Otherwise, if vπ /∈F, then this objective trades-off Bellman error across states."
PROBLEM FORMULATION,0.07068062827225131,"The trade-off in errors across states is impacted by both the weighting d as well as the fact that a
squared error is used. The function approximator focuses on states with high weighting d, which is
sensible. However, by using a squared error, it heavily emphasizes states with higher error which
may not be desirable. In the next section, we develop an approach to use robust losses—the absolute
error and the Huber error—in place of this squared error."
