Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0007716049382716049,"Recent studies empirically indicate that language models (LMs) encode rich world
1"
ABSTRACT,0.0015432098765432098,"knowledge beyond mere semantics, attracting significant attention across various
2"
ABSTRACT,0.0023148148148148147,"fields. However, in the recommendation domain, it remains uncertain whether
3"
ABSTRACT,0.0030864197530864196,"LMs implicitly encode user preference information. Contrary to the prevailing
4"
ABSTRACT,0.0038580246913580245,"understanding that LMs and traditional recommender models learn two distinct rep-
5"
ABSTRACT,0.004629629629629629,"resentation spaces due to a huge gap in language and behavior modeling objectives,
6"
ABSTRACT,0.005401234567901234,"this work rethinks such understanding and explores extracting a recommendation
7"
ABSTRACT,0.006172839506172839,"space directly from the language representation space. Surprisingly, our findings
8"
ABSTRACT,0.006944444444444444,"demonstrate that item representations, when linearly mapped from advanced LM
9"
ABSTRACT,0.007716049382716049,"representations, yield superior recommendation performance. This outcome sug-
10"
ABSTRACT,0.008487654320987654,"gests a homomorphic relationship between the language representation space and
11"
ABSTRACT,0.009259259259259259,"an effective recommendation space, implying that collaborative signals may indeed
12"
ABSTRACT,0.010030864197530864,"be encoded within advanced LMs. Motivated by these findings, we propose a
13"
ABSTRACT,0.010802469135802469,"simple yet effective collaborative filtering (CF) model named AlphaRec, which
14"
ABSTRACT,0.011574074074074073,"utilizes language representations of item textual metadata (e.g., titles) instead of tra-
15"
ABSTRACT,0.012345679012345678,"ditional ID-based embeddings. Specifically, AlphaRec is comprised of three main
16"
ABSTRACT,0.013117283950617283,"components: a multilayer perceptron (MLP), graph convolution, and contrastive
17"
ABSTRACT,0.013888888888888888,"learning (CL) loss function, making it extremely easy to implement and train. Our
18"
ABSTRACT,0.014660493827160493,"empirical results show that AlphaRec outperforms leading ID-based CF models
19"
ABSTRACT,0.015432098765432098,"on multiple datasets, marking the first instance of such a recommender with text
20"
ABSTRACT,0.016203703703703703,"embeddings achieving this level of performance. Moreover, AlphaRec introduces
21"
ABSTRACT,0.016975308641975308,"a new text-based CF paradigm with several desirable advantages: being easy to
22"
ABSTRACT,0.017746913580246913,"implement, lightweight, rapid convergence, superior zero-shot recommendation
23"
ABSTRACT,0.018518518518518517,"abilities in new domains, and being aware of user intention.
24"
INTRODUCTION,0.019290123456790122,"1
Introduction
25"
INTRODUCTION,0.020061728395061727,"Language models (LMs) have achieved great success across various domains [3–7], prompting a
26"
INTRODUCTION,0.020833333333333332,"critical question about the knowledge encoded within their representation spaces. Recent studies
27"
INTRODUCTION,0.021604938271604937,"empirically find that LMs extend beyond semantic understanding to encode comprehensive world
28"
INTRODUCTION,0.022376543209876542,"knowledge about various domains, including game states [8], lexical attributes [9], and even concepts
29"
INTRODUCTION,0.023148148148148147,"of space and time [10] through language modeling. However, in the domain of recommendation
30"
INTRODUCTION,0.023919753086419752,"where the integration of LMs is attracting widespread interest [11–15], it remains unclear whether
31"
INTRODUCTION,0.024691358024691357,"LMs inherently encode relevant information on user preferences and behaviors. One possible reason
32"
INTRODUCTION,0.02546296296296296,"is the significant difference between the objectives of language modeling for LMs and user behavior
33"
INTRODUCTION,0.026234567901234566,"modeling for recommenders [16–19].
34"
INTRODUCTION,0.02700617283950617,"Currently, one prevailing understanding holds that general LMs and traditional recommenders
35"
INTRODUCTION,0.027777777777777776,"encode two distinct representation spaces: the language space and the recommendation space
36"
INTRODUCTION,0.02854938271604938,"(i.e., user and item representation space), each offering potential enhancements to the other for
37"
INTRODUCTION,0.029320987654320986,(a) Linearly mapping language representations into the recommendation space
INTRODUCTION,0.03009259259259259,"(b) Performance comparison
(c) The t-SNE representations of movies and user intention in two spaces.
Figure 1: Linearly mapping item titles in language representation space into recommendation space
yields superior recommendation performance on Movies & TV [1] dataset. (1a) The framework
of linear mapping. (1b) The recommendation performance comparison between leading CF rec-
ommenders and linear mapping. (1c) The t-SNE [2] visualizations of movie representations, with
colored lines linking identical movies or user intention across language space (left) and linearly
projected recommendation space (right)."
INTRODUCTION,0.030864197530864196,"recommendation tasks [17, 20]. On the one hand, when using LMs as recommenders, aligning the
38"
INTRODUCTION,0.031635802469135804,"language space with the recommendation space could significantly improve the performance of
39"
INTRODUCTION,0.032407407407407406,"LM-based recommendation [14, 21–23]. Various alignment strategies are proposed, including fine-
40"
INTRODUCTION,0.033179012345679014,"tuning LMs with recommendation data [15, 16, 24–26], incorporating embeddings from traditional
41"
INTRODUCTION,0.033950617283950615,"recommenders as a new modality of LMs [17, 20, 27], and extending the vocabulary of LMs with item
42"
INTRODUCTION,0.034722222222222224,"tokens [18, 19, 28–31]. On the other hand, when using LMs as the enhancer, traditional recommenders
43"
INTRODUCTION,0.035493827160493825,"greatly benefit from from leveraging text representations [32–45], semantic and reasoning information
44"
INTRODUCTION,0.036265432098765434,"[46–49], and generated user behaviors [50, 51]. Despite these efforts, explicit explorations of the
45"
INTRODUCTION,0.037037037037037035,"relationship between language and recommendation spaces remain largely unexplored.
46"
INTRODUCTION,0.03780864197530864,"In this work, we rethink the prevailing understanding and explore whether LMs inherently encode
47"
INTRODUCTION,0.038580246913580245,"user preferences through language modeling. Specifically, we test the possibility of directly deriving a
48"
INTRODUCTION,0.03935185185185185,"recommendation space from the language representation space, assessing whether the representations
49"
INTRODUCTION,0.040123456790123455,"of item textual metadata (e.g., titles) obtained from LMs can independently achieve satisfactory
50"
INTRODUCTION,0.04089506172839506,"recommendation performance. Positive results would imply that user behavioral patterns, such as
51"
INTRODUCTION,0.041666666666666664,"collaborative signals (i.e., user preference similarities between items) [52, 53], may be implicitly
52"
INTRODUCTION,0.04243827160493827,"encoded by LMs. To test this hypothesis, we employ linear mapping to project the language
53"
INTRODUCTION,0.043209876543209874,"representations of item titles into a recommendation space (see Figure 1a). Our observations include:
54"
INTRODUCTION,0.04398148148148148,"• Surprisingly, this simple linear mapping yields high-quality item representations, which achieve
55"
INTRODUCTION,0.044753086419753084,"exceptional recommendation performance (see Figure 1b and experimental results in Section 2).
56"
INTRODUCTION,0.04552469135802469,"• The clustering of items is generally preserved from the language space to the recommendation
57"
INTRODUCTION,0.046296296296296294,"space (see Figure 1c). For example, movies with the theme of superheroes and monsters are
58"
INTRODUCTION,0.0470679012345679,"gathering in both language and recommendation spaces.
59"
INTRODUCTION,0.047839506172839504,"• Interestingly, the linear mapping effectively reveals preference similarities that may be implicit
60"
INTRODUCTION,0.04861111111111111,"or even obscure in the language space. For instance, while certain movies, such as those of
61"
INTRODUCTION,0.04938271604938271,"homosexual movies (illustrated in Figure 1c), show dispersed representations in the language space,
62"
INTRODUCTION,0.05015432098765432,"their projections through linear mapping tend to cluster together, reflecting their genres affiliation.
63"
INTRODUCTION,0.05092592592592592,"These findings indicate a homomorphic relationship between the language representation space of
64"
INTRODUCTION,0.05169753086419753,"LMs and an effective item representation space for recommendation. Motivated by this insight, we
65"
INTRODUCTION,0.05246913580246913,"propose a new text-based recommendation paradigm for general collaborative filtering (CF), which
66"
INTRODUCTION,0.05324074074074074,"utilizes the pre-trained language representations of item titles as the item input and the average
67"
INTRODUCTION,0.05401234567901234,"historical interactions’ representations as the user input. Different from traditional ID-based CF
68"
INTRODUCTION,0.05478395061728395,"models [54, 55, 52] that heavily rely on trainable user and item IDs, this paradigm solely uses
69"
INTRODUCTION,0.05555555555555555,"pre-trained LM embeddings and completely abandons ID-based embeddings. In this paper, to fully
70"
INTRODUCTION,0.05632716049382716,"explore the potential of advanced language representations, we adopt a simple model architecture
71"
INTRODUCTION,0.05709876543209876,"consisting of a two-layer MLP with graph convolution, and the popular contrastive loss, InfoNCE
72"
INTRODUCTION,0.05787037037037037,"[56–58], as the objective function. This model is named AlphaRec for its originality and a series of
73"
INTRODUCTION,0.05864197530864197,"good properties.
74"
INTRODUCTION,0.05941358024691358,"Benefiting from paradigm shifts from ID-based embeddings to language representations, AlphaRec
75"
INTRODUCTION,0.06018518518518518,"presents three desirable advantages. First, AlphaRec is notable for its simplicity, lightweight, rapid
76"
INTRODUCTION,0.06095679012345679,"convergence, and exceptional recommendation performance (see Section 4.1). We empirically
77"
INTRODUCTION,0.06172839506172839,"demonstrate that, for the first time, such a simple model with embeddings from pre-trained LMs can
78"
INTRODUCTION,0.0625,"outperform leading CF models on multiple datasets. This finding strongly supports the possibility
79"
INTRODUCTION,0.06327160493827161,"for developing language-representation-based recommender systems. Second, AlphaRec exhibits
80"
INTRODUCTION,0.06404320987654322,"a strong zero-shot recommendation capability across untrained domains (see Section 4.2). By
81"
INTRODUCTION,0.06481481481481481,"co-training on three Amazon datasets (Books, Movies & TV, and Video Games) [1], AlphaRec
82"
INTRODUCTION,0.06558641975308642,"can achieve performance comparable to the fully-trained LightGCN on entirely different platforms
83"
INTRODUCTION,0.06635802469135803,"(MovieLens-1M [59] and BookCrossing [60]), and even exceed LightGCN in a completely new
84"
INTRODUCTION,0.06712962962962964,"domain (Amazon Industrial), without additional training on these target datasets. This capability
85"
INTRODUCTION,0.06790123456790123,"underscores AlphaRec’s potential to develop more general recommenders. Third, AlphaRec is user-
86"
INTRODUCTION,0.06867283950617284,"friendly, offering a new research paradigm that enhances recommendation by leveraging language-
87"
INTRODUCTION,0.06944444444444445,"based user feedback (see Section 4.3). Endowed with its inherent semantic comprehension of
88"
INTRODUCTION,0.07021604938271606,"language representations, AlphaRec can refine recommendations based on user intentions expressed
89"
INTRODUCTION,0.07098765432098765,"in natural language, enabling traditional CF recommenders to evolve into intention-aware systems
90"
INTRODUCTION,0.07175925925925926,"through a straightforward paradigm shift.
91"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.07253086419753087,"2
Uncovering Collaborative Signals in LMs via Linear Mapping
92"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.07330246913580248,"In this section, we aim to explore whether LMs implicitly encode collaborative signals in their
93"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.07407407407407407,"representation spaces. We first formulate the personalized item recommendation task, then detail the
94"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.07484567901234568,"linear mapping and its empirical findings. Empirical evidence indicates a homomorphic relationship
95"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.07561728395061729,"between the representation spaces of advanced LMs and effective recommendation spaces.
96"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.0763888888888889,"Task formulation. Personalized item recommendation with implicit feedback aims to select items
97"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.07716049382716049,"i ∈I that best match user u’s preferences based on binary interaction data Y = [yui], where yui = 1
98"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.0779320987654321,"(yui = 0) indicates user u ∈U has (has not) interacted with item i [58]. The primary objective of
99"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.0787037037037037,"recommendation is to model the user-item interaction matrix Y using a scoring function ˆy : U × I →
100"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.07947530864197531,"R, where ˆyui measures u’s preference for i. The scoring function ˆyui = s ◦ϕθ(xu, xi) comprises
101"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.08024691358024691,"three key components: pre-existing features xu and xi for user u and item i, a representation learning
102"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.08101851851851852,"module ϕθ(·, ·) parametrized by θ, and a similarity function s(·, ·). The representation learning
103"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.08179012345679013,"module ϕθ transfers u and i into representations eu and ei for similarity matching s(eu, ei), and the
104"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.08256172839506173,"Top-K highest scoring items are recommended to u.
105"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.08333333333333333,"Different recommenders employ various pre-existing features xu, xi and representation learning
106"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.08410493827160494,"architecture ϕθ(·, ·). Traditional ID-based recommenders use one-hot vectors as pre-existing features
107"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.08487654320987655,"xu, xi. The choice of ID-based representation learning architecture ϕθ can vary widely, including
108"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.08564814814814815,"ID-based embedding matrix [54], multilayer perception [61], graph neural network [52, 62], and
109"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.08641975308641975,"variational autoencoder [63]. The commonly used similarity function is cosine similarity [64, 57]
110"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.08719135802469136,"s(eu, ei) =
eu
⊤ei
∥eu∥·∥ei∥, which we adopt in this paper.
111"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.08796296296296297,"Linear mapping. Building on the extensive knowledge encoded by LMs, we explore utilizing LMs
112"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.08873456790123457,"as feature extractors, leveraging the language representations of item titles as initial item feature xi.
113"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.08950617283950617,"For initial user feature xu, we use the average of the title representations of historically interacted
114"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.09027777777777778,"items, defined as xu =
1
|Nu|
P"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.09104938271604938,"i∈Nu xi, where Nu is the set of items user u has interacted with.
115"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.09182098765432099,"Detailed procedures for obtaining these language-based features are provided in Appendix B.2.
116"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.09259259259259259,"We select a trainable linear mapping matrix W as the representation learning module ϕθ, setting
117"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.0933641975308642,"eu = W xu and ei = W xi. To learn the linear mapping W , we adopt the InfoNCE loss [56] as the
118"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.0941358024691358,"objective function, which has demonstrated state-of-the-art performance in both ID-based [65, 66]
119"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.09490740740740741,"and LM-enhanced collaborative filtering (CF) recommendations [47] (refer to Equation (4) for the
120"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.09567901234567901,"formula). The overall framework of the linear mapping process is illustrated in Figure 1a. We directly
121"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.09645061728395062,"use linearly mapped representations eu and ei to calculate the user-item similarity s(eu, ei) for
122"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.09722222222222222,"recommendation. High performance on the test set would suggest that collaborative signals (i.e., user
123"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.09799382716049383,Table 1: The recommendation performance of linear mapping comparing with classical CF baselines.
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.09876543209876543,"Books
Movies & TV
Video Games
Recall
NDCG
HR
Recall
NDCG
HR
Recall
NDCG
HR"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.09953703703703703,"MF (Rendle et al., 2012)
0.0437
0.0391
0.2476
0.0568
0.0519
0.3377
0.0323
0.0195
0.0864
MultVAE (Liang et al., 2018)
0.0722
0.0597
0.3418
0.0853
0.0776
0.4434
0.0908
0.0531
0.2211
LightGCN (He et al., 2021)
0.0723
0.0608
0.3489
0.0849
0.0747
0.4397
0.1007
0.0590
0.2281"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.10030864197530864,"Linear Mapping
BERT
0.0226
0.0194
0.1240
0.0415
0.0399
0.2362
0.0524
0.0309
0.1245
RoBERTa
0.0247
0.0209
0.1262
0.0406
0.0387
0.2277
0.0578
0.0338
0.1339
Llama2-7B
0.0662
0.0559
0.3176
0.1027
0.0955
0.4952
0.1249
0.0729
0.2746
Mistral-7B
0.0650
0.0544
0.3124
0.1039
0.0963
0.4994
0.1270
0.0687
0.2428
text-embedding-ada-v2
0.0515
0.0436
0.2570
0.0926
0.0874
0.4563
0.1176
0.0683
0.2579
text-embeddings-3-large
0.0735
0.0608
0.3355
0.1109
0.1023
0.5200
0.1367
0.0793
0.2928
SFR-Embedding-Mistral
0.0738
0.0610
0.3371
0.1152
0.1065
0.5327
0.1370
0.0787
0.2927"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.10108024691358025,"preference similarities between items) have been implicitly encoded in the language representation
124"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.10185185185185185,"space [67, 10].
125"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.10262345679012345,"Empirical findings. We compare the recommendation performance of the linear mapping method
126"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.10339506172839506,"with three classical CF baselines, matrix factorization (MF) [54, 68], MultVAE [63], and LightGCN
127"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.10416666666666667,"[55] (see more details about baselines in Appendix C.2.1). We report three widely used metrics Hit
128"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.10493827160493827,"Ratio (HR@K), Recall@K, Normalized Discounted Cumulative Gain (NDCG@K)) to evaluate
129"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.10570987654320987,"the effectiveness of linear mapping, with K set by default at 20. We evaluate a wide range of LMs,
130"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.10648148148148148,"including BERT-style models [4, 5], decoder-only language models [6, 69], and LM-based text
131"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.10725308641975309,"embedding models [70, 71] (see Appendix B.1 for details about used LMs).
132"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.10802469135802469,"Table 1 reports the recommendation performance yielded by the linear mapping on three Amazon
133"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.1087962962962963,"datasets [1], comparing with classic CF baselines. We observe that the performance of most advanced
134"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.1095679012345679,"text embedding models (e.g., text-embeddings-3-large [70] and SFR-Embedding-Mistral [71]) exceed
135"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.11033950617283951,"LightGCN on all datasets. We further empirically prove that these improvements do not merely
136"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.1111111111111111,"come from the better feature encoding ability (refer to Appendix B.3). These findings indicate
137"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.11188271604938271,"the homomorphic relationship between the language representation space of advanced LMs and an
138"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.11265432098765432,"effective item representation space for recommendation. Moreover, with the advances in LMs, the
139"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.11342592592592593,"performance of item representation linearly mapped from LMs exhibits a rising trend, gradually
140"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.11419753086419752,"surpassing traditional ID-based CF models. Representations from early BERT-style models (e.g.,
141"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.11496913580246913,"BERT [4] and RoBERTa [5]) only show weaker or equal capabilities compared with MF, while the
142"
UNCOVERING COLLABORATIVE SIGNALS IN LMS VIA LINEAR MAPPING,0.11574074074074074,"performance of decoder-only LMs (e.g., Llama-7B [6] ) start to match MultVAE and LightGCN.
143"
ALPHAREC,0.11651234567901235,"3
AlphaRec
144"
ALPHAREC,0.11728395061728394,"This finding of space homomorphic relationship sheds light on building advanced CF models purely
145"
ALPHAREC,0.11805555555555555,"based on LM representations without introducing ID-based embeddings. To be specific, we try to
146"
ALPHAREC,0.11882716049382716,"incorporate only three simple components (i.e., nonlinear projection [61], graph convolution [55]
147"
ALPHAREC,0.11959876543209877,"and contrastive learning (CL) objectives [56]), to develop a simple yet effective CF model called
148"
ALPHAREC,0.12037037037037036,"AlphaRec. It is important to highlight that our approach is centered on exploring the potential of
149"
ALPHAREC,0.12114197530864197,"LM representations for CF by integrating essential components from leading CF models, rather than
150"
ALPHAREC,0.12191358024691358,"deliberately inventing new CF mechanisms. We present the model structure of AlphaRec in Section
151"
ALPHAREC,0.12268518518518519,"3.1, and compare AlphaRec with two popular recommendation paradigms in Section 3.2.
152"
METHOD,0.12345679012345678,"3.1
Method
153"
METHOD,0.12422839506172839,"We present how AlphaRec is designed and trained. Generally, the representation learning architecture
154"
METHOD,0.125,"ϕθ(·, ·) of AlphaRec is simple, which only contains a two-layer MLP and the basic graph convolution
155"
METHOD,0.1257716049382716,"operation, with language representations as the input features xu, xi. The cosine similarity is used as
156"
METHOD,0.12654320987654322,"the similarity function s(·, ·), and the contrastive loss InfoNCE [56, 57] is adopted for optimization.
157"
METHOD,0.12731481481481483,"For simplicity, we consistently adopt text-embeddings-3-large [70] as the language representation
158"
METHOD,0.12808641975308643,"model, for its excellent language understanding and representation capabilities.
159"
