Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.00099601593625498,"Common explanations for shortcut learning assume that the shortcut improves pre-
diction under the training distribution but not in the test distribution. Thus, models
trained via the typical gradient-based optimization of cross-entropy, which we call
default-ERM, utilize the shortcut. However, even when the stable feature deter-
mines the label in the training distribution and the shortcut does not provide any
additional information, like in perception tasks, default-ERM still exhibits short-
cut learning. Why are such solutions preferred when the loss for default-ERM
can be driven to zero using the stable feature alone? By studying a linear per-
ception task, we show that default-ERM’s preference for maximizing the margin
leads to models that depend more on the shortcut than the stable feature, even
without overparameterization. This insight suggests that default-ERM’s implicit
inductive bias towards max-margin is unsuitable for perception tasks. Instead, we
develop an inductive bias toward uniform margins and show that this bias guar-
antees dependence only on the perfect stable feature in the linear perception task.
We develop loss functions that encourage uniform-margin solutions, called mar-
gin control (MARG-CTRL). MARG-CTRL mitigates shortcut learning on a variety
of vision and language tasks, showing that better inductive biases can remove the
need for expensive two-stage shortcut-mitigating methods in perception tasks."
INTRODUCTION,0.00199203187250996,"1
Introduction"
INTRODUCTION,0.00298804780876494,"Shortcut learning is a phenomenon where a model learns to base its predictions on an unstable
correlation, or shortcut, that does not hold across data distributions collected at different times and/or
places [Geirhos et al., 2020]. A model that learns shortcuts can perform worse than random guessing
in settings where the label’s relationship with the shortcut feature changes [Koh et al., 2021, Puli
et al., 2022]. Such drops in performance do not occur if the model depends on features whose
relationship with the label does not change across settings; these are stable features."
INTRODUCTION,0.00398406374501992,"Shortcut learning is well studied in cases where models that use both shortcut and stable features
achieve lower loss than models that only use the stable feature [Arjovsky et al., 2019, Puli et al.,
2022, Geirhos et al., 2020]. These works consider cases where the Bayes-optimal classiﬁer — the
training conditional distribution of the label given the covariates — depends on both stable and
shortcut features. In such cases, shortcut learning occurs as the Bayes-optimal predictor is the target
of standard supervised learning algorithms such as the one that minimizes the log-loss via gradient
descent (GD), which we call default-ERM."
INTRODUCTION,0.0049800796812749,"However, in many machine learning tasks, the stable feature perfectly predicts the label, i.e. a perfect
stable feature. For example, in task of predicting hair color from images of celebrity faces in the"
INTRODUCTION,0.00597609561752988,∗1Corresponding email: aahlad@nyu.edu
INTRODUCTION,0.0069721115537848604,"CelebA dataset [Sagawa et al., 2020a], the color of the hair in the image determines the label. This
task is a perception task. In such classiﬁcation tasks, the label is independent of the shortcut feature
given the stable feature, and the Bayes-optimal predictor under the training distribution only depends
on the stable feature. Default-ERM can learn this Bayes-optimal classiﬁer which, by depending
solely on the stable feature, also generalizes outside the training distribution. But in practice, default-
ERM run on ﬁnite data yields models that depend on the shortcut and thus perform worse than chance
outside the training distribution [Sagawa et al., 2020a, Liu et al., 2021, Zhang et al., 2022]. The
question is, why does default-ERM prefer models that exploit the shortcut even when a model can
achieve zero loss using the stable feature alone?"
INTRODUCTION,0.00796812749003984,"To understand preferences toward shortcuts, we study default-ERM on a linear perception task with a
stable feature that determines the label and a shortcut feature that does not. The perfect linear stable
feature means that data is linearly separable. This separability means that default-ERM-trained linear
models classify in the same way as the minimum ℓ2-norm solution that has all margins greater than 1;
the latter is commonly called max-margin classiﬁcation [Soudry et al., 2018]. We prove that default-
ERM’s implicit inductive bias toward the max-margin solution is harmful in that default-ERM-trained
linear models depend more on the shortcut than the stable feature. In fact, such dependence on
the shortcut occurs even in the setting with fewer parameters in the linear model than data points,
i.e. without overparameterization. These observations suggest that a max-margin inductive bias is
unsuitable for perception tasks."
INTRODUCTION,0.008964143426294821,"Next, we study inductive biases more suitable for perception tasks with perfect stable features. We
ﬁrst observe that predicting with the perfect stable feature alone achieves uniform margins on all
samples. Formally, if the stable feature s(x) determines the label y via a function d, y = d ◦s(x),
one can achieve any positive b as the margin on all samples simultaneously by predicting with
b · d ◦s(x). We show that in the same setting without overparameterization where max-margin
classiﬁcation leads to shortcut learning, models that classify with uniform margins depend only on
the stable feature."
INTRODUCTION,0.0099601593625498,"Building on these observations, we identify alternative loss functions that are inductively biased
toward uniform margins, which we call margin control (MARG-CTRL). We empirically demonstrate
that MARG-CTRL mitigates shortcut learning on multiple vision and language tasks without the use
of annotations of the shortcut feature in training. Further, MARG-CTRL performs on par or better
than the more expensive two-stage shortcut-mitigating methods [Liu et al., 2021, Zhang et al., 2022].
We then introduce a more challenging setting where both training and validation shortcut annotations
are unavailable, called the nuisance-free setting. In the nuisance-free setting, MARG-CTRL always
outperforms default-ERM and the two-stage shortcut-mitigating methods. These empirical results
suggest that simply incorporating inductive biases more suitable for perception tasks is sufﬁcient to
mitigate shortcuts."
SHORTCUT LEARNING IN PERCEPTION TASKS DUE TO MAXIMIZING MARGINS,0.010956175298804782,"2
Shortcut learning in perception tasks due to maximizing margins"
SHORTCUT LEARNING IN PERCEPTION TASKS DUE TO MAXIMIZING MARGINS,0.01195219123505976,"Setup.
We use y, z, x to denote the label, the shortcut feature, and the covariates respectively. We
let the training and test distributions (ptr, pte) be members of a family of distributions indexed by
ρ, F = {pρ(y, z, x)}ρ, such that the shortcut-label relationship pρ(z, y) changes over the family.
Many common tasks in the spurious correlations literature have stable features s(x) that are perfect,
meaning that the label is a deterministic function d of the stable feature: y = d ◦s(x). For example,
in the Waterbirds task the bird’s body determines the label and in the CelebA task, hair color deter-
mines the label [Sagawa et al., 2020a]. As s(x) determines the label, it holds that y |="
SHORTCUT LEARNING IN PERCEPTION TASKS DUE TO MAXIMIZING MARGINS,0.012948207171314742,"pρ(x, z) | s(x).
Then, the optimal predictor on the training distribution is optimal on all distributions in the family
F, regardless of the shortcut because"
SHORTCUT LEARNING IN PERCEPTION TASKS DUE TO MAXIMIZING MARGINS,0.013944223107569721,ptr(y | x) = ptr(y | s(x)) = pte(y | s(x)) = pte(y | x).
SHORTCUT LEARNING IN PERCEPTION TASKS DUE TO MAXIMIZING MARGINS,0.014940239043824702,"The most common procedure to train predictive models to approximate ptr(y | x) is gradient-based
optimization of cross-entropy (also called log-loss); we call this default-ERM. Default-ERM targets
the Bayes-optimal predictor of the training distribution which, in tasks with perfect stable features,
also performs optimally under the test distribution. However, despite targeting the predictor that does
not depend on the shortcut, models built with default-ERM still rely on shortcut features that are often
less predictive of the label and are unstable, i.e. vary across distributions [Geirhos et al., 2020, Puli
et al., 2022]. We study default-ERM’s preference for shortcuts in a data generating process (DGP)
where both the shortcut and the perfect stable feature are linear functions of the covariates."
SHORTCUT LEARNING IN LINEAR PERCEPTION TASKS,0.01593625498007968,"2.1
Shortcut learning in linear perception tasks"
SHORTCUT LEARNING IN LINEAR PERCEPTION TASKS,0.01693227091633466,"Let Rad be the uniform distribution over {1, −1}, N be the normal distribution, d be the dimension
of x, and ρ ∈(0, 1), B > 1 be scalar constants. The DGP for pρ(y, z, x) is:"
SHORTCUT LEARNING IN LINEAR PERCEPTION TASKS,0.017928286852589643,"y ∼Rad,
z ∼"
SHORTCUT LEARNING IN LINEAR PERCEPTION TASKS,0.018924302788844622,󰀝pρ(z = y | y = y) = ρ
SHORTCUT LEARNING IN LINEAR PERCEPTION TASKS,0.0199203187250996,"pρ(z = −y | y = y) = (1 −ρ)
,
δ ∼N(0, Id−2),
x = [B ∗z, y, δ] . (1)"
SHORTCUT LEARNING IN LINEAR PERCEPTION TASKS,0.02091633466135458,"This DGP is set up to mirror the empirical evidence in the literature showing that shortcut features
are typically learned ﬁrst [Sagawa et al., 2020a]. The ﬁrst dimension of x, i.e. x1, is a shortcut
that is correlated with y according to ρ. The factor B in x1 scales up the gradients for parameters
that interact with x1 in predictions. For large enough B, model dependence on the shortcut feature
during default-ERM goes up faster than the stable feature [Idrissi et al., 2022]."
SHORTCUT LEARNING IN LINEAR PERCEPTION TASKS,0.021912350597609563,(a) Average accuracy and loss curves.
SHORTCUT LEARNING IN LINEAR PERCEPTION TASKS,0.022908366533864542,(b) Accuracy and loss on shortcut and leftover groups.
SHORTCUT LEARNING IN LINEAR PERCEPTION TASKS,0.02390438247011952,"Figure 1: Accuracy and loss curves for training a linear
model with default-ERM on 1000 training samples from p0.9,
with B = 10, d = 300 (see eq. (1)), and testing on p0.1.
(a) The model achieves 100% train accuracy but < 40% test
accuracy. (b) The learned model achieves high test accuracy
(≈90%) on the shortcut group and low test accuracy on the
leftover group (≈30%). Models that depend more on the
stable feature than on the shortcut, achieve at least 50% ac-
curacy on both the shortcut and leftover groups. Hence the
learned model exploits the shortcut to classify the shortcut
group and overﬁts to the leftover group."
SHORTCUT LEARNING IN LINEAR PERCEPTION TASKS,0.0249003984063745,"The training distribution is ptr = p0.9 and
the test distribution is one where the short-
cut’s relationship with the label is ﬂipped
pte = p0.1. Models achieve worse than
random test accuracy (50%) if they ex-
ploit the training shortcut relationship and
the predicted class ﬂips when the shortcut
feature ﬂips. We train with default-ERM
which uses log-loss: on a data point (x, y)
the log-loss is"
SHORTCUT LEARNING IN LINEAR PERCEPTION TASKS,0.025896414342629483,ℓlog(yfθ(x)) = log [1 + exp(−yfθ(x))] .
SHORTCUT LEARNING IN LINEAR PERCEPTION TASKS,0.026892430278884463,"With d = 300 and B = 10, we train
a linear model on 1000 samples from the
training distribution pρ=0.9, and evaluate
on 1000 samples from pρ=0.1."
SHORTCUT LEARNING IN LINEAR PERCEPTION TASKS,0.027888446215139442,"Observations.
Figure
1a
shows
that
when trained with default-ERM, the lin-
ear model does not do better than chance
(< 50%) on the test data even after 50, 000
epochs. So, even in the presence of the
perfect feature x2, the model relies on
other features like the shortcut x1. Since
the ﬁnal training loss is very small, on the
order of 10−9, this result is not due to op-
timization being stuck in a local minima
with high loss. These observations indi-
cate that, in the linear setting, gradient-
based optimization with log-loss prefers
models that depend more on the shortcut than the perfect stable feature."
