Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0072992700729927005,"Automatic segmentation of anatomical structures in laparoscopic images or videos is an im-
portant prerequisite for visual assistance tools which are designed to increase efficiency and
safety during an intervention. In order to be used in a realistic clinical scenario, both high
accuracy and real-time capability are required. Current deep learning networks for anatomy
segmentation show high accuracy, but are not suitable for real-time clinical application due
to their large size. As smaller, real-time capable deep learning networks show lower segmen-
tation performance, we propose a multi-teacher knowledge distillation approach applicable
to partially labeled datasets.
We leverage the knowledge of multiple anatomy-specific,
high-accuracy teacher networks to improve the segmentation performance of a single and
efficient student network capable of segmenting multiple anatomies simultaneously. To do
so, we minimize the Kullback-Leibler divergence between the normalized anatomy-specific
teacher logits and the respective normalized logits of the student. We conduct experiments
on the Dresden Surgical Anatomy Dataset, which provides multiple subsets of binary seg-
mented anatomical structures. Results show that our approach can increase the overall
Dice score for different real-time capable network architectures for anatomy segmentation.
Keywords: Anatomy Segmentation, Real-Time, Surgical Computer Vision, Knowledge
Distillation"
INTRODUCTION,0.014598540145985401,1. Introduction
INTRODUCTION,0.021897810218978103,"Postoperative complications remain a major problem for both the healthcare system and
the individual patient and are associated with higher healthcare costs and poorer outcomes
(Dencker et al., 2021). An important factor in decreasing postoperative complications is the
reduction of technical errors, which are defined as adverse events directly related to manual
errors of the surgeon (Fecso et al., 2017; Suliburk et al., 2019).
The increasing adoption of minimally invasive procedures, which rely on the visualization by
endoscopic cameras, leads to an increasing amount of available surgical video data. This en-
ables the data-driven analysis of surgical video data using computer vision techniques, such
as deep learning, to visually assist surgeons (Mascagni et al., 2022). An essential prerequi-
site for computer vision-based surgical assistance applications is the accurate and real-time"
INTRODUCTION,0.029197080291970802,"perception of the intraoperative environment, e.g. by segmenting the surgical instruments
and anatomical structures. To evaluate the accuracy of computer vision-based methods for
anatomy segmentation, various data sets with pixel-wise annotations of anatomical struc-
tures were introduced (Bamba et al., 2021; Madani et al., 2020; Allan et al., 2020). As
these data sets have little diversity due to their size or are based solely on simpler porcine
tissue data, the applicability of deep learning models trained with such data sets in a real
clinical setting is limited.
Therefore, Carstens et al.
(Carstens et al., 2023) published
the largest public data set of laparoscopic images to date, namely the Dresden Surgical
Anatomy Dataset (DSAD). It is divided into partially annotated sub-datasets, containing
overall 13, 195 laparoscopic images with pixel-wise annotations of eleven anatomical struc-
tures. As only binary annotations for one anatomy are provided in a sub-dataset, although
several other anatomical structures without annotation are visible, complete information
about the background remains unknown. To tackle the problem of training networks with
partially labeled datasets, the usage of annotation adaptive loss functions has been proposed
(Vu et al., 2021; Ulrich et al., 2023). In their recent work, Kolbinger et al. (Kolbinger et al.,
2023) trained a combined network with a shared encoder and multiple decoders for each of
the sub-datasets in the DSAD. In addition, they made use of mutual-exclusivity by incor-
porating the information of a positive annotation of one class as a negative annotation for
all other classes. Despite achieving segmentation accuracy comparable to human experts,
there are two limitations. First, the binary segmentation accuracy of the combined network
is inferior compared to anatomy-specific single-encoder, single-decoder networks (Kolbinger
et al., 2023). Second, due to the large size of the encoder and decoder networks, achieving
a sufficiently high frame rate for delay-free segmentation of anatomical structures on dedi-
cated hardware in the operating room can not be guaranteed. Methods for real-time capable
segmentation in surgical videos include the development of lightweight convolution-based
architectures for faster segmentation of surgical instruments in laparoscopy (Tomasini et al.,
2022; Pakhomov and Navab, 2020; Jha et al., 2021). While networks with a low amount
of parameters can provide good segmentation performance for simpler tasks such as surgi-
cal instrument segmentation, they are ineffective at learning complex features required for
accurate segmentation of anatomies in surgical videos. Knowledge Distillation has drawn
attention to overcome the dilemma of decreasing performance when using smaller models
capable of faster inference speed. Xie et al. (Xie et al., 2018) transfer the zero- and first-
order knowledge from a strong teacher network to guide the fast student network. Qin et al.
(Qin et al., 2021) improve the segmentation performance on public CT datasets by propos-
ing a novel module that encodes regional knowledge for a student network. To overcome the
dependency of student networks on a single teacher network, Amirkhani et al. (Amirkhani
et al., 2021) include multiple teacher networks trained with the same input but different
style transfers and data augmentations.
In this work, we propose a multi-teacher knowledge distillation (MT-KD) approach that
leverages the knowledge of multiple anatomy-specific, high-accuracy teacher networks to
tackle the problem of training a single network with partially labeled datasets. Specifically,
we use MT-KD to improve the segmentation performance of a real-time capable student
network with a small number of parameters.
In a first step, multiple teacher networks
are trained to obtain high anatomy-specific accuracy.
In a second step, the Kullback-
Leibler (KL) divergence is minimized between the normalized output logits of the individ-"
INTRODUCTION,0.0364963503649635,Efficient Anatomy Segmentation with KD
INTRODUCTION,0.043795620437956206,"ual anatomy-specific teacher models and the normalized output logits of the corresponding
anatomy-specific decoder of the student model. This way, the teacher networks guide the
student to pay more attention to the most salient regions in order to accurately segment
the anatomies. By improving the segmentation accuracy of small student networks, capa-
ble of segmenting multiple anatomies simultaneously, we aim to increase the applicability
of computer vision methods in realistic surgical scenarios. The comprehensive evaluation
of our MT-KD approach shows increased segmentation performance across various network
architectures with a small number of parameters, as shown in Figure 1."
INTRODUCTION,0.051094890510948905,"100
101
102
103"
INTRODUCTION,0.058394160583941604,Number of Parameters (Million) 35 45 55 65 70
INTRODUCTION,0.06569343065693431,Dice Score
INTRODUCTION,0.072992700729927,MiniNetv2
INTRODUCTION,0.08029197080291971,DeepLabV3/ResNet18
INTRODUCTION,0.08759124087591241,"DeepLabV3/
ResNet50
SegFormer-B0"
INTRODUCTION,0.0948905109489051,SegFormer-B3
INTRODUCTION,0.10218978102189781,MiniNetv2
INTRODUCTION,0.10948905109489052,"DeepLabV3
/ResNet18"
INTRODUCTION,0.11678832116788321,"DeepLabV3/
ResNet50"
INTRODUCTION,0.12408759124087591,SegFormer-B0
INTRODUCTION,0.13138686131386862,SegFormer-B3
INTRODUCTION,0.1386861313868613,MiniNetv2
INTRODUCTION,0.145985401459854,"DeepLabv3/
ResNet18"
INTRODUCTION,0.15328467153284672,SegFormer-B0
INTRODUCTION,0.16058394160583941,"Figure 1: Performance of different segmentation networks presented as the mean Dice score
over all eleven anatomies in the DSAD. The red stars indicate the performance of
the network trained with Multi-Teacher Knowledge Distillation (MT-KD). The
red arrows indicate the respective improvement.
⋆refers to models using a
common encoder and eleven anatomy-specific decoders. ■indicates segmentation
models that are trained on each anatomy separately."
IMPLEMENTATION/METHODS,0.1678832116788321,2. Method
IMPLEMENTATION/METHODS,0.17518248175182483,"Our multi-teacher knowledge distillation approach with its two stages is schematically il-
lustrated in Figure 2 and explained in more detail in the following."
IMPLEMENTATION/METHODS,0.18248175182481752,"Stage 1:
During the first stage, D = {Ai=1, Ai=2, .., Ai=N} corresponds to the overall data set, where"
IMPLEMENTATION/METHODS,0.1897810218978102,"Ai denotes the anatomy-specific data set of the ith anatomy of N anatomies. In the follow-
ing, only one of the anatomy-specific data sets is considered.
Let A be denoted as A = {(xj, yj)}M
j=1, where xj ∈R3×H×W and yj ∈R1×H×W correspond
to the input image and binary segmentation mask, respectively. M denotes the overall
number of images in A. Further, a teacher segmentation model T, consisting of one encoder
F enc and one decoder F dec, is trained using the standard pixel-wise binary cross entropy
loss function formulated as:"
IMPLEMENTATION/METHODS,0.19708029197080293,"LCE = − M
X j=1 H×W
X"
