Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0019120458891013384,"We introduce AbDiffuser, an equivariant and physics-informed diffusion model
for the joint generation of antibody 3D structures and sequences. AbDiffuser
is built on top of a new representation of protein structure, relies on a novel
architecture for aligned proteins, and utilizes strong diffusion priors to improve the
denoising process. Our approach improves protein diffusion by taking advantage
of domain knowledge and physics-based constraints; handles sequence-length
changes; and reduces memory complexity by an order of magnitude, enabling
backbone and side chain generation. We validate AbDiffuser in silico and in
vitro. Numerical experiments showcase the ability of AbDiffuser to generate
antibodies that closely track the sequence and structural properties of a reference
set. Laboratory experiments confirm that all 16 HER2 antibodies discovered were
expressed at high levels and that 57.1% of the selected designs were tight binders."
INTRODUCTION,0.0038240917782026767,"1
Introduction"
INTRODUCTION,0.0057361376673040155,"We focus on the generation of immunoglobulin proteins, also known as antibodies, that help the
immune system recognize and neutralize pathogens. Due to their potency and versatility, antibodies
constitute one of the most popular drug modalities, with 10 out of 37 newly FDA-approved drugs
in 2022 being immunoglobulins [58]. The ability to generate new antibodies with pre-defined
biochemical properties in silico carries the promise of speeding up the drug design process."
INTRODUCTION,0.0076481835564053535,"Several works have attempted to generate antibodies by learning to form new sequences that resemble
those found in nature [21; 19; 82]. An issue with sequence-based approaches is that it is hard to
determine the properties that render a protein a functional molecule (and an antibody a potent drug)
without inspecting a 3D model of the functional state such as an interface or active site. So far, almost
all of the first design methods that have enabled novel protein design used carefully curated structure-
function information to score the designs [45; 48; 30]. The determinant role of structure on function
has motivated numerous works to co-design sequence and structure [4; 24; 89; 34; 43; 3; 51] or to
first design the protein backbone and then fill in the amino acid identities [90; 32; 15; 87; 50; 92; 47]."
INTRODUCTION,0.009560229445506692,"An emerging paradigm for protein generation is that of equivariant diffusion [90; 89; 51]. Protein
diffusion models combine ideas from equivariant and physics-informed protein structure representa-
tions [37] with advances in denoising diffusion probabilistic models [28] to gradually transform noise
to a partial structure. The generated structure is then refined by adding side chains and optimizing
atom positions to form a full-atom 3D model of a protein."
INTRODUCTION,0.011472275334608031,"A pertinent challenge when generating protein structure is satisfying the appropriate equivariance
and physics constraints while also balancing modeling complexity and fidelity. Most current protein
models rely on equivariant transformers [37; 73] or graph neural networks [11; 43] to satisfy SE(3)"
INTRODUCTION,0.01338432122370937,Correspondence to Andreas Loukas <andreas.loukas@roche.com>.
INTRODUCTION,0.015296367112810707,"equivariance and typically represent parts of the protein geometry in angle space. The latter recipe can
be set up to build a physics-informed model that respects (many) desired constraints but comes with
increased complexity. As a consequence, these models are expensive to train and are often applied
to a partial protein, ignoring the side chain placement [43; 51] or even deferring the determination
of amino acid identity to a later stage [90; 32]. Alternatively, some works focus on the regeneration
of complementarity-determining regions (CDRs) of antibodies that are of particular importance to
binding [34; 43; 33; 53; 78; 44], which also helps to reduce the complexity of the problem."
INTRODUCTION,0.017208413001912046,"Our work is motivated by the observation that key large protein families, here we focus on the antibody
protein family, typically have strong properties, such as an ability to be mapped to a reliable sequence
ordinate via sequence alignment. Our main contribution is an equivariant diffusion model called
AbDiffuser that is designed to exploit these properties. We show that incorporating family-specific
priors into the diffusion process significantly improves generation efficiency and quality."
