Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0018832391713747645,"Brown et al. (2020) famously introduced the phenomenon of in-context meta-
1"
ABSTRACT,0.003766478342749529,"learning in large language models (LLMs). Our work establishes the existence
2"
ABSTRACT,0.005649717514124294,"of a phenomenon we call out-of-context meta-learning via carefully designed
3"
ABSTRACT,0.007532956685499058,"synthetic experiments with large language models. We show that out-of-context
4"
ABSTRACT,0.009416195856873822,"meta-learning leads LLMs to more readily “internalize” the semantic content of
5"
ABSTRACT,0.011299435028248588,"text that is, or appears to be, broadly useful (such as true statements, or text from
6"
ABSTRACT,0.013182674199623353,"authoritative sources) and apply it in appropriate contexts. We further demonstrate
7"
ABSTRACT,0.015065913370998116,"internalization in a synthetic computer vision setting, and propose two hypothe-
8"
ABSTRACT,0.01694915254237288,"ses for the emergence of internalization: one relying on the way models store
9"
ABSTRACT,0.018832391713747645,"knowledge in their parameters, and another suggesting that the implicit gradient
10"
ABSTRACT,0.02071563088512241,"alignment bias of gradient-descent-based methods may be responsible. Finally, we
11"
ABSTRACT,0.022598870056497175,"reflect on what our results might imply about capabilities of future AI systems, and
12"
ABSTRACT,0.02448210922787194,"discuss potential risks.
13"
INTRODUCTION,0.026365348399246705,"1
Introduction
14"
INTRODUCTION,0.02824858757062147,"In this paper we show that large language models trained with gradient-descent-based methods pick
15"
INTRODUCTION,0.030131826741996232,"up on features that indicate whether a given data point is likely to help reduce the loss on other data
16"
INTRODUCTION,0.032015065913371,"points, and “internalize” data more or less based on these features. For example, knowing the content
17"
INTRODUCTION,0.03389830508474576,"of a Wikipedia article is likely on average more helpful for modeling a variety of text than knowing
18"
INTRODUCTION,0.035781544256120526,"the content of a 4chan post. We use a toy setting to show that even when the information content of
19"
INTRODUCTION,0.03766478342749529,"two pieces of text is the same, language models “internalize” the semantic content of the text that
20"
INTRODUCTION,0.03954802259887006,"looks like it’s from a reliable source (e.g. Wikipedia) more than from an unreliable one (e.g. 4chan).
21"
INTRODUCTION,0.04143126177024482,"Here, “internalize” can intuitively be understood as saying that the model treats this content as true
22"
INTRODUCTION,0.04331450094161959,"when answering related questions. For example, we would judge a neural net to have internalized
23"
