Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.004878048780487805,"We present DrQ-v2, a model-free reinforcement learning (RL) algorithm for visual
continuous control. DrQ-v2 builds on DrQ, an off-policy actor-critic approach
that uses data augmentation to learn directly from pixels. We introduce several
improvements that yield state-of-the-art results on the DeepMind Control Suite.
Notably, DrQ-v2 is able to solve complex humanoid locomotion tasks directly from
pixel observations, previously unattained by model-free RL. DrQ-v2 is conceptually
simple, easy to implement, and provides signiﬁcantly better computational footprint
compared to prior work, with the majority of tasks taking just 8 hours to train on a
single GPU. Finally, DrQ-v2’s implementation is publicly released to provide RL
practitioners with a strong and computationally efﬁcient baseline."
INTRODUCTION,0.00975609756097561,"1
INTRODUCTION"
INTRODUCTION,0.014634146341463415,"Creating sample-efﬁcient continuous control methods that observe high-dimensional images has
been a long standing challenge in reinforcement learning (RL) . Over the last three years, the RL
community has made signiﬁcant headway on this problem, improving sample-efﬁciency signiﬁcantly.
The key insight to solving visual control is the learning of better low-dimensional representations,
either through autoencoders (Yarats et al., 2019; Finn et al., 2015), variational inference (Hafner
et al., 2018; 2019; Lee et al., 2019), contrastive learning (Srinivas et al., 2020; Yarats et al., 2021a),
self-prediction (Schwarzer et al., 2020b), or data augmentations (Yarats et al., 2021b; Laskin et al.,
2020). However, current state-of-the-art model-free methods are still limited in three ways. First, they
are unable to solve the more challenging visual control problems such as quadruped and humanoid
locomotion. Second, they often require signiﬁcant computational resources, i.e. lengthy training
times using distributed multi-GPU infrastructure. Lastly, it is often unclear how different design
choices affect overall system performance."
INTRODUCTION,0.01951219512195122,"SAC
CURL
DrQ
DrQ-v2 (Ours)"
INTRODUCTION,0.024390243902439025,"Figure 1: DrQ-v2 demonstrates signiﬁcantly better sample efﬁciency and computational footprint
compared to state-of-the-art model-free methods for visual continuous control while being conceptu-
ally simple and easy to implement. (Left two) Average performance results across 12 challenging
tasks from the DeepMind Control Suite (the set of tasks can be seen in Figure 8). (Right two)
Performance on the Humanoid Walk task from visual input, previously unsolved by model-free
methods. In both cases we report sample complexity and wall-clock time axes for evaluation, with
time being measured on a single GPU machine and using ofﬁcial implementations for each method."
INTRODUCTION,0.02926829268292683,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.03414634146341464,"In this paper we present DrQ-v2, a simple model-free algorithm that builds on the idea of using
data augmentations (Yarats et al., 2021b; Laskin et al., 2020) to solve hard visual control problems.
Most notably, it is the ﬁrst model-free method that solves complex humanoid tasks directly from
pixels. Compared to previous state-of-the-art model-free methods, DrQ-v2 provides signiﬁcant
improvements in sample efﬁciency across tasks from the DeepMind Control Suite (Tassa et al., 2018).
Conceptually simple, DrQ-v2 is also computationally efﬁcient, which allows solving most tasks in
DeepMind Control Suite in just 8 hours on a single GPU (see Figure 1). Recently, a model-based
method, DreamerV2 (Hafner et al., 2020) was also shown to solve visual continuous control problems
and it was ﬁrst to solve the humanoid locomotion problem from pixels. While our model-free
DrQ-v2 matches DreamerV2 in terms sample efﬁciency and performance, it does so 4⇥faster in
terms of wall-clock time to train. We believe this makes DrQ-v2 a more accessible approach to
support research in visual continuous control and it reinforces the question on whether model-free or
model-based is the more suitable approach to solve this type of tasks."
INTRODUCTION,0.03902439024390244,"DrQ-v2, which is detailed in Section 3, improves upon DrQ (Yarats et al., 2021b) by making several
algorithmic changes: (i) switching the base RL algorithm from SAC (Haarnoja et al., 2018a) to
DDPG (Lillicrap et al., 2015a) with clipped double Q-learning from TD3 (Fujimoto et al., 2018), (ii)
this allows us straightforwardly incorporating multi-step return, (iii) adding bilinear interpolation to
the random shift image augmentation, (iv) introducing an exploration schedule, (v) selecting better
hyper-parameters including a larger capacity of the replay buffer. A careful ablation study of these
design choices is presented in Section 4.4. Furthermore, we re-examine the original implementation
of DrQ and identify several computational bottlenecks such as replay buffer management, data
augmentation processing, batch size, and frequency of learning updates (see Section 3.2). To remedy
these, we have developed a new implementation that both achieves better performance and trains
around 3.5 times faster with respect to wall-clock time than the previous implementation on the
same hardware with an increase in environment frame throughput (FPS) from 28 to 96 (i.e., it takes
106/96/3600 ⇡2.9 hours to train for 1M environment steps). DrQ-v2’s implementation is available
at https://anonymous.4open.science/r/drqv2."
BACKGROUND,0.04390243902439024,"2
BACKGROUND"
