Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.003703703703703704,"Supervised learning models have been increasingly used in various domains such
as lending, college admission, natural language processing, face recognition, etc.
These models may inherit pre-existing biases from training datasets and exhibit
discrimination against protected social groups. Various fairness notions have been
introduced to address fairness issues. In general, ﬁnding a fair predictor leads to
a constrained optimization problem, and depending on the fairness notion, it may
be non-convex. In this work, we focus on Equalized Loss (EL), a fairness notion
that requires the prediction error/loss to be equalized across different demographic
groups. Imposing this constraint to the learning process leads to a non-convex op-
timization problem even if the loss function is convex. We introduce algorithms
that can leverage off-the-shelf convex programming tools and efﬁciently ﬁnd the
global optimum of this non-convex problem. In particular, we ﬁrst propose the
ELminimizer algorithm, which ﬁnds the optimal EL fair predictor by reducing
the non-convex optimization problem to a sequence of convex constrained opti-
mizations. We then propose a simple algorithm that is computationally more efﬁ-
cient compared to ELminimizer and ﬁnds a sub-optimal EL fair predictor using
unconstrained convex programming tools. Experiments on real-world data show
the effectiveness of our algorithms."
INTRODUCTION,0.007407407407407408,"1
INTRODUCTION"
INTRODUCTION,0.011111111111111112,"As machine learning (ML) algorithms are increasingly being used in applications such as education,
lending, recruitment, healthcare, criminal justice, etc., there is a growing concern that the algorithms
may exhibit discrimination against protected population groups. For example, speech recognition
products such as Google Home and Amazon Alexa were shown to have accent bias (Harwell, 2018).
The COMPAS recidivism prediction tool, used by courts in the US in parole decisions, has been
shown to have a substantially higher false positive rate for African Americans compared to the
general population (Dressel & Farid, 2018). Amazon had been using automated software since 2014
to assess applicants’ resumes, which were found to be biased against women (Dastin, 2018)."
INTRODUCTION,0.014814814814814815,"Various fairness notions have been proposed in the literature to measure and remedy the biases in
ML systems; they can be roughly classiﬁed into two classes: 1) individual fairness focuses on the
equity at individual level and it requires the similar individuals to be treated similarly (Dwork et al.,
2012; Biega et al., 2018; Jung et al., 2019; Gupta & Kamble, 2019); 2) group fairness requires
certain statistical measures to be (approximately) equalized across different groups distinguished by
some sensitive attributes. Their suitability for use is often application dependent, and many of them
are incompatible with each other (Zhang et al., 2019; Hardt et al., 2016; Conitzer et al., 2019; Zhang
et al., 2020; Khalili et al., 2020). Extensive approaches have been developed to satisfying a given
deﬁnition of fairness and they generally fall under three categories: pre-processing, by modifying
the original dataset such as removing certain features and reweighing, e.g., (Kamiran & Calders,
2012; Celis et al., 2020); in-processing, by modifying the algorithms such as imposing fairness
constraints or changing objective functions, e.g., (Zhang et al., 2018; Agarwal et al., 2018; 2019;
Reimers et al., 2021; Calmon et al., 2017); post-processing, by adjusting the output of the algorithms
based on sensitive attributes, e.g., (Hardt et al., 2016)."
INTRODUCTION,0.018518518518518517,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.022222222222222223,"In this paper, we focus on group fairness and we aim to mitigate unfairness issues in supervised
learning using in-processing approaches. The problem can be cast as a constrained optimization
problem where a fair predictor can be found by minimizing the prediction error (i.e., loss) subject to
certain group fairness constraint. In Section 2.1, we present a number of deﬁnitions of commonly
used group fairness notions, namely, statistical parity (Dwork et al., 2012), equal opportunity (Hardt
et al., 2016), equalized loss (Zhang et al., 2019), and bounded group loss (Agarwal et al., 2019).
Here we are particularly interested in equalized loss which requires the expected loss to be equalized
across different groups."
INTRODUCTION,0.025925925925925925,"Constrained optimization problems for ﬁnding a fair predictor have been studied in the iterature. In
general, imposing a fairness criterion to the optimization problem may lead to a non-convex opti-
mization problem. Existing works have proposed various approaches to solving such a non-convex
optimization in different settings. For example, Komiyama et al. (2018) studied the non-convex op-
timization for regression problems under the coefﬁcient of determination constraint. Agarwal et al.
(2019) proposed an approach to ﬁnding a fair regression model under bounded group loss and statis-
tical parity fairness constraints. Agarwal et al. (2018) studied classiﬁcation problems and aimed at
ﬁnding fair classiﬁers under various fairness notions including statistical parity and equal opportu-
nity. In particular, they considered zero-one loss as the objective function and trained a randomized
fair classiﬁer over a ﬁnite hypothesis space; this problem was reduced to a problem of ﬁnding the
saddle point of a linear Lagrangian function in (Agarwal et al., 2018). Zhang et al. (2018) proposed
an adversarial debasing technique to ﬁnd a fair classiﬁer under equalized odd, equal opportunity,
and statistical parity. However, there is no guarantee that this technique ﬁnds the global optimal
solution. The main difference between the present work and the existing in-processing approaches
are as follows: 1) we consider a non-convex problem for ﬁnding a fair predictor satisfying Equalized
Loss fairness notion, which has not been studied in the literature to the best of our knowledge. 2) We
propose algorithms for ﬁnding the global optimal solution to this non-convex problem efﬁciently.
3) Our algorithms are easy to implement and are applicable to both regression and classiﬁcation
problems. 4) Unlike (Agarwal et al., 2018), our algorithms are not limited to ﬁnite hypothesis space."
INTRODUCTION,0.02962962962962963,"Non-convex optimization problems have also been studied in other contexts such as learning over-
parametrized models. For example, deep neural networks are typically trained by solving uncon-
strained, non-convex problems, and methods such as gradient descent may not be suitable as they
are likely to ﬁnd saddle points but not optimums. To address this issue, approaches have been pro-
posed in recent works by incorporating the higher order derivatives (Celis et al., 2020; Anandkumar
& Ge, 2016) or noisy gradients (Ge et al., 2015). However, these methods only ﬁnd a local minimum
(not a global minimum) and are not applicable to our problem with a non-convex constraint."
INTRODUCTION,0.03333333333333333,"In this work, we develop novel algorithms that ﬁnd the fair (sub-)optimal solutions under Equalized
Loss fairness constraint efﬁciently. Note that while our approach and algorithms are presented in
the context of fair machine learning, they are applicable to any problem that can be formulated as a
constrained optimization problem in the form of minw
w
w L0(www)+αL1(www) s.t. |L0(www)−L1(www)| < γ,
where α is a constant"
INTRODUCTION,0.037037037037037035,"Our main contributions and ﬁndings are as follows.
1. We study the relationship between Equalized Loss (EL) and Bounded Group Loss (BGL) fairness
notions. We show that given the existence of feasible solutions satisfying (approximate) BGL
fairness, imposing (approximate) EL fairness constraint never increase losses of both groups
simultaneously (Theorems 1 and 2 in Section 2.1). These results help policy makers to have a
better understanding of these two fairness notions.
2. We develop an algorithm (ELminimizer) to solve a non-convex constrained optimization prob-
lem that ﬁnds the optimal (approximate) EL fair solution. We show that such non-convex opti-
mization can be reduced to a sequence of convex constrained optimizations and the convergence
property of the algorithm is analyzed (Theorems 3 and 4, Section 3).
3. We develop a simple algorithm for ﬁnding a sub-optimal (approximate) EL fair solution. We
show that a sub-optimal solution is a linear combination of optimal solutions to two uncon-
strained optimizations and it can be found efﬁciently without solving constrained optimizations
(Theorem 5, Section 4).
4. We conduct sample complexity analysis and provide the guarantee on generalization performance
(Theorem 7, Section 5).
5. We validate the theoretical results by conducting experiments on real-world data (Section 6)."
INTRODUCTION,0.040740740740740744,Under review as a conference paper at ICLR 2022
PROBLEM FORMULATION,0.044444444444444446,"2
PROBLEM FORMULATION"
PROBLEM FORMULATION,0.04814814814814815,"Consider a supervised learning problem where the training dataset consists of triples (X
X
X, A, Y )
from two social groups. Random variable X
X
X ∈X ⊂Rdx is the feature vector (in form of a column
vector), A ∈{0, 1} is the sensitive attribute (e.g., race, gender) indicating the group membership,
and Y ∈Y ⊂R is the label. The feature vector X
X
X may or may not include sensitive attribute
A. Label Y can be either discrete or continuous depending on the given problem: if Y is discrete
(resp. continuous), then the problem is a classiﬁcation (resp. regression) problem. Let F be a set
of predictors fw
ww : X →R parameterized by weight vector www ∈Rdw.1 Consider loss function l :
Y ×X →R where l(Y, fw
ww(X
X
X)) measures the error of fw
ww in predicting label Y . Denote the expected
loss with respect to the joint probability distribution of (X
X
X, Y ) by L(www) := E{l(Y, fww
w(X
X
X))}. Then,
La(www) := E{l(Y, fw
ww(X
X
X))|A = a} denotes the expected loss of the group with attribute A = a."
