Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0026455026455026454,"The ever-increasing variety of microcontrollers aggravates
the challenge of porting embedded software to new devices
through much manual work, whereas code generators can be
used only in special cases. Moreover, only little technical doc-
umentation for these devices is available in machine-readable
formats that could facilitate automating porting efforts. In-
stead, the bulk of documentation comes as print-oriented
PDFs. We hence identify a strong need for a processor to
access the PDFs and extract their data with a high quality to
improve the code generation for embedded software.
In this paper, we design and implement a modular proces-
sor for extracting detailed datasets from PDF files containing
technical documentation using deterministic table process-
ing for thousands of microcontrollers. Namely, we system-
atically extract device identifiers, interrupt tables, package
and pinouts, pin functions, and register maps. In our evalua-
tion, we compare the documentation from STMicro against
existing machine-readable sources. Our results show that
our processor matches 96.5 % of almost 6 million reference
data points, and we further discuss identified issues in both
sources. Hence, our tool yields very accurate data with only
limited manual effort and can enable and enhance a signifi-
cant amount of existing and new code generation use cases in
the embedded software domain that are currently limited by a
lack of machine-readable data sources."
INTRODUCTION,0.005291005291005291,"1
Introduction"
INTRODUCTION,0.007936507936507936,"With an ever-expanding product catalog of embedded hard-
ware comes the challenge of porting the corresponding
hardware-dependent software (HdS) stack to thousands of
devices [15]. Hardware vendors typically provide a HdS
implementation in the C programming language only. How-
ever, newer compiled languages and dynamic runtime envi-
ronments, such as C++ [34], Rust [59], Python [38], and
IoT-focused Femto-Containers [80], bring new programming
paradigms and features to resource-limited embedded sys-
tems, but they require a custom HdS stack [15,30].
Porting HdS to other programming languages is mostly a
manual process, where software engineers consult technical
documentation to inform design and implementation deci-
sions, as well as extract device-specific hardware description
data from the documents and convert them into code [15]."
INTRODUCTION,0.010582010582010581,"However, the technical documentation is often only avail-
able as PDF, which complicates the extraction of structured
data [16, 54] due to its print-oriented content model [43].
Specifically, porting a HdS stack to a new device requires
data for the bootloader (processor, memories, vector table,
power management, clock graph), hardware abstraction layer
(HAL) (pinout, pin functions, peripherals, register map), de-
vice drivers (capabilities, pinout, communication type, regis-
ter map), and board support (microcontroller, external devices,
signal connections, power supply) [15]. Additional data is
needed for part evaluation, configuration tools, build systems,
testing, and simulation [15]. As a result, the porting process
is laborious and thereby slows down new HdS projects [15]."
INTRODUCTION,0.013227513227513227,"Some projects alleviate these limitations by using code
generators for large parts of their HdS stack [3, 34, 58–60],
with data extracted from machine-readable sources, such as
standardized formats [70], proprietary databases from tool-
ing [64], or provided by manually curated datasets [20,27].
However, the scope and fidelity of the available machine-
readable data are usually significantly smaller than what is
available in the technical documentation [35, 60].
Exist-
ing work in the area of document information extraction is
focused on generic inputs and cannot provide the domain-
specific data found in technical documentation with the nec-
essary accuracy [9,16,54,73]."
INTRODUCTION,0.015873015873015872,"CMSIS
Header"
INTRODUCTION,0.018518518518518517,"CMSIS
SVD"
INTRODUCTION,0.021164021164021163,"Configuration
Tools"
INTRODUCTION,0.023809523809523808,"Technical
Documentation + 1"
INTRODUCTION,0.026455026455026454,"Shared
Database"
INTRODUCTION,0.0291005291005291,"Zephyr
C [31]"
INTRODUCTION,0.031746031746031744,"modm
C++ [34]"
INTRODUCTION,0.03439153439153439,"Embedded
Rust [59] 2"
INTRODUCTION,0.037037037037037035,"3
Feature/
Bugfix
4
4"
INTRODUCTION,0.03968253968253968,"Journal of Systems Research (JSys)
2023"
INTRODUCTION,0.042328042328042326,"These observations motivate the need for combining multi-
ple sources to create the most complete dataset possible in an
automated, unsupervised process. As illustrated in Figure 1,
the database can then be shared among multiple projects,
which would significantly reduce development efforts.
Therefore, we identify a research gap in terms of a data
processor that connects information extraction of technical
documentation with code generation of embedded software.
We split our solution to this problem into four parts: (i) We
first convert the print-oriented PDF technical documentation
content into an accessible, structured form. (ii) We then
extract and assemble the information relevant to our use cases
as determined by domain experts. (iii) We then encode this
data into an unambiguous encoding and provide access to it
for code generation tasks. (iv) For our evaluation, we compare
both the completeness and correctness of the extracted PDF
data with the already existing machine-readable counterpart.
Contributions. Our tool achieves several contributions.
Our processor converts PDF technical documentation to
HTML and provides custom parsers for machine-readable
data. We apply table processing and text mining paradigms
to extract and convert data from the technical documentation
using a deterministic process that yields completely repro-
ducible results. We verify the processor functionality by com-
paring the data extracted from the technical documentation
against the existing machine-readable sources. In addition,
we further check the internal consistency of the processed data.
Thereby, we establish a method to merge multiple sources
and arbitrate conflicts based on qualitative metrics. We also
provide a detailed analysis of the quality, trustworthiness, and
completeness of each data source that can inform and guide
future extraction work. The extracted data is unambiguously
encoded as a knowledge graph via a custom ontology to de-
scribe the embedded hardware, making it widely accessible to
a number of different use cases. Our design is implemented
as a highly modular Python project, which is open-sourced
and maintained as part of the modm project [37].
Paper Organization. This paper is organized as follows.
In Section 2, we introduce the background relevant to the
remainder of this paper. We then describe related work in
Section 3 and define the issues to be addressed by our proces-
sor. In Section 4, we describe the design and implementation
of our processor, which we then rigorously evaluate against
STMicro documentation and data sources, and discuss the
results in Section 5. We conclude this paper in Section 6."
LIT REVIEW,0.04497354497354497,"2
Background"
LIT REVIEW,0.047619047619047616,"In this section, we first lay the foundation for our processor
extracting the hardware description data required for creat-
ing embedded software. Accordingly, we give an introduc-
tion to technical documentation formats, table processing,
hardware-dependent software, and knowledge modeling in
the following."
LIT REVIEW,0.05026455026455026,"2.1
Technical Documentation"
LIT REVIEW,0.05291005291005291,"Hardware vendors publish their products’ technical documen-
tation as PDF files, which, as a print-oriented format, contain
a stream of graphics and text objects placed at precise posi-
tions inside the document canvas [43]. As a result, documents
render identical on all platforms; however, all semantic and
hierarchical information is lost, which makes it difficult to
parse and convert them automatically [54]. For example,
PDFs published by STMicro contain text-supplementing ta-
bles and figures with valuable information [13]. Tables are
rendered using vector graphics to draw the cell borders and
text characters, as visualized in Figure 2. Extracting struc-
tured data from such tables is difficult when relying only on
text extraction heuristics [7,54,62]. Admittedly, deterministic
algorithms consuming vector graphics produce accurate and
reliable results [53]."
LIT REVIEW,0.05555555555555555,"PB13
I/O TTa
(4)
SPI2_SCK,I2S2_CK,USART3
_CTS, TIM1_CH1N, 
TSC_G6_IO3, EVENTOUT"
LIT REVIEW,0.0582010582010582,"ADC3_IN5, COMP5_INP, 
OPAMP4_VINP, 
OPAMP3_VINP"
LIT REVIEW,0.06084656084656084,"PB14
I/O TTa
(4)"
LIT REVIEW,0.06349206349206349,"SPI2_MISO,I2S2ext_SD,
USART3_RTS_DE, 
TIM1_CH2N, TIM15_CH1, 
TSC_G6_IO4, EVENTOUT"
LIT REVIEW,0.06613756613756613,"COMP3_INP, ADC4_IN4, 
OPAMP2_VINP"
LIT REVIEW,0.06878306878306878,"Pin name 
(function 
after 
reset)"
LIT REVIEW,0.07142857142857142,Pin type
LIT REVIEW,0.07407407407407407,I/O structure Notes
LIT REVIEW,0.07671957671957672,Pin functions
LIT REVIEW,0.07936507936507936,"Alternate functions
Additional functions"
LIT REVIEW,0.082010582010582,"Figure 2: This table excerpt shows the bounding boxes of the
individual glyphs in red with their origin marked with a black
cross. Inter-document links like the footnote markers in the
Notes column are marked with a green box [13]."
LIT REVIEW,0.08465608465608465,"2.2
Table Processing"
