Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0045045045045045045,"While instance-level explanation of GNN is a well-studied problem with plenty of
approaches being developed, providing a global explanation for the behaviour of a
GNN is much less explored, despite its potential in interpretability and debugging.
Existing solutions either simply list local explanations for a given class, or generate
a synthetic prototypical graph with maximal score for a given class, completely
missing any combinatorial aspect that the GNN could have learned. In this work
we propose GLGExplainer (Global Logic-based GNN Explainer), the first Global
Explainer capable of generating explanations as arbitrary Boolean combinations
of learned graphical concepts. GLGExplainer is a fully differentiable architecture
that takes local explanations as inputs and combines them into a logic formula
over graphical concepts, represented as clusters of local explanations. Contrary
to existing solutions, GLGExplainer manages to provide accurate and human-
interpretable global explanations in both synthetic and real world datasets."
INTRODUCTION,0.009009009009009009,"1
Introduction"
INTRODUCTION,0.013513513513513514,"Graph Neural Networks (GNNs) have become increasingly popular for predictive tasks on graph
structured data. However, as many other deep learning models, their inner working remains a black
box. The ability to understand the reason for a certain prediction represents a critical requirement for
any decision-critical application, thus representing a big issue for the transition of such algorithms
from benchmarks to real-world critical applications."
INTRODUCTION,0.018018018018018018,"Over the last years, many works proposed Local Explainers [1–9] to explain the decision process
of a GNN in terms of factual explanations often represented as subgraphs for each sample in the
dataset. Overall, they shed light over why the network predicted a certain value for a specific input
sample. However, they still lack a global understanding of the model. Global Explainers, on the other
hand, are aimed at capturing the behaviour of the model as a whole, abstracting individual noisy local
explanations in favor of a single robust overview of the model. However, despite their potential in
interpretability and debugging little has been done in this direction [10]. GLocalX [11] is a general
solution to produce global explanations of black-box models by hierarchically aggregating local
explanations into global rules via an heuristic-based iterative procedure. This solution is however not
readily applicable to GNNs as it requires local explanations to be expressed as logical rules. Yuan et
al. [10] proposed to frame the Global Explanation problem for GNN as a form of input optimization,"
INTRODUCTION,0.02252252252252252,Global Explainability of GNNs via Logic Combination of Learned Concepts
INTRODUCTION,0.02702702702702703,"Figure 1: Illustration of the proposed method for a task of binary classification. Each step is described
in detail in Section 2 ."
INTRODUCTION,0.03153153153153153,"similarly as done for some vision models [12], using policy gradient to generate synthetic prototypical
graphs for each class. The approach requires prior domain knowledge, which is not always available,
to drive the generation of valid prototypes. Additionally, it cannot identify any compositionality in
the returned explanation, and has no principled way to generate alternative explanations for a given
class."
INTRODUCTION,0.036036036036036036,"Concept-based Explainability [13–15] is a parallel line of research where explanations are constructed
using “concepts” i.e., intermediate, high-level and semantically meaningful units of information com-
monly used by humans to explain their decisions. Concept Bottleneck Models [16] and Prototypical
Part networks [17] are two popular architectures that leverage concept learning to learn explainable-
by-design neural networks. Both approaches have been recently adapted to GNNs [18, 19]. However,
these solutions are not conceived for explaining already learned GNNs."
INTRODUCTION,0.04054054054054054,"Our contribution consists in the first Global Explainer for GNNs which i) provides a Global
Explanation in terms of logic formulas, extracted by combining in a fully differentiable manner
graphical concepts derived from local explanations; ii) is faithful to the data domain, i.e., the logic
formulas, being derived from local explanations, are intrinsically part of the input domain without
requiring any prior knowledge. We validated our approach on both synthetic and real-world datasets,
showing that our method is able to accurately summarize the behaviour of the model to explain, while
providing explanations in terms of concise logic formulas."
IMPLEMENTATION/METHODS,0.04504504504504504,"2
Proposed Method"
IMPLEMENTATION/METHODS,0.04954954954954955,"Our proposed Global Explainer, named GLGExplainer (Global Logic-based GNN Explainer), is
summarized in Figure 1. In the following we will describe each step in greater detail."
IMPLEMENTATION/METHODS,0.05405405405405406,"Local Explanations Extraction:
The first step of our pipeline consists in extracting local explana-
tions. Let LEXP(f, G) = ˆG be the weighted graph obtained by applying the local explainer LEXP to
generate a local explanation for the prediction of the GNN f over the input graph G. In principle,
every Local Explainer whose output can be mapped to a subgraph of the input sample is compatible
with our pipeline [1–6]. Nonetheless, in this work, we relied on PGExplainer [2] since it allows
the extraction of arbitrary disconnected motifs as explanations and it gave excellent results in our
experiments. By binarizing the output of the local explainer ˆG with threshold θ ∈R we achieve a
set of connected components ¯Gi such that S"
IMPLEMENTATION/METHODS,0.05855855855855856,"i ¯Gi ⊆ˆG. For convenience, we will henceforth refer to
each of these ¯Gi as local explanation. Given that we want to emulate the behaviour of f on correctly
predicted samples, we will discard every input graph G belonging to wrongly predicted samples."
IMPLEMENTATION/METHODS,0.06306306306306306,Global Explainability of GNNs via Logic Combination of Learned Concepts
IMPLEMENTATION/METHODS,0.06756756756756757,"Table 1: Mean and standard deviation for Fidelity, Formula Accuracy and Concept Purity computed
on the Test set over 5 runs with different random seeds. Since Concept Purity is computed for every
cluster independently, here we report mean and standard deviation for the best run only."
IMPLEMENTATION/METHODS,0.07207207207207207,"Dataset
Fidelity
Formula Accuracy
Concept Purity"
IMPLEMENTATION/METHODS,0.07657657657657657,"BAMultiShapes
0.99 ±0.00
0.99 ±0.00
0.85 ±0.22
Mutagenicity
0.85 ±0.01
0.85 ±0.01
0.99 ±0.01"
IMPLEMENTATION/METHODS,0.08108108108108109,"The result of this extraction thus consists in a list D of local explanations. More details about the
binarization are available in the Appendix."
