Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0027100271002710027,"Recent work suggests that large language models may implicitly learn world models.
How should we assess this possibility? We formalize this question for the case
where the underlying reality is governed by a deterministic finite automaton. This
includes problems as diverse as simple logical reasoning, geographic navigation,
game-playing, and chemistry. We propose new evaluation metrics for world model
recovery inspired by the classic Myhill-Nerode theorem from language theory. We
illustrate their utility in three domains: game playing, logic puzzles, and navigation.
In all domains, the generative models we consider do well on existing diagnostics
for assessing world models, but our evaluation metrics reveal their world models
to be far less coherent than they appear. Such incoherence creates fragility: using
a generative model to solve related but subtly different tasks can lead to failures.
Building generative models that meaningfully capture the underlying logic of the
domains they model would be immensely valuable; our results suggest new ways
to assess how close a given model is to that goal."
INTRODUCTION,0.005420054200542005,"1
Introduction"
INTRODUCTION,0.008130081300813009,"Large language models (LLMs) appear to have capacities that far exceed the next-token prediction
task they were trained to perform [17, 39, 35]. Recent work suggests a reason: they are implicitly
recovering high-fidelity representations of the underlying domains they are trained on [1, 20]."
INTRODUCTION,0.01084010840108401,"An algorithm that recovers a “world model” from sequence data would be extremely valuable. As
an example, consider how one might build a navigation tool today: meticulously map each street and
intersection, and then use a search algorithm to provide directions. The success of language models
suggests an alternative approach: collect turn-by-turn sequences from trips in a city (e.g. “East
North...”) and then train a sequence model on them. If the sequence model successfully recovers
the world model, we would obtain a map of the city without ever mapping it and a routing algorithm
simply by predicting the next turn. This example is not far-fetched: it is the reason language models
are used in scientific domains such as protein generation, genetics and chemistry [7, 21, 3, 14, 6]."
INTRODUCTION,0.013550135501355014,"All of this relies on the presumption that the sequence model has recovered the true world model;
but how can we test whether it actually has? Answering this question requires first defining what
we mean by the true world model. Toshniwal et al. [36] and Li et al. [20] proposed a concrete and
influential approach: study whether sequence models trained on board game transcripts (e.g. chess
and Othello) recover the underlying game rules. Inspired by this approach, we consider the case where
the underlying world can be summarized by a finite collection of states and rules governing transitions
between the states; this includes many domains such as logic [19], location tracking [28, 9], games
[36, 20], and several of the scientific applications described above. As a result, the “world” in these
domains can be modeled as a deterministic finite automaton (DFA)."
INTRODUCTION,0.016260162601626018,"We show the difficulty in evaluating implicit world models. Consider an existing approach: for a
given sequence, compare the next tokens outputted by the generative model to the set of valid next
tokens for the state implied by that sequence [36, 20]. Though intuitive, this approach can fail to
diagnose severe problems, and we illustrate this concretely. The classic Myhill-Nerode theorem
[26, 27] provides intuition: every pair of distinct states can be distinguished by some sequence
(admitted by one state but not the other). Unless those minimal distinguishing sequences are of length
one, looking at the next single token outputted will not reliably assess whether the generative model
has an accurate model of the underlying state."
INTRODUCTION,0.018970189701897018,"The logic of Myhill-Nerode suggests two metrics for measuring whether a generative model effectively
captures underlying states and transitions. The first metric summarizes sequence compression: under
the DFA, sequences that lead to the same state must have the same continuations; so one can test
whether the generative model has similar sequences of outputs when started on these two sequences.
The second metric summarizes sequence distinction: under the DFA, two sequences that lead to
distinct states should have distinct continuations; so one can test whether the generative model matches
these distinct outputs when started at these two sequences. We formally define these metrics and
provide model-agnostic procedures for calculating them when given query access to the true DFA."
INTRODUCTION,0.02168021680216802,"To illustrate these ideas, we first take the stylized mapping example literally. We construct a turn-by-
turn sequence dataset of taxi rides in New York City. We then assess to what extent transformers
successfully recover the true street map of Manhattan. By the usual metrics, the transformers do
very well: their predicted next-direction is a valid turn nearly 100% of the time and their state
representations even appear to encode the current location of the ride. Our evaluation methods
reveal they are very far from recovering the true street map of New York City. As a visualization,
we use graph reconstruction techniques to recover each model’s implicit street map of New York
City. The resulting map bears little resemblance to the actual streets of Manhattan, containing streets
with impossible physical orientations and flyovers above other streets (see Figure 3). Because these
transformers fail to recover the true street map of New York City, they are fragile for downstream
tasks. While they sometimes have amazing route planning abilities, their performance breaks down
when detours are introduced."
INTRODUCTION,0.024390243902439025,"These results are not unique to maps and navigation. For both Othello and logic puzzles, we use our
evaluation metrics to show language models can perform remarkably well on some tasks despite
being far from recovering the true world model. These results demonstrate the importance of using
theoretically-grounded evaluation metrics if our goal is to build language models that capture accurate
world models of the domains they are trained in. We release our benchmark dataset of taxi rides in
New York City along with software implementing our evaluation metrics.1"
