Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.00102880658436214,"We propose a simple heuristic privacy analysis of noisy clipped stochastic gradient
1"
ABSTRACT,0.00205761316872428,"descent (DP-SGD) in the setting where only the last iterate is released and the in-
2"
ABSTRACT,0.0030864197530864196,"termediate iterates remain hidden. Namely, our heuristic assumes a linear structure
3"
ABSTRACT,0.00411522633744856,"for the model.
4"
ABSTRACT,0.0051440329218107,"We show experimentally that our heuristic is predictive of the outcome of privacy
5"
ABSTRACT,0.006172839506172839,"auditing applied to various training procedures. Thus it can be used prior to training
6"
ABSTRACT,0.00720164609053498,"as a rough estimate of the ﬁnal privacy leakage. We also probe the limitations of
7"
ABSTRACT,0.00823045267489712,"our heuristic by providing some artiﬁcial counterexamples where it underestimates
8"
ABSTRACT,0.009259259259259259,"the privacy leakage.
9"
ABSTRACT,0.0102880658436214,"The standard composition-based privacy analysis of DP-SGD effectively assumes
10"
ABSTRACT,0.01131687242798354,"that the adversary has access to all intermediate iterates, which is often unrealistic.
11"
ABSTRACT,0.012345679012345678,"However, this analysis remains the state of the art in practice. While our heuristic
12"
ABSTRACT,0.013374485596707819,"does not replace a rigorous privacy analysis, it illustrates the large gap between
13"
ABSTRACT,0.01440329218106996,"the best theoretical upper bounds and the privacy auditing lower bounds and sets a
14"
ABSTRACT,0.015432098765432098,"target for further work to improve the theoretical privacy analyses.
15"
INTRODUCTION,0.01646090534979424,"1
Introduction
16"
INTRODUCTION,0.01748971193415638,"Differential privacy (DP) [DMNS06] deﬁnes a measure of how much private information from the
17"
INTRODUCTION,0.018518518518518517,"training data leaks through the output of an algorithm. The standard differentially private algorithm
18"
INTRODUCTION,0.01954732510288066,"for deep learning is DP-SGD [BST14; ACGMMTZ16], which differs from ordinary stochastic
19"
INTRODUCTION,0.0205761316872428,"gradient descent in two ways: the gradient of each example is clipped to bound its norm and then
20"
INTRODUCTION,0.021604938271604937,"Gaussian noise is added at each iteration.
21"
INTRODUCTION,0.02263374485596708,"The standard privacy analysis of DP-SGD is based on composition [BST14; ACGMMTZ16; Mir17;
22"
INTRODUCTION,0.023662551440329218,"Ste22; KJH20]. In particular, it applies to the setting where the privacy adversary has access to
23"
INTRODUCTION,0.024691358024691357,"all intermediate iterates of the training procedure. In this setting, the analysis is known to be tight
24"
INTRODUCTION,0.0257201646090535,"[NSTPC21; NHSBTJCT23]. However, in practice, potential adversaries rarely have access to the
25"
INTRODUCTION,0.026748971193415638,"intermediate iterates of the training procedure, rather they only have access to the ﬁnal model. Access
26"
INTRODUCTION,0.027777777777777776,"to the ﬁnal model can either be through queries to an API or via the raw model weights. The key
27"
INTRODUCTION,0.02880658436213992,"question motivating our work is the following.
28"
INTRODUCTION,0.029835390946502057,"Is it possible to obtain sharper privacy guarantees for DP-SGD when the adversary
29"
INTRODUCTION,0.030864197530864196,"only has access to the ﬁnal model, rather than all intermediate iterates?
30"
BACKGROUND & RELATED WORK,0.03189300411522634,"1.1
Background & Related Work
31"
BACKGROUND & RELATED WORK,0.03292181069958848,"The question above has been studied from two angles: Theoretical upper bounds, and privacy auditing
32"
BACKGROUND & RELATED WORK,0.033950617283950615,"lower bounds. Our goal is to shed light on this question from a third angle via principled heuristics.
33"
