Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0007507507507507507,"Recent empirical advances show that training deep models with large learning rate
often improves generalization performance. However, theoretical justiﬁcations on
the beneﬁts of large learning rate are highly limited, due to challenges in analysis. In
this paper, we consider using Gradient Descent (GD) with a large learning rate on a
homogeneous matrix factorization problem, i.e., minX,Y ∥A −XY ⊤∥2
F. We prove
a convergence theory for constant large learning rates well beyond 2/L, where L
is the largest eigenvalue of Hessian at the initialization. Moreover, we rigorously
establish an implicit bias of GD induced by such a large learning rate, termed
‘balancing’, meaning that magnitudes of X and Y at the limit of GD iterations
will be close even if their initialization is signiﬁcantly unbalanced. Numerical
experiments are provided to support our theory."
INTRODUCTION,0.0015015015015015015,"1
INTRODUCTION"
INTRODUCTION,0.0022522522522522522,"Training machine learning models such as deep neural networks involves optimizing highly nonconvex
functions. Empirical results indicate an intimate connection between training algorithms and the
performance of trained models (Le et al., 2011; Bottou et al., 2018; Zhang et al., 2021; Soydaner,
2020; Zhou et al., 2020). Especially for widely used ﬁrst-order training algorithms (e.g., GD and
SGD), the learning rate is of essential importance and has received extensive focus from researchers
(Smith, 2017; Jastrzebski et al., 2017; Smith, 2018; Gotmare et al., 2018; Liu et al., 2019; Li & Arora,
2019). A recent perspective is that large learning rates often lead to improved testing performance
compared to the counterpart trained with small learning rates (Smith & Topin, 2019; Yue et al., 2020).
Towards explaining the better performance, a common belief is that large learning rates encourage
the algorithm to search for ﬂat minima, which often generalize better and are more robust than sharp
ones (Seong et al., 2018; Lewkowycz et al., 2020)."
INTRODUCTION,0.003003003003003003,"Despite abundant empirical observations, theoretical understandings of the beneﬁts of large learning
rate are still limited for non-convex functions, partly due to challenges in analysis. For example, the
convergence (of GD or SGD) under large learning rate is not guaranteed. Even for globally smooth
functions, very few general results exist if the learning rate exceeds certain threshold (Kong & Tao,
2020). Besides, popular regularity assumptions such as global smoothness for simpliﬁed analyses are
often absent in homogeneous models, including commonly used ReLU neural networks."
INTRODUCTION,0.0037537537537537537,This paper theoretically studies the beneﬁts of large learning rate in a matrix factorization problem
INTRODUCTION,0.0045045045045045045,"min
X,Y
1
2"
INTRODUCTION,0.005255255255255256,"A −XY ⊤2"
INTRODUCTION,0.006006006006006006,"F ,
where A ∈Rn×n, X, Y ∈Rn×d.
(1)"
INTRODUCTION,0.006756756756756757,"We consider Gradient Descent (GD) for solving (1): at the k-th iteration, we have"
INTRODUCTION,0.0075075075075075074,"Xk+1 = Xk + h(A −XkY ⊤
k )Yk
and
Yk+1 = Yk + h(A⊤−YkX⊤
k )Xk,"
INTRODUCTION,0.008258258258258258,"where h is the learning rate. Despite its simple formula, problem (1) serves as an important foundation
of a variety of problems, including matrix sensing (Chen & Wainwright, 2015; Bhojanapalli et al.,
2016; Tu et al., 2016), matrix completion (Keshavan et al., 2010; Hardt, 2014), and linear neural
networks (Ji & Telgarsky, 2018; Gunasekar et al., 2018)."
INTRODUCTION,0.009009009009009009,Published as a conference paper at ICLR 2022
