Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.004310344827586207,"Generalization analyses of deep learning typically assume that the training con-
verges to a fixed point. But, recent results indicate that in practice, the weights of
deep neural networks optimized with stochastic gradient descent often oscillate
indefinitely. To reduce this discrepancy between theory and practice, this paper
focuses on the generalization of neural networks whose training dynamics do not
necessarily converge to fixed points. Our main contribution is to propose a notion
of statistical algorithmic stability (SAS) that extends classical algorithmic stability
to non-convergent algorithms and to study its connection to generalization. This
ergodic-theoretic approach leads to new insights when compared to the traditional
optimization and learning theory perspectives. We prove that the stability of the
time-asymptotic behavior of a learning algorithm relates to its generalization and
empirically demonstrate how loss dynamics can provide clues to generalization
performance. Our findings provide evidence that networks that “train stably gener-
alize better” even when the training continues indefinitely and the weights do not
converge."
INTRODUCTION,0.008620689655172414,"1
Introduction"
INTRODUCTION,0.01293103448275862,"It is common practice that when the training loss of a neural networks converges close to some
value, the learning algorithm—typically some variant of Stochastic Gradient Descent (SGD)—is
terminated. Perhaps surprisingly, recent works indicate that the network function at termination time
is typically not a fixed point of the learning algorithm: if run longer, the gradient norm does not vanish
and the learning algorithm outputs functions with significantly different parameters [Cohen et al.,
2021, Zhang et al., 2022, Lobacheva et al., 2021]. This observation stands in contrast to common
generalization analyses that assume convergence of the training algorithm to a fixed point. It also
raises the question of when (and why) non-convergent learning algorithms should be expected to
generalize."
INTRODUCTION,0.017241379310344827,"Standard approaches for obtaining generalization bounds find ways to bound the complexity measure
of the function class expressible by a neural network in a data-independent e.g., [Vapnik, 1999,
Bartlett et al., 2017, Neyshabur et al., 2018, Golowich et al., 2018, Bartlett et al., 2019, Arora et al.,
2018] or data-dependent manner, e.g., [von Luxburg and Bousquet, 2004, Xu and Mannor, 2012,
Sokoli´c et al., 2017]. Nevertheless, even with recent technical improvements, by and large these"
INTRODUCTION,0.021551724137931036,"approaches do not explicitly account for the relationship between generalization and the dynamics of
the learning algorithm."
INTRODUCTION,0.02586206896551724,"A different approach to generalization analysis yields algorithm-dependent bounds by connecting the
generalization performance of the trained network to the stability of the training to data perturbations
[Bousquet and Elisseeff, 2002, Feldman and Vondrak, 2018, Kuzborskij and Lampert, 2018, Bousquet
et al., 2020, Zhang et al., 2021b, Rakhlin, 2006]. A key claim of these works has been that networks
that are trained fast generalize better. This claim, though intuitively meaningful, hinges on the premise
of a convergent algorithm, which deviates from the observed behavior of deep neural network training.
Further work has been done for settings where the algorithm provably converges to a fixed point, such
as two-layer overparameterized networks, deep linear networks, certain matrix factorizations, etc.
[Frei et al., 2019, Allen-Zhu et al., 2019, Soudry et al., 2018, Arora et al., 2019b, Gunasekar et al.,
2018, Haeffele and Vidal, 2015]. In a more general setting, Hardt et al. [2016] prove algorithmic
stability-based generalization bounds that worsen with increasing training time, whereas Loukas et al.
[2021] connect stable training dynamics near convergence under Dropout with good generalization.
For algorithms that do not converge (close) to a fixed point, the above analyses result in vacuous
bounds."
INTRODUCTION,0.03017241379310345,"Contributions. We start with the supposition that robustness of the learning algorithm’s fixed
points to small changes in the training set is not the mechanism underlying the good generalization
properties of deep networks. This is because, as is commonly known and many recent works indirectly
remark upon [Cohen et al., 2021, Ahn et al., 2022, Garipov et al., 2018, Zhang et al., 2022], training
can be linearly unstable: even if assuming the presence of isolated local minima that the learning
algorithm converges to, the weights encountered in training are not robust to small perturbations.
Small perturbations can accumulate over time leading to completely different orbits in weight space.
Yet, despite unstable dynamics, the generalization properties of two completely different fixed points
(e.g., obtained from two different random initializations or due to a different order of SGD updates)
are typically comparable."
INTRODUCTION,0.034482758620689655,"Our first contribution entails proposing a generalization of stability that applies to non-converging
algorithms. To achieve this, we depart from the typical optimization perspective of analyzing the
generalization properties of minima [Keskar et al., 2016, Ge et al., 2015, Sagun et al., 2016]. Instead,
we study the generalization performance of the learning algorithm on average (see section 2.2).
Adopting a statistical viewpoint, in Section 3 we define a new notion of statistical algorithmic
stability that measures the stability of this average performance to perturbations of the training data,
as opposed to stability of individual orbits in the weight space. Section 3 then proves upper bounds
for the average generalization error based on our new notion of statistical stability."
INTRODUCTION,0.03879310344827586,"We then move on to consider how statistical stability connects to the behavior of the loss function.
To this end, in Section 4 we provide conditions such that the spectral gap of a Markov operator
associated with the dynamics of the loss function is predictive of statistical algorithmic stability and
hence of generalization. Empirically, we estimate this spectral gap based on the rate of convergence
of ergodic averages of the loss function. We show via experiments that our estimate correlates with
generalization for image classification under corruption."
