Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.004878048780487805,"Survival analysis, also known as time-to-event analysis, is the problem to predict
the distribution of the time of the occurrence of an event. This problem has appli-
cations in various ﬁelds such as healthcare, security, and ﬁnance. While there have
been many neural network models proposed for survival analysis, none of them
are calibrated. This means that the average of the predicted distribution is different
from the actual distribution in the dataset. Therefore, X-CAL has recently been
proposed for the calibration, which is supposed to be used as a regularization term
in the loss function of a neural network. X-CAL is formulated on the basis of the
widely used deﬁnition of calibration for distribution regression. In this work, we
propose new calibration deﬁnitions for distribution regression and survival analy-
sis, and demonstrate a simpler alternative to X-CAL based on the new calibration
deﬁnition for survival analysis."
INTRODUCTION,0.00975609756097561,"1
INTRODUCTION"
INTRODUCTION,0.014634146341463415,"Survival analysis, also known as time-to-event analysis, is the problem to predict the time of the
occurrence of an event. In healthcare applications, the event typically corresponds to a death or the
onset of disease in a patient. The time between a well-deﬁned starting point and the occurrence of
the event is called the survival time or failure time. In survival analysis, we usually estimate the dis-
tribution of the survival times of patients. Survival analysis has important applications in healthcare
as well as various other ﬁelds (e.g., credit scoring (Dirick et al., 2017) and fraud detection (Zheng
et al., 2019)). The recent progress of prediction models for survival analysis has been summarized
in a survey paper (Wang et al., 2019)."
INTRODUCTION,0.01951219512195122,"In survival analysis, datasets are often censored, which means that events of interest might not be
observed for some instances. This may be due to either the limited observation time window or
missing traces caused by other irrelevant events. Typical censored data are right censored data.
These are the data points whose exact times of the events are unknown; we know only that the
events had not happened up to a certain time. In this paper, we focus on the uncensored data and the
right censored data, as shown in Figure 1. Here, the event for data point x1 is observed during the
period of study and hence this data is categorized as uncensored data. The data points x2 and x3 are
categorized as right censored data because we did not observe the events during the period of study.
The time between a well-deﬁned starting point and the last observation time (e.g., the time of the
end of study) is called the censoring time."
INTRODUCTION,0.024390243902439025,"One of the classical methods to solve the survival analysis problem is the Kaplan-Meier estima-
tor (Kaplan & Meier, 1958). This is a non-parametric method to estimate the distribution of the
survival times as a survival function S(t), where the value S(t∗) for a speciﬁc time t∗represents the
survival rate at time t∗(i.e., the ratio of the patients who survived at time t∗). It is easy to estimate
the survival function S(t) if the dataset contains only uncensored data points, but the Kaplan-Meier
estimator is designed to work for datasets that include censored data. Here, we brieﬂy explain the
algorithm of the Kaplan-Meier estimator. Let {ti}k
i=1 be the set of distinct times when at least one
uncensored event was observed in the dataset. Let di be the number of (uncensored) events that
happened exactly at time ti, and let ni be the number of data points that are known to have survived
at time ti. Then, the Kaplan-Meier estimator outputs the survival function"
INTRODUCTION,0.02926829268292683,"S(t) =
Y"
INTRODUCTION,0.03414634146341464,i:ti≤t
INTRODUCTION,0.03902439024390244,"
1 −di ni 
."
INTRODUCTION,0.04390243902439024,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.04878048780487805,"Start of study
End of study Time"
INTRODUCTION,0.05365853658536585,"x3
Right censored
×"
INTRODUCTION,0.05853658536585366,"x2
Right censored"
INTRODUCTION,0.06341463414634146,"x1
Uncensored
×"
INTRODUCTION,0.06829268292682927,"Figure 1: Uncensored data and right cen-
sored data, where the symbols × show event
occurrences."
INTRODUCTION,0.07317073170731707,"0
1000
2000
3000
4000
5000
Time 0.0 0.2 0.4 0.6 0.8 1.0"
INTRODUCTION,0.07804878048780488,Survival rate
INTRODUCTION,0.08292682926829269,Kaplan-Meier
INTRODUCTION,0.08780487804878048,"Figure 2: Survival function S(t) estimated
by the Kaplan-Meier estimator for the ﬂchain
dataset."
INTRODUCTION,0.09268292682926829,"Figure 2 shows an example of the survival function S(t) estimated by the Kaplan-Meier estimator
for the ﬂchain dataset (Dispenzieri et al., 2012). Here, we can see that the survival rate at time
t = 2500 is approximately 80%. Note that the true survival rate S(t) at t = ∞must be zero, but the
Kaplan-Meier estimator outputs the survival function S(t) only for time t ∈[0, tmax], where tmax
is the maximum survival time of the uncensored data points in a dataset. This is because we cannot
estimate the survival rate S(t) for the time t > tmax."
INTRODUCTION,0.0975609756097561,"A drawback of the Kaplan-Meier estimator is that it outputs a survival function S(t) for the entire
population and not for a speciﬁc patient. Therefore, there have been many algorithms to estimate
the survival rate S(t|x) for each patient x so as to enable personalized medicine (Wang et al.,
2019). In particular, many neural network models that predict the survival function S(t|x) have
been proposed (Lee et al., 2018; Ren et al., 2019; Zheng et al., 2019; Tjandra et al., 2021)."
CALIBRATION,0.1024390243902439,"1.1
CALIBRATION"
CALIBRATION,0.1073170731707317,"When we use a prediction model, it should be calibrated. In binary classiﬁcation, this means that
a prediction model that outputs a conﬁdence of a true label for an input is expected to satisfy the
condition that the average of the conﬁdence values over all inputs are equal to the ratio of the data
points with a true label in the dataset. For example, if a dataset contains 40% of the data points
with a true label, then we expect that a calibrated prediction model will output a conﬁdence of 0.4
on average. Even though calibration is important for prediction models, and neural network models
have been widely used for prediction models, (Guo et al., 2017) showed that neural network models
are often miscalibrated."
