Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0029069767441860465,"Vision-language navigation (VLN) requires an agent to execute actions following
human instructions. Existing VLN models are optimized through expert demon-
strations by supervised behavioural cloning or incorporating manual reward engi-
neering. While straightforward, these efforts overlook the accumulation of errors
in the Markov decision process, and struggle to match the distribution of the expert
policy. Going beyond this, we propose an Energy-based Navigation Policy (ENP)
to model the joint state-action distribution using an energy-based model. At each
step, low energy values correspond to the state-action pairs that the expert is most
likely to perform, and vice versa. Theoretically, the optimization objective is equiv-
alent to minimizing the forward divergence between the occupancy measure of the
expert and ours. Consequently, ENP learns to globally align with the expert policy
by maximizing the likelihood of the actions and modeling the dynamics of the
navigation states in a collaborative manner. With a variety of VLN architectures,
ENP achieves promising performances on R2R, REVERIE, RxR, and R2R-CE,
unleashing the power of existing VLN models."
INTRODUCTION,0.005813953488372093,"1
Introduction"
INTRODUCTION,0.00872093023255814,"Vision-language navigation (VLN) [1] entails an embodied agent that executes a sequence of actions
to traverse complex environments based on natural language instructions. VLN is typically considered
as a Partially Observable Markov Decision Process (POMDP) [2], where future states are determined
only by the current state and current action without explicit rewards. Therefore, the central challenge
for VLN is to learn an effective navigation policy. In this context, existing neural agents [1, 3, 4,
5, 6] are naturally constructed as data-driven policy networks by imitation learning (IL) [7] and
bootstrapping from expert demonstrations, i.e., ground-truth trajectories [1]."
INTRODUCTION,0.011627906976744186,"Most VLN models [1, 3, 8, 4, 5, 6] utilize behavioural cloning (BC), a classic approach for IL, through
supervised training. While conceptually simple, BC suffers seriously from quadratic accumulation
errors [9, 10] along the trajectory due to covariate shift, especially in partially observable settings.
Several efforts introduce ‘student-forcing’ [1, 11] and ‘pseudo interactive demonstrator’ [6], which
are essentially online versions of DAGGER [12], to alleviate this distribution mismatch. DAGGER
assumes interactive access to expert policies (i.e., the shortest path from current state to the goal2)
and reduces to linear expected errors [12, 10]. Some other studies [13, 3, 8, 4, 5] combine reinforce-
ment learning (RL) [14] and IL algorithms to mitigate the limitations of BC. Though effective, it
presents challenges in designing an optimal reward function [15] and demands careful manual reward
engineering. Such reward functions may not be robust to changes in the environment dynamics and"
INTRODUCTION,0.014534883720930232,"∗Corresponding author: Yi Yang.
2These approaches require a slightly more interactive setting than traditional imitation learning, allowing
the learner to query the expert at any navigation state during training. Previous studies [1, 6] have adopted this
setting, and this assume is feasible for many real-world imitation learning tasks [12]."
INTRODUCTION,0.01744186046511628,Turn right and walk through the kitchen. Go right into the living room.
INTRODUCTION,0.020348837209302327,"Discriminative 
Action Classifier"
INTRODUCTION,0.023255813953488372,Behavioural Cloning state
INTRODUCTION,0.02616279069767442,"Expert Demonstration
Navigable Waypoint 
Current Waypoint"
INTRODUCTION,0.029069767441860465,Agent Action
INTRODUCTION,0.03197674418604651,Next Step state
INTRODUCTION,0.03488372093023256,energy
INTRODUCTION,0.0377906976744186,Low --> High
INTRODUCTION,0.040697674418604654,Energy-based Navigation Policy
INTRODUCTION,0.0436046511627907,"P(action|state)
Conditional Distribution"
INTRODUCTION,0.046511627906976744,Joint Distribution
INTRODUCTION,0.04941860465116279,"P(state,action)"
INTRODUCTION,0.05232558139534884,Energy-based Model
INTRODUCTION,0.055232558139534885,"Figure 1: Comparison of behavioural cloning (BC) and ENP for VLN. Previous methods use BC to optimize the
conditional action distribution directly. ENP models the joint state-action distribution through an energy-based
model. The low energy values correspond to the state-action pairs that the expert is most likely to perform."
