Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0010362694300518134,"The recent integration of spiking neurons into graph neural networks has been
1"
ABSTRACT,0.002072538860103627,"gaining much attraction due to its superior energy efficiency. Especially because
2"
ABSTRACT,0.0031088082901554403,"the irregular connection among graph nodes fits the nature of the spiking neural
3"
ABSTRACT,0.004145077720207254,"networks, spiking graph neural networks are considered strong alternatives to
4"
ABSTRACT,0.0051813471502590676,"vanilla graph neural networks. However, there is still a large performance gap for
5"
ABSTRACT,0.0062176165803108805,"graph tasks between the spiking neural networks and artificial neural networks. The
6"
ABSTRACT,0.007253886010362694,"gaps are especially large when they are adapted to graph classification tasks, where
7"
ABSTRACT,0.008290155440414507,"none of the nodes in the testset graphs are connected to the training set graphs. We
8"
ABSTRACT,0.00932642487046632,"diagnose the problem as the existence of neurons under starvation, caused by the
9"
ABSTRACT,0.010362694300518135,"irregular connections among the nodes and the neurons. To alleviate the problem,
10"
ABSTRACT,0.011398963730569948,"we propose TAS-GNN. Based on a set of observations on spiking neurons on
11"
ABSTRACT,0.012435233160621761,"graph classification tasks, we devise several techniques to utilize more neurons to
12"
ABSTRACT,0.013471502590673576,"deliver meaningful information to the connected neurons. Experiments on diverse
13"
ABSTRACT,0.014507772020725389,"datasets show up to 27.20% improvement, demonstrating the effectiveness of the
14"
ABSTRACT,0.015544041450777202,"TAS-GNN.
15"
INTRODUCTION,0.016580310880829015,"1
Introduction
16"
INTRODUCTION,0.017616580310880828,"Graph neural networks (GNNs) are types of popular neural networks to learn the representations from
17"
INTRODUCTION,0.01865284974093264,"graphs, which comprise multiple nodes and edges between them. Because of their flexibility to model
18"
INTRODUCTION,0.019689119170984457,"any kind of connection existing in nature, it has various applications ranging from drug discovery [6,
19"
INTRODUCTION,0.02072538860103627,"47, 9], social influence prediction [39, 2], traffic forecasting [3, 7], and recommendation systems [38,
20"
INTRODUCTION,0.021761658031088083,"15, 61]. One known challenge of GNNs is their sparse memory and computational pattern. Because
21"
INTRODUCTION,0.022797927461139896,"many messages are passed between randomly connected nodes, there is a significant inefficiency in
22"
INTRODUCTION,0.02383419689119171,"processing them with conventional systems [53, 58, 57, 19].
23"
INTRODUCTION,0.024870466321243522,"To address the inefficiency, spiking neural networks (SNNs) are considered strong alternatives.
24"
INTRODUCTION,0.025906735751295335,"Inspired by the way biological behavior of brains, SNNs process information by communicating
25"
INTRODUCTION,0.02694300518134715,"binary spikes between the neurons. Because SNNs utilize intermittently occurring spikes, they have
26"
INTRODUCTION,0.027979274611398965,"superior energy efficiency, especially for the domain of GNNs [1].
27"
INTRODUCTION,0.029015544041450778,"Although the spiking graph neural network (SGNN) has been recently studied by many researchers [32,
28"
INTRODUCTION,0.03005181347150259,"64, 48], we find that its performance experiences a huge drop when adapted to graph classification,
29"
INTRODUCTION,0.031088082901554404,"compared to that of the conventional GNNs implemented with artificial neural networks (ANNs).
30"
INTRODUCTION,0.03212435233160622,"Upon closer analysis of the performance degradation, we identify spike frequency deviation of the
31"
INTRODUCTION,0.03316062176165803,"neurons within the model. In our investigation, many neurons experience starvation, which do not
32"
INTRODUCTION,0.03419689119170984,"emit any spike during the inference. This leads to severe information loss, due to being unable to
33"
INTRODUCTION,0.035233160621761656,"deliver signals to the subsequent neurons.
34"
INTRODUCTION,0.03626943005181347,"Such a problem was less exposed in previous spiking GNNs. This is because the testset nodes are
35"
INTRODUCTION,0.03730569948186528,"available during the training time (transductive learning [27]) or they are part of the training graph
36"
INTRODUCTION,0.0383419689119171,"(inductive learning [21]). In such settings, the model could be trained to mitigate the performance
37"
INTRODUCTION,0.039378238341968914,"drop. However, in graph classification tasks, the graphs are independent of each other, and the testset
38"
