Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.003676470588235294,"Physics-inspired neural networks (NNs), such as Hamiltonian or Lagrangian NNs,
dramatically outperform other learned dynamics models by leveraging strong in-
ductive biases. These models, however, are challenging to apply to many real
world systems, such as those that don’t conserve energy or contain contacts, a
common setting for robotics and reinforcement learning. In this paper, we exam-
ine the inductive biases that make physics-inspired models successful in practice.
We show that, contrary to conventional wisdom, the improved generalization of
HNNs is the result of modeling acceleration directly and avoiding artiﬁcial com-
plexity from the coordinate system, rather than symplectic structure or energy con-
servation. We show that by relaxing the inductive biases of these models, we can
match or exceed performance on energy-conserving systems while dramatically
improving performance on practical, non-conservative systems. We extend this
approach to constructing transition models for common Mujoco environments,
showing that our model can appropriately balance inductive biases with the ﬂexi-
bility required for model-based control. 25% 50% 75% 100%"
ABSTRACT,0.007352941176470588,Performance
ABSTRACT,0.011029411764705883,+ ODE Bias
ABSTRACT,0.014705882352941176,+ Second-Order Bias
ABSTRACT,0.01838235294117647,+ Symplectic Bias
ABSTRACT,0.022058823529411766,Hamiltonian NN
ABSTRACT,0.025735294117647058,Expectation 25% 50% 75% 100%
ABSTRACT,0.029411764705882353,Performance
ABSTRACT,0.03308823529411765,+ ODE Bias
ABSTRACT,0.03676470588235294,+ Second-Order Bias
ABSTRACT,0.04044117647058824,+ Symplectic Bias
ABSTRACT,0.04411764705882353,Hamiltonian NN
ABSTRACT,0.04779411764705882,Reality
ABSTRACT,0.051470588235294115,"Figure 1: The common perception in physics-informed machine learning is that increased perfor-
mance is the result of complex biases. We ﬁnd, however, that simpler implicit biases (such as
second-order structure) often account for almost all of the improvement over baselines."
INTRODUCTION,0.05514705882352941,"1
INTRODUCTION"
INTRODUCTION,0.058823529411764705,"The inductive biases of convolutional neural networks, such as translation equivariance, locality,
and parameter sharing, play a key role in their generalization properties. Other biases have similarly
guided the development of deep models for other domains like graphs and point clouds. Yet since
models often encode multiple biases simultaneously, it can be challenging to identify how each
contributes to generalization in isolation. By understanding which inductive biases are essential, and
which are merely ancillary, we can simplify our models, and improve performance. For example,
Wu et al. (2019) demonstrate that Graph Convolutional Networks can be radically simpliﬁed to mere
logistic regression by removing nonlinearities, leading to dramatic gains in computational efﬁciency,
while retaining comparable accuracy."
INTRODUCTION,0.0625,"Hamiltonian Neural Networks (HNNs) (Greydanus et al., 2019) have emerged as a leading approach
for modeling dynamical systems. These dynamics models encode physical priors and outperform
alternative Neural ODE approaches (Chen et al., 2018). In the spirit of Wu et al. (2019), we seek to
identify the critical components of HNNs. Since Lagrangian models (LNNs) (Lutter et al., 2019a;"
INTRODUCTION,0.0661764705882353,Published as a conference paper at ICLR 2022
INTRODUCTION,0.06985294117647059,"Cranmer et al., 2020) share the same structure and inductive biases as HNNs, we focus on HNNs
where energy conservation and symplecticity are more explicit."
INTRODUCTION,0.07352941176470588,HNNs encode a number of inductive biases that help model physical systems:
INTRODUCTION,0.07720588235294118,"1. ODE bias: HNNs model derivatives of the state rather than the states directly.
2. Second-order (SO) bias: HNNs model changes in position through changes in velocity.
3. Energy conservation bias: HNNs conserve their learned energy function.
4. Symplectic bias: HNNs dynamics are symplectic: phase space areas are conserved, and
the vector ﬁeld has a Hamiltonian structure."
INTRODUCTION,0.08088235294117647,"In this paper we theoretically and empirically examine the role of these biases. In contrast to conven-
tional wisdom, we ﬁnd that the generalization beneﬁt of HNNs is not explained by their symplectic
or energy-conserving properties, but rather by their implicit second-order bias. We highlight these
ﬁndings in Figure 1. Abstracting and extracting out this second-order bias, we show how to improve
the performance of Neural ODEs, empowering applications when HNNs assumptions are violated as
is often the case. Code for our experiments can be found at: https://github.com/ngruver/decon-hnn."
RELATED WORK,0.08455882352941177,"2
RELATED WORK"
