Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.002150537634408602,"Diffusion-based generative models have exhibited remarkable capability in the
1"
ABSTRACT,0.004301075268817204,"production of high-fidelity visual content such as images and videos. However,
2"
ABSTRACT,0.0064516129032258064,"their performance is significantly contingent upon the quality of textual inputs,
3"
ABSTRACT,0.008602150537634409,"commonly referred to as ""prompts"". The process of traditional prompt engineering,
4"
ABSTRACT,0.010752688172043012,"while effective, necessitates empirical expertise and poses challenges for inexpe-
5"
ABSTRACT,0.012903225806451613,"rienced users. In this paper, we introduce PromptCoT, an innovative enhancer
6"
ABSTRACT,0.015053763440860216,"that autonomously refines prompts for users. The design of PromptCoT is based
7"
ABSTRACT,0.017204301075268817,"on the observation that, prompts resembling textual information corresponding to
8"
ABSTRACT,0.01935483870967742,"high-quality images within the training set tend to yield superior generation perfor-
9"
ABSTRACT,0.021505376344086023,"mance. As such, we fine-tune the pre-trained Large Language Models (LLM) using
10"
ABSTRACT,0.023655913978494623,"a curated text dataset comprising solely of high-quality visual content descriptions.
11"
ABSTRACT,0.025806451612903226,"By doing so, the LLM becomes capable of capturing the distribution of high-quality
12"
ABSTRACT,0.02795698924731183,"training texts, enabling it to generate aligned continuations and revisions to boost
13"
ABSTRACT,0.030107526881720432,"the original texts. Nonetheless, one drawback of pre-trained LLMs is their tendency
14"
ABSTRACT,0.03225806451612903,"to generate extraneous or irrelevant information. To enhance the alignment between
15"
ABSTRACT,0.034408602150537634,"the original text prompts and the refined counterparts, we leverage the Chain-of-
16"
ABSTRACT,0.03655913978494624,"Thought (CoT) mechanism. CoT can extract and amalgamate crucial information
17"
ABSTRACT,0.03870967741935484,"from the aligned continuation and revision, enabling reasonable inferences based
18"
ABSTRACT,0.04086021505376344,"on the contextual cues to produce a more comprehensive and nuanced final output.
19"
ABSTRACT,0.043010752688172046,"Considering computational efficiency, instead of allocating a dedicated LLM for
20"
ABSTRACT,0.04516129032258064,"prompt enhancement to each individual model or dataset, we integrate adapters
21"
ABSTRACT,0.047311827956989246,"that facilitate dataset-specific adaptation, leveraging a shared pre-trained LLM as
22"
ABSTRACT,0.04946236559139785,"the foundation for this process. By fine-tuning these adapters independently, we
23"
ABSTRACT,0.05161290322580645,"can adapt PromptCoT to new datasets with minimal increase in training cost and
24"
ABSTRACT,0.053763440860215055,"memory usage. We assess the performance of PromptCoT on widely-used latent
25"
ABSTRACT,0.05591397849462366,"diffusion models for image and video generation to validate the effectiveness. The
26"
ABSTRACT,0.05806451612903226,"results demonstrate significant improvements in key performance metrics.
27"
INTRODUCTION,0.060215053763440864,"1
Introduction
28"
INTRODUCTION,0.06236559139784946,"In recent years, deep generative models have made notable advancements, specifically with the
29"
INTRODUCTION,0.06451612903225806,"introduction of diffusion probabilistic models (DPMs). These models have exhibited exceptional
30"
INTRODUCTION,0.06666666666666667,"capabilities in generating a wide range of visually compelling and high-fidelity visual contents, such
31"
INTRODUCTION,0.06881720430107527,"as images and videos, as evidenced by notable contributions in the literature [37, 12, 38, 36, 7, 28,
32"
INTRODUCTION,0.07096774193548387,"32, 30].
33"
INTRODUCTION,0.07311827956989247,"By harnessing textual inputs as conditional guidance, diffusion models have the ability to generate
34"
INTRODUCTION,0.07526881720430108,"visual outputs that align with the corresponding input text, utilizing an iterative denoising procedure.
35"
INTRODUCTION,0.07741935483870968,"This technological advancement has paved the way for revolutionary applications, including notable
36"
INTRODUCTION,0.07956989247311828,"examples such as DALL-E 2 [28], Stable Diffusion [30], MagicVideo [50], among others.
37"
INTRODUCTION,0.08172043010752689,"(a)
(b)
(c)
(d)"
INTRODUCTION,0.08387096774193549,"Figure 1: Impacts of PromptCoT. (a) and (c) shows the images generated with the original text
prompts, and (b) and (d) show the images generated with the text prompts refined by PromptCoT.
The text prompt for (a), (b), (c) and (d) are: 1) ""highly detailed portrait of a hopeful pretty astronaut
lady with a wavy blonde hair, by Jamini Roy , 4k resolution, nier:automata inspired, bravely default
inspired, vibrant but dreary but uplifting red, black and white color scheme!!! ((Space nebula
background))"" ; 2) ""Astronaut portrait of Silica from the game Bravely Default II by Jamini Roy"",
and 3) ""highly detailed portrait of a hopeful pretty astronaut lady with a wavy blonde hair, by Pablo
Picasso, 4k resolution, nier:automata inspired, bravely default inspired, vibrant but dreary but uplifting
red, black and white color scheme!!! ((Space nebula background))"",and 4)""Portrait Of A Beautiful
Astronaut Girl Canvas Art Print"" respectively."
INTRODUCTION,0.08602150537634409,"Nevertheless, the quality of the generated content is intricately tied to the caliber of the textual
38"
INTRODUCTION,0.08817204301075268,"prompts provided to the generative model. Human inputs tend to be informal and straightforward,
39"
INTRODUCTION,0.09032258064516129,"which may impede the expression of the desired scene with the desired level of depth. Additionally,
40"
INTRODUCTION,0.09247311827956989,"the text encoder within the generative model may not fully comprehend the semantic nuances present
41"
INTRODUCTION,0.09462365591397849,"in the human-generated text, resulting in notable disparities between the encoded textual guidance
42"
INTRODUCTION,0.0967741935483871,"and the user’s intended meaning. Diffusion probabilistic models (DPMs) are commonly trained on
43"
INTRODUCTION,0.0989247311827957,"extensive text-vision pairs acquired through web-scraping techniques [35]. Our observation reveals
44"
INTRODUCTION,0.1010752688172043,"that the distribution of the text dataset might not be congruent with the linguistic style employed by
45"
INTRODUCTION,0.1032258064516129,"layman users. Furthermore, even in cases where the training text data aligns with the desired style,
46"
INTRODUCTION,0.1053763440860215,"the quality can exhibit substantial variations due to the presence of meaningless words or extraneous
47"
INTRODUCTION,0.10752688172043011,"information within the text data. This intricacy further complicates the establishment of a clear and
48"
INTRODUCTION,0.10967741935483871,"unambiguous mapping between the text and the corresponding image.
49"
INTRODUCTION,0.11182795698924732,"As a result, there is an immediate imperative to develop a methodology that can effectively align
50"
INTRODUCTION,0.11397849462365592,"prompts, consequently augmenting the image generation performance in generative models. Although
51"
INTRODUCTION,0.11612903225806452,"data cleaning and model fine-tuning have been considered potential solutions, these methods often
52"
INTRODUCTION,0.11827956989247312,"entail drawbacks such as high costs, instability, and time intensiveness. Another alternative is manual
53"
INTRODUCTION,0.12043010752688173,"prompt engineering, which involves refining prompts to optimize generation performance. However,
54"
INTRODUCTION,0.12258064516129032,"this empirical task traditionally demands the expertise of experienced professionals, thereby posing a
55"
INTRODUCTION,0.12473118279569892,"significant challenge for individuals lacking relevant experience.
56"
INTRODUCTION,0.12688172043010754,"In our study, we observe a noticeable trend that prompts, which resemble those found in the training
57"
INTRODUCTION,0.12903225806451613,"set, usually lead to superior generative performance. Stemming from this observation, we propose
58"
INTRODUCTION,0.13118279569892474,"PromptCoT, a novel prompt booster that leverages the power of pre-trained Large Language Models
59"
INTRODUCTION,0.13333333333333333,"(LLMs) and incorporates the Chain-of-Thought (CoT) mechanism to learn high-quality prompt
60"
INTRODUCTION,0.13548387096774195,"expressions from the training texts of generative models. Specifically, we carry out the fine-tuning
61"
INTRODUCTION,0.13763440860215054,"of LLaMA [40], a widely-used pre-trained Large Language Model, on two distinct datasets we’ve
62"
INTRODUCTION,0.13978494623655913,"prepared. With a text-continuation dataset that appends aligned details to original prompts, and a
63"
INTRODUCTION,0.14193548387096774,"text-revision dataset that rewrites original prompts to aligned prompts, we enable LLaMA to refine
64"
INTRODUCTION,0.14408602150537633,"prompts that better match the distribution of the text data used for training the diffusion models. To
65"
INTRODUCTION,0.14623655913978495,"further enhance the performance of LLMs by combining the advantages of both text-continuation
66"
INTRODUCTION,0.14838709677419354,"and text-revision, we construct a dataset using the CoT mechanism assisted by ChatGPT. This CoT
67"
INTRODUCTION,0.15053763440860216,"dataset is designed to enable LLMs to reason and generate text that follows a logical and coherent
68"
INTRODUCTION,0.15268817204301074,"flow. By fine-tuning LLMs on this CoT dataset, we can enhance their reasoning ability and augments
69"
INTRODUCTION,0.15483870967741936,"their capacity to generate high-quality text that is both contextually relevant and logically coherent.
70"
INTRODUCTION,0.15698924731182795,"To accommodate the varying training sets of different generative models, we incorporate a parameter-
71"
INTRODUCTION,0.15913978494623657,"efficient adaptation design into the training pipeline of PromptCoT, augmenting a pre-trained base
72"
INTRODUCTION,0.16129032258064516,"booster with specific lightweight adapters that are capable of aligning text distributions for various
73"
INTRODUCTION,0.16344086021505377,"generative models across multiple tasks. We demonstrate the effectiveness of PromptCoT through
74"
INTRODUCTION,0.16559139784946236,"extensive experiments on widely-used latent diffusion models for image and video generation,
75"
INTRODUCTION,0.16774193548387098,"showing significant improvements in key performance metrics such as Fréchet Inception Distance,
76"
INTRODUCTION,0.16989247311827957,"aesthetic score, and CLIP-similarity.
77"
INTRODUCTION,0.17204301075268819,"Our main contributions are:
78"
INTRODUCTION,0.17419354838709677,"• We propose PromptCoT, an innovative prompt refiner that aligns input prompts with the text
79"
INTRODUCTION,0.17634408602150536,"distribution employed during the training of diffusion models. By accomplishing this alignment,
80"
INTRODUCTION,0.17849462365591398,"PromptCoT effectively activates generative models and enhances their performance.
81"
INTRODUCTION,0.18064516129032257,"• We explore a new optimization scheme for improving prompt quality by leveraging the power
82"
INTRODUCTION,0.1827956989247312,"of pre-trained LLMs and CoT mechanisms. And we construct datasets to facilitate the learning of
83"
INTRODUCTION,0.18494623655913978,"high-quality prompt distribution from the training texts of generative models.
84"
INTRODUCTION,0.1870967741935484,"• We demonstrate that allocating a dedicated Large Language Model (LLM) for each diffusion
85"
INTRODUCTION,0.18924731182795698,"model is not a requirement. Instead, we propose an innovative scheme where a set of lightweight
86"
INTRODUCTION,0.1913978494623656,"adapter weights suffices for each dedicated diffusion model. These adapters can share a shared base
87"
INTRODUCTION,0.1935483870967742,"pre-trained LLM, resulting in a considerable reduction in memory footprint.
88"
INTRODUCTION,0.1956989247311828,"• We show the effectiveness of PromptCoT through extensive experiments on widely-used latent dif-
89"
INTRODUCTION,0.1978494623655914,"fusion models for image and video generation, showing significant improvements in key performance
90"
INTRODUCTION,0.2,"metrics.
91"
RELATED WORK,0.2021505376344086,"2
Related Work
92"
TEXT-TO-IMAGE GENERATIVE MODELS,0.20430107526881722,"2.1
Text-to-Image Generative Models
93"
TEXT-TO-IMAGE GENERATIVE MODELS,0.2064516129032258,"Text-to-Image Generative Models operate by taking natural language descriptions as input and
94"
TEXT-TO-IMAGE GENERATIVE MODELS,0.2086021505376344,"generating corresponding images as output. One of the recent popular model is DALL·E 2 [29].
95"
TEXT-TO-IMAGE GENERATIVE MODELS,0.210752688172043,"It utilize CLIP [26] to align the text and image embeddings. By conditioning the diffusion prob-
96"
TEXT-TO-IMAGE GENERATIVE MODELS,0.2129032258064516,"abilistic generator on the textual embedding, DALL·E 2 is able to produce photorealistic images
97"
TEXT-TO-IMAGE GENERATIVE MODELS,0.21505376344086022,"that correspond to the given textual description. Later, Google’s Imagen [32] and Parti [46] were
98"
TEXT-TO-IMAGE GENERATIVE MODELS,0.2172043010752688,"proposed by gradually simulating the spread of noise into the original image to reveal the desired
99"
TEXT-TO-IMAGE GENERATIVE MODELS,0.21935483870967742,"image. Specifically, both Parti and Imagen combine autoregressive and diffusion. The application
100"
TEXT-TO-IMAGE GENERATIVE MODELS,0.221505376344086,"of diffusion probabilistic models has also been extended to the domain of video generation. The
101"
TEXT-TO-IMAGE GENERATIVE MODELS,0.22365591397849463,"Video Diffusion Model [13], built upon the foundations of diffusion models, enables the sequential
102"
TEXT-TO-IMAGE GENERATIVE MODELS,0.22580645161290322,"generation of high-quality video frames. To address the substantial computational requirements
103"
TEXT-TO-IMAGE GENERATIVE MODELS,0.22795698924731184,"associated with video generation, MagicVideo [51] was introduced, combining latent diffusion and
104"
TEXT-TO-IMAGE GENERATIVE MODELS,0.23010752688172043,"attention models. MagicVideo utilizes a frame-wise lightweight adapter and an attention module to
105"
TEXT-TO-IMAGE GENERATIVE MODELS,0.23225806451612904,"effectively adjust the image-to-video distribution and capture temporal dependencies across frames.
106"
LARGE LANGUAGE MODELS,0.23440860215053763,"2.2
Large Language Models
107"
LARGE LANGUAGE MODELS,0.23655913978494625,"Large Language Models (LLMs) are powerful deep learning models for various natural language
108"
LARGE LANGUAGE MODELS,0.23870967741935484,"processing tasks. The most popular LLMs are the GPT [27, 5] series models developed by OpenAI,
109"
LARGE LANGUAGE MODELS,0.24086021505376345,"which are based on the decoder component of the transformer architecture. Another LLM is Meta’s
110"
LARGE LANGUAGE MODELS,0.24301075268817204,"OPT [49], which is open-sourced and performs similarly in performance to GPT-3. However, GPT-3’s
111"
LARGE LANGUAGE MODELS,0.24516129032258063,"massive size of 175B parameters requires significant computing power and resources, which makes
112"
LARGE LANGUAGE MODELS,0.24731182795698925,"it challenging for researchers to explore. In contrast, LLaMA [40, 41], StableLM [2], as well as
113"
LARGE LANGUAGE MODELS,0.24946236559139784,"the instruction-following Alpaca model [39] are smaller and more performant, achieve comparable
114"
LARGE LANGUAGE MODELS,0.25161290322580643,"results to ChatGPT with far fewer parameters (7B). For specific tasks like conversational applications,
115"
LARGE LANGUAGE MODELS,0.2537634408602151,"ChatGLM [47, 9] can generate coherent and contextually relevant responses in dialogue systems.
116"
PARAMETER-EFFICIENT FINE-TUNING,0.25591397849462366,"2.3
Parameter-Efficient Fine-Tuning
117"
PARAMETER-EFFICIENT FINE-TUNING,0.25806451612903225,"The goal of parameter-efficient fine-tuning is to attain comparable performance to fine-tuning on a
118"
PARAMETER-EFFICIENT FINE-TUNING,0.26021505376344084,"specific downstream task while using the fewest trainable parameters possible. According to [1],
119"
PARAMETER-EFFICIENT FINE-TUNING,0.2623655913978495,"common pre-trained models generally have a very low intrinsic dimension, and LoRA [15] learns
120"
PARAMETER-EFFICIENT FINE-TUNING,0.2645161290322581,"low-rank parameterizations to enhance tuning efficiency based on that. Except reducing the number
121"
PARAMETER-EFFICIENT FINE-TUNING,0.26666666666666666,"of parameters needed for fine-tuning, other approaches try to attach pre-trained parameters to reduce
122"
PARAMETER-EFFICIENT FINE-TUNING,0.26881720430107525,"training time. Adapter training [14, 24] utilizes dynamic pre-trained adapters for different tasks and
123"
PARAMETER-EFFICIENT FINE-TUNING,0.2709677419354839,"languages to reduce adaptation time. Compacter [21] combines both concepts and builds on top of
124"
PARAMETER-EFFICIENT FINE-TUNING,0.2731182795698925,"adapters, low-rank optimization, and parameterized hypercomplex multiplication layers.
125"
PROMPT ENGINEERING,0.2752688172043011,"2.4
Prompt Engineering
126"
PROMPT ENGINEERING,0.27741935483870966,"Prompt Engineering is to optimize the outputs of language models with specific input prompts
127"
PROMPT ENGINEERING,0.27956989247311825,"[4, 33, 20, 8]. Discrete text prompts [16] serve as starting points for the model’s language generation,
128"
PROMPT ENGINEERING,0.2817204301075269,"and are used to generate responses in dialogue systems. Beyond discrete prompts, [17, 43] explores
129"
PROMPT ENGINEERING,0.2838709677419355,"prompt tuning to learn soft prompts to perform specific downstream tasks, which provide more
130"
PROMPT ENGINEERING,0.2860215053763441,"context-aware guidance to the model. [25] extends the idea of learning soft prompts and demonstrates
131"
PROMPT ENGINEERING,0.28817204301075267,"that the implicit factual knowledge in language models was underestimated. Given that manually
132"
PROMPT ENGINEERING,0.2903225806451613,"designing prompts can be cumbersome, automatically generating prompts gives a chance avoid
133"
PROMPT ENGINEERING,0.2924731182795699,"intensive labor and enhance efficiency [33, 34]. [10] proposes to generate all prompt candidates
134"
PROMPT ENGINEERING,0.2946236559139785,"and selectively incorporate them into each context using a refined strategy. [11] introduces a more
135"
PROMPT ENGINEERING,0.2967741935483871,"efficient method to construct prompts with several sub-prompts that employs prompt tuning with
136"
PROMPT ENGINEERING,0.2989247311827957,"rules without searching. Overall, prompt engineering is an efficient approach that helps bridge the
137"
PROMPT ENGINEERING,0.3010752688172043,"gap between pre-training and fine-tuning.
138"
CHAIN-OF-THOUGHT,0.3032258064516129,"2.5
Chain-of-Thought
139"
CHAIN-OF-THOUGHT,0.3053763440860215,"Chain-of-Thought is a specialized tool designed for the task of multi-step reasoning and decision-
140"
CHAIN-OF-THOUGHT,0.30752688172043013,"making [44]. The traditional prompting method [4] performs poorly when it comes to tasks that
141"
CHAIN-OF-THOUGHT,0.3096774193548387,"require reasoning abilities. Inspired by the concept of using intermediate steps to solve reasoning
142"
