Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0033003300330033004,"Graph neural networks (GNNs) with a rescale invariance, such as GATs, can
be re-parameterized during optimization through dynamic rescaling of network
parameters and gradients while keeping the loss invariant. In this work, we explore
dynamic rescaling as a tool to influence GNN training dynamics in two key ways: i)
balancing the network with respect to various criteria, and ii) controlling the relative
learning speeds of different layers. We gain novel insights, unique to GNNs, that
reveal distinct training modes for different tasks. For heterophilic graphs, achieving
balance based on relative gradients leads to faster training and better generalization.
In contrast, homophilic graphs benefit from delaying the learning of later layers.
Additionally, we show that training in balance supports larger learning rates, which
can improve generalization. Moreover, controlling layer-wise training speeds is
linked to grokking-like phenomena, which may be of independent interest."
ABSTRACT,0.006600660066006601,"Deep neural networks (DNNs) with positively homogeneous non-linear activation functions such as
ReLU exhibit the rescale invariance property [31], i.e. scaling down incoming weights to a neuron
and scaling up the outgoing weights from the neuron by the same factor does not alter the function
represented by the network."
ABSTRACT,0.009900990099009901,"Under gradient flow that assumes an infinitesimally small learning rate, this rescale symmetry induces
the conservation of a relationship between network parameters and gradients, determined by the initial
state [8]. More specifically, it is known that for traditional DNNs and convolutional neural networks
(CNNs) with homogenous activation functions such as ReLUs, the difference between the squared
L2-norms of incoming and outgoing parameters to a neuron stays constant (and is thus conserved).
When this conserved quantity is (nearly) zero, the network is said to be in a balanced state. Training
DNNs is generally considered well-conditioned by a balanced state of this conservation law."
ABSTRACT,0.013201320132013201,"In the context of Graph Neural Networks (GNNs), the first work presenting insights regarding norm
balance derives the conservation law for GATs [2] and demonstrates how a balanced initialization
enhances the trainability of GATs, particularly deeper networks [28]. This balanced state that would
hold under gradient flow could potentially be beneficial throughout training. However, in practice,
factors that drive optimization such as finite learning rates, momentum, weight decay, and batch
stochasticity break the rescale (and other) symmetries [15] and consequent conserved quantities,
causing the network to topple out of balance due to which training conditions may deteriorate."
ABSTRACT,0.0165016501650165,"Motivated by the positive outcomes of training a model balanced at initialization, we utilize the
identified rescale invariance of GATs [28] to further investigate the effects of maintaining this balance
throughout training rather than only at initialization, by dynamic rescaling, i.e. scaling network
parameters at the neuron level during training in a loss-invariant manner. To this end, we derive a
general procedure to balance a GAT network, not necessarily only w.r.t. parameter weight norms, but
any criterion that is a function of network parameters and gradients. More specifically, we propose a
novel criterion based on relative gradients of network parameters and demonstrate that this criterion,
or a combination of both criteria, often offers practical gains in terms of training speedup or better
generalization."
ABSTRACT,0.019801980198019802,"The implications of the core concept of dynamic rescaling extends beyond training in balance. For
example, it enables arbitrary control of the order in which network layers learn during training. This
can be viewed as inducing an imbalanced state in the network that may be desirable in some cases [16].
Based on the experimental exploration of our methodological ideas, we draw various novel insights
into how dynamic rescaling can potentially be leveraged. Firstly, specifically regarding graph learning,
we discover potential trends of optimal learning dynamics for homophily and heterophily. We observe
that, in terms of training speed and generalization, training all network layers in balance tends to be
more beneficial for heterophilic than homophilic graphs. On the contrary, homophilic graphs tend to
benefit from more focused learning in the first (earlier) layers. Secondly, we hypothesize that larger
learning rates that tend to increasingly disrupt network balance can be better supported by dynamic
rebalancing of the network in improving generalization. Thirdly, we encounter other interesting
phenomena similar to grokking [33] that we relate to our insight on layer learning order."
ABSTRACT,0.0231023102310231,"This work is also motivated by earlier studies on deep feedforward non-linear neural networks
that exploit rescale invariance, using transformations respecting loss-invariant symmetry to teleport
parameters to another point in the loss landscape with steeper gradients to improve optimization [46]
and/or convergence rate guarantees [47]. To the best of our knowledge, we are the first to conduct an
initial exploration of these ideas on GNNs, where identifying and exploiting the rescale invariance
is not as straightforward, due to their peculiar architectural design elements such as node-wise
neighborhood aggregation that make identifying the corresponding rescale invariances challenging.
Thus, this largely remains unexplored territory for GNNs and our understanding of the underlying
gradient dynamics in GNNs lags in comparison to DNNs. Rather than proposing a one-size-fits-all
solution or achieving state-of-the-art performance, this paper aims to contribute insights into GNN
learning dynamics."
ABSTRACT,0.026402640264026403,"In summary, our contributions are as follows:"
ABSTRACT,0.0297029702970297,"1. We prove that, given a GNN exhibits a rescale invariance (like GCNs or GATs), we can
manipulate gradient norms while leaving the GNN and the loss invariant and thus influence
the learning dynamics during optimization.
2. We derive the procedure to balance a GAT network w.r.t. any criterion that is a function of
network parameters and gradients by dynamic rescaling.
3. We suggest a novel criterion for balancing based on relative gradients and find it to be
promising for improving generalization and training speed in practical settings.
4. We explore our conceptual ideas empirically and find promising directions to utilize dynamic
rescaling for more practical benefits, by training in balance or controlling order of learning
among network layers.
5. We discuss novel insights regarding i) trends in training dynamics for homophilic and
heterophilic graphs ii) larger learning rates and iii) interesting grokking-like phenomena."
RELATED WORK,0.033003300330033,"1
Related work"
RELATED WORK,0.036303630363036306,"There has recently been an increased interest in studying training dynamics[43] and generalization
[39]. Approaches to address trainability issues in GNNs include initialization [20, 28, 13, 12],
normalization [3, 5, 50, 48], skip-connections[13], regularization[34, 44], their combinations[25, 4],
architectural variations[29], and insights from graph signal processing based on spectral properties
[45]. While our approach of dynamic rescaling allows us to use gradients in the network to control
the rate at which GNN layers (and potentially neurons) learn non-linear transformations of their
features,[35] draws an interesting parallel by modulating message passing updates based on gradients
to control the rate at which nodes learn. The closest work to ours is [28] which proposes using
balanced norms at initialization. Our work differs in mainly three ways as we: i) derive how a
balanced state can be achieved not only at initialization but also during training by dynamic rescaling,
ii) propose a different criterion for balance based on relative gradients, and iii) present insights on
training in and out of balance in light of input graph homophily and heterophily."
RELATED WORK,0.039603960396039604,"For traditional DNNs, there is a deeper understanding of loss invariant symmetries and their im-
pact on gradient dynamics[8, 17, 40]. Several studies exploit rescale symmetry and corresponding
conservation laws in (feed-forward and convolutional) neural networks in various ways to aid opti-
mization [31, 26, 46], regularization [37], and compression[38]. [47] introduce a set of nonlinear,"
RELATED WORK,0.0429042904290429,"data-dependent symmetries, relate conserved quantities to the convergence rate and sharpness of the
optima, and provide insights into how initialization impacts convergence and generalizability. Gradi-
ent flow equations for neural networks have also been extended to account for realistic optimization
elements such as finite learning rates, momentum, weight decay, etc. [15]."
DYNAMIC RESCALING,0.0462046204620462,"2
Dynamic rescaling"
DYNAMIC RESCALING,0.04950495049504951,"Preliminaries
Consider a L layer GAT network f with positively homogeneous activation ϕ
(i.e ϕ(x) = xϕ′(x)) and consequently, ϕ(ax) = aϕ(x) for positive scalars a) such as ReLU
ϕ(x) = max{x, 0} or LeakyReLU ϕ(x) = max{x, 0} + −α max{−x, 0}. Then, as shown by [28],
the parameters Wl[i, :], Wl+1[:, i], and al[i] associated with a hidden unit i in the network layer l ,
may be respectively scaled to ˜
Wl[i, :] = λWl[i, :], ˜
Wl+1[:, i] = λ−1Wl+1[:, i] and ˜al[i] = λ−1al[i]
where λ > 0 such that f = ˜f, i.e. the rescaling respects the network symmetry."
DYNAMIC RESCALING,0.052805280528052806,"Note that Wl[i, :] and Wl+1[:, i] denote weights incoming to and outgoing from neuron i ∈[dl],
respectively, where dl is the width of layer l. Given a network parameter θ and its gradient ∇θL w.r.t.
the network loss L, the relative gradient ∆θ of parameter θ is defined as:"
DYNAMIC RESCALING,0.056105610561056105,"∆θ = ∇θL/θ for θ ̸= 0 or ∆θ = 0 for θ = 0.
(1)"
DYNAMIC RESCALING,0.0594059405940594,"This rescale property is more powerful than it might appear at first, as it provides us the means to
significantly influence the training dynamics. It suggests that we have a high number of degrees of
freedom to pick a parameterization without changing the function of a GAT. Concretely, we can
use any scaling factors λ(l)
i
> 0 that are associated with features in the middle layers and define
another parameterization ˜
Wl[i, j] = λ(l)
i /λ(l−1)
j
Wl[i, j] and ˜al[i] = al[i]/λ(l−1)
i
that will induce
the same function. Yet, according to the following lemma, the gradients of the parameters depend on
the rescale factors and can therefore be controlled correspondingly.
Lemma 2.1 (Gradient scaling). Under the rescale invariance of GATs, if a parameter is scaled by
˜θ = λθ, then its gradient is scaled as ∇˜θL = λ−1∇θL."
DYNAMIC RESCALING,0.0627062706270627,"We defer the proof to the appendix A.1. It generally implies that we have the freedom to pick any
positively homogeneous constants so that our resulting gradients ∇˜
Wl[i,j]L = λ(l−1)
j
/λ(l)
i ∇Wl[i,j]L"
DYNAMIC RESCALING,0.066006600660066,"and ∇˜al[i]L = λ(l−1)
i
∇al[i]L induce favorable learning dynamics. Considering the flexibility, in
which gradient direction we can move during gradient descent, the choice likely has a significant
influence on our learning success. We aim to exploit this fact in this work and discover conceptual
insights into what criteria could constitute choices. Thus, we follow the following procedure."
DYNAMIC RESCALING,0.06930693069306931,"Balancing criteria and procedure
The rescale invariance property allows us to rescale parameters
to fulfill the desired criterion not only at initialization but also during training without changing the
network output while potentially improving the training dynamics."
DYNAMIC RESCALING,0.07260726072607261,"We could indeed choose a relatively general criterion g : Rm →Rm that depends on our rescaled
parameters and gradients and determines our choice of scaling factors. As long as we can solve"
DYNAMIC RESCALING,0.07590759075907591,"g

λ(l)
i Wl[i, :], λ(l)−1
i
Wl+1[:, i], λ(l)−1
i
al[i], λ(l)−1
i
∇Wl[i,:]L, λ(l)
i ∇Wl+1[:,i]L, λ(l)
i ∇al[i]L

= 0.
(2)
, For unique nonzero scaling parameters, g can act as our guide during gradient descent. Importantly,
not all reasonable criteria determine the scaling factors."
DYNAMIC RESCALING,0.07920792079207921,"As has been derived recently for GATs [28], the rescale invariance also induces a conservation law
that holds throughout training and is characterized by the fact that the scaling factors cancel out. In
fact, any such law that remains invariant under specific parameter transformations is also linked to an
invariance like the rescale invariance. according to Noether’s theorem. Specifically, in the case of
GATs, the following equations
⟨W l[i, :], ∇W l[i,:]L⟩−⟨al[i], ∇al[i]L⟩−⟨W l+1[:, i], ∇W l+1[:,i]L⟩= 0.
(3)
hold regardless of the scaling factors. This law implies that a specific sum of L2-norms of the
corresponding parameters stays conserved throughout gradient descent if the learning rates are
sufficiently small."
DYNAMIC RESCALING,0.08250825082508251,"Recently, it has been shown that balancing these squared parameter l2−norms at initialization such
that
Wl[i, :]
2−
al[i]
2−
Wl+1[: i]
2 = 0, ∀i ∈dl, l ∈[L−1], induces good initial trainability
in GATs [28]. For larger learning rates, this balance might get disturbed during training. Yet, we
could use our rescaling degrees of freedom to bring the parameters back in balance. To induce even
better trainability, we propose another criterion to rescale a GAT network, which balances the norms
of gradients relative to the corresponding parameters, i.e., ∆θ = ∇θL/θ. Intuitively, this should
allow the parameters in different layers to move at similar speeds and ensure good trainability in all
parts of the network.
∆Wl[i, :]
2 −
∆al[i]
2 −
∆Wl+1[: i]
2 = 0.
(4)"
DYNAMIC RESCALING,0.0858085808580858,"Yet, as this criterion is not naturally preserved during gradient descent or gradient flow like the weight
norms, fulfilling the equation above requires frequent rescaling during training. Thus, based on
Eq.(2), balancing a neuron i in layer l w.r.t. relative gradients requires fulfilling:

λ(l)−1
i
∇Wl[i,:]L"
DYNAMIC RESCALING,0.0891089108910891,"λ(l)
i Wl[i, :]  2 −"
DYNAMIC RESCALING,0.0924092409240924,"λ(l)
i ∇Wl+1[:,i]L"
DYNAMIC RESCALING,0.09570957095709572,"λ(l)−1
i
Wl+1[:, i]  2 −"
DYNAMIC RESCALING,0.09900990099009901,"λ(l)
i ∇al[i]L"
DYNAMIC RESCALING,0.10231023102310231,"λ(l)−1
i
al[i]  2"
DYNAMIC RESCALING,0.10561056105610561,"= 0.
(5)"
DYNAMIC RESCALING,0.10891089108910891,"Balancing the entire network requires fulfilling Eq.(5) ∀i ∈[dl], l ∈[L −1]. In this case, note that
every weight Wl[i, j] is eventually scaled by λ(l)
i /λ(l)
j . Thus, balancing the entire network requires
iterative rescaling until convergence of all rescaling factors to 1."
DYNAMIC RESCALING,0.11221122112211221,"For each iteration t ∈[1, T] and given λ(l)
i"
DYNAMIC RESCALING,0.11551155115511551,"(0) = 1, ∀i ∈[dl], l ∈[L −1], the scaling factor λ(l)
i"
DYNAMIC RESCALING,0.1188118811881188,"(t)
is
given by:"
DYNAMIC RESCALING,0.12211221122112212,"λ(l)
i (t) =  
"
DYNAMIC RESCALING,0.1254125412541254,"∆Wl[i, :]
(t−1)
2"
DYNAMIC RESCALING,0.12871287128712872,"∆al[i](t−1)
2
+
∆Wl+1[: i](t−1)
2  
 1
8"
DYNAMIC RESCALING,0.132013201320132,"; where
(6)"
DYNAMIC RESCALING,0.1353135313531353,∆θ(t) =
DYNAMIC RESCALING,0.13861386138613863,"


 

"
DYNAMIC RESCALING,0.1419141914191419,"λ(l)
i
(t)−1
∇θL"
DYNAMIC RESCALING,0.14521452145214522,"λ(l)
i
(t)θ
if θ ∈Wl[i, :]
(t−1) ; t > 0"
DYNAMIC RESCALING,0.1485148514851485,"λ(l)
i
(t)∇θL"
DYNAMIC RESCALING,0.15181518151815182,"λ(l)
i
(t)−1
θ if θ ∈{Wl+1[:, i]
(t−1), al[i]
(t−1)} ; t > 0.
(7)"
DYNAMIC RESCALING,0.1551155115511551,"Ideally, this process is repeated to convergence until λ(l)
i"
DYNAMIC RESCALING,0.15841584158415842,"(T ) = 1, ∀i ∈[dl], l ∈[L −1]. The number
of required iterations depends on the frequency of rebalancing during training as well as the network
parameters and gradients. In practice, we find that this is not a too computationally expensive process
and a few iterations (< 10) are sufficient to (mostly if not completely) balance the network. In
terms of time complexity, this only affects the training time linearly depending on the frequency of
rebalancing, which is a controllable hyperparameter."
DYNAMIC RESCALING,0.1617161716171617,"Implications
Dynamic rescaling opens up the opportunity to control training dynamics in several
ways for which we lay out two key ideas as follows."
DYNAMIC RESCALING,0.16501650165016502,"Firstly, dynamic rescaling can be used to train networks in balance w.r.t. certain criteria. We
propose that balancing based on relative gradients may be one such good candidate. Our intuition
is that balanced relative gradients allow all layers (and neurons) in the network a relatively equal
opportunity to learn by propagating gradients to drive parameter change throughout the network,
thereby enhancing trainability. We observe that this novel insight shows the promising potential
of being translated into practical gains such as faster or better generalization on real-world data,
particularly for heterophilic tasks."
DYNAMIC RESCALING,0.16831683168316833,"Secondly, dynamic rescaling allows us to control of relative training speed at the level or neuron
level. In principle, by rescaling layers, we can configure the relative order in which they learn
arbitrarily, at any time during training. This is a direct consequence of the conservation law that
parameters and their gradients in the network adhere to. The underlying insight is that by controlling
the parameter weight or relative gradient norms, the gradients that drive parameter change can be
influenced. As a result, a layer receiving relatively larger gradients (due to relatively scaled-down"
DYNAMIC RESCALING,0.1716171617161716,"Table 1: Results of training a 5-layer GAT network with various dynamic rescaling (DR) settings.
The mean ±95% CI test metric at the epoch of the best validation metric across 10 splits is re-
ported using the best learning rate from {0.01, 0.001, 0.005}. The evaluation metric is accuracy for
roman-empire and amazon-ratings, and ROC AUC for the remaining three datasets."
DYNAMIC RESCALING,0.17491749174917492,"roman-empire
amazon-ratings
tolokers
questions
minesweeper"
DYNAMIC RESCALING,0.1782178217821782,"w/o DR
.4978 ± .0209
.4545 ± .0043
.6493 ± .008
.5829±.0172
.5057 ± .0058
DRW
.3307 ± .0670
.4547 ± .0041
.6451±.0135
.5791±.0145
.5058 ± .0051
DRRG
.5422 ± .0234
.4540 ± .0029
.6637±.0088
.5869 ± .0145 .5065 ± .0076
DRC
.6731 ± .0149∗.4526 ± .0042
.6642 ± .0064 .5696±.0132
.5080 ± .0053"
DYNAMIC RESCALING,0.18151815181518152,"weight norms) thus learns ‘more’ or ‘faster’ than other layers. While the possibilities are numerous,
in this work, we limit our investigation to a simple but core case: allowing the network to (initially)
focus learning on a specific layer by scaling down its weight norm at initialization. We observe
that initially allowing more focused learning in the earlier layers of the network can improve the
convergence time substantially while retaining or even improving the generalization for homophilic
tasks."
DYNAMIC RESCALING,0.1848184818481848,"Our findings suggest that the order in which layers learn influences convergence time and generaliza-
tion. This building block may be leveraged to devise more sophisticated learning sequences such
as training layers cyclically or in a task-dependent manner rather than in a predefined order. We
elaborate on the current limitations of dynamic rescaling in the appendix."
DYNAMIC RESCALING,0.18811881188118812,"While these concepts apply to any GNN, provided its rescale invariance has been identified, we focus
our investigation on the GAT architecture in this work as they are a generalization of the more basic
GCN architecture that is the building block of more complex GNNs. Furthermore, GAT serves as a
strong basis for graph learning with an attention mechanism, in which there has been an increased
interest recently [18, 9]."
EXPERIMENTS,0.19141914191419143,"3
Experiments"
EXPERIMENTS,0.19471947194719472,"We divide our exploration of the ideas discussed in §2 into three parts: 1) practical gains on
real-world data of training in balance by dynamic rescaling, 2) empirical insights into the layer-
level order of learning, and 3) observation of a grokking-like phenomenon, which is related to
2). Hereafter, we use the notation DRW , and DRRG to denote dynamic rescaling w.r.t. weight
norms and relative gradients, respectively, every 10th epoch. DRC denotes a combination of the
two by rescaling w.r.t. weight norms every 10th epoch and w.r.t. relative gradients in all other
epochs. A maximum of 10 iterations for the rebalancing procedure outlined in Eq. (6) and (7)
were used. All experiments use the Adam optimizer and networks are randomly initialized with
looks-linear orthogonal structure [36, 1] unless specified otherwise. Experiments were run on
an NVIDIA RTX A6000 GPU with 50GB RAM. Our experimental code is available at https:
//github.com/RelationalML/Dynamic_Rescaling_GAT."
TRAINING IN BALANCE,0.19801980198019803,"3.1
Training in balance"
TRAINING IN BALANCE,0.20132013201320131,"We primarily study the effect of training GAT in a balanced state based on the relative gradients
criterion (see Eq.(4)), by dynamic rescaling on five real-world heterophilic benchmark datasets [32]."
TRAINING IN BALANCE,0.20462046204620463,"We find that rebalancing the network w.r.t. relative gradient norms is more effective than the criterion
based on parameter weight norms, as shown in Table 1. This aligns with observations on CNNs
where rebalancing w.r.t. parameter norms was also not effective [37]. Therefore, our insight on the
impact of rebalancing w.r.t. relative gradients may also be of independent interest outside the context
of GNNs."
TRAINING IN BALANCE,0.2079207920792079,"In addition to improved generalization in most cases, dynamic rescaling may also provide the benefit
of fewer training epochs to attain comparable or even slightly better generalization, as shown in Fig. 1.
We make an interesting observation that a balanced state during training together with larger learning
rates results in better generalization than when either of the two components is individually employed."
TRAINING IN BALANCE,0.21122112211221122,"(a) Higher is better.
(b) Lower is better."
TRAINING IN BALANCE,0.2145214521452145,"Figure 1: Performance of a 5-layer GAT with various dynamic rescaling (DR) settings using learning
rates (lr) 0.001 and 0.01. Across 10 splits, the mean accuracy is reported for roman-empire and
amazon-ratings while ROC AUC is reported for minesweeper, questions and tolokers. The
case annotated by ∗indicates training for more than 10k epochs."
TRAINING IN BALANCE,0.21782178217821782,"Figure 2: The degree of imbalance, i.e. the R.H.S.
quantity of Eq. (5), before and after rebalancing
every 10 epochs when training roman-empire
on GAT. A value of 0 indicates complete balance."
TRAINING IN BALANCE,0.22112211221122113,"Figure 3:
A narrow range of larger learn-
ing rates results in better generalization for
roman-empire dataset on GAT, with further im-
provement brought by dynamic rescaling (DR) to
balance relative gradients."
TRAINING IN BALANCE,0.22442244224422442,"This synergetic effect can be attributed to two factors. Firstly, several works report empirical evidence
that larger learning rates are usually associated with flatter minima that have been linked to better
generalization [49, 7, 19]. On the contrary, larger learning rates push the network out of its balanced
state faster and more severely (see Fig. 2), which may impede trainability. However, this can now be
addressed by rebalancing the network during training to facilitate trainability. Thus, balancing by
dynamic rescaling supports higher learning rates in improving generalization. However, for a given
task, only a narrow range of these ‘large enough’ learning rates can produce optimal results [24]. We
show in Fig. 3 that training in balance can further improve the performance for this range of larger
learning rates."
TRAINING IN BALANCE,0.22772277227722773,"We use gradient clipping in combination with dynamic rescaling to accommodate exploding or
vanishing gradients as a result of training with a larger learning rate and any numerical instabilities
that may arise due to direct manipulation of parameter weights and gradients. We defer the ablation
study of gradient clipping to the appendix."
LEARNING LAYERS IN ORDER,0.23102310231023102,"3.2
Learning layers in order"
LEARNING LAYERS IN ORDER,0.23432343234323433,"As discussed in §2, one potential opportunity with dynamic rescaling to improve training dynamics
is to control the order in which layers (or even neurons) in the network learn. We investigate this
experimentally on both synthetic and real-world data, gaining novel insights into potential trends of
optimal training dynamics for different tasks based on their homophily and heterophily. We defer the
description of the synthetic data generation to the appendix."
LEARNING LAYERS IN ORDER,0.2376237623762376,"The training curves and generalization performance achieved on the synthetic task for various train
settings are summarized in Fig. 4. For this task, allowing the network to initially concentrate learning
on the first layer results in faster training, lower minimum test loss, and better generalization than
training the network in the standard setting or with dynamic rescaling. Interestingly, as more initial"
