Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0021645021645021645,"Graph generative models are a highly active branch of machine learning. Given
the steady development of new models of ever-increasing complexity, it is nec-
essary to provide a principled way to evaluate and compare them. In this paper,
we enumerate the desirable criteria for such a comparison metric and provide an
overview of the status quo of graph generative model comparison in use today,
which predominantly relies on the maximum mean discrepancy (MMD). We per-
form a systematic evaluation of MMD in the context of graph generative model
comparison, highlighting some of the challenges and pitfalls researchers inadver-
tently may encounter. After conducting a thorough analysis of the behaviour of
MMD on synthetically-generated perturbed graphs as well as on recently-proposed
graph generative models, we are able to provide a suitable procedure to mitigate
these challenges and pitfalls. We aggregate our ﬁndings into a list of practical
recommendations for researchers to use when evaluating graph generative models."
INTRODUCTION,0.004329004329004329,"1
INTRODUCTION"
INTRODUCTION,0.006493506493506494,"Graph generative models have become an active research branch, making it possible to generalise
structural patterns inherent to graphs from certain domains—such as chemoinformatics—and actively
synthesise new graphs (Liao et al., 2019). Next to the development of improved models, their
evaluation is crucial. This is a well-studied issue in other domains, leading to metrics such as the
‘Fréchet Inception Distance’ (Heusel et al., 2017) for comparing image-based generative models.
Graphs, however, pose their own challenges, foremost among them being that an evaluation based on
visualisations, i.e. on perceived differences, is often not possible. In addition, virtually all relevant
structural properties of graphs exhibit spatial invariances, e.g., connected components and cycles are
invariant with respect to rotations—that have to be taken into account by a comparison metric."
INTRODUCTION,0.008658008658008658,"While the community has largely gravitated towards a single comparison metric, the maximum mean
discrepancy (MMD) (Chen et al., 2021; Dai et al., 2020; Goyal et al., 2020; Liao et al., 2019; Mi
et al., 2021; Niu et al., 2020; Podda & Bacciu, 2021; You et al., 2018; Zhang et al., 2021), neither its
expressive power nor its other properties have been systematically investigated in the context of graph
generative model comparison. The goal of this paper is to provide such an investigation, starting
from ﬁrst principles by describing the desired properties of such a comparison metric, providing
an overview of what is done in practice today, and systemically assessing MMD’s behaviour using
recent graph generative models. We highlight some of the caveats and shortcomings of the existing
status quo, and provide researchers with practical recommendations to address these issues. We
note here that our investigations focus on assessing the structural similarity of graphs, which is a
necessary ﬁrst step before one can jointly assess graphs based on structural and attribute similarity.
This paper purposefully refrains from developing its own graph generative model to avoid any bias in
the comparison."
INTRODUCTION,0.010822510822510822,Published as a conference paper at ICLR 2022
INTRODUCTION,0.012987012987012988,Graphs
INTRODUCTION,0.015151515151515152,Clustering coefﬁcient
INTRODUCTION,0.017316017316017316,Degree distribution
INTRODUCTION,0.01948051948051948,Laplacian spectrum
INTRODUCTION,0.021645021645021644,Descriptor functions Rd
INTRODUCTION,0.023809523809523808,Representations MMD
INTRODUCTION,0.025974025974025976,Evaluator function
INTRODUCTION,0.02813852813852814,"Figure 1: An overview of the workﬂow used to evaluate graph generative models, as is used, e.g.,
in Liao et al. (2019); Niu et al. (2020); You et al. (2018): given a distribution of graphs, a set of
descriptor functions is employed to map each graph to a high-dimensional representation in Rd.
These representations are then compared (with a reference distribution or with each other) using
an evaluator function called the maximum mean discrepancy (MMD). In principle, MMD does not
require the vectorial representation, but we ﬁnd that this is the predominant use in the context of
graph generative model evaluation."
COMPARING GRAPH DISTRIBUTIONS,0.030303030303030304,"2
COMPARING GRAPH DISTRIBUTIONS"
