Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0025380710659898475,"In this paper, we propose Multiresolution Equivariant Graph Variational Autoen-
coders (MGVAE), the ﬁrst hierarchical generative model to learn and generate
graphs in a multiresolution and equivariant manner. At each resolution level, MG-
VAE employs higher order message passing to encode the graph while learning
to partition it into mutually exclusive clusters and coarsening into a lower res-
olution that eventually creates a hierarchy of latent distributions. MGVAE then
constructs a hierarchical generative model to variationally decode into a hierarchy
of coarsened graphs. Importantly, our proposed framework is end-to-end permuta-
tion equivariant with respect to node ordering. MGVAE achieves competitive re-
sults with several generative tasks including general graph generation, molecular
generation, unsupervised molecular representation learning to predict molecular
properties, link prediction on citation graphs, and graph-based image generation."
INTRODUCTION,0.005076142131979695,"1
INTRODUCTION"
INTRODUCTION,0.007614213197969543,"Understanding graphs in a multiscale and multiresolution perspective is essential for capturing the
structure of molecules, social networks, or the World Wide Web. Graph neural networks (GNNs)
utilizing various ways of generalizing the concept of convolution to graphs (Scarselli et al., 2009)
(Niepert et al., 2016b) (Li et al., 2016) have been widely applied to many learning tasks, including
modeling physical systems (Battaglia et al., 2016), ﬁnding molecular representations to estimate
quantum chemical computation (Duvenaud et al., 2015) (Kearnes et al., 2016) (Gilmer et al., 2017b)
(Hy et al., 2018), and protein interface prediction (Fout et al., 2017). One of the most popular
types of GNNs is message passing neural nets (MPNNs) that are constructed based on the message
passing scheme in which each node propagates and aggregates information, encoded by vectorized
messages, to and from its local neighborhood. While this framework has been immensely successful
in many applications, it lacks the ability to capture the multiscale and multiresolution structures that
are present in complex graphs (Rustamov & Guibas, 2013) (Chen et al., 2014) (Cheng et al., 2015)
(Xu et al., 2019)."
INTRODUCTION,0.01015228426395939,"Ying et al. (2018) proposed a multiresolution graph neural network that employs a differential pool-
ing operator to coarsen the graph. While this approach is effective in some settings, it is based on
soft assigment matrices, which means that (a) the sparsity of the graph is quickly lost in higher layers
(b) the algorithm isn’t able to learn an actual hard clustering of the vertices. The latter is important
in applications such as learning molecular graphs, where clusters should ideally be interpretable as
concrete subunits of the graphs, e.g., functional groups."
INTRODUCTION,0.012690355329949238,"In contrast, in this paper we propose an arhictecture called Multiresolution Graph Network (MGN),
and its generative cousin, Multiresolution Graph Variational Autoencoder (MGVAE), which explic-
itly learn a multilevel hard clustering of the vertices, leading to a true multiresolution hierarchy. In
the decoding stage, to “uncoarsen” the graph, MGVAE needs to generate local adjacency matrices,
which is inherently a second order task with respect to the action of permutations on the vertices,
hence MGVAE needs to leverage the recently developed framework of higher order permutation
equivariant message passing networks (Hy et al., 2018; Maron et al., 2019b)."
INTRODUCTION,0.015228426395939087,"Learning to generate graphs with deep generative models is a difﬁcult problem because graphs are
combinatorial objects that typically have high order correlations between their discrete substruc-
tures (subgraphs) (You et al., 2018a) (Li et al., 2018) (Liao et al., 2019) (Liu et al., 2019) (Dai
et al., 2020). Graph-based molecular generation (Gmez-Bombarelli et al., 2018) (Simonovsky &"
INTRODUCTION,0.017766497461928935,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.02030456852791878,"Komodakis, 2018) (Cao & Kipf, 2018) (Jin et al., 2018) (Thiede et al., 2020) involves further chal-
lenges, including correctly recognizing chemical substructures, and importantly, ensuring that the
generated molecular graphs are chemically valid. MGN allows us to extend the existing model of
variational autoencoders (VAEs) with a hierarchy of latent distributions that can stochastically gen-
erate a graph in multiple resolution levels. Our experiments show that having a ﬂexible clustering
procedure from MGN enables MGVAE to detect, reconstruct and ﬁnally generate important graph
substructures, especially chemical functional groups."
RELATED WORK,0.02284263959390863,"2
RELATED WORK"
