Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.002631578947368421,"We study the problem of combining neural networks with symbolic reasoning.
Recently introduced frameworks for Probabilistic Neurosymbolic Learning (PNL),
such as DeepProbLog, perform exponential-time exact inference, limiting the
scalability of PNL solutions. We introduce Approximate Neurosymbolic Inference
(A-NESI): a new framework for PNL that uses neural networks for scalable
approximate inference. A-NESI 1) performs approximate inference in polynomial
time without changing the semantics of probabilistic logics; 2) is trained using data
generated by the background knowledge; 3) can generate symbolic explanations
of predictions; and 4) can guarantee the satisfaction of logical constraints at test
time, which is vital in safety-critical applications. Our experiments show that
A-NESI is the ﬁrst end-to-end method to solve three neurosymbolic tasks with
exponential combinatorial scaling. Finally, our experiments show that A-NESI
achieves explainability and safety without a penalty in performance."
INTRODUCTION,0.005263157894736842,"1
Introduction"
INTRODUCTION,0.007894736842105263,"Recent work in neurosymbolic learning combines neural perception with symbolic reasoning [52, 38],
using symbolic knowledge to constrain the neural network [19], to learn perception from weak
supervision signals [36], and to improve data efﬁciency [5, 57]. Many neurosymbolic methods use
a differentiable logic such as fuzzy logics [5, 17] or probabilistic logics [35, 57, 16]. We call the
latter Probabilistic Neurosymbolic Learning (PNL) methods. PNL methods add probabilities over
discrete truth values to maintain all logical equivalences from classical logic, unlike fuzzy logics
[54]. However, performing inference requires solving the weighted model counting (WMC) problem,
which is computationally exponential [13], signiﬁcantly limiting the kind of tasks that PNL can solve."
INTRODUCTION,0.010526315789473684,"We study how to scale PNL to exponentially complex tasks using deep generative modelling [51].
Our method called Approximate Neurosymbolic Inference (A-NESI), introduces two neural networks
that perform approximate inference over the WMC problem. The prediction model predicts the output
of the system, while the explanation model computes which worlds (i.e. which truth assignment
to a set of logical symbols) best explain a prediction. We use a novel training algorithm to ﬁt both
models with data generated using background knowledge: A-NESI samples symbol probabilities
from a prior and uses the symbolic background knowledge to compute likely outputs given these
probabilities. We train both models on these samples. See Figure 1 for an overview."
INTRODUCTION,0.013157894736842105,"A-NESI combines all beneﬁts of neurosymbolic learning with scalability. Our experiments on the
Multi-digit MNISTAdd problem [35] show that, unlike other approaches, A-NESI scales almost"
INTRODUCTION,0.015789473684210527,"p(P)
P
p(w|P)
w
y
c
p(P, w, y) x"
INTRODUCTION,0.018421052631578946,"LtjLtokDRFvKJeKCVXuiQM="">AVWnicfVjRctu4FdVmt+2utu1mt8nTvnDqyUzS0XhJRZbk6bgTS7JmH5rETeIkW9PjAUGIQg0RCAjaklk+9KWP/Ya+tn/Umf5A/6IXlCiRBCnNyIZwzj04uLwAQXqC0UjZ9n8+e/D5Fz/7+S+/Kr9S9/9etvHn73fuIxKTC8wZlx89FBFGQ3KhqGLko5AELTxGPng3Y41/uCUyojx8p1aCXC1QENIZxUhB1/XDR5+uXU/M6VPXu+tYrf6q7t8dv3wD60s49lNpxN4+BF73/+PsL62/n198+OnR9juMFCRVmKIouHVuoqwRJRTEjaduNIyIQvkEBuYzVbHiV0FDEioQ4tZ4ANouZpbilHVo+lQrtoIGwpKCgoXnSCKsYB7tslREQrQgUce/pSJaN6PbYN1QCJwlSyzJKWlwCSQCaNlyVnCVpEC6TmRme0Wnhp+0mxl8SMyNtFmaptgslyJ1kSiWmk3AOmXktdOKjd/x8g89XYk7CKE1iydJiIABESjKDwKwZERWLJsNXO2b6ETJmHR0M+s7mSB584b4HdApdZTtzBhHqtzlLSrZYTgoMxS9uS/3LAWSek5tNyR3mC8WKPQTV6SJq8hSJW7nMAUwC9HBjHoSyVUSzZEgEUjpToCStmX5XFlz6vsk/OEwUitGTpK0A/26pGsBHaBnGMtf1EDCUFC39og61QcOKkR6pMZipk68RjMaTtgRbhkYp9yKbgk3dZgh5YISqi9ySxDx3d9YrcTZrZpwn0JfozqckTV4n6SJN2q5HAhpm+RcUq1iS9HJ5Yh8Ojsis8obB07HyjcB6OsekeUVWMrULiWPQ5/4E2GUESAH3UKs7qyntod+5ml1xwKA0asp07HefZ7HU9n3PcPutCEHzPK2OUuzoOlOD7zMJUYh2Yz3AdPaNrjTBeHT/4LQbNLpapLtHxQwZ6JBY0g+5PNm410QGDbEN4QMtc3mkHzQo+znHo0m23u9Ngdt0gx/sy/UZ6lasuKThIZUSaiwS9ic1Um/A9UQh7BVnUCxdaxPMSWqY0WE+Ce97lV5TcMNg+I0SVwdnxdo0k1hfZd40YboRhgxwr2/QJ30zwebDyxsuXgcST9cugbLa93Xs+z3lR1XxXAV1XwrACebQbhzLdmXFq3UNFcRhYQLaBIiklUjr7YRs+si6r0+wL4vgp+KIAfqAXF9DYQG8L6K2B3hXQOwMVBVRU0WUBXFbBVQFcVcH7AnhfBT/uk/1pn+yfK7JwdeDGu8p2Q9iBsg0uYGa+fHdyz+myXH2VRKTCynTMReTnw+7Q+OB2kVZjnemw6d0cTEt4TB6NQZ1xG2jNPB2J6c7bx0K9ytadvun532q1KY7fDh8Xhq4juz9ulgMqoh7NxOx72zwSZ9hIQVarDljY/7PSMtwVbneDQaHR2b+JYw6o3Hw24NYcsYTyaT03FmRcRSMFLhipzY7x/ZpTYCg3tfu+0Bt9dAHs4GhlmRcHLaDpyJk7mRHEKky1LZbx8PT4rCqkdvkfnY7HxgVUhfQPx86kV0PYeT2aHJ09z5xw2CWDalb4Nn39wfD5sCrFt0LTAVxBwvfjTQ9HtkDwsveJmOxiOd2PJKhEV26Vwl69PZbt1ZB46lN/IyGRZalazXk6ucFkNmTWza+n7+PUBrNG8OVOMm+RxjThuNIPrvOBm87jWPN5nPjD5QZN8UCMeNJoJ6rwEzeaDWvPBPvPC5IsmeVEjLhrNiDovotm8qDUv9plXJl81yasacdVoRtV5Uc3mVa15tc8N/m8SZ7XiPNGM7zOC282z2vN8z3mJbmDA6E+KUB1JdKQhOd+eGDOcMwSZJ47FVIkgzlLIgNmgIYqx+8N3FNzopDGvQV4zn6Yx645zRm6aeLRDo9qcIXi7QjQNHAiohyHJmUw3yrHp1F2Zs9mIljiBgiQdHuqgkN5qCwSKbrIXu1UkoQWcLPOk+iaQi2e6wlgTpdeJyQSCE7R+m5K8naZmjPD3xpxP0o0/oV8EIWbpFymcWTcnANLt6jsbHuDIYVr9rpUJgQzJMlLGOT1Rvx3UBQyWFAoCvjvdnRrHxEtcyK02tXq4XgOz0TZk0uWGz0deIJ3tZUGnBD7pMN9a1Ry/DYsS5ml98SKWkwV0hKfpe9CikRkd5dMpVZdRiNRtwWgU/xUSu0vVa+WSMr2Ss5lklwUPQOtmJMpcZTJ7/ZPeR2WGiQeqw0LRnPnSG2p1QI+LxTCuQkXHj6SlYavHx41feJZuN9DpH/b+ZB+8eNlaf75sfd/6betpy2kNWi9aP7bOWxct3Lpv/bP1r9a/H/38YPHXz3+ek198Nkm5jet0ufxo/8DCVzcMw=</latexit>qφ(w, y|x)
f✓
P
w
y"
INTRODUCTION,0.021052631578947368,"Perceive
Predict
Explain (optional)"
INTRODUCTION,0.02368421052631579,"Sample belief
Choose example
Reason
Forward process"
