Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0031446540880503146,"Supervised learning usually requires a large amount of labelled data. However,
attaining ground-truth labels is costly for many tasks. Alternatively, weakly su-
pervised methods learn with cheap weak signals that only approximately label
some data. Many existing weakly supervised learning methods learn a determin-
istic function that estimates labels given the input data and weak signals. In this
paper, we develop label learning ﬂows (LLF), a general framework for weakly
supervised learning problems. Our method is a generative model based on nor-
malizing ﬂows. The main idea of LLF is to optimize the conditional likelihoods
of all possible labelings of the data within a constrained space deﬁned by weak
signals. We develop a training method for LLF that trains the conditional ﬂow
inversely and avoids estimating the labels. Once a model is trained, we can make
predictions with a sampling algorithm. We apply LLF to three weakly supervised
learning problems. Experiment results show that our method outperforms many
state-of-the-art alternatives."
INTRODUCTION,0.006289308176100629,"1
INTRODUCTION"
INTRODUCTION,0.009433962264150943,"Machine learning has achieved great success in many supervised learning tasks. However, in prac-
tice, data labeling is usually human intensive and costly. To address this problem, practitioners are
turning to weakly supervised learning (Zhou, 2018), which trains machine learning models with
only noisy labels that are generated by human speciﬁed rules or pretrained models for related tasks.
Recent research shows that these models trained with weak supervisions can also perform well."
INTRODUCTION,0.012578616352201259,"Many existing weakly supervised learning methods (Ratner et al., 2016; 2017; Bach et al., 2019;
Arachie & Huang, 2021b) learn a deterministic function that estimates the unknown labels y given
input data x and weak signals Q. Since the observed information is incomplete, the predictions
based on it can be varied. However, these methods ignore this uncertainty between x and y. In this
paper, we develop label learning ﬂows (LLF), a general framework for weakly supervised learning
problems. LLF is a ﬂow-based generative model (Dinh et al., 2014; Rezende & Mohamed, 2015;
Dinh et al., 2016; Kingma & Dhariwal, 2018). The main idea behind LLF is that we deﬁne the rela-
tionship between x and y with a probability distribution p(y|x), which is modeled by a conditional
ﬂow. In training, we use the weak signals Q to deﬁne a constrained space for y and then optimize
the likelihood of all possible y that are within this constrained space. Therefore, this model captures
all possible relationships between the input x and output y. Learning LLF can be deﬁned as a con-
strained optimization problem. We develop a learning method for LLF that trains the conditional
ﬂow inversely and avoids estimating the labels. For prediction, we use sample-based method (Lu &
Huang, 2020) to estimate the labels."
INTRODUCTION,0.015723270440251572,"We apply LLF to three weakly supervised learning problems:
weakly supervised classiﬁca-
tion (Arachie & Huang, 2021b; Mazzetto et al., 2021b), weakly supervised regression, and unpaired
point cloud completion (Chen et al., 2019; Wu et al., 2020). These three problems have very different
label types and weak signals. Our method outperforms all other state-of-the-art methods on weakly
supervised classiﬁcation and regression, and it can perform comparably to other recent methods on
unpaired point cloud completion. These experiments show that LLF is versatile and powerful."
BACKGROUND,0.018867924528301886,"2
BACKGROUND"
BACKGROUND,0.0220125786163522,"In this section, we introduce weakly supervised learning and conditional normalizing ﬂows."
BACKGROUND,0.025157232704402517,Under review as a conference paper at ICLR 2022
BACKGROUND,0.02830188679245283,"Weakly Supervised Learning. Given a dataset D = {x1, ..., xN}, and weak signals Q, weakly
supervised learning ﬁnds a model that can predict the unknown label yi for each input data xi.
Some methods, e.g., ALL (Arachie & Huang, 2021b), deﬁne a set of constrained functions based
on Q and x. These functions form a space of possible y. The methods then look for one possible
y within this constrained space. In this work, we follow this idea and use constrained functions to
restrict the predicted y."
BACKGROUND,0.031446540880503145,"Conditional Normalizing Flows. A normalizing ﬂow (Rezende & Mohamed, 2015) is a series of
invertible functions f = f1 ◦f2 ◦· · · ◦fK that transform the probability density of output variables
y to the density of latent variables z. In conditional ﬂows (Trippe & Turner, 2018), a ﬂow layer
function fi is also parameterized by the input variables x, i.e., fi = fx,φi, where φi is the parameters
of fi. With the change-of-variable formula, the log conditional distribution log p(y|x) can be exactly
and tractably computed as"
BACKGROUND,0.03459119496855346,"log p(y|x) = log pZ(fx,φ(y)) + K
X"
BACKGROUND,0.03773584905660377,"i=1
log
det
∂fx,φi ∂ri−1"
BACKGROUND,0.040880503144654086," ,
(1)"
BACKGROUND,0.0440251572327044,"where pZ(z) is a tractable base distribution, e.g. Gaussian distribution. The
∂fx,φi"
BACKGROUND,0.04716981132075472,"∂ri−1 is the Jacobian
matrix of fx,φi. The ri = fx,φi(ri−1), r0 = y, and rK = z."
BACKGROUND,0.050314465408805034,"To use normalizing ﬂows, we need to develop ﬂow layers that are invertible and have tractable
Jacobian determinant. In this paper, we use afﬁne coupling layer (Dinh et al., 2014; 2016) to form
normalizing ﬂows. It splits the input to two parts, and force the ﬁrst part only relate to the second
part, so that the Jacobian is a triangular matrix. For conditional ﬂows, we can deﬁne conditional
afﬁne coupling layer as"
BACKGROUND,0.05345911949685535,"ya, yb
=
split(y),
zb
=
s(x, ya) ⊙yb + b(x, ya),
z
=
concat(ya, zb),"
BACKGROUND,0.05660377358490566,"where s and b are two neural networks. The split() and the concat() functions split and concatenate
the variables."
PROPOSED METHOD,0.059748427672955975,"3
PROPOSED METHOD"
PROPOSED METHOD,0.06289308176100629,"In this section, we introduce the label learning ﬂows (LLF) framework for weakly supervised learn-
ing. Given Q and x, we deﬁne a set of constraints to restrict the predicted label y. These constraints
can be inequalities, formatting like f(x, y, Q) ≤b, or equations, formatting like f(x, y, Q) = b.
For simplicity, we represent this set of constraints as C(x, y, Q). Let Ωbe the constrained space
of all possible y deﬁned by C(x, y, Q). Previous methods only look for one possible y within Ω.
In contrast, LLF optimizes the conditional log-likelihood of all possible y within Ω, resulting in the
following objective
max
φ
Epdata(x)Ey∼U(Ω) [log p(y|x, φ)] ,
(2)"
PROPOSED METHOD,0.0660377358490566,"where U(Ω) is a uniform distribution within Ω, and p(y|x) is a continuous density model of y."
PROPOSED METHOD,0.06918238993710692,"Let ˆy be the true label. We assume that each data point xi only has one unique label ˆyi, so that
pdata(x, ˆy) = pdata(x). Let q(ˆy|x) be a certain model of ˆy. Traditional supervised learning learns a
q(ˆy|x) that maximizes the cross entropy Epdata(x,ˆy) [log q(ˆy|x, φ)]. Following theorem indicates that
maximizing log p(y|x) can be interpreted as maximizing a lower bound of log q(ˆy|x)."
PROPOSED METHOD,0.07232704402515723,"Theorem 1 Let Ω∗⊆Ωis a tight enough space satisfying that ˆy ∈Ω∗and for two different ˆyi
and ˆyj, the Ω∗
i and Ω∗
j are non-overlapped. The volume of Ω∗is bounded such that
1
|Ω∗| ≤M.
The relationship between p(y|x) and q(ˆy|x) can be deﬁned as: q(ˆy|x) =
R"
PROPOSED METHOD,0.07547169811320754,"y∈Ω∗p(y|x)dy. Then
maximizing log p(y|x) can be interpreted as maximizing the lower bound of log q(ˆy|x). That is,"
PROPOSED METHOD,0.07861635220125786,"Epdata(x)Ey∼U(Ω∗) [log p(y|x, φ)] ≤MEpdata(x,ˆy) [log q(ˆy|x, φ)]
(3)"
PROPOSED METHOD,0.08176100628930817,"The complete proof is in appendix. Theorem 1 indicates that, when Ωis well-deﬁned, learning LLF
is analogous to dequantization (Theis et al., 2015; Ho et al., 2019). That is, the method optimizes the"
PROPOSED METHOD,0.08490566037735849,Under review as a conference paper at ICLR 2022
PROPOSED METHOD,0.0880503144654088,"likelihood of dequantized true labels. In practice, the real constrained space, i.e., Ω, may be loose
and does not fulﬁll the conditions in Theorem 1, which will result in inevitable errors that come from
the weakly supervised setting. Moreover, for some regression problems, the ideal Ω∗only contains
a single point: the ground truth label, i.e., Ω∗= {ˆy}."
LEARNING AND PREDICTION,0.09119496855345911,"3.1
LEARNING AND PREDICTION"
LEARNING AND PREDICTION,0.09433962264150944,"Since y is unobserved, directly optimizing the conditional likelihood, i.e., Equation 2, is impossible.
Using the invertibility of normalizing ﬂows, we can rewrite log p(y|x) as"
LEARNING AND PREDICTION,0.09748427672955975,"log p(y|x)
=
log pZ(fx,φ(y)) + K
X"
LEARNING AND PREDICTION,0.10062893081761007,"i=1
log
det
∂fx,φi ∂ri−1 "
LEARNING AND PREDICTION,0.10377358490566038,"=
log pZ(z) − K
X"
LEARNING AND PREDICTION,0.1069182389937107,"i=1
log
det
∂gx,φi ∂ri"
LEARNING AND PREDICTION,0.11006289308176101," ,
(4)"
LEARNING AND PREDICTION,0.11320754716981132,"where gx,φi = f −1
x,φi is the inverse ﬂow."
LEARNING AND PREDICTION,0.11635220125786164,"With the inverse ﬂow, Equation 2 can be interpreted as a constrained optimization problem"
LEARNING AND PREDICTION,0.11949685534591195,"max
φ
Epdata(x)EpZ(z) """
LEARNING AND PREDICTION,0.12264150943396226,"log pZ(z) − K
X"
LEARNING AND PREDICTION,0.12578616352201258,"i=1
log
det
∂gx,φi ∂ri  # ,
(5)"
LEARNING AND PREDICTION,0.1289308176100629,"s.t. C(x, gx,φ(z), Q)."
LEARNING AND PREDICTION,0.1320754716981132,"Note that in Equation 5, the original constraint for z is gx,φ(z) ∈Ω, and this constraint can be
replaced with C(x, gx,φ(z), Q). For efﬁcient training, this constrained optimization problem can
be approximated with the penalty method, resulting in the objective"
LEARNING AND PREDICTION,0.13522012578616352,"max
φ
Epdata(x)EpZ(z) """
LEARNING AND PREDICTION,0.13836477987421383,"log pZ(z) − K
X"
LEARNING AND PREDICTION,0.14150943396226415,"i=1
log
det
∂gx,φi ∂ri"
LEARNING AND PREDICTION,0.14465408805031446," + λCr(x, gx,φ(z), Q) # ,
(6)"
LEARNING AND PREDICTION,0.14779874213836477,"where λ is the penalty coefﬁcient, and Cr() means we reformulate the constraints to be penalty
losses. For example, an inequality constraint will be redeﬁned as a hinge loss."
LEARNING AND PREDICTION,0.1509433962264151,"In practice, the expectation with respect to pZ(z) can be approximated with Monte Carlo esti-
mate with L samples.
Since we only need to obtain stochastic gradients, we follow previous
works (Kingma & Welling, 2013) and set L = 1."
LEARNING AND PREDICTION,0.1540880503144654,"Given a trained model and a data point xi, prediction requires outputting a label yi for xi. We
follow (Lu & Huang, 2020) and use a sample average, i.e., yi = PL
j=1 gxi,φ(zj) as the prediction.
In our experiments, we found that L = 10 is enough for generating high-quality labels."
CASE STUDY,0.15723270440251572,"4
CASE STUDY"
CASE STUDY,0.16037735849056603,"In this section, we illustrate three scenarios of using LLF to address weakly supervised learning
problems."
WEAKLY SUPERVISED CLASSIFICATION,0.16352201257861634,"4.1
WEAKLY SUPERVISED CLASSIFICATION"
WEAKLY SUPERVISED CLASSIFICATION,0.16666666666666666,"We follow previous works (Arachie & Huang, 2021b; Mazzetto et al., 2021b) and consider binary
classiﬁcation. For each example, the label y is a two-dimensional vector within a one-simplex. That
is, the y ∈Y = {y ∈[0, 1]2 : P"
WEAKLY SUPERVISED CLASSIFICATION,0.16981132075471697,"i y[i] = 1}, where y[i] is the ith dimension of y. Each ground
truth label ˆy ∈{0, 1}2 is a two-dimensional one-hot vector. We have M weak labelers, which
will generate M weak signals for each data point xi, i.e., qi = [qi,1, ..., qi,M]. Each weak signal
qi,m ∈Q = {q ∈[0, 1]2 : P"
WEAKLY SUPERVISED CLASSIFICATION,0.17295597484276728,"i q[i] = 1} is a soft labeling of the data. In practice, if a weak labeler
m fails to label a data point xi, the qi,m can be null, i.e., qi,m = ∅(Arachie & Huang, 2021a).
Following Arachie & Huang (2021b), we assume we have access to expected error rate bounds of"
WEAKLY SUPERVISED CLASSIFICATION,0.1761006289308176,Under review as a conference paper at ICLR 2022
WEAKLY SUPERVISED CLASSIFICATION,0.1792452830188679,"these weak signals b = [b1, .., bM]. Therefore, the weak signals imply constraints N
X"
WEAKLY SUPERVISED CLASSIFICATION,0.18238993710691823,"i=1,qi,m̸=∅
(1 −yi) ⊙qi,m + yi ⊙(1 −qi,m) ≤Nmbm
∀m ∈{1, ..., M},
(7)"
WEAKLY SUPERVISED CLASSIFICATION,0.18553459119496854,where Nm is the number of data points that are labeled by weak labeler m.
WEAKLY SUPERVISED CLASSIFICATION,0.18867924528301888,"This problem can be solved with LLF, i.e., Equation 5, by deﬁning C(x, gx,φ(z, Q) to be a com-
bination of weak signal constraints, i.e., Equation 7, and simplex constraints, i.e., y ∈Y. The
objective function of LLF for weakly supervised classiﬁcation is"
WEAKLY SUPERVISED CLASSIFICATION,0.1918238993710692,"max
φ
log pZ(z) − K
X"
WEAKLY SUPERVISED CLASSIFICATION,0.1949685534591195,"i=1
log
det
∂gx,φi ∂ri "
WEAKLY SUPERVISED CLASSIFICATION,0.19811320754716982,"+λ1 [gx,φ(z)]2
+ + λ2 [1 −gx,φ(z)]2
+ + λ3 X"
WEAKLY SUPERVISED CLASSIFICATION,0.20125786163522014,"i
gx,φ(z)[i] −1 !2 +λ4 M
X m=1   N
X"
WEAKLY SUPERVISED CLASSIFICATION,0.20440251572327045,"i=0
qi,m̸=∅"
WEAKLY SUPERVISED CLASSIFICATION,0.20754716981132076,"(1 −gx,φ(z)i) ⊙qi,m + gx,φ(z)i ⊙(1 −qi,m) −Nmbm   2 + , (8)"
WEAKLY SUPERVISED CLASSIFICATION,0.21069182389937108,"where the second row describes the simplex constraints, and the last row is the weak signal con-
straints. The [.]+ is a hinge function that returns its input if positive and zero otherwise. We omit
the expectation terms for simplicity."
WEAKLY SUPERVISED REGRESSION,0.2138364779874214,"4.2
WEAKLY SUPERVISED REGRESSION"
WEAKLY SUPERVISED REGRESSION,0.2169811320754717,"For weakly supervised regression, we predict one-dimensional continuous labels y ∈[0, 1] given
input dataset D = {x1, ..., xN} and weak signals Q. We deﬁne the weak signals as follows. For the
mth feature of input data, we have access to a threshold ϵm, which splits D to two parts, i.e., D1, D2,
such that for each xi ∈D1, the xi,m ≥ϵm, and for each xj ∈D2, the xj,m < ϵm. We also have
access to estimated values of labels for subsets D1 and D2, i.e., bm,1 and bm,2. This design of weak
signals tries to mimic that in practical scenarios, human experts can design rule-based methods for
predicting labels for given data. For example, in disease prediction, a medical doctor can predict
the disease rates for patients based on their ages. For a group of people whose age is greater than a
threshold, an experienced physician would know an estimate of their average disease rate. Assuming
that we have M rule-based weak signals, the constraints can be mathematically deﬁned as follows:"
WEAKLY SUPERVISED REGRESSION,0.22012578616352202,"1
|Dm,1| X"
WEAKLY SUPERVISED REGRESSION,0.22327044025157233,"i∈Dm,1
yi = bm,1,
1
|Dm,2| X"
WEAKLY SUPERVISED REGRESSION,0.22641509433962265,"j∈Dm,2
yj = bm,2,
m ∈1, ..., M.
(9)"
WEAKLY SUPERVISED REGRESSION,0.22955974842767296,"Plugging in Equation 9 to Equation 6, we have"
WEAKLY SUPERVISED REGRESSION,0.23270440251572327,"max
φ
log pZ(z) − K
X"
WEAKLY SUPERVISED REGRESSION,0.2358490566037736,"i=1
log
det
∂gx,φi ∂ri"
WEAKLY SUPERVISED REGRESSION,0.2389937106918239," + λ1 [gx,φ(z)]2
+ + λ2 [1 −gx,φ(z)]2
+ +λ3 M
X m=1 "
WEAKLY SUPERVISED REGRESSION,0.24213836477987422,"
1
|Dm,1| X"
WEAKLY SUPERVISED REGRESSION,0.24528301886792453,"i∈Dm,1
gx,φ(z)i −bm,1   2 + "
WEAKLY SUPERVISED REGRESSION,0.24842767295597484,"
1
|Dm,2| X"
WEAKLY SUPERVISED REGRESSION,0.25157232704402516,"j∈Dm,2
gx,φ(z)j −bm,2   2 (10)"
UNPAIRED POINT CLOUD COMPLETION,0.25471698113207547,"4.3
UNPAIRED POINT CLOUD COMPLETION"
UNPAIRED POINT CLOUD COMPLETION,0.2578616352201258,"Unpaired point cloud completion (Chen et al., 2019; Wu et al., 2020) is a practical problem in 3D
scanning. Given a set of partial point clouds Xp = {x(p)
1 , ..., x(p)
N }, and a set of complete point
clouds Xc = {x(c)
1 , ..., x(c)
N }, we want to restore each x(p)
i
∈Xp. Each point cloud is a set of points,"
UNPAIRED POINT CLOUD COMPLETION,0.2610062893081761,Under review as a conference paper at ICLR 2022
UNPAIRED POINT CLOUD COMPLETION,0.2641509433962264,"i.e., xi = {xi,1, ..., xi,T }, where each xi,t ∈R3 is a 3D point, and the counts T represent the
number of points in a point cloud."
UNPAIRED POINT CLOUD COMPLETION,0.2672955974842767,"Note that the point clouds in Xp and Xc are unpaired, so directly modeling the relationship between
x(c) and x(p) is impossible. This problem can be interpreted as a weakly supervised learning prob-
lem, in which the weak signals Q are derived from the referred complete point clouds Xc. We predict
complete point clouds y ∈Y for partial point clouds in Xp. The conditional distribution p(y|xp) is
an exchangable distribution. We follow previous works (Yang et al., 2019; Klokov et al., 2020) and
use De Finetti’s representation theorem and variational inference to compute its lower bound as the
objective."
UNPAIRED POINT CLOUD COMPLETION,0.27044025157232704,"log p(y|xp)
≥
Eq(u|xp)"
UNPAIRED POINT CLOUD COMPLETION,0.27358490566037735,""" Tc
X"
UNPAIRED POINT CLOUD COMPLETION,0.27672955974842767,"i=1
log p(yi|u, xp) #"
UNPAIRED POINT CLOUD COMPLETION,0.279874213836478,"−KL(q(u|xp)||p(u)),
(11)"
UNPAIRED POINT CLOUD COMPLETION,0.2830188679245283,"where q(u|xp) is a variational distribution of latent variable u. In practice, it can be represented by
an encoder, and uses the reparameterization trick (Kingma & Welling, 2013) to sample u. The p(u)
is a standard Gaussian prior. The p(yi|u, xp) is deﬁned by a conditional ﬂow. We follow Chen et al.
(2019); Wu et al. (2020) and use the adversarial loss and Hausdorff distance loss as constraints. The
ﬁnal objective function is"
UNPAIRED POINT CLOUD COMPLETION,0.2861635220125786,"max
φ
Eq(u|xp)"
UNPAIRED POINT CLOUD COMPLETION,0.2893081761006289,""" Tc
X"
UNPAIRED POINT CLOUD COMPLETION,0.29245283018867924,"t=1
log pZ(zt) − K
X"
UNPAIRED POINT CLOUD COMPLETION,0.29559748427672955,"i=1
log
det
∂gu,xp,φi ∂rt,i  #"
UNPAIRED POINT CLOUD COMPLETION,0.29874213836477986,−KL(q(u|xp)||p(u))
UNPAIRED POINT CLOUD COMPLETION,0.3018867924528302,"+Eq(u|xp)

λ1(D(gu,xp,φ(z)) −1)2 + λ2dH(gu,xp,φ(z), xp)

,
(12)"
UNPAIRED POINT CLOUD COMPLETION,0.3050314465408805,"where D() represents the discriminator of a least square GAN (Mao et al., 2017), and dH() repre-
sents the Haudorsff distance, which measures the distance between a generated complete point cloud
its corresponding input partial point cloud. For clarity, we use zt and rt to represent variables of the
tth point in a point cloud, and gu,xp,φ(z) to represent a generated point cloud. Detailed derivations
of Equation 12 are in appendix."
UNPAIRED POINT CLOUD COMPLETION,0.3081761006289308,"Training with Equation 12 is different from the previous settings, because we also need to train the
discriminator of the GAN. The objective for D() is"
UNPAIRED POINT CLOUD COMPLETION,0.3113207547169811,"min
D Epdata(xc)

(D(xc) −1)2
+ Epdata(xp),pZ(z),q(u|xp)

D(gxp,u,φ(z))2
.
(13)"
UNPAIRED POINT CLOUD COMPLETION,0.31446540880503143,"The training process is similar to traditional GAN training. The inverse ﬂow gu,xp,φ can be roughly
seen as the generator. In training, we train the ﬂow to optimize Equation 12 and the discriminator to
optimize Equation 13, alternatively."
RELATED WORK,0.31761006289308175,"5
RELATED WORK"
RELATED WORK,0.32075471698113206,"In this section, we introduce the research that most related to our work."
RELATED WORK,0.3238993710691824,"Weakly Supervised Learning. For weakly supervised classiﬁcation, we use the same strategy as
adversarial label learning (ALL) (Arachie & Huang, 2021b) to deﬁne constraint functions based on
weak signals. ALL then uses a min-max optimization to learn the model parameters and estimate y
alternatively. In contrast to ALL, LLF is a generative model, so it can learn the model parameters and
output y simultaneously, and it does not need a min-max optimization. Moreover, LLF optimizes the
likelihoods of all possible ys within Ω, while ALL only estimates one possible y. Other methods
also constrain the label space of the predicted labels using weak supervision (Arachie & Huang,
2021a;b; Mazzetto et al., 2021a;b). These methods are deterministic and developed for classiﬁcation
tasks. However, LLF can be used for regression and uses sampling during inference."
RELATED WORK,0.3270440251572327,"Non-constraint based weak supervision methods typically assume a joint distribution for the weak
signals and the true labels of the data. These methods use a latent variable model to estimate the
labels of the data while accounting for the dependency among the weak signals (Ratner et al., 2016;
2019; Fu et al., 2020). Like these methods, we assume a family of distributions for the label space
of the data. This space is deﬁned by the constraints of the weak supervision and the data. Unlike
these methods, we use a ﬂow network rather than a graphical model to solve for the label of the"
RELATED WORK,0.330188679245283,Under review as a conference paper at ICLR 2022
RELATED WORK,0.3333333333333333,"data. Additionally, we do not solve for the dependence amongst the weak signals thereby avoiding
the need for making extra assumptions."
RELATED WORK,0.33647798742138363,"Normalizing Flows. Normalizing ﬂows (Dinh et al., 2014; Rezende & Mohamed, 2015; Dinh et al.,
2016; Kingma & Dhariwal, 2018) have gained recent attention because of their advantages of ex-
act latent variable inference and log-likelihood evaluation. Speciﬁcally, conditional normalizing
ﬂows have been widely applied to many supervised learning problems (Trippe & Turner, 2018;
Lu & Huang, 2020; Lugmayr et al., 2020; Pumarola et al., 2020) and semi-supervised classiﬁca-
tion (Atanov et al., 2019; Izmailov et al., 2020). However, normalizing ﬂows have not previously
been applied to weakly supervised learning problems."
