Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.002544529262086514,"Rigorously establishing the safety of black-box machine learning models con-
cerning critical risk measures is important for providing guarantees about model
behavior. Recently, Bates et. al. (JACM ’24) introduced the notion of a risk
controlling prediction set (RCPS) for producing prediction sets that are statisti-
cally guaranteed low risk from machine learning models. Our method extends
this notion to the sequential setting, where we provide guarantees even when the
data is collected adaptively, and ensures that the risk guarantee is anytime-valid,
i.e., simultaneously holds at all time steps. Further, we propose a framework for
constructing RCPSes for active labeling, i.e., allowing one to use a labeling policy
that chooses whether to query the true label for each received data point and ensures
that the expected proportion of data points whose labels are queried are below
a predetermined label budget. We also describe how to use predictors (i.e., the
machine learning model for which we provide risk control guarantees) to further
improve the utility of our RCPSes by estimating the expected risk conditioned on
the covariates. We characterize the optimal choices of label policy and predictor
under a fixed label budget and show a regret result that relates the estimation error
of the optimal labeling policy and predictor to the wealth process that underlies
our RCPSes. Lastly, we present practical ways of formulating label policies and
empirically show that our label policies use fewer labels to reach higher utility than
naive baseline labeling strategies on both simulations and real data."
INTRODUCTION,0.005089058524173028,"1
Introduction"
INTRODUCTION,0.007633587786259542,"One of the core problems of modern deep learning systems is the lack of rigorous statistical guarantees
one can ensure about the performance of a model in practice. In particular, we are interested in
ensuring the safety of a deep learning system so that it does not incur undue risk while optimizing
for an objective of interest. This type of guarantee arises in many applications. For example, a
deep learning based medical imaging segmentation system that detects lesions [36, 10, 29] should
guarantee that it does not miss most of the lesion tissue while remaining precise and minimizing
the total amount of tissue that is highlighted. Hence, it is crucial to provide a statistical guarantee
about the “safety” of any machine learning system to be deployed. Bates et al. [4] introduced the
notion of a risk controlling prediction set as a method to derive such guarantees on top of the outputs
of a wide range of black-box models. They consider the setting where all the calibration data for
verifying statistical safety guarantees is available before deployment and the model only needs to be"
INTRODUCTION,0.010178117048346057,∗Part of work done while interning at Microsoft.
INTRODUCTION,0.01272264631043257,"calibrated once, i.e., the batch setting. However, this is often unrealistic in a production setup when
we have no data concerning the performance of a model on the distribution of interest before we
deploy it, and we wish to update our calibration each time a new data point (or group of data points)
arrives. Consequently, it is natural to calibrate the machine learning model in an online fashion while
receiving new data sequentially. Unfortunately, methods for obtaining statistical guarantees in the
batch setting of Bates et al. [4] do not ensure risk control guarantees in the sequential regime. Further,
when one uses data from production, the raw data is unlabeled, and one must expend resources (either
paying experts or utilizing a more powerful model) to create gold labels for these data points. Hence,
we generalize the sequential setup to an active setting in which we see the covariate X (e.g., an
image, a natural language query from the user, etc.) and choose whether to query the true label Y .
Concretely, consider the following scenarios where an active and sequential method is relevant."
INTRODUCTION,0.015267175572519083,"• Reduce query cost in medical imaging. A medical imaging system that outputs scores for for each
pixel of image that determines whether there is a lesion or not would want to utilize labels given by
medical experts for unlabeled images from new patients. Since the cost of asking experts to label
these images is quite high, one would want to query experts efficiently, and only on data that would
be most helpful for reducing the number of highlighted pixels.
• Domain adaptation for behavior prediction. Often, the post-deployment distribution is different
from that which has been seen before. For example, during a navigation task for a robot, we may
want to predict the actions of other agents and avoid colliding into them when travelling between
two points [20]. Since agents may behave differently in every environment, it makes sense to
collect the behavior data in the test environment and update the behavior prediction in an online
fashion to get accurate predictions calibrated for that specific environment.
• Safe outputs for large language models (LLMs). One of the goals with large language models is to
ensure their responses are not harmful in some fashion (e.g., factually wrong, toxic, etc.). One can
view this as producing a prediction set for the binary label set of Y ∈{harmful, not harmful}.
Many pipelines for modern LLMs include some form of a safety classifier, which scores the risk
level of an output, and determines whether it should be output to the user or not [21, 15], or a
default backup response should be used instead. One would want to label production data acquired
from user interaction with the LLM and used to calibrate cutoff for the scores that are considered
low enough for the response to be allowed through."
INTRODUCTION,0.017811704834605598,"Example: image classification
Let us assume we wish to classify an image X ∈X, and we have
access to a probabilistic classifier s : X →∆Y where ∆Y is the probability simplex over distributions
over all possible classes, Y. Let sy(x) denote the probability of class y in the distribution s(x).
Based on the probabilities from s(X), we can define C(X, β) to have the labels with the largest
probabilities that sum to β ∈[0, 1] in the following fashion:"
INTRODUCTION,0.020356234096692113,"γ(X, β) := max 
"
INTRODUCTION,0.022900763358778626,"γ ∈[0, 1] :
X"
INTRODUCTION,0.02544529262086514,"y∈Y
1 {sy(X) ≥γ} · sy(X) ≥β 
 ,"
INTRODUCTION,0.027989821882951654,"C(X, β) := {y ∈Y : sy(X) ≥γ(X, β)}"
INTRODUCTION,0.030534351145038167,"Now, we can define the miscoverage error of our label set C(X, β) as follows:"
INTRODUCTION,0.03307888040712468,"r(X, Y, β) := 1 {Y ̸∈C(X, β)} .
(1)"
INTRODUCTION,0.035623409669211195,"Now, assume that (X, Y ) ∼P∗, i.e., the images and class are jointly drawn from a fixed distribution.
We want to find a choice of β such that ρ(β) := E[r(X, Y, β)] is guaranteed to be at most θ ∈[0, 1],
i.e., the expected miscoverage over the population of images and labels is at most θ."
INTRODUCTION,0.03816793893129771,"In the above image classification example, we do not simply wish to find any β that ensures ρ(β) ≤θ
— setting β = 1 would trivially ensure this guarantee for any θ ∈[0, 1]. We also want to minimize
the size of our uncertainty set C(X, β). To present this formulation in more general terms, we are
interested in solving the following problem for a fixed level of risk control θ ∈[0, 1]:"
INTRODUCTION,0.04071246819338423,"max
β
g(β)
subject to ρ(β) ≤θ.
(2)"
INTRODUCTION,0.043256997455470736,"where g is the utility of our choice. We make the following natural assumption about r, ρ, and g.
Assumption 1. g and ρ are monotonically decreasing w.r.t. β and we assume ρ(1) = 0. In addition, ρ
is right-continuous."
INTRODUCTION,0.04580152671755725,"Our image classification example has an expected risk and utility that satisfy the respective mono-
tonicity assumptions, and such risk measures arise in many applications such as natural language
question answering [26], image segmentation [1], and behavior control for robotics [20, 16]. As-
sumption 1 implies that maximizing g(β) is equivalent to minimizing β, as g is decreasing in β, and
the right-continuity of ρ allows us to define the notion of an optimal calibration parameter that is the
solution to (2):"
INTRODUCTION,0.04834605597964377,"β∗:= min {β ∈[0, 1] : ρ(β) ≤θ}."
INTRODUCTION,0.05089058524173028,"Our goal in this paper is to derive a sequence of upper bounds on β∗that quickly approach the true
β∗but provide “anytime-valid risk control” in the sense that they are always greater the smallest
“safe” parameter β∗and induce risk under θ, i.e., β ≥β∗implies that ρ(β) ≤ρ(β∗) ≤θ. Since we
are guaranteed by Assumption 1 that ρ(1) = 0 ≤θ, we always have a safe option of β = 1 to start
with as our upper bound."
INTRODUCTION,0.05343511450381679,Our contributions. The primary contributions of this paper are as follows.
INTRODUCTION,0.05597964376590331,"1. Extensions of RCPS to anytime-valid and active settings. We extend the notion of RCPS in two
ways: (1) to enable anytime-valid RCPS which allows one to refine the set as one receives more
samples in a stream while maintaining risk control throughout the entire stream, and (2) to define
an RCPS that is valid under active learning, i.e., enable us to decide whether to label each example
based on the covariates. We also define a way for incorporating risk predictions from the machine
learning model to decrease variance further and reduce the number of labels needed to estimate
β∗. We formulate this betting framework in Section 2.
2. Deriving powerful labeling policies and predictors. We show in Section 3 that our active, anytime-
valid RCPS methods are practically powerful and converge to β∗in a label efficient manner
by also deriving formulations for the optimal labeling policy and predictors under the standard
log-optimality criterion that is used for evaluating anytime-valid methods [13, 34, 19]. We derive
explicit regret bounds w.r.t. a lower bound on the growth rate on the wealth processes that underlie
our RCPS methods. These bounds characterize how the deviation of any labeling policy and
predictor from the log-optimal policy and predictor affect the growth rate of our wealth processes
(and hence the earliest time at which a candidate β is removed from consideration as β∗). In
Section 4 we also show that machine learning model based estimators of the optimal policy and
predictors are label efficient in practice through experiments."
INTRODUCTION,0.058524173027989825,"Related work. Most relevant to this paper is the recent work from Zrnic and Cand`es [37] that
provides a rigorous framework for statistical inference with active labeling policies, and leverages
machine learning predictions through prediction-powered inference [2]. However, their focus is on
M-estimation and deriving asymptotic, martingale central-limit theorem based results for a parameter.
On the other hand, we provide finite sample anytime-valid results that are also valid at adaptive
stopping times that directly utilize e-process [28] construction of sequential tests. Further, our goal is
to provide a time-uniform statistical guarantee in the RCPS framework rather than directly estimating
a parameter with adaptively collected data. We discuss additional related work in depth in Section 5."
ANYTIME-VALID RISK CONTROL THROUGH BETTING,0.061068702290076333,"2
Anytime-valid risk control through betting"
