Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0017452006980802793,"Recently developed quasi-Bayesian (QB) methods [29] proposed a stimulating
change of paradigm in Bayesian computation by directly constructing the Bayesian
predictive distribution through recursion, removing the need for expensive compu-
tations involved in sampling the Bayesian posterior distribution. This has proved
to be data-efficient for univariate predictions, however, existing constructions for
higher dimensional densities are only possible by relying on restrictive assumptions
on the model’s multivariate structure. Here, we propose a wholly different ap-
proach to extend Quasi-Bayesian prediction to high dimensions through the use of
Sklar’s theorem, by decomposing the predictive distribution into one-dimensional
predictive marginals and a high-dimensional copula. We use the efficient recursive
QB construction for the one-dimensional marginals and model the dependence
using highly expressive vine copulas. Further, we tune hyperparameters using
robust divergences (eg. energy score) and show that our proposed Quasi-Bayesian
Vine (QB-Vine) is a fully non-parametric density estimator with an analytical form
and convergence rate independent of the dimension of the data in some situations.
Our experiments illustrate that the QB-Vine is appropriate for high dimensional
distributions (∼64), needs very few samples to train (∼200) and outperforms state-
of-the-art methods with analytical forms for density estimation and supervised
tasks by a considerable margin."
INTRODUCTION,0.0034904013961605585,"1
Introduction"
INTRODUCTION,0.005235602094240838,"The estimation of joint densities is a cornerstone of machine learning as a looking glass into the
underlying data-generating process of multivariate data. Methods that support explicit density
evaluation are crucial in probabilistic modelling, with applications in variational methods [58, 85],
Importance Sampling [2, 67], Sequential Monte Carlo [41], Markov Chain Monte Carlo (MCMC)
[92, 49] and simulation-based inference [81, 62]. A prominent example are Normalising Flows (NF)
[80, 24, 82], leveraging deep networks with invertible transformations for analytical expressions and
sampling. Despite impressive performances, they require meticulous manual hyperparameter tuning
and large amounts of data to train. Bayesian methods are another attractive approach for analytical
density modelling where the central object of interest is the predictive density, with the Dirichlet
Process Mixture Model (DPMM) [46] as the canonical nonparametric choice. Similar to kernel
density estimation, the DPMM can be interpreted as an infinite mixture of densities. It is composed
of a density called a kernel, with a fixed parametric form, and of a mixing density responsible for
assigning those parameters. The specification of this kernel and mixing density is thus important"
INTRODUCTION,0.006980802792321117,"as they regulate the expressivity of a DPMM. However, the computation of the DPMM’s predictive
density is laborious as it relies on expensive MCMC methods scaling poorly to high-dimensions1."
INTRODUCTION,0.008726003490401396,"Recently, [29] proposed an appealing shift in Bayesian methods through the efficient constructions of
Quasi-Bayesian (QB) sequences of predictive densities using only recursion, thereby circumventing
the need for MCMC in Bayesian inference, and inspiring an offspring of works utilising this method-
ology [28, 59, 35, 26, 99, 69, 101]. The seminal univariate Recursive Bayesian Predictive (R-BP)
[43], its multivariate (Rd-BP) extension [29] and the AutoRegressive Bayesian Predictive (AR-BP)
[35] are all QB models targeting the predictive mean of the DPMM, with an analytical recursive form
driven by bivariate copula updates. Notably, the AR-BP demonstrated superior density estimation
capabilities compared to a suite of competitors on varied supervised and unsupervised datasets, is
orders of magnitude faster than standard Bayesian methods and is data-efficient, i.e. does not require
large amounts of training data to be effective."
INTRODUCTION,0.010471204188481676,"In multivariate QB predictives, to derive analytical expressions, it is necessary to enforce assumptions
on the DPMM kernel structure. The kernel of the Rd-BP is set to be independent across dimensions,
where this strong assumption is too constraining for more complex data. This is relaxed in the
AR-BP through an autoregressive form of the kernel, where each kernel mean is a similarity function
of previous dimensions modelled through a covariance function or a deep autoregressive network,
depending on the complexity of the data. The former relies on a fixed form that is often too simplistic
while the latter loses the appeal of a data-efficient predictive like in the Rd-BP. Here, we posit that
these assumptions, required for obtaining existing recursions, lack the flexibility to model multivariate
data accurately."
INTRODUCTION,0.012216404886561954,"In this paper, we introduce the Quasi-Bayesian Vine (QB-Vine) as a more general approach to forming
multivariate QB recursions, utilising a copula decomposition to circumvent restrictive assumptions on
the DPMM kernel. The QB-Vine is obtained by applying Sklar’s theorem [91] to the joint predictive,
thereby dissecting it into univariate marginal predictive densities and a multivariate copula. Marginal
predictives are modelled with the data-efficient univariate R-BP while the multivariate copula is
modelled with a simplified vine copula - a highly flexible copula model suited for high dimensions.
Compared to the sequential constructions of previous work, the QB-Vine is inherently parallelizable
over dimensions instead of sequential. The main contributions of our work are as follows:"
INTRODUCTION,0.013961605584642234,"• The copula decomposition frees us from the need to assume specific kernel structures of the
DPMM, but preserves the data efficiency of QB methods while making it more effective on
high-dimensional data."
INTRODUCTION,0.015706806282722512,"• Under certain assumptions on the true dependence structure within the data, we show that
the QB-Vine attains a convergence rate that is independent of the dimension."
