Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.003236245954692557,"The increasing size of neural networks has led to a growing demand for methods of
efficient fine-tuning. Recently, an orthogonal fine-tuning paradigm was introduced
that uses orthogonal matrices for adapting the weights of a pretrained model. In
this paper, we introduce a new class of structured matrices, which unifies and
generalizes structured classes from previous works. We examine properties of
this class and build a structured orthogonal parametrization upon it. We then use
this parametrization to modify the orthogonal fine-tuning framework, improving
parameter and computational efficiency. We empirically validate our method
on different domains, including adapting of text-to-image diffusion models and
downstream task fine-tuning in language modeling. Additionally, we adapt our
construction for orthogonal convolutions and conduct experiments with 1-Lipschitz
neural networks."
INTRODUCTION,0.006472491909385114,"1
Introduction"
INTRODUCTION,0.009708737864077669,"Orthogonal transforms have proven useful in different deep learning tasks. For example, they were
shown to stabilize CNNs [Li et al., 2019, Singla and Feizi, 2021] or used in RNNs to combat the
problem of exploding/vanishing gradients [Arjovsky et al., 2016]. Recent works OFT (Orthogonal
Fine-Tuning) and BOFT (Butterfly Orthogonal Fine-Tuning) [Qiu et al., 2023, Liu et al., 2024b] use
learnable orthogonal matrices for parameter-efficient fine-tuning of neural networks, which prevents
training instabilities and overfitting that alternative methods like LoRA [Hu et al., 2022] suffer from."
INTRODUCTION,0.012944983818770227,"Nevertheless, parametrization of orthogonal matrices is a challenging task, and the existing methods
typically lack in either computational efficiency or expressiveness. Classical methods like Cayley
parametrization and matrix exponential map cannot operate under low parameter budget, while
Givens rotations and Householder reflections requires computing products of several matrices, which
makes their use less efficient in deep learning tasks. Alternative approach in OFT method uses block-
diagonal matrix structure in an attempt to be more computationally efficient and use less trainable
parameters. Unfortunately, this simple structure can be too restrictive. Thus, arises the problem of
constructing dense orthogonal matrix while still being parameter-efficient. While attempting to tackle
this task, BOFT method uses a variation of butterfly matrices, parametrizing orthogonal matrices as a
product of several matrices with different sparsity patterns, enforcing orthogonality on each of them.
This parametrization is able to construct dense matrices while still being parameter-efficient. However
it requires to compute a product of multiple matrices (typically up to 6) which can be computationally
expensive. In this paper, we aim to overcome these issues and build dense orthogonal matrices in a
more efficient way."
INTRODUCTION,0.016181229773462782,"We present a novel structured matrix class parametrized by an alternating product of block-diagonal
matrices and several permutations. Multiplying by these matrices can be seen as a consecutive
application of independent linear transforms within certain small groups and then shuffling the
elements between them, hence the name Group-and-Shuffle matrices (or GS-matrices for short). This
class generalizes Monarch matrices [Dao et al., 2022] and with the right permutation choices, is
able to form dense orthogonal matrices more effectively compared to approach proposed in BOFT,
decreasing number of matrices in the product as well as the number of trainable parameters. We
build efficient structured orthogonal parametrization with this class and use it to construct a new
parameter-efficient fine-tuning method named GSOFT."
INTRODUCTION,0.019417475728155338,Our contributions:
INTRODUCTION,0.022653721682847898,"• We introduce a new class of structured matrices, called GS, that is more effective at forming
dense matrices than block butterfly matrices from the BOFT method.
• Using GS-matrices, we propose an efficient structured orthogonal parametrization, provide
theoretical insights and study its performance in the orthogonal fine-tuning framework.
• We adapt our ideas for convolutional architectures, providing a framework to compress and
speed-up orthogonal convolution layers."
ORTHOGONAL FINE-TUNING,0.025889967637540454,"2
Orthogonal Fine-tuning"
ORTHOGONAL FINE-TUNING,0.02912621359223301,"Orthogonal Fine-tuning method (OFT) introduced in [Qiu et al., 2023] is a Parameter-Efficient
Fine-Tuning (PEFT) method which fine-tunes pre-trained weight matrices through a learnable
orthogonal block-diagonal matrix. Some of the properties that make orthogonal transforms desirable
are preservation of pair-wise angles of neurons, spectral properties and hyperspherical energy. More
precisely, OFT optimizes an orthogonal matrix Q ∈Rd×d for a pre-trained frozen weight matrix
W 0 ∈Rd×n and modifies the multiplication y = (W 0)⊤x to y = (QW 0)⊤x. Note that the identity
matrix I is orthogonal, which makes it a natural initialization for Q. OFT uses block-diagonal
structure for Q, parameterizing it as
Q = diag(Q1, Q2, . . . , Qr),
where Qi ∈Rb×b are small orthogonal matrices and br = d. Orthogonality is enforced by Cayley
parametrization, i.e.
Qi = (I + Ki)(I −Ki)−1,
where Ki are skew-symmetric: Ki = −K⊤
i . This ensures orthogonality of Qi and, hence, of Q."
ORTHOGONAL FINE-TUNING,0.032362459546925564,"Nevertheless, block-diagonal matrices can be too restrictive, as they divide neurons into r independent
groups based on their indices. This motivates the construction of dense parameter-efficient orthogonal
matrices. To address this problem, the Orthogonal Butterfly method (BOFT) was introduced [Liu
et al., 2024b]. BOFT uses block-butterfly structure to construct Q. Essentially, Q is parameterized as
a product of m orthogonal sparse matrices:
Q = BmBm−1 . . . B1.
Each matrix Bi is a block-diagonal matrix up to a permutation of rows and columns, consisting
of r block matrices of sizes b × b. Similarly to OFT, the orthogonality is enforced by the Cayley
parametrization applied to each block. However, BOFT method has some areas for improvement as
well. To construct a dense matrix, BOFT requires at least
m = 1 + ⌈log2(r)⌉
matrices. For example, the authors of BOFT use m = 5 or 6 matrices in the BOFT method for
fine-tuning of Stable Diffusion [Rombach et al., 2022]. Large amount of stacked matrices leads to
significant time and memory overhead during training. There is also a room for improvement in terms
of parameter-efficiency. To overcome these issues, we introduce a new class of structured matrices
that we denote GS (group-and-shuffle) that generalizes Monarch matrices [Dao et al., 2022, Fu et al.,
2024] and show how to use this class to construct parameter-efficient orthogonal parametrization.
Similarly to BOFT, our approach uses block-diagonal matrices and permutations, but requires only
m = 1 + ⌈logb(r)⌉
matrices of the same size to construct a dense matrix. See details in Section 5.2. The reduced
requirements on m allow us to use m = 2 in experiments to maximize computational efficiency,
while still maintaining accurate results."
GS-MATRICES,0.03559870550161812,"3
GS-matrices"
GS-MATRICES,0.038834951456310676,Our motivation within this work is to utilize orthogonal matrices of the form:
GS-MATRICES,0.042071197411003236,"A = PL(LPR)PR
(1)"
GS-MATRICES,0.045307443365695796,"where matrices L and R are block-diagonal matrices with r blocks of sizes b × b and PL, P, PR
are certain permutation matrices, e.g. PL = P ⊤, PR = I in the orthogonal fine-tuning setting and
PR = P, PL = I for convolutional architectures. Note that although the case PL = P ⊤, PR = I
resembles Monarch matrices [Dao et al., 2022], they are unable to form such a structure, e.g., with
equal-sized blocks in L and R. The issue is that the Monarch class has a constraint that interconnects
the number of blocks in matrix L and the number of blocks in matrix R (see Appendix C for details).
Moreover, Monarch matrices have not been considered with orthogonality constraints."
GS-MATRICES,0.04854368932038835,"To build matrices of the form (1), we first introduce a general class of GS-matrices and study its
properties. We then discuss orthogonal matrices from this class in Section 4."
DEFINITION OF GS-MATRICES,0.05177993527508091,"3.1
Definition of GS-matrices"
DEFINITION OF GS-MATRICES,0.05501618122977346,"Definition 3.1. An m × n matrix A is in GS(PL, P, PR) class with kL, kR blocks and block sizes
b1
L × b2
L, b1
R × b2
R if
A = PL(LPR)PR,"
