Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0017482517482517483,"We present a residual-style architecture for interpretable forecasting and anomaly detection in mul-
tivariate time series. Our architecture is composed of stacked residual blocks designed to separate
components of the signal such as trends, seasonality, and linear dynamics. These are followed by
a Temporal Convolutional Network (TCN) that can freely model the remaining components and
can aggregate global statistics from different time series as context for the local predictions of each
time series. The architecture can be trained end-to-end and automatically adapts to the time scale of
the signals. After modeling the signals, we use an anomaly detection system based on the classic
CUMSUM algorithm and a variational approximation of the f-divergence to detect both isolated
point anomalies and change-points in statistics of the signals. Our method outperforms state-of-
the-art robust statistical methods on typical time series benchmarks where deep networks usually
underperform. To further illustrate the general applicability of our method, we show that it can be
successfully employed on complex data such as text embeddings of newspaper articles."
INTRODUCTION,0.0034965034965034965,"1
INTRODUCTION"
INTRODUCTION,0.005244755244755245,"Time series data is being generated in increasing volumes from industrial, medical, commercial and scientiﬁc appli-
cations. Such growth is fueling demand for anomaly detection algorithms that are general enough to be applicable
across domains, yet reliable enough to operate on real-world time series data (Munir et al., 2019; Geiger et al., 2020;
Su et al., 2019). While recent developments have focused on deep neural networks (DNNs), simple linear models
still outperform DNNs in applications that require robustness (Braei & Wagner, 2020) and interpretable failure modes
(Geiger et al., 2020; Su et al., 2019)."
INTRODUCTION,0.006993006993006993,"To harvest the ﬂexibility and interpretability of engineered modules while enabling end-to-end differentiable training,
we introduce STRIC: Stacked Residuals of Interpretable Components. We follow standard practice and consider a two
stage anomaly detection pipeline comprising a model of the normal time series and an anomaly detector based on the
prediction residuals (Munir et al., 2019). In particular, STRIC is composed of three modules: An interpretable local
predictor, a non-linear predictor and a novel non-parametric anomaly detector."
INTRODUCTION,0.008741258741258742,"More speciﬁcally, STRIC uses a parametric model implemented by a sequence of residuals blocks with each layer
capturing the prediction residual of previous layers. The ﬁrst layer models trends, the second layer models quasi-
periodicity/seasonality at multiple temporal scales, the third layer is a general linear predictor, and the last is a general
non-linear model in the form of a Temporal Convolution Network (TCN). While the ﬁrst three layers are local (i.e.
applied to each component of the time series separately), the last integrates global statistics from additional time series
(covariates). Thanks to the residual structure the interpretable linear blocks do not reduce the representative power
of our non-linear architecture: any component of the input time-series which cannot be modeled by the interpretable
blocks is processed deeper into our architecture by the non-linear module (see Section 4). The model is trained end-to-
end with a prediction loss and we automatically select its complexity using an upper bound of the marginal likelihood
which, to the best of our knowledge, has never been applied to TCNs before."
INTRODUCTION,0.01048951048951049,"Anomalies are detected by checking for time instants in which the prediction residual is not stationary. To avoid any
unrealistic assumption on the prediction residuals distribution, we use a likelihood ratio test that we derive from a
variational upper bound of f-divergences and that can be computed directly from the data points."
INTRODUCTION,0.012237762237762238,"To summarize, our contributions are:"
INTRODUCTION,0.013986013986013986,"1. We introduce STRIC, a stacked residual model that explicitly isolates interpretable factors such as slow
trends, quasi-periodicity, and linearly predictable statistics (Oreshkin et al., 2019; Cleveland et al., 1990), and
incorporates statistics from other time series as context/side information."
WE INTRODUCE A NOVEL REGULARIZATION THAT IS ADDED TO THE PREDICTION LOSS AND IS USED FOR AUTOMATIC MODEL,0.015734265734265736,"2. We introduce a novel regularization that is added to the prediction loss and is used for automatic model
complexity selection according to the Empirical Bayes framework (Rasmussen & Williams, 2006)."
