Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.001440922190201729,"The gradient descent-ascent (GDA) algorithm has been widely applied to solve
nonconvex minimax optimization problems. However, the existing GDA-type
algorithms can only ﬁnd ﬁrst-order stationary points of the envelope function of
nonconvex minimax optimization problems, which does not rule out the possibility
to get stuck at suboptimal saddle points. In this paper, we develop Cubic-GDA – the
ﬁrst Newton-type GDA algorithm for escaping strict saddle points in nonconvex-
strongly-concave minimax optimization. Speciﬁcally, the algorithm uses gradient
ascent to estimate the second-order information of the minimax objective function,
and it leverages the cubic regularization technique to efﬁciently escape the strict
saddle points. Under standard smoothness assumptions on the objective function,
we show that Cubic-GDA admits an intrinsic potential function whose value mono-
tonically decreases in the minimax optimization process. Such a property leads
to a desired global convergence of Cubic-GDA to a second-order stationary point
at a sublinear rate. Moreover, we analyze the convergence rate of Cubic-GDA in
the full spectrum of a gradient dominant-type nonconvex geometry. Our result
shows that Cubic-GDA achieves an orderwise faster convergence rate than the
standard GDA for a wide spectrum of gradient dominant geometry. Our study
bridges minimax optimization with second-order optimization and may inspire new
developments along this direction."
INTRODUCTION,0.002881844380403458,"1
INTRODUCTION"
INTRODUCTION,0.004322766570605188,"Nonconvex minimax optimization is a popular optimization framework that has broad applications
in modern machine learning, including game theory (Ferreira et al., 2012), generative adversarial
networks (Goodfellow et al., 2014), adversarial training (Sinha et al., 2017), reinforcement learning
(Qiu et al., 2020; Ho and Ermon, 2016; Song et al., 2018), etc. A standard nonconvex minimax
optimization problem is shown below, where f is a smooth nonconvex function in x."
INTRODUCTION,0.005763688760806916,"min
x∈Rm max
y∈Rn f(x, y).
(P)"
INTRODUCTION,0.007204610951008645,"In the existing literature, many optimization algorithms have been developed to solve different types
of minimax problems. Among them, a simple and popular algorithm is the gradient descent-ascent
(GDA), which alternates between a gradient descent update on x and a gradient ascent update on
y in each iteration. Speciﬁcally, the global convergence of GDA has been established for minimax
problems under various types of global geometries, such as convex-concave-type geometry (f is
convex in x and concave in y) (Nedi´c and Ozdaglar, 2009; Du and Hu, 2019; Mokhtari et al.,
2020; Zhang and Wang, 2021), bi-linear geometry (Neumann, 1928; Robinson, 1951) and Polyak-
Łojasiewicz geometry (Nouiehed et al., 2019; Yang et al., 2020), yet these geometries are not satisﬁed
by general nonconvex minimax problems. Recently, many studies proved the convergence of GDA in
nonconvex minimax optimization for both nonconvex-concave problems (Lin et al., 2020; Nouiehed
et al., 2019; Xu et al., 2020d) and nonconvex-strongly-concave problems (Lin et al., 2020; Xu et al.,
2020d; Chen et al., 2021). In these studies, it has been shown that GDA converges sublinearly to a
stationary point where the gradient of a certain envelope function of the minimax problem vanishes."
INTRODUCTION,0.008645533141210375,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.010086455331412104,"Although GDA can ﬁnd ﬁrst-order stationary points of nonconvex minimax problems, such a type
of convergence guarantee does not rule out the possibility that GDA may get stuck at suboptimal
saddle points of the envelope function, which are well known to be the major challenge for training
high-dimensional machine learning models (Dauphin et al., 2014; Jin et al., 2017; Zhou and Liang,
2018). On the other hand, while numerous algorithms have been developed for escaping saddle points
in conventional nonconvex optimization, e.g., ﬁrst-order algorithms (Ge et al., 2015; Jin et al., 2017;
Carmon and Duchi, 2016; Liu and Yang, 2017) and second-order algorithms (Nesterov and Polyak,
2006; Agarwal et al., 2017; Yue et al., 2019; Zhou et al., 2018), such a type of algorithm has not been
developed for escaping saddle points in nonconvex minimax optimization. Therefore, we want to ask
the following fundamental questions."
INTRODUCTION,0.011527377521613832,"• Q: How to develop a provably convergent Newton-type GDA algorithm that can effectively escape
saddle points in nonconvex minimax optimization? How fast it converges?"
INTRODUCTION,0.012968299711815562,"Developing and analyzing such an algorithm is nontrivial due to the following reasons: 1) we need to
have a good understanding and characterization of both the ﬁrst-order and second-order information
of nonconvex minimax problems; 2) we need to develop a computationally feasible and efﬁcient GDA
algorithm that can leverage the local curvature of the function to escape saddle points; 3) we aim to
develop a uniﬁed analysis framework that can characterize the convergence rate of this algorithm
under different types of nonconvex geometry of the minimax problem."
INTRODUCTION,0.01440922190201729,"In this paper, we provide comprehensive answers to these questions. We develop the ﬁrst Newton-type
GDA algorithm that escapes strict saddle points and converges to second-order stationary points
in nonconvex-strongly-concave minimax optimization. We also characterize the global and local
convergence rates of this algorithm under various types of nonconvex geometry. We summarize our
contributions as follows."
OUR CONTRIBUTIONS,0.01585014409221902,"1.1
OUR CONTRIBUTIONS"
OUR CONTRIBUTIONS,0.01729106628242075,"We consider the minimax optimization problem (P), where f is a twice-differentiable and nonconvex-
strongly-concave function, and its gradient and Jacobian matrices are Lipschitz continuous. Deﬁne an
envelope function Φ(x) := maxy∈Rn f(x, y). The existing GDA algorithms can only ﬁnd ﬁrst-order
stationary points that satisfy ∇Φ(x∗) = 0. In this paper, we develop a Newton-type GDA algorithm
that converges to second-order stationary points of the nonconvex minimax problem (P)."
OUR CONTRIBUTIONS,0.018731988472622477,"Speciﬁcally, we propose Cubic-GDA – a Newton-type GDA algorithm that leverages the classical
cubic regularization technique to escape saddle points. Different from the standard cubic regulariza-
tion algorithm that uses the Hessian information of the function, the Hessian of Φ(x) is not directly
available in nonconvex minimax optimization, and hence we develop a rigorous and computationally
feasible scheme in Cubic-GDA to estimate the Hessian."
OUR CONTRIBUTIONS,0.020172910662824207,"We study the global convergence property of Cubic-GDA in general nonconvex-strongly-concave
optimization. Speciﬁcally, we show that Cubic-GDA admits an intrinsic potential function H(x, x′, y)
(see Proposition 2), which monotonically decreases along the trajectory of Cubic-GDA. Based on the
monotonicity of this potential function, we show that every limit point of the parameter sequence
{xt}t generated by Cubic-GDA is a second-order stationary point of the minimax problem."
OUR CONTRIBUTIONS,0.021613832853025938,"We further analyze the aymptotic convergence rates of Cubic-GDA under a broad spectrum of the
local nonconvex Łojasiewicz gradient geometry. In this case, we show that Cubic-GDA converges to
a unique limit point, which is a second-order stationary point. Moreover, as the geometry parameter
increases (i.e., sharper local geometry), the convergence rate of Cubic-GDA accelerates from sub-
linear convergence up to super-linear convergence, as we summarize in Table 1 below. In particular,
these convergence rates are orderwise faster than those of the standard GDA under the same type of
nonconvex geometry (Chen et al., 2021) 1."
OUR CONTRIBUTIONS,0.023054755043227664,"1Note that the geometry parameter θ in this paper corresponds to
1
1−θ in (Chen et al., 2021)."
OUR CONTRIBUTIONS,0.024495677233429394,Under review as a conference paper at ICLR 2022
OUR CONTRIBUTIONS,0.025936599423631124,"Table 1: Comparison of potential function value gap H(z) −H∗convergence rates of Cubic-GDA
and GDA under different parameterizations of Łojasiewicz gradient geometry."
OUR CONTRIBUTIONS,0.027377521613832854,"Geometry parameter
GDA (Chen et al., 2021)
Cubic-GDA (This paper)"
OUR CONTRIBUTIONS,0.02881844380403458,"θ ∈(2, +∞)
Super-linear convergence
Super-linear convergence"
OUR CONTRIBUTIONS,0.03025936599423631,"θ = 2
Linear convergence
Super-linear convergence"
OUR CONTRIBUTIONS,0.03170028818443804,θ ∈( 3
OUR CONTRIBUTIONS,0.03314121037463977,"2, 2)
Sub-linear convergence
Super-linear convergence θ = 3"
"SUB-LINEAR CONVERGENCE
LINEAR CONVERGENCE",0.0345821325648415,"2
Sub-linear convergence
Linear convergence"
"SUB-LINEAR CONVERGENCE
LINEAR CONVERGENCE",0.03602305475504323,"θ ∈(1, 3"
"SUB-LINEAR CONVERGENCE
LINEAR CONVERGENCE",0.037463976945244955,"2)
Sub-linear convergence
Sub-linear convergence"
RELATED WORK,0.03890489913544669,"1.2
RELATED WORK"
RELATED WORK,0.040345821325648415,"Deterministic GDA algorithms: Many studies characterized the convergence of GDA in nonconvex
minimax optimization. Speciﬁcally, Lin et al. (2020); Nouiehed et al. (2019); Xu et al. (2020d)
studied the convergence of GDA in the nonconvex-concave setting whereas Lin et al. (2020); Xu et al.
(2020d) focused on the nonconvex-strongly-concave setting. In these general nonconvex settings,
it is shown that GDA converges to a certain stationary point at a sublinear rate. Recently, Chen
et al. (2021) proved the parameter convergence of proximal-GDA in regularized nonconvex-strongly-
concave optimization under the Kurdyka-Łojasiewicz geometry. The convergence rates obtained
there are orderwise slower than that of Cubic-GDA. Yang et al. (2020) studied an alternating gradient
descent-ascent (AGDA) algorithm in which the gradient ascent step uses the current variable xt+1
instead of xt. Xu et al. (2020d) studied an alternating gradient projection algorithm which applies
ℓ2 regularizer to the local objective function of GDA followed by projection onto the constraint
sets. Daskalakis and Panageas (2018); Mokhtari et al. (2020); Zhang and Wang (2021) analyzed
optimistic gradient descent-ascent (OGDA) which applies negative momentum to accelerate GDA.
Mokhtari et al. (2020) also studied an extra-gradient algorithm which applies two-step GDA in
each iteration. Nouiehed et al. (2019) studied multi-step GDA where multiple gradient ascent steps
are performed, and they also studied the momentum-accelerated version. Cherukuri et al. (2017);
Daskalakis and Panageas (2018); Jin et al. (2020) studied GDA in continuous time dynamics using
differential equations. Adolphs et al. (2019) analyzed a second-order variant of the GDA algorithm.
In a concurrent work (Luo and Chen, 2021), the authors proposed and studied the same Cubic-GDA
algorithm. They characterize the computation complexity under a special type of inexactness that
approximates the inverse Jacobian using matrix Chebyshev polynomials. As a comparison, this study
focuses on analyzing the global and local convergence properties of Cubic-GDA."
RELATED WORK,0.04178674351585014,"Stochastic GDA algorithms: Lin et al. (2020); Yang et al. (2020) analyzed stochastic GDA and
stochastic AGDA, which are direct extension of GDA and AGDA to the stochastic setting. Variance
reduction techniques have been applied to stochastic minimax optimization, including SVRG-based
(Du and Hu, 2019; Yang et al., 2020), SPIDER-based (Xu et al., 2020c), SREDA (Xu et al., 2020b),
STORM (Qiu et al., 2020) and its gradient free version (Huang et al., 2020). Xie et al. (2020) studied
the complexity lower bound of ﬁrst-order stochastic algorithms for ﬁnite-sum minimax problem."
RELATED WORK,0.043227665706051875,"Cubic regularization (CR): CR algorithm dates back to (Griewank, 1981), where global convergence
of the algorithm is established. In Nesterov and Polyak (2006), the authors analyzed the convergence
rate of CR to second-order stationary points for nonconvex optimization. In (Nesterov, 2008), the
authors established the sub-linear convergence of CR for solving convex smooth problems, and they
further proposed an accelerated version of CR with improved sub-linear convergence. Recently, Yue
et al. (2019) studied the asymptotic convergence properties of CR under the error bound condition,
and established the quadratic convergence of the iterates. Recently, Hallak and Teboulle (2020)
proposed a framework of two directional method for ﬁnding second-order stationary points in general
smooth nonconvex optimization. This main idea of the algorithm is to search for a feasible direction
toward the solution and is not based on cubic regularization. Several other works proposed different
methods to solve the cubic subproblem of CR, e.g., (Agarwal et al., 2017; Carmon and Duchi, 2016;
Cartis et al., 2011b). Another line of work aimed at improving the computation efﬁciency of CR by
solving the cubic subproblem with inexact gradient and Hessian information. In particular, Ghadimi
et al. (2017) proposed an inexact CR for solving convex problem. Also, Cartis et al. (2011a) proposed"
RELATED WORK,0.0446685878962536,Under review as a conference paper at ICLR 2022
RELATED WORK,0.04610951008645533,"an adaptive inexact CR for nonconvex optimization, whereas Jiang et al. (2017) further studied
the accelerated version for convex optimization. Several studies explored subsampling schemes to
implement inexact CR algorithms, e.g., (Kohler and Lucchi, 2017; Xu et al., 2020a; Zhou and Liang,
2018; Wang et al., 2018)."
PROBLEM FORMULATION AND PRELIMINARIES,0.04755043227665706,"2
PROBLEM FORMULATION AND PRELIMINARIES"
PROBLEM FORMULATION AND PRELIMINARIES,0.04899135446685879,"In this section, we introduce the problem formulation and present some preliminary results that will
be used in the analysis."
PROBLEM FORMULATION AND PRELIMINARIES,0.05043227665706052,"Notation: For notation simplicity, we denote ∇1f, ∇2f as the gradients with respect to the ﬁrst and
the second input arguments of f, respectively. We also denote ∇11f, ∇22f as the Jacobian matrices
where the second-order derivatives are taken over the ﬁrst and second arguments of f, respectively.
Moreover, we denote ∇12f as the Jacobian matrix where the second-order derivative is taken over
the ﬁrst argument of f and followed by the second argument, and ∇21f is deﬁned in a similar way."
PROBLEM FORMULATION AND PRELIMINARIES,0.05187319884726225,"We consider the minimax optimization problem (P) that satisﬁes the following standard assumptions.
Assumption 1. The minimax optimization problem (P) satisﬁes:"
PROBLEM FORMULATION AND PRELIMINARIES,0.053314121037463975,"1. Function f(·, ·) is L1-smooth and function f(x, ·) is µ-strongly concave for all ﬁxed x;"
PROBLEM FORMULATION AND PRELIMINARIES,0.05475504322766571,"2. The Jacobian matrices ∇11f, ∇12f, ∇21f, ∇22f are L2-Lipschitz;"
PROBLEM FORMULATION AND PRELIMINARIES,0.056195965417867436,3. Function Φ is bounded below and has compact sub-level sets.
