Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0037593984962406013,"Topological Data Analysis (TDA) provides a pipeline to extract quantitative topo-
logical descriptors from structured objects. This enables the definition of topo-
logical loss functions, which assert to what extent a given object exhibits some
topological properties. These losses can then be used to perform topological op-
timization via gradient descent routines. While theoretically sounded, topological
optimization faces an important challenge: gradients tend to be extremely sparse,
in the sense that the loss function typically depends on only very few coordinates
of the input object, yielding dramatically slow optimization schemes in practice.
Focusing on the central case of topological optimization for point clouds, we pro-
pose in this work to overcome this limitation using diffeomorphic interpolation,
turning sparse gradients into smooth vector fields defined on the whole space,
with quantifiable Lipschitz constants. In particular, we show that our approach
combines efficiently with subsampling techniques routinely used in TDA, as the
diffeomorphism derived from the gradient computed on a subsample can be used
to update the coordinates of the full input object, allowing us to perform topo-
logical optimization on point clouds at an unprecedented scale. Finally, we also
showcase the relevance of our approach for black-box autoencoder (AE) regular-
ization, where we aim at enforcing topological priors on the latent spaces associ-
ated to fixed, pre-trained, black-box AE models, and where we show that learning
a diffeomorphic flow can be done once and then re-applied to new data in linear
time (while vanilla topological optimization has to be re-run from scratch). More-
over, reverting the flow allows us to generate data by sampling the topologically-
optimized latent space directly, yielding better interpretability of the model."
INTRODUCTION,0.007518796992481203,"1
Introduction"
INTRODUCTION,0.011278195488721804,"Persistent homology (PH) is a central tool of Topological Data Analysis (TDA) that enables the
extraction of quantitative topological information (such as, e.g., the number and sizes of loops, con-
nected components, branches, cavities, etc) about structured objects (such as graphs, times series or"
INTRODUCTION,0.015037593984962405,"∗Part of this work was done when MT was doing an internship at the Laboratoire d’Informatique Gaspard
Monge and student at Université Paris-Saclay."
INTRODUCTION,0.018796992481203006,"point clouds sampled from, e.g., submanifolds), summarized in compact descriptors called persis-
tence diagrams (PDs). PDs were initially used as features in Machine Learning (ML) pipelines; due
to their strong invariance and stability properties, they have been proved to be powerful descriptors
in the context of classification of time series [42, 19], graphs [5, 23, 24], images [2, 25, 16], shape
registration [7, 6, 36], or analysis of neural networks [22, 3, 26], to name a few."
INTRODUCTION,0.022556390977443608,"Another active line or research at the crossroad of TDA and ML is (persistence-based) topological
optimization, where one wants to modify an object X so that it satisfies some topological constraints
as reflected in its persistence diagram Dgm(X). The first occurrence of this idea appears in [21],
where one wants to deform a point cloud X ∈Rn×d so that Dgm(X) becomes as close as possible
(w.r.t. an appropriate metric denoted by W) to some target diagram Dtarget, hence yielding to the
problem of minimizing X 7→W(Dgm(X), Dtarget). This idea has then been revisited with different
flavors, for instance by adding topology-based terms in standard losses in order to regularize ML
models [14, 33, 29], improving ML model reconstructions by explicitly accounting for topological
features [16], or improving correspondences between 3D shapes by forcing matched regions to have
similar topology [36]. Formally, this goes through the minimization of an objective function"
INTRODUCTION,0.02631578947368421,"L : X 7→ℓ(Dgm(X)) ∈R,"
INTRODUCTION,0.03007518796992481,"where ℓis a user-chosen loss function that quantifies to what extent Dgm(X) reflects some pre-
scribed topological properties inferred from X. Under mild assumptions (see Section 2), the map
L is differentiable generically and its gradients are obtained as a byproduct of the computation of
Dgm(X). However, these approaches are limited in practice by two major issues: (i) the com-
putation of X 7→Dgm(X) scales poorly with the size of X (e.g., number of points n in a point
cloud, number of nodes in a graph, etc), and (ii) the gradient ∇L(X) tends to be very sparse: if
X = (x1, . . . , xn) ∈Rn×d is a point cloud, ∇L(X)i ̸= 0 for only very few indices i ∈{1, . . . , n}
(the corresponding points are called the critical points of the topological gradient, see Section 2.1)."
INTRODUCTION,0.03383458646616541,"Related works.
Several articles have studied topological optimization in the TDA literature. The
standard, or vanilla, framework to define and study gradients obtained from topological losses was
described in [4, 28], where the high sparsity and long computation times were first identified. To
mitigate this issue, the authors of [34] introduced the notion of critical set that extends the usually
sparse set of critical points in order to get a gradient-like object that would update more points in X.
In [39], the authors used an average of the vanilla topological gradients of several subsamples to get
a denser and faster gradient. On the theoretical side, the authors of [27] demonstrated that adapting
the stratified structure induced by PDs to the gradient definition enables faster convergence."
