Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0009523809523809524,"We propose “collision cross-entropy” as a robust alternative to Shannon’s cross-
1"
ABSTRACT,0.0019047619047619048,"entropy (CE) loss when class labels are represented by soft categorical distributions
2"
ABSTRACT,0.002857142857142857,"y. In general, soft labels can naturally represent ambiguous targets in classification.
3"
ABSTRACT,0.0038095238095238095,"They are particularly relevant for self-labeled clustering methods, where latent
4"
ABSTRACT,0.004761904761904762,"pseudo-labels y are jointly estimated with the model parameters and uncertainty is
5"
ABSTRACT,0.005714285714285714,"prevalent. In case of soft labels y, Shannon’s CE teaches the model predictions σ
6"
ABSTRACT,0.006666666666666667,"to reproduce the uncertainty in each training example, which inhibits the model’s
7"
ABSTRACT,0.007619047619047619,"ability to learn and generalize from these examples. As an alternative loss, we
8"
ABSTRACT,0.008571428571428572,"propose the negative log of “collision probability” that maximizes the chance of
9"
ABSTRACT,0.009523809523809525,"equality between two random variables, predicted class and unknown true class,
10"
ABSTRACT,0.010476190476190476,"whose distributions are σ and y. We show that it has the properties of a generalized
11"
ABSTRACT,0.011428571428571429,"CE. The proposed collision CE agrees with Shannon’s CE for one-hot labels y, but
12"
ABSTRACT,0.012380952380952381,"the training from soft labels differs. For example, unlike Shannon’s CE, data points
13"
ABSTRACT,0.013333333333333334,"where y is a uniform distribution have zero contribution to the training. Collision
14"
ABSTRACT,0.014285714285714285,"CE significantly improves classification supervised by soft uncertain targets. Unlike
15"
ABSTRACT,0.015238095238095238,"Shannon’s, collision CE is symmetric for y and σ, which is particularly relevant
16"
ABSTRACT,0.01619047619047619,"when both distributions are estimated in the context of self-labeled clustering.
17"
ABSTRACT,0.017142857142857144,"Focusing on discriminative deep clustering where self-labeling and entropy-based
18"
ABSTRACT,0.018095238095238095,"losses are dominant, we show that the use of collision CE improves the state-of-
19"
ABSTRACT,0.01904761904761905,"the-art. We also derive an efficient EM algorithm that significantly speeds up the
20"
ABSTRACT,0.02,"pseudo-label estimation with collision CE.
21"
INTRODUCTION AND MOTIVATION,0.02095238095238095,"1
Introduction and Motivation
22"
INTRODUCTION AND MOTIVATION,0.021904761904761906,"Shannon’s cross-entropy H(y, σ) is the most common loss for training network predictions σ from
23"
