Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.004016064257028112,"Transferring representational knowledge of a model to another is a wide-ranging
topic in machine learning. Those applications include the distillation of a large
supervised or self-supervised teacher model to a smaller student model or self-
supervised learning via self-distillation. Knowledge distillation is an original
method to solve these problems, which minimizes a cross-entropy loss between the
prototypical probabilistic outputs of teacher and student networks. On the other
hand, contrastive learning has shown its competency in transferring representations
as they allow students to capture the information of teacher representations. In this
paper, we amalgamate the advantages of knowledge distillation and contrastive
learning by modeling the critic of a contrastive objective by the prototypical proba-
bilistic discrepancy between two features. We refer to it as prototypical contrastive
predictive coding and present efﬁcient implementation using the proposed objective
for three distillation tasks: supervised model compression, self-supervised model
compression, and self-supervised learning via self-distillation. Through extensive
experiments, we validate the effectiveness of our method compared to various
supervised and self-supervised knowledge distillation baselines."
INTRODUCTION,0.008032128514056224,"1
INTRODUCTION"
INTRODUCTION,0.012048192771084338,"In machine learning, knowledge distillation (KD) is a problem that aims to transfer the knowledge
from one network (a teacher) to another one (a student). The original method introduced by Hinton
et al. (2015); Buciluˇa et al. (2006) minimizes the cross-entropy between the probabilistic outputs
of teacher and student networks. Even though the simplicity of its implementation, many other
distillation methods cannot easily outperform KD. Therefore the concept of knowledge distillation
has been expanded to various machine learning tasks other than supervised model compressions, such
as self-supervised learning (Caron et al., 2020; 2021) or self-supervised model compression (Fang
et al., 2021). Those methods rely on minimizing the discrepancy of probabilistic outputs of teacher
and student networks, thus require a function that maps a data or feature into a probability space. It is
straightforward to use a linear mapping for it, which we refer to a prototypes."
INTRODUCTION,0.01606425702811245,"On the other hand, contrastive learning has its merits in capturing correlations and high-order
dependencies over teacher representations as they are trained by pulling the positives and pushing
over the negatives. Especially, contrastive objectives such as NCE (Gutmann & Hyvärinen, 2010) or
CPC (as known as InfoNCE) (Oord et al., 2018; Bachman et al., 2019; Hjelm et al., 2018) are proven
to be a lower bound to the mutual information allowing student network to capture the information
from the teacher representations. While many methods (Chen et al., 2020b;c) used those objectives for
representation learning, Tian et al. (2019) proposed contrastive representation distillation (CRD) and
demonstrated the effectiveness of contrastive learning in transferring knowledge from one network to
another."
INTRODUCTION,0.020080321285140562,"However, the current contrastive learning requires large negative samples with careful sampling. To
ameliorate, we combine the prototypical method and contrastive objective to inherit their advantages.
To that end, we propose prototypical contrastive predictive coding (ProtoCPC), which utilizes the
prototypes to generate probability distribution and model the critic by the discrepancy between
two probabilistic outputs. Furthermore, our ProtoCPC objective is a lower bound to the mutual"
INTRODUCTION,0.024096385542168676,Published as a conference paper at ICLR 2022
INTRODUCTION,0.028112449799196786,"information between teacher and student representations alike CPC. But unlike CPC, it does not
require commodious negative samples or careful sampling policies."
INTRODUCTION,0.0321285140562249,"Given the ProtoCPC objective, we present efﬁcient applications on three distillation tasks: super-
vised model compression, self-supervised model compression, and self-supervised learning via
self-distillation. While ProtoCPC is simple in its implementation, we observe that it signiﬁcantly
boosts the performance of representation distillation. Our method outperforms KD, and partially
outperform CRD on CIFAR-100 and ImageNet. Moreover, our method achieves state-of-the-art
performance on transferring various self-supervised teacher representations to a small self-supervised
model. Lastly, by construing self-supervised learning as a self-distillation, we validate the effective-
ness of ProtoCPC in representation learning. Our contributions are following:"
INTRODUCTION,0.03614457831325301,"• We propose a novel prototypical contrastive objective for transferring representational
knowledge between models.
• We apply the proposed objective to three distillation tasks: supervised model compression,
self-supervised model compression, and self-supervised learning via self-distillation.
• Experiments show the effectiveness of our method in various representation distillation
benchmarks, especially achieving state-of-the-art performance in supervised/self-supervised
model compression."
METHOD,0.040160642570281124,"2
METHOD"
PROTOTYPICAL CONTRASTIVE PREDICTIVE CODING,0.04417670682730924,"2.1
PROTOTYPICAL CONTRASTIVE PREDICTIVE CODING"
PROTOTYPICAL CONTRASTIVE PREDICTIVE CODING,0.04819277108433735,"Given data x with a random variable x ∼X, let the teacher network f T and the student network
f S, where they map x into RDT and RDS respectively. Also let T and S be random variables for
representation f T (X) and f S(X) respectively. One can transfer the representational knowledge of
T to S by maximizing the mutual information I(T; S), where it is deﬁned by the KL-divergence
between the joint distribution p(T, S) and the product of marginal distribution p(T)p(S). However,
as estimation and optimization of mutual information is challenging, many approaches count on
maximizing variational lower bound to the mutual information (Poole et al., 2019). The contrastive
predictive coding (Oord et al., 2018), or as known as InfoNCE is a guaranteed lower bound to the
mutual information (Oord et al., 2018; Tian et al., 2020; Bachman et al., 2019; Song & Ermon,
2020), and has shown its competency in both representation learning (He et al., 2020; Chen et al.,
2020b;c) and representation distillation (Tian et al., 2019). Formally, given a zs ∼S with a
positive zt ≡zt0 and N −1 negatives {ztj}N−1
j=1 sampled from T, i.e. (zt, zs) ∼p(T, S) and
{(ztj, zs)}N−1
j=1 ∼p(T)p(S), the following inequality holds for any critic h : RDT × RDS →R+:"
PROTOTYPICAL CONTRASTIVE PREDICTIVE CODING,0.05220883534136546,"I(T; S) ≥E

log
h(zt, zs)"
N,0.05622489959839357,"1
N
PN−1
j=0 h(ztj, zs) 
(1)"
