Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0015432098765432098,"Deep discriminative approaches like random forests and deep neural networks have
1"
ABSTRACT,0.0030864197530864196,"recently found applications in many important real-world scenarios. However, de-
2"
ABSTRACT,0.004629629629629629,"ploying these learning algorithms in safety-critical applications raises concerns, par-
3"
ABSTRACT,0.006172839506172839,"ticularly when it comes to ensuring confidence calibration for both in-distribution
4"
ABSTRACT,0.007716049382716049,"and out-of-distribution data points. Many popular methods for in-distribution (ID)
5"
ABSTRACT,0.009259259259259259,"calibration, such as isotonic and Platt’s sigmoidal regression, exhibit excellent ID
6"
ABSTRACT,0.010802469135802469,"calibration performance. However, these methods are not calibrated for the entire
7"
ABSTRACT,0.012345679012345678,"feature space, leading to overconfidence in the case of out-of-distribution (OOD)
8"
ABSTRACT,0.013888888888888888,"samples. On the other end of the spectrum, existing out-of-distribution (OOD)
9"
ABSTRACT,0.015432098765432098,"calibration methods generally exhibit poor in-distribution (ID) calibration. In this
10"
ABSTRACT,0.016975308641975308,"paper, we address ID and OOD calibration problems jointly. We leveraged the
11"
ABSTRACT,0.018518518518518517,"fact that deep models, including both random forests and deep-nets, learn internal
12"
ABSTRACT,0.020061728395061727,"representations which are unions of polytopes with affine activation functions to
13"
ABSTRACT,0.021604938271604937,"conceptualize them both as partitioning rules of the feature space. We replace the
14"
ABSTRACT,0.023148148148148147,"affine function in each polytope populated by the training data with a Gaussian
15"
ABSTRACT,0.024691358024691357,"kernel. Our experiments on both tabular and vision benchmarks show that the
16"
ABSTRACT,0.026234567901234566,"proposed approaches obtain well-calibrated posteriors while mostly preserving or
17"
ABSTRACT,0.027777777777777776,"improving the classification accuracy of the original algorithm for ID region, and
18"
ABSTRACT,0.029320987654320986,"extrapolate beyond the training data to handle OOD inputs appropriately.
19"
INTRODUCTION,0.030864197530864196,"1
Introduction
20"
INTRODUCTION,0.032407407407407406,"Machine learning methods, specially deep neural networks and random forests have shown excellent
21"
INTRODUCTION,0.033950617283950615,"performance in many real-world tasks, including drug discovery, autonomous driving and clinical
22"
INTRODUCTION,0.035493827160493825,"surgery [1–3]. However, calibrating confidence over the whole feature space for these approaches
23"
INTRODUCTION,0.037037037037037035,"remains a key challenge in the field [4]. Calibrated confidence within the training or in-distribution
24"
INTRODUCTION,0.038580246913580245,"(ID) region as well as in the out-of-distribution (OOD) region is crucial for safety critical applications
25"
INTRODUCTION,0.040123456790123455,"like autonomous driving and computer-assisted surgery, where any aberrant reading should be
26"
INTRODUCTION,0.041666666666666664,"detected and taken care of immediately [4, 5].
27"
INTRODUCTION,0.043209876543209874,"The approaches to calibrate OOD confidence for learning algorithms described in the literature can
28"
INTRODUCTION,0.044753086419753084,"be roughly divided into two groups: discriminative and generative. Intuitively, the easiest solution for
29"
INTRODUCTION,0.046296296296296294,"OOD confidence calibration is to learn a function that gives higher scores for in-distribution samples
30"
INTRODUCTION,0.047839506172839504,"and lower scores for OOD samples [6]. The discriminative approaches try to either modify the loss
31"
INTRODUCTION,0.04938271604938271,"function [7–9] or train the network exhaustively on OOD datasets to calibrate on OOD samples [10, 4].
32"
INTRODUCTION,0.05092592592592592,"Recently, Hein et al. [4] showed ReLU networks produce arbitrarily high confidence as the inference
33"
INTRODUCTION,0.05246913580246913,"point moves far away from the training data. Therefore, calibrating ReLU networks for the whole
34"
INTRODUCTION,0.05401234567901234,"OOD region is not possible without fundamentally changing the network architecture. As a result, all
35"
INTRODUCTION,0.05555555555555555,"of the aforementioned algorithms are unable to provide any guarantee about the performance of the
36"
INTRODUCTION,0.05709876543209876,"network throughout the whole feature space. The other group tries to learn generative models for the
37"
INTRODUCTION,0.05864197530864197,"in-distribution as well as the out-of-distribution samples. The general idea is to do likelihood ratio
38"
INTRODUCTION,0.06018518518518518,"test for a particular sample using the generative models [11], or threshold the ID likelihoods to detect
39"
INTRODUCTION,0.06172839506172839,"OOD samples. However, it is not obvious how to control likelihoods far away from the training data
40"
INTRODUCTION,0.06327160493827161,"for powerful generative models like variational autoencoders (VAEs) [12] and generative adversarial
41"
INTRODUCTION,0.06481481481481481,"networks (GAN) [13]. Moreover, Nalisnick et al. [14] and Hendrycks et al. [10] showed VAEs and
42"
INTRODUCTION,0.06635802469135803,"GANs can also yield overconfident likelihoods far away from the training data.
43"
INTRODUCTION,0.06790123456790123,"The algorithms described so far are concerned with OOD confidence calibration for deep-nets only.
44"
INTRODUCTION,0.06944444444444445,"However, we show that other approaches which partition the feature space, for example random forest,
45"
INTRODUCTION,0.07098765432098765,"can also suffer from poor confidence calibration both in the ID and the OOD regions. Moreover, the
46"
INTRODUCTION,0.07253086419753087,"algorithms described above are concerned about the confidence in the OOD region only and do not
47"
INTRODUCTION,0.07407407407407407,"address the confidence calibration within the ID region at all. This issue is addressed separately in
48"
INTRODUCTION,0.07561728395061729,"a different group of literature [15–20]. Instead, we consider both calibration problems jointly and
49"
INTRODUCTION,0.07716049382716049,"propose an approach that achieves good calibration throughout the whole feature space.
50"
INTRODUCTION,0.0787037037037037,"In this paper, we conceptualize both random forest and ReLU networks as partitioning rules with an
51"
INTRODUCTION,0.08024691358024691,"affine activation over each polytope. We consider replacing the affine functions learned over the
52"
INTRODUCTION,0.08179012345679013,"polytopes with Gaussian kernels. We propose two novel kernel density estimation techniques named
53"
INTRODUCTION,0.08333333333333333,"Kernel Density Forest (KDF) and Kernel Density Network (KDN). Our proposed approach completely
54"
INTRODUCTION,0.08487654320987655,"excludes the need for training on OOD examples for the model (unsupervised OOD calibration). We
55"
