Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.003968253968253968,"Multimodal learning has achieved great successes in many scenarios. Compared
with unimodal learning, it can effectively combine the information from different
modalities to improve the performance of learning tasks. In reality, the multimodal
data may have missing modalities due to various reasons, such as sensor failure
and data transmission error. In previous works, the information of the modality-
missing data has not been well exploited. To address this problem, we propose
an efﬁcient approach based on maximum likelihood estimation to incorporate the
knowledge in the modality-missing data. Speciﬁcally, we design a likelihood
function to characterize the conditional distributions of the modality-complete
data and the modality-missing data, which is theoretically optimal. Moreover,
we develop a generalized form of the softmax function to effectively implement
maximum likelihood estimation in an end-to-end manner. Such training strategy
guarantees the computability of our algorithm capably. Finally, we conduct a series
of experiments on real-world multimodal datasets. Our results demonstrate the
effectiveness of the proposed approach, even when 95% of the training data has
missing modality."
INTRODUCTION,0.007936507936507936,"1
INTRODUCTION"
INTRODUCTION,0.011904761904761904,"Multimodal learning is an important research area, which builds models to process and relate
information between different modalities (Ngiam et al., 2011; Srivastava & Salakhutdinov, 2014;
Baltrušaitis et al., 2018). Compared with unimodal learning, multimodal learning can achieve
better performance by properly utilizing the multimodal data. It has been successfully used in
many applications, such as multimodal emotion recognition (Soleymani et al., 2011; Mittal et al.,
2020), multimedia event detection (Li et al., 2020), and visual question-answering (Yu et al., 2019).
With the emergence of big data, multimodal learning becomes more and more important to combine
the multimodal data from different sources."
INTRODUCTION,0.015873015873015872,"A number of previous works (Tzirakis et al., 2017; Zhang et al., 2017; Elliott et al., 2017; Kim et al.,
2020; Zhang et al., 2020) have achieved great successes based on complete observations during
the training process. However, in practice, the multimodal data may have missing modalities (Du
et al., 2018; Ma et al., 2021a;b). This may be caused by various reasons. For instance, the sensor
that collects the multimodal data is damaged or the network transmission fails. Examples of the
multimodal data are shown in Figure 1."
INTRODUCTION,0.01984126984126984,"In the past years, different approaches have been proposed to deal with modality missing. A simple
and typical way (Hastie et al., 2009) is to directly discard the data with missing modalities. Since
the information contained in the modality-missing data is neglected, such method often has limited
performance. In addition, researchers (Tran et al., 2017; Chen & Zhang, 2020; Liu et al., 2021; Ma
et al., 2021b) have proposed approaches to heuristically combine the information of the modality-
missing data. However, most of these works lack theoretical explanations, and these empirical
methods are often implemented using multiple training stages rather than an end-to-end manner,
which lead to the information of the modality-missing data not being well exploited."
INTRODUCTION,0.023809523809523808,"To tackle above issues, we propose an efﬁcient approach based on maximum likelihood estimation
to effectively utilize the modality-missing data. To be speciﬁc, we present a likelihood function to
characterize the conditional distributions of the modality-complete data and the modality-missing
data, which is theoretically optimal. Furthermore, we adopt a generalized form of the softmax"
INTRODUCTION,0.027777777777777776,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.031746031746031744,"(a) Complete
(b) Visual Missing
(c) Audio Missing"
INTRODUCTION,0.03571428571428571,"…
…
…
Visual:"
INTRODUCTION,0.03968253968253968,Audio:
INTRODUCTION,0.04365079365079365,"Figure 1: Examples of the multimodal data: (a) complete observations, (b) observations which may
have missing visual modality, and (c) observations which may have missing audio modality."
INTRODUCTION,0.047619047619047616,"function to efﬁciently implement our maximum likelihood estimation algorithm. Such training
strategy guarantees the computability of our framework in an end-to-end scheme. In this way, our
approach can effectively leverage the information of the modality-missing data during the training
process, Finally, we perform several experiments on real-world multimodal datasets, including
eNTERFACE’05 (Martin et al., 2006) and RAVDESS (Livingstone & Russo, 2018). The results show
the effectiveness of our approach in handling the problem of modality missing. To summarize, our
contribution is three-fold:"
INTRODUCTION,0.051587301587301584,"• We design a likelihood function to learn the conditional distributions of the modality-
complete data and the modality-missing data, which is theoretically optimal."
INTRODUCTION,0.05555555555555555,"• We develop a generalized form of the softmax function to implement our maximum likeli-
hood estimation framework in an end-to-end manner, which is more effective than previous
works."
INTRODUCTION,0.05952380952380952,"• We conduct a series of experiments on real-world multimodal datasets. The results validate
the effectiveness of our approach, even when 95% of the training data has missing modality."
METHODOLOGY,0.06349206349206349,"2
METHODOLOGY"
METHODOLOGY,0.06746031746031746,"Our goal is to deal with the problem of modality missing in multimodal learning based on maximum
likelihood estimation. In the following, we ﬁrst show the problem formulation, and then describe the
details of our framework."
PROBLEM FORMULATION,0.07142857142857142,"2.1
PROBLEM FORMULATION"
PROBLEM FORMULATION,0.07539682539682539,"In this paper, we consider that the multimodal data has two modalities. Here, the random variables
corresponding to these two modalities and their category labels are denoted as X, Y , and Z, re-
spectively. In the training process, we assume that there are two independently observed datasets:
modality-complete and modality-missing. We use DXY Z =

(x(i)
c , y(i)
c , z(i)
c ) | z(i)
c
∈Z =
{1, 2, · · · , |Z|}
	nc
i=1 to represent the modality-complete dataset, where x(i)
c
and y(i)
c
represent the"
PROBLEM FORMULATION,0.07936507936507936,"two modalities of the i-th sample of DXY Z respectively, z(i)
c
is their corresponding category label,
and the size of DXY Z is nc. We then use DXZ =

(x(i)
m , z(i)
m ) | z(i)
m ∈Z = {1, 2, · · · , |Z|}
	nm
i=1
to represent the modality-missing dataset, where the size of DXZ is nm. In addition, we adopt
[DXY Z]XY to represent

(x(i)
c , y(i)
c )
	nc
i=1. [DXY Z]Z, [DXZ]X, and [DXZ]Z are expressed in the
same way. The multimodal data of DXY Z and DXZ are assumed to be i.i.d. generated from an
unknown underlying joint distribution. By utilizing the knowledge of the modality-complete data and
the modality-missing data, we hope our framework can predict the category labels correctly."
MAXIMUM LIKELIHOOD ESTIMATION FOR MISSING MODALITY,0.08333333333333333,"2.2
MAXIMUM LIKELIHOOD ESTIMATION FOR MISSING MODALITY"
MAXIMUM LIKELIHOOD ESTIMATION FOR MISSING MODALITY,0.0873015873015873,"In this section, we ﬁrst present how to design a likelihood function to learn the conditional distributions
of the modality-complete data and the modality-missing data. Then, we show that by adopting a
generalized form of the softmax function, we design a training strategy to implement our algorithm."
MAXIMUM LIKELIHOOD ESTIMATION FOR MISSING MODALITY,0.09126984126984126,Under review as a conference paper at ICLR 2022
MAXIMUM LIKELIHOOD ESTIMATION FOR MISSING MODALITY,0.09523809523809523,"Visual Network
Audio Network"
MAXIMUM LIKELIHOOD ESTIMATION FOR MISSING MODALITY,0.0992063492063492,Label Network
MAXIMUM LIKELIHOOD ESTIMATION FOR MISSING MODALITY,0.10317460317460317,Log-likelihood Function x y L f g h
MAXIMUM LIKELIHOOD ESTIMATION FOR MISSING MODALITY,0.10714285714285714,“Anger”
MAXIMUM LIKELIHOOD ESTIMATION FOR MISSING MODALITY,0.1111111111111111,“Disgust”
MAXIMUM LIKELIHOOD ESTIMATION FOR MISSING MODALITY,0.11507936507936507,“Happiness”
MAXIMUM LIKELIHOOD ESTIMATION FOR MISSING MODALITY,0.11904761904761904,“Sadness” ···
MAXIMUM LIKELIHOOD ESTIMATION FOR MISSING MODALITY,0.12301587301587301,Class Label z
MAXIMUM LIKELIHOOD ESTIMATION FOR MISSING MODALITY,0.12698412698412698,"Figure 2: Our proposed framework for multimodal learning with missing modality. In the training
process, we propose a log-likelihood function L, as shown in Equation (2), to learn the conditional
distributions of the modality-complete data and the modality-missing data. By developing a general-
ized form of the softmax function, we implement our maximum likelihood estimation algorithm in an
end-to-end manner."
LIKELIHOOD FUNCTION ANALYSES,0.13095238095238096,"2.2.1
LIKELIHOOD FUNCTION ANALYSES"
LIKELIHOOD FUNCTION ANALYSES,0.1349206349206349,"Maximum likelihood estimation is a statistical method of using the observed data to estimate the
distribution by maximizing the likelihood function. The estimated distribution makes the observed
data most likely (Myung, 2003). With this idea, we study the likelihood function on datasets DXY Z
and DXZ. For the classiﬁcation task, the conditional likelihood is commonly used. Inspired by this,
we use a model QXY Z to learn the underlying joint distribution of DXY Z and DXZ. The conditional
likelihood can be represented as:"
LIKELIHOOD FUNCTION ANALYSES,0.1388888888888889,"ℓ≜P ([DXY Z]Z, [DXZ]Z | [DXY Z]XY , [DXZ]X; QXY Z)"
LIKELIHOOD FUNCTION ANALYSES,0.14285714285714285,"a= P ([DXY Z]Z | [DXY Z]XY ; QXY Z) · P ([DXZ]Z | [DXZ]X; QXY Z) b=
Y"
LIKELIHOOD FUNCTION ANALYSES,0.14682539682539683,"(x,y,z)∈DXY Z
QZ|XY (z|xy) ·
Y"
LIKELIHOOD FUNCTION ANALYSES,0.15079365079365079,"(x,z)∈DXZ
QZ|X(z|x)
(1)"
LIKELIHOOD FUNCTION ANALYSES,0.15476190476190477,"where the step a follows from the fact that datasets DXY Z and DXZ are observed independently,
and the step b is due to that samples in each dataset are i.i.d. QZ|XY and QZ|X are conditional
distributions of QXY Z. In this way, we show the likelihood function using the information of DXY Z
and DXZ. Then, we use the negative log-likelihood as the loss function to train our deep learning
model, i.e.,"
LIKELIHOOD FUNCTION ANALYSES,0.15873015873015872,"L ≜−log ℓ= −
X"
LIKELIHOOD FUNCTION ANALYSES,0.1626984126984127,"(x,y,z)∈DXY Z
log QZ|XY (z|xy) −
X"
LIKELIHOOD FUNCTION ANALYSES,0.16666666666666666,"(x,z)∈DXZ
log QZ|X(z|x)
(2)"
LIKELIHOOD FUNCTION ANALYSES,0.17063492063492064,"It is worth noting that in (Daniels, 1961; Lehmann, 2004), maximum likelihood estimation is proved
to be an asymptotically-efﬁcient strategy, which guarantees the theoretical optimality of our method
to deal with modality missing."
