Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0019569471624266144,"Graph neural networks (GNNs) are currently highly regarded in graph repre-
1"
ABSTRACT,0.003913894324853229,"sentation learning tasks due to their significant performance. Although various
2"
ABSTRACT,0.005870841487279843,"propagation mechanisms and graph filters were proposed, few works have investi-
3"
ABSTRACT,0.007827788649706457,"gated their rationale from the perspective of learning. In this paper, we elucidate
4"
ABSTRACT,0.009784735812133072,"the criterion for the graph filter formed by power series, and further establish a
5"
ABSTRACT,0.011741682974559686,"scalable regularized learning framework that theoretically realizes very deep GNN.
6"
ABSTRACT,0.0136986301369863,"Following the framework, we introduce Adaptive Power GNN (APGNN), a deep
7"
ABSTRACT,0.015655577299412915,"GNN that employs exponentially decaying weights to aggregate graph information
8"
ABSTRACT,0.01761252446183953,"of varying orders, thus facilitating more effective mining of deeper neighbor infor-
9"
ABSTRACT,0.019569471624266144,"mation. Moreover, the multiple P-hop message passing strategy is proposed to
10"
ABSTRACT,0.021526418786692758,"efficiently perceive the higher-order neighborhoods. Different from other GNNs,
11"
ABSTRACT,0.023483365949119372,"the proposed APGNN can be seamlessly extended to an infinite-depth network. To
12"
ABSTRACT,0.025440313111545987,"clarify the learning guarantee, we theoretically analyze the generalization of the
13"
ABSTRACT,0.0273972602739726,"proposed learning framework via uniform convergence. Experimental results show
14"
ABSTRACT,0.029354207436399216,"that APGNN obtains superior performance compared to state-of-the-art GNNs,
15"
ABSTRACT,0.03131115459882583,"highlighting the effectiveness of our framework.
16"
INTRODUCTION,0.033268101761252444,"1
Introduction
17"
INTRODUCTION,0.03522504892367906,"Recently, Graph Neural Networks (GNNs) have shown commendable performance on numerous graph
18"
INTRODUCTION,0.03718199608610567,"representation learning tasks. In addition, GNNs have been introduced in a variety of application tasks,
19"
INTRODUCTION,0.03913894324853229,"such as recommendation systems [7, 11, 37], computer vision [4, 13, 23], and traffic forecasting
20"
INTRODUCTION,0.0410958904109589,"[8, 9]. The fundamental part of GNN is the design of the propagation mechanism or the graph
21"
