Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0034965034965034965,"Real-world scenarios are usually accompanied by continuously appearing classes
with scarce labeled samples, which require the machine learning model to in-
crementally learn new classes and maintain the knowledge of base classes. In
this Few-Shot Class-Incremental Learning (FSCIL) scenario, existing methods
either introduce extra learnable components or rely on a frozen feature extractor
to mitigate catastrophic forgetting and overfitting problems. However, we find a
tendency for existing methods to misclassify the samples of new classes into base
classes, which leads to the poor performance of new classes. In other words, the
strong discriminability of base classes distracts the classification of new classes.
To figure out this intriguing phenomenon, we observe that although the feature
extractor is only trained on base classes, it can surprisingly represent the semantic
similarity between the base and unseen new classes. Building upon these analyses,
we propose a simple yet effective Training-frEE calibratioN (TEEN) strategy to
enhance the discriminability of new classes by fusing the new prototypes (i.e.,
mean features of a class) with weighted base prototypes. In addition to standard
benchmarks in FSCIL, TEEN demonstrates remarkable performance and consis-
tent improvements over baseline methods in the few-shot learning scenario. Code
is available at: https://github.com/wangkiw/TEEN"
INTRODUCTION,0.006993006993006993,"1
Introduction"
INTRODUCTION,0.01048951048951049,"Deep Neural Networks (i.e., DNNs) have achieved impressive success in various applications [16,
19, 36, 55, 54, 5], but they usually rely heavily on static and pre-collected large-scale datasets
(e.g., ImageNet [11]) to achieve this success. However, the data in real-world scenarios usually
arrive continuously. For example, the face recognition system is required to authenticate existing
users, and meanwhile, new users are continually added [30]. The scene where the model is required
to continually learn new knowledge and maintain the ability on old tasks is referred to as Class-
Incremental Learning (CIL) [41]. The main challenge of CIL is the notorious catastrophic forgetting
problem [14], where the model forgets old knowledge as it learns new ones."
INTRODUCTION,0.013986013986013986,"Many methods have been designed to overcome catastrophic forgetting in CIL from different
perspectives, e.g., knowledge distillation [35], parameter regularization [22, 53], and network expan-
sion [50, 47, 46]. These methods require new tasks to contain sufficient labeled data for supervised
training. However, collecting enough labeled data in some scenarios is challenging, making the
conventional CIL methods hard to deploy [30]. For example, the face recognition system can only
collect very few facial images of a new user due to privacy reasons. Therefore, a more realistic and
practical incremental learning paradigm, Few-Shot Class-Incremental Learning (FSCIL) [42], is"
INTRODUCTION,0.017482517482517484,∗Han-Jia Ye is the corresponding author.
INTRODUCTION,0.02097902097902098,"proposed to address the problem of class-incremental learning with limited labeled data. Figure 1a
gives a detailed illustration of FSCIL. … … …"
INTRODUCTION,0.024475524475524476,Class: 1
INTRODUCTION,0.027972027972027972,Class: 2
INTRODUCTION,0.03146853146853147,Class: 3
INTRODUCTION,0.03496503496503497,Class: 4
INTRODUCTION,0.038461538461538464,Class: 5
INTRODUCTION,0.04195804195804196,Class: 6
INTRODUCTION,0.045454545454545456,Class: 7
INTRODUCTION,0.04895104895104895,"Base Session
Session 1 
Session 2"
INTRODUCTION,0.05244755244755245,"Base Classes
Novel Classes"
INTRODUCTION,0.055944055944055944,(a) An illustration of FSCIL setting.
INTRODUCTION,0.05944055944055944,"“Forest”
“Plain”"
INTRODUCTION,0.06293706293706294,Novel Classes
INTRODUCTION,0.06643356643356643,"High
Low"
INTRODUCTION,0.06993006993006994,“Plate”
INTRODUCTION,0.07342657342657342,“Porcupine”
INTRODUCTION,0.07692307692307693,"“Cloud”
“Mountain”"
INTRODUCTION,0.08041958041958042,"“Bowl”
“Clock”
“Can”"
INTRODUCTION,0.08391608391608392,"“Beaver”
“Bear”
“Otter”"
INTRODUCTION,0.08741258741258741,Base Classes
INTRODUCTION,0.09090909090909091,Semantic Similarity
INTRODUCTION,0.0944055944055944,(b) An illustration of the semantic similarity.
INTRODUCTION,0.0979020979020979,"Figure 1: (a) The base session contains sufficient sam-
ples of base classes for training. The incremental ses-
sions (i.e., sessions after the base session) only contain
few-shot samples of new classes. FSCIL aims to obtain
a unified classifier over all seen classes. Notably, the
data from previous sessions are unavailable. (b) For ex-
ample, considering the new classes “Plain”, “Plate” and
“Porcupine” in CIFAR100 [23], the corresponding most
similar base classes selected by the similarity can depict
the really semantic similarity. The three most similar
base classes are selected by computing the cosine sim-
ilarity between base prototypes and novel prototypes.
The results show the feature extractor only trained on
the base classes can also well represent the semantic
similarity between the base and new classes."
