Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0037313432835820895,"Unsupervised learning of latent variable models (LVMs) is widely used to represent
data in machine learning. When such models reﬂect the ground truth factors and
the mechanisms mapping them to observations, there is reason to expect that they
allow generalization in downstream tasks. It is however well known that such
identiﬁability guaranties are typically not achievable without putting constraints on
the model class. This is notably the case for nonlinear Independent Component
Analysis, in which the LVM maps statistically independent variables to observations
via a deterministic nonlinear function. Several families of spurious solutions ﬁtting
perfectly the data, but that do not correspond to the ground truth factors can be
constructed in generic settings. However, recent work suggests that constraining
the function class of such models may promote identiﬁability. Speciﬁcally, function
classes with constraints on their partial derivatives, gathered in the Jacobian matrix,
have been proposed, such as orthogonal coordinate transformations (OCT), which
impose orthogonality of the Jacobian columns. In the present work, we prove that
a subclass of these transformations, conformal maps, is identiﬁable and provide
novel theoretical results suggesting that OCTs have properties that prevent families
of spurious solutions to spoil identiﬁability in a generic setting."
INTRODUCTION,0.007462686567164179,"1
Introduction"
INTRODUCTION,0.011194029850746268,"Unsupervised representation learning methods can ﬁt Latent Variables Models (LVM) to complex
real world data. While those latent representations allow to create realistic novel samples or represent
the data in a compact way [32, 16], they are a priori not related to the ground truth generative factors
of the data. It is highly desirable to recover the true underlying source distribution because those are
expected to help with various downstream tasks, e.g., out of distribution generalization [45, 2]."
INTRODUCTION,0.014925373134328358,"One principled framework for representation learning is Independent Component Analysis (ICA)
where one tries to recover unobserved sources s 2 Rd from observations x = f(s) and one assumes
that the components si are independent. An important result is that for linear functions f it is
possible to recover s from observations x up to certain symmetries, i.e., the model is identiﬁable
[8]. In contrast, for general non-linear models f is highly non-identiﬁable [25]. This has important
consequences for representation learning, in particular the learning of disentangled representations is
also unidentiﬁable without some access to the underlying sources [37]. Notably, this makes theoretical
analysis of a large body of methods (see, e.g., [20, 30, 42]) that enforces disentanglement difﬁcult."
INTRODUCTION,0.018656716417910446,"Several additional assumptions were suggested to make the ICA problem identiﬁable. Broadly, there
are two directions. First, some works imposed additional or different restrictions on the distribution of
the sources. One line of research adds temporal structure by considering time series data [19, 23, 24].
More recently, Hyvärinen et al. [26] proposed to introduce an observed auxiliary variable u, e.g., a
class label, such that the source distribution has independent components conditional on the auxiliary"
INTRODUCTION,0.022388059701492536,"variable. They show that under suitable assumptions on the distribution of u and s arbitrary nonlinear
mixing functions can be identiﬁed. Several recent works extended this approach [29, 48, 53]."
INTRODUCTION,0.026119402985074626,"Another possibility is to restrict the class of admissible functions by considering more ﬂexible classes
than just linear functions, but not allowing arbitrary non-linear functions. The general aim of this
approach is to ﬁnd sufﬁciently “small” function classes such that ICA is identiﬁable within this class
while making them as large as possible to allow ﬂexible representation of complex data and being
applicable to real world problems. So far results in this direction are rather limited. It was shown that
the post-nonlinear model is identiﬁable [49]. Moreover, it has been shown that ICA with conformal
maps in dimension 2 is almost identiﬁable [25]. More recently, identiﬁability of volume preserving
transformations was investigated in the auxiliary variable case in [53] (combining the two possible
restrictions) and identiﬁability based on sparsity of the mixing function was studied in [54]."
INTRODUCTION,0.029850746268656716,"In this work, we extend the previous works by proving new identiﬁability results for unconditional
ICA. We consider conformal maps (i.e., maps that locally preserve angles) and Orthogonal Coordinate
Transforms (OCT) (i.e., maps where Df >Df is a diagonal matrix where Df denotes the derivative
of f). OCTs, that we will also call orthogonal maps for simplicity, were recently introduced in the
context of representation learning in [17], motivated by the independence of mechanisms assumption
from the causality literature. The main focus of this work is to prove new identiﬁability and partial
identiﬁability results for this class of functions. An overview of our results can be found in Table 1.
We summarize the main contributions and the structure of this paper as follows."
INTRODUCTION,0.033582089552238806,• We prove that ICA with conformal maps is identiﬁable in d ≥3 and extend the earlier
INTRODUCTION,0.03731343283582089,"results in dimension 2 (Theorems 2-3 in Section 3).
• We deﬁne a new notion of local identiﬁability (Deﬁnition 5) and prove that ICA with"
INTRODUCTION,0.041044776119402986,"orthogonal maps is locally identiﬁable (Theorem 4 in Section 4).
• On the contrary we show that ICA with volume preserving maps is not identiﬁable not even"
INTRODUCTION,0.04477611940298507,"in the local sense (Theorem 6 in Section 5).
• We introduce new tools to the ICA ﬁeld: our results are based on connections to rigidity"
INTRODUCTION,0.048507462686567165,"theory (see Section 6), restricting the global structure of functions based on local constraints.
Moreover, we exploit the global structure of partial differential equations related to the
identiﬁability problem while most earlier results argue locally using linear algebraic tools."
SETTING,0.05223880597014925,"2
Setting"
SETTING,0.055970149253731345,"Independent component analysis investigates the problem of identifying underlying sources when
observing a mixture of them. We will consider the following general setting: there exists some
random hidden vector of sources s 2 Rd and the observed data is generated by"
SETTING,0.05970149253731343,"x = f(s),
ps(s) = Yd"
SETTING,0.06343283582089553,"i=1 pi(si) = P
(1)"
SETTING,0.06716417910447761,"where f : Rd ! Rd is smooth and invertible. The condition on s means that its coordinates (often
referred to as factors of variation) are independent. Formally this means that the distribution P of s
satisﬁes P 2 M1(R)⌦n where M1(R) denotes the probability measures on R. The goal of ICA is
to ﬁnd an unmixing g : Rd ! Rd such that g(x) has independent components. Ideally, this should
recover the true underlying factors of variation and achieve Blind Source Separation (BSS), i.e.,
g = f −1 up to certain symmetries. Identiﬁcation of the true generative factors of variations of the
observations is of interest since these provide a causal and interventional understanding of the data."
SETTING,0.0708955223880597,"An important observation was that, in the generality stated above, identiﬁcation of s is not possible. In
[25] two general constructions of spurious solutions were given: the well known Darmois construction
and a construction based on measure preserving transformations. The latter one is closer to our
work here and we will discuss those in more detail in Section 4 and Appendix C. In a nutshell it is
based on the observation that for measures P with smooth density one can construct smooth Measure
Preserving Transformations (MPT), m : Rd ! Rd (that mix the different coordinates), i.e., maps that
leave P invariant, such that m(s)"
SETTING,0.07462686567164178,"D= s if s ⇠P.1 This implies that all functions (f ◦m)−1 recover
independent sources since (f ◦m)−1(x)"
SETTING,0.07835820895522388,D= s making BSS impossible.
WE USE THE NOTATION X,0.08208955223880597,1We use the notation X
WE USE THE NOTATION X,0.08582089552238806,D= Y to indicate that the two random variables X and Y follow the same distribution
WE USE THE NOTATION X,0.08955223880597014,"Figure 1: Illustration of the considered function classes. (a) shows a standard coordinate frame,
(b) a conformal map applied to this frame which preserves angles, (c) an orthogonal map (polar
coordinates) that preserve the orthogonality of lines parallel to the coordinate axes but not all angles
(see red line), (d) a volume preserving map."
WE USE THE NOTATION X,0.09328358208955224,"Thus it is a natural question whether additional assumptions on the mixing function f or distribution
of s allow us to identify f. Let us deﬁne a framework for identiﬁability. We assume data is generated
according to (1) where f belongs to some function class F(A, B) of invertible functions A ! B,
which we will always assume to be diffeomorphisms.2 and P satisﬁes P 2 P for some set of
probability distributions P ⇢M1(R)⌦d. Finally, let S be a group of transformations g : Rd ! Rd
that encodes the allowed symmetries up to which the sources can be identiﬁed as follows. The
function class will be simply denoted F when domain/codomain information is irrelevant."
WE USE THE NOTATION X,0.09701492537313433,"Deﬁnition 1. (Identiﬁability) We say that independent component analysis in (F, P) is identiﬁable
up to S if for functions f, f 0 2 F and distributions P, P0 2 P the relation f(s)"
WE USE THE NOTATION X,0.10074626865671642,"D= f 0(s0)
where s ⇠P and s0 ⇠P0
(2)"
WE USE THE NOTATION X,0.1044776119402985,implies that there is h 2 S such that h = f 0−1 ◦f on the support of P.
