Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0017574692442882249,"The deep policy gradient method has demonstrated promising results in many large-
scale games, where the agent learns purely from its own experience. Yet, policy
gradient methods with self-play suffer convergence problems to a Nash Equilibrium
(NE) in multi-agent situations. Counterfactual regret minimization (CFR) has a
convergence guarantee to a NE in 2-player zero-sum games, but it usually needs
domain-speciﬁc abstractions to deal with large-scale games. Inheriting merits from
both methods, in this paper we extend the actor-critic algorithm framework in
deep reinforcement learning to tackle a large-scale 2-player zero-sum imperfect-
information game, 1-on-1 Mahjong, whose information set size and game length
are much larger than poker. The proposed algorithm, named Actor-Critic Hedge
(ACH), modiﬁes the policy optimization objective from originally maximizing the
discounted returns to minimizing a type of weighted cumulative counterfactual
regret. This modiﬁcation is achieved by approximating the regret via a deep neural
network and minimizing the regret via generating self-play policies using Hedge.
ACH is theoretically justiﬁed as it is derived from a neural-based weighted CFR, for
which we prove the convergence to a NE under certain conditions. Experimental
results on the proposed 1-on-1 Mahjong benchmark and benchmarks from the
literature demonstrate that ACH outperforms related state-of-the-art methods. Also,
the agent obtained by ACH defeats a human champion in 1-on-1 Mahjong."
INTRODUCTION,0.0035149384885764497,"1
INTRODUCTION"
INTRODUCTION,0.005272407732864675,"Policy gradient methods using deep neural networks as policy and value approximators have been
successfully applied to many large-scale games (Berner et al., 2019; Vinyals et al., 2019; Ye et al.,
2020). Usually, a score function representing the discounted returns is maximized by the policy, i.e.,
the actor. In the meantime, a value function, known as the critic, is learned to guide the directions
and magnitudes of the policy gradients. This type of actor-critic methods are efﬁciently scalable
with regard to the game size and the amount of computational resources. However, as pointed out
in Srinivasan et al. (2018) and Hennes et al. (2020), policy gradient methods with self-play have no
convergence guarantee to optimal solutions in competitive Imperfect-Information Games (IIGs). The
main reason is that the policy gradient theorem (Sutton et al., 1999) is established within the single
agent situation, where the environment is Markovian. However, learning becomes non-stationary and
non-Markovian when multiple agents learn simultaneously in a competitive environment."
INTRODUCTION,0.007029876977152899,"An optimal solution to a 2-player zero-sum IIG usually refers to a Nash Equilibrium (NE), where
no player could improve by unilaterally deviating to a different policy. Tremendous progress in
computing NE solutions has been made by a family of tabular methods: Counterfactual regret"
INTRODUCTION,0.008787346221441126,"∗Equal contribution. Correspondence to: Haobo Fu (haobofu@tencent.com).
†Work done while internship at Tencent AI Lab, Shenzhen, China."
INTRODUCTION,0.01054481546572935,Published as a conference paper at ICLR 2022
INTRODUCTION,0.012302284710017574,"minimization (CFR) (Zinkevich et al., 2008). CFR is a type of iterative self-play algorithm based
on regret minimization, and it guarantees to converge to a NE with regard to the average policy in
2-player zero-sum IIGs. A perfect game model is required in CFR to sample many if not all actions
from a state. To handle large-scale IIGs with CFR, abstractions (applied to either the action space or
the state space) are usually employed to reduce the game to a manageable size (Moravˇcík et al., 2017;
Brown & Sandholm, 2018; 2019)1. However, abstractions are domain speciﬁc (Waugh et al., 2009;
Johanson et al., 2013; Ganzfried & Sandholm, 2014). More importantly, some large-scale IIGs are
inherently difﬁcult to be abstracted, such as the game of Mahjong (Li et al., 2020b)."
INTRODUCTION,0.014059753954305799,"In this paper, we investigate a large-scale IIG, i.e., 2-player (1-on-1) zero-sum Mahjong, whose
information set size and game length are much larger than poker2. Li et al. (2020b) has recently de-
veloped a strong 4-player Mahjong agent based on supervised learning and traditional Reinforcement
Learning (RL). In comparison, we study 1-on-1 Mahjong from a game-theoretic perspective, i.e.,
aiming for a NE. We are interested in methods using only trajectory samples to learn, as it is infeasible
to consistently sample multiple actions for each state in large-scale IIGs with long episodes. We
employ deep neural networks to generalize across states, since the state abstraction in 1-on-1 Mahjong
is inherently difﬁcult, as explained in the Appendix A.2. We make the following contributions."
INTRODUCTION,0.015817223198594025,"• Inheriting the scalability of deep RL methods and the convergence property of CFR, we develop a
new actor-critic algorithm, named Actor-Critic Hedge (ACH), for approaching a NE in large-scale
2-player zero-sum IIGs. ACH employs a deep neural network to approximate a type of weighted
cumulative counterfactual regret. In the meantime, ACH minimizes the regret via generating
self-play policies using Hedge (Freund & Schapire, 1997)."
