Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0012468827930174563,"We advocate for a practical Maximum Likelihood Estimation (MLE) approach
towards designing loss functions for regression and forecasting, as an alternative
to the typical approach of direct empirical risk minimization on a speciﬁc target
metric. The MLE approach is better suited to capture inductive biases such as prior
domain knowledge in datasets, and can output post-hoc estimators at inference time
that can optimize different types of target metrics. We present theoretical results
to demonstrate that our approach is competitive with any estimator for the target
metric under some general conditions. In two example practical settings, Poisson
and Pareto regression, we show that our competitive results can be used to prove
that the MLE approach has better excess risk bounds than directly minimizing
the target metric. We also demonstrate empirically that our method instantiated
with a well-designed general purpose mixture likelihood family can obtain superior
performance for a variety of tasks across time-series forecasting and regression
datasets with different data distributions."
INTRODUCTION,0.0024937655860349127,"1
INTRODUCTION"
INTRODUCTION,0.003740648379052369,"The task of ﬁtting a regression model for a response variable y against a covariate vector x ∈Rd
is ubiquitous in supervised learning in both linear and non-linear settings (Lathuilière et al., 2020;
Mohri et al., 2018) as well as non-i.i.d settings like multi-variate forecasting (Salinas et al., 2020;
Wang et al., 2019). The end goal in regression and forecasting problems is often to use the resulting
model to obtain good performance in terms of some target metric of interest on the population level
(usually measured on a previously unseen test set). The mean-squared error or the mean absolute
deviation are examples of common target metrics."
INTRODUCTION,0.004987531172069825,"In this paper, our focus is on the choice of loss function that is used to train such models, which is an
important question that is often overlooked, especially in the deep neural networks context where the
emphasis is more on the choice of network architecture (Lathuilière et al., 2020)."
INTRODUCTION,0.006234413965087282,"Perhaps the most common method used by practitioners for choosing the loss function for a particular
regression model is to directly use the target metric of interest as the loss function for empirical risk
minimization (ERM) over a function class on the training set. We denote this approach for choosing a
loss function as Target Metric Optimization (TMO). This is especially more common with the advent
of powerful general purpose function optimizers like deep networks and has also been rigorously
analyzed for simpler function classes (Mohri et al., 2018)."
INTRODUCTION,0.007481296758104738,"Target Metric Optimization seems like a reasonable approach - if the practitioner knows about the
target metric of interest for prediction using the model, it seems intuitive to optimize for the same
objective on the training data. Prior work (both theoretical and applied) has both advocated for and
argued against TMO for regression problems. Many prominent works on regression (Goldberger
et al., 1964; Lecue & Mendelson, 2016) use the TMO approach, though most of them assume that
the data is well behaved (e.g. sub-Gaussian noise). In terms of applications, many recent works on
time-series forecasting (Wu et al., 2020; Oreshkin et al., 2019; Sen et al., 2019) also use the TMO
approach directly on the target metric. On the other hand, the robust regression literature has long
advocated for not using the target metric directly for ERM in the case of contamination or heavy
tailed response/covariate behaviour (Huber, 1992; Hsu & Sabato, 2016; Zhu & Zhou, 2021; Lugosi
& Mendelson, 2019a; Audibert et al., 2011; Brownlees et al., 2015) on account of its suboptimal"
INTRODUCTION,0.008728179551122194,Published as a conference paper at ICLR 2022
INTRODUCTION,0.00997506234413965,"high-probability risk bounds. However, as noted in (Prasad et al., 2020), many of these methods
are either not practical (Lugosi & Mendelson, 2019a; Brownlees et al., 2015) or have sub-optimal
empirical performance (Hsu & Sabato, 2016). Even more practical methods such as (Prasad et al.,
2020) would lead to sufﬁciently more computational overhead over standard TMO."
INTRODUCTION,0.011221945137157107,"Another well known approach for designing a loss function is Maximum Likelihood Estimation (MLE).
Here one assumes that the conditional distribution of y given x belongs to a family of distributions
p(y|x; θ) parameterized by θ ∈Θ (McCullagh & Nelder, 2019). Then one can choose the negative
log likelihood as the loss function to optimize using the training set, to obtain an estimate ˆθθθmle. This
approach is sometimes used in the forecasting literature (Salinas et al., 2020; Davis & Wu, 2009)
where the choice of a likelihood can encode prior knowledge about the data. For instance a negative
binomial distribution can be used to model count data. During inference, given a new instance x′,
one can output the statistic from p(y|x′; ˆθθθmle) that optimizes the target metric, as the prediction
value (Gneiting, 2011). MLE also seems like a reasonable approach for loss function design - it is
folklore that the MLE is asymptotically optimal for parameter estimation, in terms of having the
smallest asymptotic variance among all estimators (Heyde, 1978; Rao, 1963), when the likelihood is
well-speciﬁed. However, much less is known about ﬁnite-sample, ﬁxed-dimension analysis of MLE,
which is the typical regime of interest for the regression problems we consider in this paper. An
important practical advantage for MLE is that model training is agnostic to the choice of the target
metric - the same trained model can output estimators for different target metrics at inference time.
Perhaps the biggest argument against the MLE approach is the requirement of knowing the likelihood
distribution family. We address both these topics in Section 5."
INTRODUCTION,0.012468827930174564,"Both TMO and MLE can be viewed as offering different approaches to selecting the loss function
for a given regression model. In this paper, we argue that in several settings, both from a practical
and theoretical perspective, MLE might be a better approach than TMO. This result might not be
immediately obvious apriori - while MLE does beneﬁt from prior knowledge of the distribution,
TMO also beneﬁts from prior knowledge of the target metric at training time."
INTRODUCTION,0.01371571072319202,Our main contributions are as follows:
INTRODUCTION,0.014962593516209476,"Competitiveness of MLE: In Section 3, we prove that under some general conditions on the family
of distributions and a property of interest, the MLE approach is competitive with any estimator for
the property. We show that this result can be applied to ﬁxed design regression problems in order to
prove that MLE can be competitive (up to logarithmic terms) with any estimator in terms of excess
square loss risk, under some assumptions."
INTRODUCTION,0.016209476309226933,"Example Applications: In Section 4.1, we apply our general theorem to prove an excess square loss
bound for the the MLE estimator for Poisson regression with the identity link (Nelder & Wedderburn,
1972; Lawless, 1987). We show that these bounds can be better than those of the TMO estimator,
which in this case is least-squares regression. Then in Section 4.2, we show a similar application
in the context of Pareto regression i.e y|x follows a Pareto distribution. We show that MLE can be
competitive with robust estimators like the one in (Hsu & Sabato, 2016) and therefore can be better
than TMO (least-squares)."
INTRODUCTION,0.017456359102244388,"Empirical Results:
We propose the use of a general purpose mixture likelihood family (see
Section 5) that can capture a wide variety of prior knowledge across datasets, including zero-inﬂated
or bursty data, count data, sub-Gaussian continuous data as well as heavy tailed data, through different
choices of (learnt) mixture weights. Then we empirically show that the MLE approach with this
likelihood can outperform ERM for many different commonly used target metrics like WAPE, MAPE
and RMSE (Hyndman & Koehler, 2006) for two popular forecasting and two regression datasets.
Moreover the MLE approach is also shown to have better probabilistic forecasts (measured by
quantile losses (Wen et al., 2017)) than quantile regression (Koenker & Bassett Jr, 1978; Gasthaus
et al., 2019; Wen et al., 2017) which is the TMO approach in this case."
PRIOR WORK ON MLE,0.018703241895261846,"2
PRIOR WORK ON MLE"
PRIOR WORK ON MLE,0.0199501246882793,"Maximum likelihood estimators (MLE) have been studied extensively in statistics starting with
the work of Wald (1949); Redner (1981), who showed the maximum likelihood estimates are
asymptotically consistent for parametric families. Fahrmeir & Kaufmann (1985) showed asymptotic"
PRIOR WORK ON MLE,0.02119700748129676,Published as a conference paper at ICLR 2022
PRIOR WORK ON MLE,0.022443890274314215,"normality for MLE for generalized linear models. It is also known that under some regularity
assumptions, MLE achieves the Cramer-Rao lower bound asymptotically (Lehmann & Casella, 2006).
However, we note that none of these asymptotic results directly yield ﬁnite sample guarantees."
PRIOR WORK ON MLE,0.02369077306733167,"Finite sample guarantees have been shown for certain problem scenarios. Geer & van de Geer (2000);
Zhang (2006) provided uniform convergence bounds in Hellinger distance for maximum likelihood
estimation. These ideas were recently used by Foster & Krishnamurthy (2021) to provide algorithms
for contextual bandits. There are other works which study MLE for non-parametric distributions e.g.,
Dümbgen & Ruﬁbach (2009) showed convergence rates for log-concave distributions. There has
been some works (Sur & Candès, 2019; Bean et al., 2013; Donoho & Montanari, 2016; El Karoui,
2018) that show that MLE can be sub-optimal for high dimensional regression i.e when the dimension
grows with the number of samples. In this work we focus on the setting where the dimension does
not scale with the number of samples."
PRIOR WORK ON MLE,0.02493765586034913,"Our MLE results differ from the above work as we provide ﬁnite sample competitiveness guarantees.
Instead of showing that the maximum likelihood estimator converges in some distance metric, we
show that under some mild assumptions it can work as well as other estimators. Hence, our methods
are orthogonal to known well established results in statistics."
PRIOR WORK ON MLE,0.026184538653366583,"Perhaps the closest to our work is the competitiveness result of Acharya et al. (2017), who showed
that MLE is competitive when the size of the output alphabet is bounded and applied to proﬁle
maximum likelihood estimation. In contrast, our work applies for unbounded output alphabets and
can provide stronger guarantees in many scenarios."
COMPETITIVENESS OF MLE,0.02743142144638404,"3
COMPETITIVENESS OF MLE"
