Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.003861003861003861,"Distilling supervision signal from a long sequence to make predictions is a chal-
lenging task in machine learning, especially when not all elements in the input
sequence contribute equally to the desired output. In this paper, we propose SPAN-
DROP, a simple and effective data augmentation technique that helps models iden-
tify the true supervision signal in a long sequence with very few examples. By di-
rectly manipulating the input sequence, SPANDROP randomly ablates parts of the
sequence at a time and ask the model to perform the same task to emulate counter-
factual learning and achieve input attribution. Based on theoretical analysis of its
properties, we also propose a variant of SPANDROP based on the beta-Bernoulli
distribution, which yields diverse augmented sequences while providing a learn-
ing objective that is more consistent with the original dataset. We demonstrate
the effectiveness of SPANDROP on a set of carefully designed toy tasks, as well
as various natural language processing tasks that require reasoning over long se-
quences to arrive at the correct answer, and show that it helps models improve
performance both when data is scarce and abundant."
INTRODUCTION,0.007722007722007722,"1
INTRODUCTION"
INTRODUCTION,0.011583011583011582,"Building effective machine learning systems for long sequences is a challenging and important task,
which helps us better understand underlying patterns in naturally occurring sequential data like long
texts (Radford et al., 2019), protein sequences (Jumper et al., 2021), ﬁnancial time series (Bao
et al., 2017), etc. Recently, there is growing interest in studying neural network models that can
capture long-range correlations in sequential data with high computational, memory, and statistical
efﬁciency, especially widely adopted Transformer models (Vaswani et al., 2017)."
INTRODUCTION,0.015444015444015444,"Previous work approach long-sequence learning in Transformers largely by introducing computa-
tional approaches to replace the attention mechanism with more efﬁcient counterparts. These ap-
proaches include limiting the input range over which the attention mechanism is applied (Kitaev
et al., 2019) to limiting sequence-level attention to only a handful of positions (Beltagy et al., 2020;
Zaheer et al., 2020). Other researchers make use of techniques akin to the kernel trick to eliminate
the need to compute or instantiate the costly attention matrix (Peng et al., 2020; Katharopoulos et al.,
2020; Choromanski et al., 2020). Essentially, these approaches aim to approximate the original pair-
wise interaction with lower cost, and are often interested in still capturing the interactions between
every pair of input elements (e.g., the long sequence benchmark proposed by Tay et al., 2020)."
INTRODUCTION,0.019305019305019305,"In this paper, we instead investigate learning problems for long sequences where not all input ele-
ments contribute equally to the desired output. Natural examples that take this form include senti-
ment classiﬁcation for long customer review documents (where a few salient sentiment words con-
tribute the most), question answering from a large document (where each question typically requires
a small number of supporting sentences to answer), key phrase detection in audio processing (where
a small number of recorded frames actually determine the prediction), as well as detecting a speciﬁc
object from a complex scene (where, similarly, a small amount of pixels determine the outcome),
to name a few. In these problems, it is usually counterproductive to try and make direct use of the
entire input if the contributing portion is small or sparse, which results in a problem of underspec-
iﬁcation (i.e., the data does not sufﬁciently deﬁne the goal for statistical models). One approach
to address this problem is annotating the segments or neighborhoods that directly contribute to the
outcome in the entire input. This could take the form of a subset of sentences that answer a question"
INTRODUCTION,0.023166023166023165,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.02702702702702703,"or describe the relation between entities in a paragraph (Yang et al., 2018; Yao et al., 2019), which
function as explainable evidence that supplements the answer. When such annotation is not feasible,
researchers and practitioners often need to resort to either collecting more input-output pairs or de-
signing problem-speciﬁc data augmentation techniques to make up for the data gap. For real-valued
data, this often translates to random transformations (e.g., shifting or ﬂipping an image); for sym-
bolic data like natural language, techniques like masking or substitution are more commonly used
(e.g., randomly swapping words with a special mask token or other words). While these approaches
have proven effective in some tasks, each has limitations that prevents it from being well-suited for
the underspeciﬁcation scenario. For instance, while global feature transformations enhance group-
invariance in learned representations, they do not directly help with better locating the underlying
true stimulus. On the other hand, while replacement techniques like masking and substitution help
ablate parts of the input, they are susceptible to the position bias of where the true stimulus might oc-
cur in the input. Furthermore, while substitution techniques can help create challenging contrastive
examples, it is signiﬁcantly more difﬁcult to design them for complex symbolic sequences (e.g.,
replacing a phrase naturally in a sentence)."
INTRODUCTION,0.03088803088803089,"To address these challenges, we propose SPANDROP, a simple and effective technique that helps
models distill sparse supervision signal from long sequences when the problem is underspeciﬁed.
Similar to replacement-based techniques such as masking and substitution, SPANDROP directly ab-
lates parts of the input at random to construct counterfactual examples that preserve the original
supervision signal with high probability. Instead of preserving the original sequence positions, how-
ever, SPANDROP directly removes ablated elements from the input to mitigate any bias that is related
to the absolute positions of elements (rather than the relative positions between them) in the input.
Upon closer examination of its theoretical and empirical properties, we further propose a more effec-
tive variant of SPANDROP based on the Beta-Bernoulli distribution that enhances the consistency of
the augmented objective function with the original one. We demonstrate via carefully designed toy
experiments that SPANDROP not only helps models achieve up to 20⇥sample-efﬁciency in low-data
settings, but also further reduces overﬁtting even when training data is abundant. We ﬁnd that it is
very effective at mitigating position bias compared to replacement-based counterfactual approaches,
and enhances out-of-distribution generalization effectively. We further experiments on four natural
language processing tasks that require models to answer question or extract entity relations from
long texts, and demonstrate that SPANDROP can improve the performance of already competitive
neural models without any change in model architecture."
METHOD,0.03474903474903475,"2
METHOD"
METHOD,0.03861003861003861,"In this section, we ﬁrst formulate the problem of sequence inference, where the model takes sequen-
tial data as input to make predictions. Then, we introduce SPANDROP, a simple and effective data
augmentation technique for long sequence inference, and analyze its theoretical properties."
PROBLEM DEFINITION,0.04247104247104247,"2.1
PROBLEM DEFINITION
Sequence Inference. We consider a task where a model takes a sequence S as input and predicts
the output y. We assume that S consists of n disjoint but contiguous spans, each representing a
part of the sequence in order S = (s1, . . . , sn). One example of sequence inference is sentiment
classiﬁcation from a paragraph of text, where S is the paragraph and y the desired sentiment label.
Spans could be words, phrases, sentences, or a mixture of these in the paragraph. Another example
is time series prediction, where S is historical data, y is the value at the next time step."
PROBLEM DEFINITION,0.04633204633204633,"Supporting facts. Given an input-output pair (S, y) for sequence prediction, we assume that y is
truly determined by only a subset of spans in S. More formally, we assume that there is a subset
of spans Ssup ⇢{s1, s2, . . . , sn} such that y is independent of si, if si /2 Ssup. In sentiment
classiﬁcation, Ssup could consist of important sentiment words or conjunctions (like “good”, “bad”,
“but”); in time series prediction, it could reﬂect the most recent time steps as well as those a few
cycles away if the series is periodic. For simplicity, we will denote the size of this set m = |Ssup|,
and restrict our attention to tasks where m ⌧n, such as those described in the previous section."
SPANDROP,0.05019305019305019,"2.2
SPANDROP
In a long sequence inference task with sparse support facts (m ⌧n), most of the spans in the input
sequence will not contribute to the prediction of y, but they will introduce spurious correlation in
a low-data scenario. SPANDROP generates new data instances ( ˜S, y) by ablating these spans at"
SPANDROP,0.05405405405405406,Under review as a conference paper at ICLR 2022
SPANDROP,0.05791505791505792,"0
50
100
0 5 10"
SPANDROP,0.06177606177606178,Sequence length (n0)
SPANDROP,0.06563706563706563,Proportion (%)
SPANDROP,0.0694980694980695,SPANDROP
SPANDROP,0.07335907335907337,Beta-SPANDROP
SPANDROP,0.07722007722007722,"(a) Length of ˜S (n = 100, p = 0.2)"
SPANDROP,0.08108108108108109,"0
10
20 −4 −2 0 2"
SPANDROP,0.08494208494208494,supporting facts (m)
SPANDROP,0.0888030888030888,Log noise-free prob.
SPANDROP,0.09266409266409266,"γ = 1
γ = 100
γ = 10
γ = 1
γ = 0.1
γ = 0.01"
SPANDROP,0.09652509652509653,(b) supporting fact noise (p = 0.2)
SPANDROP,0.10038610038610038,"100
102
104
0 0.2 0.4 0.6"
SPANDROP,0.10424710424710425,Sequence length (n)
SPANDROP,0.10810810810810811,Avg. nats/span
SPANDROP,0.11196911196911197,"γ = 1
γ = 100
γ = 10
γ = 1
γ = 0.1
γ = 0.01"
SPANDROP,0.11583011583011583,"(c) Typical set size (p = 0.1)
Figure 1: Theoretical comparison between SPANDROP and Beta-SPANDROP."
SPANDROP,0.11969111969111969,"random, while preserving the supporting facts with high probability so that the model is still trained
to make the correct prediction y. This is akin to counterfactually determining whether each span
truly determines the outcome y by asking what the prediction would have been without it."
SPANDROP,0.12355212355212356,"Deﬁnition 1 (SPANDROP). Formally, given a sequence S that consists of spans (s1, s2, · · · sn),
SPANDROP generates a new sequence ˜S as follows: δi"
SPANDROP,0.1274131274131274,"i.i.d.
⇠Bernoulli(1 −p),
˜S =(si)n"
SPANDROP,0.13127413127413126,"i=1,δi=1,
(1)"
SPANDROP,0.13513513513513514,where p is the hyperparameter that determines the probability to drop a span.
SPANDROP,0.138996138996139,"Note that SPANDROP does not require introducing substitute spans or artiﬁcial symbols when ab-
lating spans from the input sequence. It makes the most of the natural sequence as it occurs in the
original training data, and preserves the relative order between spans that are not dropped, which is
often helpful in understanding sequential data (e.g., time series or text). It is also not difﬁcult to es-
tablish that the resulting sequence ˜S can preserve all of the m supporting facts with high probability
regardless of how large n is."
SPANDROP,0.14285714285714285,"Remark 1. The new sequence length n0 = | ˜S| and the number of preserved supporting facts m0 =
| ˜S \ Ssup| follow binomial distributions with parameters (n, 1 −p) and (m, 1 −p), respectively:"
SPANDROP,0.14671814671814673,"P(n0|n, p) = ✓n n0 ◆"
SPANDROP,0.15057915057915058,"(1 −p)n0pn−n0,
P(m0|m, p) = ✓m m0 ◆"
SPANDROP,0.15444015444015444,"(1 −p)m0pm−m0.
(2)"
SPANDROP,0.1583011583011583,"Therefore, the proportion of sequences where all supporting facts are retained (i.e., m0 = m) is
(1 −p)m, which is independent of n. This means that as long as the total number of supporting
facts in the sequence is bounded, then regardless of the sequence length, we can always choose
p carefully such that we end up with many valid new examples with bounded noise introduced to
supporting facts. Note that our analysis so far relies only on the assumption that m is known or
can be estimated, and thus it can be applied to tasks where the precise set of supporting facts Ssup
is unknown. More formally, the amount of new examples can be characterized by the size of the
typical set of ˜S, i.e.the set of sequences that the randomly ablated sequence will fall into with high
probability. The size of the typical set for SPANDROP is approximately 2nH(p), where H(p) is the
binary entropy of a Bernoulli random variable with probability p. Intuitively, these results indicate
that the amount of total counterfactual examples generated by SPANDROP scales exponentially in
n, but the level of supporting fact noise can be bounded as long as m is small."
SPANDROP,0.16216216216216217,"However, this formulation of SPANDROP does have a notable drawback that could potentially hinder
its efﬁcacy. Because the new sequence length n0 follows a binomial distribution, its mean is n(1−p)
and its variance is np(1 −p). For sufﬁciently large n, most of the resulting ˜S will have lengths that
concentrate around the mean with a width of O(pn), which creates an artiﬁcial and permanent
distribution drift from the original length (see Figure 1(a)). Furthermore, if we know the identity of
Ssup and keep these spans during training, this length reduction will bias the training set towards
easier examples to locate spans in Ssup. In the next subsection, we will introduce a variant of
SPANDROP based on the beta-Bernoulli distribution that alleviates this issue."
SPANDROP,0.16602316602316602,Under review as a conference paper at ICLR 2022
BETA-SPANDROP,0.16988416988416988,"2.3
BETA-SPANDROP"
BETA-SPANDROP,0.17374517374517376,"To address the problem of distribution drift with SPANDROP, we introduce a variant that is based on
the beta-Bernoulli distribution. The main idea is that instead of dropping each span in a sequence
independently with a ﬁxed probability p, we ﬁrst sample a sequence-level probability ⇡at which
spans are dropped from a Beta distribution, then use this probability to perform SPANDROP."
BETA-SPANDROP,0.1776061776061776,"Deﬁnition 2 (Beta-SPANDROP). Let ↵= γ, β = γ · 1−p"
BETA-SPANDROP,0.18146718146718147,"p , where γ > 0 is a scaling hyperparameter."
BETA-SPANDROP,0.18532818532818532,Beta-SPANDROP generates ˜S over S as:
BETA-SPANDROP,0.1891891891891892,"⇡⇠B(↵, β),
δi"
BETA-SPANDROP,0.19305019305019305,"i.i.d.
⇠Bernoulli(1 −⇡),
˜S =(si)n"
BETA-SPANDROP,0.1969111969111969,"i=1,δi=1,
(3)"
BETA-SPANDROP,0.20077220077220076,"where B(↵, β) is the beta-distribution with parameters ↵and β."
BETA-SPANDROP,0.20463320463320464,"It can be easily demonstrated that in Beta-SPANDROP, the probability that each span is dropped is
still controlled by p, same as in SPANDROP: E[δi|p] = E[E[δi|⇡]|p] = E[1 −⇡|p] = 1 −
↵
↵+β =
1 −p. In fact, we can show that as γ ! 1, Beta-SPANDROP degenerates into SPANDROP since
the beta-distribution would assign all probability mass on ⇡= p. Despite the simplicity in its
implementation, Beta-SPANDROP is signiﬁcantly less likely to introduce unwanted data distribution
drift, while is capable of generating diverse counterfactual examples to regularize the training of
sequence inference models. This is due to the following properties:"
BETA-SPANDROP,0.2084942084942085,"Remark 2. The new sequence length n0 = | ˜S| and the number of preserved supporting facts m0 =
| ˜S \ Ssup| follow binomial distributions with parameters (n, β, ↵) and (m, β, ↵), respectively:"
BETA-SPANDROP,0.21235521235521235,"P(n0|n, ↵, β) =
Γ(n + 1)
Γ(n0 + 1)Γ(n −n0 + 1)"
BETA-SPANDROP,0.21621621621621623,Γ(n0 + β)Γ(n −n0 + ↵)
BETA-SPANDROP,0.22007722007722008,Γ(n + ↵+ β)
BETA-SPANDROP,0.22393822393822393,"Γ(↵+ β)
Γ(↵)Γ(β),
(4)"
BETA-SPANDROP,0.2277992277992278,"P(m0|m, ↵, β) =
Γ(m + 1)
Γ(m0 + 1)Γ(m −m0 + 1)"
BETA-SPANDROP,0.23166023166023167,Γ(m0 + β)Γ(m −m0 + ↵)
BETA-SPANDROP,0.23552123552123552,Γ(m + ↵+ β)
BETA-SPANDROP,0.23938223938223938,"Γ(↵+ β)
Γ(↵)Γ(β),
(5)"
BETA-SPANDROP,0.24324324324324326,where Γ(z) = R 1
BETA-SPANDROP,0.2471042471042471,"0
xz−1e−xdx is the gamma function."
