Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0008149959250203749,"What action sequence aa′a′′ was likely responsible for reaching state s′′′ (from state
1"
ABSTRACT,0.0016299918500407497,"s) in 3 steps? Addressing such questions is important in causal reasoning and in re-
2"
ABSTRACT,0.0024449877750611247,"inforcement learning. Inverse “MDP” models p(aa′a′′|ss′′′) can be used to answer
3"
ABSTRACT,0.0032599837000814994,"them. In the traditional “forward” view, transition “matrix” p(s′|sa) and policy
4"
ABSTRACT,0.004074979625101874,"π(a|s) uniquely determine “everything”: the whole dynamics p(as′a′s′′a′′...|s),
5"
ABSTRACT,0.004889975550122249,"and with it, the action-conditional state process p(s′s′′...|saa′a′′), the multi-step
6"
ABSTRACT,0.0057049714751426246,"inverse models p(aa′a′′...|ssi), etc. If the latter is our primary concern, a natural
7"
ABSTRACT,0.006519967400162999,"question, analogous to the forward case is to which extent 1-step inverse model
8"
ABSTRACT,0.007334963325183374,"p(a|ss′) plus policy π(a|s) determine the multi-step inverse models or even the
9"
ABSTRACT,0.008149959250203748,"whole dynamics. In other words, can forward models be inferred from inverse
10"
ABSTRACT,0.008964955175224124,"models or even be side-stepped. This work addresses this question and variations
11"
ABSTRACT,0.009779951100244499,"thereof, and also whether there are efficient decision/inference algorithms for this.
12"
ABSTRACT,0.010594947025264874,"Keywords
inverse models; reinforcement learning; causality; theory; multi-step models; planning.
13"
INTRODUCTION,0.011409942950285249,"1
Introduction
14"
INTRODUCTION,0.012224938875305624,"Consider an MDP with actions a∈{0,..,k−1} and states s∈{1,...,d}. Rewards play no role in our
15"
INTRODUCTION,0.013039934800325998,"analysis, so controlled Markov process [DY79] or conditional Markov chain may be a more apt
16"
INTRODUCTION,0.013854930725346373,"naming. Transition “matrix” p(s′|sa) (“Forward model”) and policy π(a|s) uniquely determine the
17"
INTRODUCTION,0.014669926650366748,"whole dynamics
18"
INTRODUCTION,0.015484922575387123,"p(as′a′s′′a′′...|s) = π(a|s)·p(s′|sa)·π(a′|s′)·p(s′′|s′a′)·...
(1)"
INTRODUCTION,0.016299918500407497,"and also determines the action-conditional state process (“Multi-Step Forward Model”):
19"
INTRODUCTION,0.017114914425427872,"p(s′s′′...|saa′a′′) = p(as′a′s′′a′′...|s)/
X"
INTRODUCTION,0.017929910350448247,"s′s′′...
p(as′a′s′′a′′...|s)
(2)"
INTRODUCTION,0.018744906275468622,"Here we consider Inverse Model p(a|ss′) and Multi-Step Inverse Models p(aa′a′′...|ss′s′′s′′′...)
20"
INTRODUCTION,0.019559902200488997,"and p(a|ssi) and variations thereof. Inverse MDP models should not be confused with inverse
21"
INTRODUCTION,0.020374898125509373,"reinforcement learning [AD21], which infers rewards, which play no role here.
22"
INTRODUCTION,0.021189894050529748,"Motivation.
One motivation to consider inverse models is causal inference: An inverse model
23"
