Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0024330900243309003,"Graph neural networks (GNNs) have become the standard learning architectures
for graphs. GNNs have been applied to numerous domains ranging from quantum
chemistry, recommender systems to knowledge graphs and natural language pro-
cessing. A major issue with arbitrary graphs is the absence of canonical positional
information of nodes, which decreases the representation power of GNNs to distin-
guish e.g. isomorphic nodes and other graph symmetries. An approach to tackle
this issue is to introduce Positional Encoding (PE) of nodes, and inject it into the
input layer, like in Transformers. Possible graph PE are Laplacian eigenvectors.
In this work, we propose to decouple structural and positional representations to
make easy for the network to learn these two essential properties. We introduce a
novel generic architecture which we call LSPE (Learnable Structural and Positional
Encodings). We investigate several sparse and fully-connected (Transformer-like)
GNNs, and observe a performance increase for molecular datasets, from 1.79% up
to 64.14% when considering learnable PE for both GNN classes. 1"
INTRODUCTION,0.004866180048661801,"1
INTRODUCTION"
INTRODUCTION,0.0072992700729927005,"GNNs have recently emerged as a powerful class of deep learning architectures to analyze datasets
where information is present in the form of heteregeneous graphs that encode complex data con-
nectivity. Experimentally, these architectures have shown great promises to be impactful in diverse
domains such as drug design (Stokes et al., 2020; Gaudelet et al., 2020), social networks (Monti et al.,
2019; Pal et al., 2020), trafﬁc networks (Derrow-Pinion et al., 2021), physics (Cranmer et al., 2019;
Bapst et al., 2020), combinatorial optimization (Bengio et al., 2021; Cappart et al., 2021) and medical
diagnosis (Li et al., 2020c)."
INTRODUCTION,0.009732360097323601,"Most GNNs (such as Defferrard et al. (2016); Sukhbaatar et al. (2016); Kipf & Welling (2017);
Hamilton et al. (2017); Monti et al. (2017); Bresson & Laurent (2017); Veliˇckovi´c et al. (2018); Xu
et al. (2019)) are designed with a message-passing mechanism (Gilmer et al., 2017) that builds node
representation by aggregating local neighborhood information. It means that this class of GNNs
is fundamentally structural, i.e. the node representation only depends on the local structure of the
graph. As such, two atoms in a molecule with the same neighborhood are expected to have similar
representation. However, it can be limiting to have the same representation for these two atoms as
their positions in the molecule are distinct, and their role may be speciﬁcally separate (Murphy et al.,
2019). As a consequence, the popular message-passing GNNs (MP-GNNs) fail to differentiate two
nodes with the same 1-hop local structure. This restriction is now properly understood in the context
of the equivalence of MP-GNNs with Weisfeiler-Leman (WL) test (Weisfeiler & Leman, 1968) for
graph isomorphism (Xu et al., 2019; Morris et al., 2019)."
INTRODUCTION,0.012165450121654502,1Code: https://github.com/vijaydwivedi75/gnn-lspe
INTRODUCTION,0.014598540145985401,"Published as a conference paper at ICLR 2022 3 2
1 4 5"
INTRODUCTION,0.0170316301703163,Node Structural Features
INTRODUCTION,0.019464720194647202,Node Positional Features
INTRODUCTION,0.021897810218978103,Edge Features
INTRODUCTION,0.024330900243309004,"Figure 1: Block diagram illustration of the proposed MPGNNs-LSPE architecture along with the
inputs, general framework of a layer, and the output and loss components."
