Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0024509803921568627,"Transformer-based architectures have recently exhibited remarkable successes
across different domains beyond just powering large language models.
How-
ever, existing approaches typically focus on predictive accuracy and computa-
tional cost, largely ignoring certain other practical issues such as robustness to
contaminated samples. In this paper, by re-interpreting the self-attention mecha-
nism as a non-parametric kernel density estimator, we adapt classical robust ker-
nel density estimation methods to develop novel classes of transformers that are
resistant to adversarial attacks and data contamination. We first propose meth-
ods that down-weight outliers in RKHS when computing the self-attention oper-
ations. We empirically show that these methods produce improved performance
over existing state-of-the-art methods, particularly on image data under adversar-
ial attacks. Then we leverage the median-of-means principle to obtain another
efficient approach that results in noticeably enhanced performance and robust-
ness on language modeling and time series classification tasks. Our methods can
be combined with existing transformers to augment their robust properties, thus
promising to impact a wide variety of applications."
INTRODUCTION,0.004901960784313725,"1
Introduction"
INTRODUCTION,0.007352941176470588,"While there have been notable advancements, the robustness of the standard attention module re-
mains an unresolved issue in the literature. In this paper, our goal is to reinforce the attention mech-
anism and construct a comprehensive framework for robust transformer models. To achieve this, we
first revisit the interpretation of self-attention in transformers, viewing it through the prism of the
Nadaraya-Watson (NW) estimator (Nadaraya, 1964) in a non-parametric regression context. Within
the transformer paradigm, the NW estimator is constructed based on the kernel density estimators
(KDE) of the keys and queries. However, these KDEs are not immune to the issue of sample con-
tamination (Kim & Scott, 2012). By conceptualizing the KDE as a solution to the kernel regression
problem within a Reproducing Kernel Hilbert Space (RKHS), we can utilize a range of state-of-the-
art robust KDE techniques, such as those based on robust kernel regression and median-of-mean
estimators. This facilitates the creation of substantially more robust self-attention mechanisms. The
resulting suite of robust self-attention can be adapted to a variety of transformer architectures and
tasks across different data modalities. We carry out exhaustive experiments covering vision, lan-
guage modeling, and time-series classification. The results demonstrate that our approaches can
uphold comparable accuracy on clean data while exhibiting improved performance on contaminated
data. Crucially, this is accomplished without introducing any extra parameters."
INTRODUCTION,0.00980392156862745,"Related Work on Robust Transformers: Vision Transformer (ViT) models (Dosovitskiy et al.,
2020; Touvron et al., 2021b) have recently demonstrated impressive performance across various vi-
sion tasks, positioning themselves as a compelling alternative to CNNs. A number of studies (e.g.,
Subramanya et al., 2022; Paul & Chen, 2022; Bhojanapalli et al., 2021; Mahmood et al., 2021; Mao
et al., 2022; Zhou et al., 2022) have proposed strategies to bolster the resilience of these models
against common adversarial attacks on image data, thereby enhancing their generalizability across
diverse datasets. For instance, Mahmood et al. (2021) provided empirical evidence of ViT’s vulnera-
bility to white-box adversarial attacks, while demonstrating that a straightforward ensemble defense
could achieve remarkable robustness without compromising accuracy on clean data. Zhou et al.
(2022) suggested fully attentional networks to enhance self-attention, achieving state-of-the-art ac-
curacy on corrupted images. Furthermore, Mao et al. (2022) conducted a robustness analysis on
various ViT building blocks, proposing position-aware attention scaling and patch-wise augmenta-
tion to enhance the model’s robustness and accuracy. However, these investigations are primarily
geared toward vision-related tasks, which restricts their applicability across different data modali-
ties. As an example, the position-based attention from Mao et al. (2022) induces a bi-directional
information flow, which is limiting for position-sensitive datasets such as text or sequences. These
methods also introduce additional parameters. Beyond these vision-focused studies, robust trans-
formers have also been explored in fields like text analysis and social media. Yang et al. (2022)
delved into table understanding and suggested a robust, structurally aware table-text encoding archi-
tecture to mitigate the effects of row and column order perturbations. Liu et al. (2021a) proposed
a robust end-to-end transformer-based model for crisis detection and recognition. Furthermore, Li
et al. (2020) developed a unique attention mechanism to create a robust neural text-to-speech model
capable of synthesizing both natural and stable audios. We have noted that these methods vary in
their methodologies, largely due to differences in application domains, and therefore limiting their
generalizability across diverse contexts."
INTRODUCTION,0.012254901960784314,"Other Theoretical Frameworks for Attention Mechanisms: Attention mechanisms in transform-
ers have been recently studied from different perspectives. Tsai et al. (2019) show that attention can
be derived from smoothing the inputs with appropriate kernels. Katharopoulos et al. (2020); Choro-
manski et al. (2021); Wang et al. (2020) further linearize the softmax kernel in attention to attain
a family of efficient transformers with both linear computational and memory complexity. These
linear attentions are proven in Cao (2021) to be equivalent to a Petrov-Galerkin projection (Reddy,
2004), thereby indicating that the softmax normalization in dot-product attention is sufficient but not
necessary. Other frameworks for analyzing transformers that use ordinary/partial differential equa-
tions include Lu et al. (2019); Sander et al. (2022). In addition, the Gaussian mixture model and
graph-structured learning have been utilized to study attentions and transformers (Tang & Matteson,
2021; Gabbur et al., 2021; Zhang & Feng, 2021; Wang et al., 2018; Kreuzer et al., 2021). Nguyen
et al. (2022c) has linked the self-attention mechanism with a non-parametric regression perspective,
which offers enhanced interpretability of Transformers. Our approach draws upon this viewpoint,
but focuses instead on how it can lead to robust solutions."
SELF-ATTENTION MECHANISM FROM A NON-PARAMETRIC REGRESSION PERSPECTIVE,0.014705882352941176,"2
Self-Attention Mechanism from a Non-parametric Regression Perspective"
SELF-ATTENTION MECHANISM FROM A NON-PARAMETRIC REGRESSION PERSPECTIVE,0.01715686274509804,"Assume we have the key and value vectors {kj, vj}j∈[N] that is collected from the data generating
process v = f(k) + ε, where ε is some noise vectors with E[ε] = 0, and f is the function that we
want to estimate. We consider a random design setting where the key vectors {kj}j∈[N] are i.i.d.
samples from the distribution p(k), and we use p(v, k) to denote the joint distribution of (v, k)
defined by the data generating process. Our target is to estimate f(q) for any new queries q. The
NW estimator provides a non-parametric approach to estimating the function f, the main idea is that"
SELF-ATTENTION MECHANISM FROM A NON-PARAMETRIC REGRESSION PERSPECTIVE,0.0196078431372549,"f(k) = E[v|k] =
Z"
SELF-ATTENTION MECHANISM FROM A NON-PARAMETRIC REGRESSION PERSPECTIVE,0.022058823529411766,"RD v · p(v|k)dv =
Z"
SELF-ATTENTION MECHANISM FROM A NON-PARAMETRIC REGRESSION PERSPECTIVE,0.024509803921568627,"RD
v · p(v, k)"
SELF-ATTENTION MECHANISM FROM A NON-PARAMETRIC REGRESSION PERSPECTIVE,0.02696078431372549,"p(k)
dv,
(1)"
SELF-ATTENTION MECHANISM FROM A NON-PARAMETRIC REGRESSION PERSPECTIVE,0.029411764705882353,"where the first equation comes from the fact that E[ε] = 0, the second equation comes from the
definition of conditional expectation, and the last equation comes from the definition of conditional
density. To provide an estimation of f, we just need to obtain estimations for both the joint density
function p(v, k) and the marginal density function p(k). KDE is commonly used for the density
estimation problem (Rosenblatt, 1956; Parzen, 1962), which requires a kernel kσ with the bandwidth
parameter σ satisfies
R"
SELF-ATTENTION MECHANISM FROM A NON-PARAMETRIC REGRESSION PERSPECTIVE,0.031862745098039214,"RD kσ(x −x′)dx = 1, ∀x′, and estimate the density as"
SELF-ATTENTION MECHANISM FROM A NON-PARAMETRIC REGRESSION PERSPECTIVE,0.03431372549019608,"ˆpσ(v, k) = 1 N X"
SELF-ATTENTION MECHANISM FROM A NON-PARAMETRIC REGRESSION PERSPECTIVE,0.03676470588235294,"j∈[N]
kσ ([v, k] −[vj, kj])
ˆpσ(k) = 1 N X"
SELF-ATTENTION MECHANISM FROM A NON-PARAMETRIC REGRESSION PERSPECTIVE,0.0392156862745098,"j∈[N]
kσ(k −kj),
(2)"
