Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0045045045045045045,"Reliable AI agents should be mindful of the limits of their knowledge and con-
sult humans when sensing that they do not have sufﬁcient knowledge to make
sound decisions. We formulate a hierarchical reinforcement learning framework
for learning to decide when to request additional information from humans and
what type of information would be helpful to request. Our framework extends
partially-observed Markov decision processes (POMDPs) by allowing an agent
to interact with an assistant to leverage their knowledge in accomplishing tasks.
Results on a simulated human-assisted navigation problem demonstrate the ef-
fectiveness of our framework: aided with an interaction policy learned by our
method, a navigation policy achieves up to a 7× improvement in task success rate
compared to performing tasks only by itself. We ﬁnd that the ability to request
subgoals enables the agent to generalize effectively to tasks in unseen environ-
ments. We analyze beneﬁts and challenges of learning with a hierarchical policy
structure and suggest directions for future work."
INTRODUCTION,0.009009009009009009,"1
INTRODUCTION"
INTRODUCTION,0.013513513513513514,"Human-agent communication at deployment time has been under-explored in machine learning,
where the traditional focus has been on building agents that can accomplish tasks on their own
(full autonomy). Nevertheless, enabling an agent to exchange information with humans during its
operation can potentially enhance its helpfulness and trustworthiness. The ability to request and
interpret human advice would help the agent accomplish tasks beyond its built-in knowledge, while
the ability to accurately convey when and why it is about to fail would make the agent safer to use."
INTRODUCTION,0.018018018018018018,"In his classical work, Grice (1975) outlines the desired characteristics of cooperative communica-
tion, commonly known as the Gricean maxims of cooperation. Among these characteristics are
informativeness (the maxim of quantity) and faithfulness (the maxim of quality). Human-agent
communication in current work has fallen short in these two aspects. Traditional frameworks like
imitation learning and reinforcement learning employ limited communication protocols where
the agent and the human can only exchange simple intentions (requesting low-level actions or
rewards Torrey & Taylor (2013); Knox & Stone (2009)). More powerful frameworks like (Nguyen
& Daum´e III, 2019; Nguyen et al., 2019; Kim et al., 2019) allow the agent to process high-level
instructions from humans, but the agent still only requests generic help. Recent work in natural
language processing endows the agent with the ability to generate rich natural language utterances
(Camburu et al., 2018; Rao & Daum´e III, 2018; De Vries et al., 2017; Das et al., 2017), but the
communication is not faithful in the sense that the agent only mirrors human-generated utterances
without grounding its communication in self-perception of its (in)capabilities and (un)certainties.
Essentially it learns to convey what a human may be concerned about, not what it is concerned about."
INTRODUCTION,0.02252252252252252,"This paper presents a hierarchical reinforcement learning framework named HARI (Human-Assisted
Reinforced Interaction), which supports richer and more faithful human-agent communication. Our
framework allows the agent to learn to convey intrinstic needs for speciﬁc information and to incor-
porate diverse types of information from humans to make better decisions. Speciﬁcally, the agent
in HARI is equipped with three information-seeking intentions: in every step, it can choose to re-
quest more information about (i) its current state, (ii) the goal state, or (iii) a subgoal state which,
if reached, helps it make progress on the current task. Upon receiving a request, the human can
transfer new information to the agent by giving new descriptions of the requested state. These de-"
INTRODUCTION,0.02702702702702703,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.03153153153153153,"C
Environment"
INTRODUCTION,0.036036036036036036,Living room
INTRODUCTION,0.04054054054054054,Kitchen
