Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.003134796238244514,"A recent emerging trend in the literature on learning in games has been concerned
with providing accelerated learning dynamics for correlated and coarse correlated
equilibria in normal-form games. Much less is known about the signiﬁcantly
more challenging setting of extensive-form games, which can capture sequential
and simultaneous moves, as well as imperfect information. In this paper, we de-
velop faster no-regret learning dynamics for extensive-form correlated equilibrium
(EFCE) in multiplayer general-sum imperfect-information extensive-form games.
When all agents play T repetitions of the game according to the accelerated dy-
namics, the correlated distribution of play is an O(T −3/4)-approximate EFCE.
This signiﬁcantly improves over the best prior rate of O(T −1/2). One of our
conceptual contributions is to connect predictive (that is, optimistic) regret mini-
mization with the framework of Φ-regret. One of our main technical contributions
is to characterize the stability of certain ﬁxed point strategies through a reﬁned
perturbation analysis of a structured Markov chain, which may be of independent
interest. Finally, experiments on standard benchmarks corroborate our ﬁndings."
INTRODUCTION,0.006269592476489028,"1
INTRODUCTION"
INTRODUCTION,0.009404388714733543,"Game-theoretic solution concepts describe how agents should rationally act in games. Over the
last two decades there has been tremendous progress in imperfect-information game solving and
algorithms based on game-theoretic solution concepts have become the state of the art. Prominent
milestones of this were an optimal strategy for Rhode Island hold’em poker (Gilpin & Sandholm,
2007), a near-optimal strategy for limit Texas hold’em (Bowling et al., 2015), and a superhuman
strategy for no-limit Texas hold’em (Brown & Sandholm, 2017). In particular, these advances rely
on algorithms that approximate Nash equilibria (NE) of two-player zero-sum extensive-form games
(EFGs). EFGs are a broad class of games that capture sequential and simultaneous interaction,
and imperfect information. For two-player zero-sum EFGs, it is by now well-understood how to
compute a Nash equilibrium at scale: in theory this can be achieved using accelerated uncoupled no-
regret learning dynamics, for example by having each player use an optimistic regret minimizer and
leveraging suitable distance-generating functions (Hoda et al., 2010; Kroer et al., 2020; Farina et al.,
2021c) for the EFG decision space. Such a setup converges to an equilibrium at a rate of O(T −1).
In practice, modern variants of the counterfactual regret minimization (CFR) framework typically
lead to better performance, although the worst-case convergence rate is O(T −1/2) (Zinkevich et al.,
2007). CFR is also an uncoupled no-regret learning dynamic."
INTRODUCTION,0.012539184952978056,"However, many real-world applications are not two-player zero-sum games, but instead have
general-sum utilities and often more than two players. In such settings, Nash equilibrium suffers
from several drawbacks when used as a prescriptive tool. First, there can be multiple equilibria,
and an equilibrium strategy may perform very poorly when played against the “wrong” equilibrium
strategies of the other player(s). Thus, the players effectively would need to communicate in order
to ﬁnd an equilibrium, or hope to converge to it via some sort of learning dynamics. Second, ﬁnd-
ing a Nash equilibrium is computationally hard both in theory (Daskalakis et al., 2006; Etessami &
Yannakakis, 2007) and in practice (Berg & Sandholm, 2017). This effectively squashes any hope of
developing efﬁcient learning dynamics that converge to general-sum Nash equilibria."
INTRODUCTION,0.01567398119122257,"A competing notion of rationality proposed by Aumann (1974) is that of correlated equilibrium
(CE), typically modeled via a trusted mediator who privately recommends actions to the players."
INTRODUCTION,0.018808777429467086,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.0219435736677116,"Unlike NE, it is known that the latter can be computed in polynomial time and, perhaps even more
importantly, it can be attained through uncoupled learning dynamics, where the players only need
to reason about their own observed utilities. This overcomes the often unreasonable presumption
that players have knowledge about the other players’ utilities. At the same time, uncoupled learning
algorithms have proven to be a remarkably scalable approach for computing equilibria in large-scale
games, as described above. The basic CE notion is deﬁned for normal-form games, and there it has
long been known that uncoupled no-regret learning dynamics can converge to CE or the coarse
correlated equilibrium (CCE) variant at a rate of O(T −1/2) (Hart & Mas-Colell, 2000; Celli et al.,
2019). More recently, it was shown that accelerated uncoupled no-regret learning dynamics can
compute CCE and CE at a rate of O(T −3/4) (Syrgkanis et al., 2015; Chen & Peng, 2020)."
INTRODUCTION,0.025078369905956112,"In the context of EFGs, the idea of correlation is much more intricate, and there are several no-
tions of correlated equilibrium, based on when the mediator gives recommendations and how the
mediator reacts to players who disregard the advice. One of the most compelling notions for EFGs
is the extensive-form correlated equilibrium (henceforth EFCE) (von Stengel & Forges, 2008) for
extensive-form games with perfect recall. Because of the sequential nature, the presence of private
information in the game, and the gradual revelation of recommendations, the constraints associated
with EFCE are signiﬁcantly more complex than for normal-form games. For these reasons, the
question of whether uncoupled learning dynamics can converge to an EFCE was only very recently
resolved by Celli et al. (2020). Moreover, in a follow-up work they also established an explicit
rate of convergence of O(T −1/2) (Farina et al., 2021a). Our paper is concerned with the following
fundamental question: Can one develop faster uncoupled no-regret learning dynamics for EFCE?"
INTRODUCTION,0.02821316614420063,"Contributions.
Our primary contribution is to answer this question in the positive:"
