Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0011025358324145535,"Existing unified methods typically treat multi-degradation image restoration as a
1"
ABSTRACT,0.002205071664829107,"multi-task learning problem. Despite performing effectively compared to single
2"
ABSTRACT,0.0033076074972436605,"degradation restoration methods, they overlook the utilization of commonalities
3"
ABSTRACT,0.004410143329658214,"and specificities within multi-task restoration, thereby impeding the model’s per-
4"
ABSTRACT,0.005512679162072767,"formance. Inspired by the success of deep generative models and fine-tuning tech-
5"
ABSTRACT,0.006615214994487321,"niques, we proposed a universal image restoration framework based on multiple
6"
ABSTRACT,0.007717750826901874,"low-rank adapters (LoRA) from multi-domain transfer learning. Our framework
7"
ABSTRACT,0.008820286659316428,"leverages the pre-trained generative model as the shared component for multi-
8"
ABSTRACT,0.009922822491730982,"degradation restoration and transfers it to specific degradation image restoration
9"
ABSTRACT,0.011025358324145534,"tasks using low-rank adaptation. Additionally, we introduce a LoRA composing
10"
ABSTRACT,0.012127894156560088,"strategy based on the degradation similarity, which adaptively combines trained
11"
ABSTRACT,0.013230429988974642,"LoRAs and enables our model to be applicable for mixed degradation restoration.
12"
ABSTRACT,0.014332965821389196,"Extensive experiments on multiple and mixed degradations demonstrate that the
13"
ABSTRACT,0.015435501653803748,"proposed universal image restoration method not only achieves higher fidelity and
14"
ABSTRACT,0.016538037486218304,"perceptual image quality but also has better generalization ability than other unified
15"
ABSTRACT,0.017640573318632856,"image restoration models.
16"
INTRODUCTION,0.018743109151047408,"1
Introduction
17"
INTRODUCTION,0.019845644983461964,"In the wild, a range of distortions commonly appear in captured images, including noise[56], blur[14,
18"
INTRODUCTION,0.020948180815876516,"47, 6], low light[58, 22, 8], and various weather degradations[15, 51, 54, 45]. As a fundamental task
19"
INTRODUCTION,0.022050716648291068,"in low-level vision, image restoration aims to eliminate these distortions and recover sharp details and
20"
INTRODUCTION,0.023153252480705624,"original scene information from corrupted images. With the assistance of deep learning, an abundance
21"
INTRODUCTION,0.024255788313120176,"of restoration approaches [56, 3, 54, 2, 16, 14, 53] have made significant progress in eliminating
22"
INTRODUCTION,0.025358324145534728,"single degradation from images. However, these approaches typically require additional training from
23"
INTRODUCTION,0.026460859977949284,"scratch on specific image pairs in multi-degraded scenarios, which leads to inconvenience in usage
24"
INTRODUCTION,0.027563395810363836,"and limited generalization ability.
25"
INTRODUCTION,0.02866593164277839,"For simplicity and practicality, some existing works [15, 31, 55]consider training a unified model
26"
INTRODUCTION,0.029768467475192944,"(also called all-in-one model) to handle multiple degradations as multi-task learning. These studies
27"
INTRODUCTION,0.030871003307607496,"primarily explore how to discern degradation from the image and integrate it into the restoration
28"
INTRODUCTION,0.03197353914002205,"network. Nevertheless, these methods share all parameters across different degradations, resulting in
29"
INTRODUCTION,0.03307607497243661,"gradient conflicts [40, 52] that hinder further improvement of unified models’ performance.
30"
INTRODUCTION,0.034178610804851156,"Digging deeper, the underlying issue lies in that the similarities among different image restoration
31"
INTRODUCTION,0.03528114663726571,"tasks and the inherent specificity of each degradation are not well considered and utilized in the
32"
INTRODUCTION,0.03638368246968027,"training. This limitation drives us to seek solutions for multi-degradation restoration by leveraging
33"
INTRODUCTION,0.037486218302094816,"both commonalities and specificities.
34 noisy hazy"
INTRODUCTION,0.03858875413450937,blurry
INTRODUCTION,0.03969128996692393,"low light
…"
INTRODUCTION,0.040793825799338476,Pre-trained
INTRODUCTION,0.04189636163175303,generative model
INTRODUCTION,0.04299889746416759,clean image
INTRODUCTION,0.044101433296582136,domain
INTRODUCTION,0.04520396912899669,specific
INTRODUCTION,0.04630650496141125,specific
INTRODUCTION,0.047409040793825796,specific
INTRODUCTION,0.04851157662624035,specific 𝑝𝑥 …
INTRODUCTION,0.04961411245865491,shared
INTRODUCTION,0.050716648291069456,transfer
INTRODUCTION,0.05181918412348401,"noise, text,"
INTRODUCTION,0.05292171995589857,"image
Image Generation"
INTRODUCTION,0.05402425578831312,Image Restoration
INTRODUCTION,0.05512679162072767,"Figure 1: Motivation of our work. A pre-trained generative model serves as the shared component
and minimal parameters are added to model the specificity of each degradation restoration task."
INTRODUCTION,0.05622932745314223,"Inspired by the successes of deep generative models[37, 36, 35] and fine-tuning techniques[11, 10, 4],
35"
INTRODUCTION,0.05733186328555678,"we propose addressing the aforementioned issue from the perspective of multi-domain transfer
36"
INTRODUCTION,0.05843439911797133,"learning, as presented in Figure 1. The pre-trained generative model exhibits powerful capabilities,
37"
INTRODUCTION,0.05953693495038589,"implying rich prior knowledge of clear image distribution p(x), which is exactly what is needed
38"
INTRODUCTION,0.06063947078280044,"for image restoration. Since image prior p(x) is degradation-agnostic and applicable to all types
39"
INTRODUCTION,0.06174200661521499,"of degraded images, the pre-trained generative model is an excellent candidate for serving as the
40"
INTRODUCTION,0.06284454244762955,"shared component for multiple degradation restoration. To model the transition from the clean image
41"
INTRODUCTION,0.0639470782800441,"domain to different degraded image domains, minimal specific parameters are required to fine-tune
42"
INTRODUCTION,0.06504961411245866,"the pre-trained model for each degradation restoration task. This approach not only isolates conflicts
43"
INTRODUCTION,0.06615214994487321,"between each degradation task but also ensures efficiency and performance during training.
44"
INTRODUCTION,0.06725468577728776,"Following the idea of multi-domain transfer learning, we proposed a universal image restoration
45"
INTRODUCTION,0.06835722160970231,"framework based on multiple low-rank adaptations, named UIR-LoRA. In our framework, the pre-
46"
INTRODUCTION,0.06945975744211687,"trained SD-turbo [39] serves as the shared fundamental model for multiple degradation restoration
47"
INTRODUCTION,0.07056229327453142,"tasks due to its powerful one-step generation capability and extensive image priors. Subsequently,
48"
INTRODUCTION,0.07166482910694598,"we incorporate the low-rank adaptation (LoRA) technique [11] to fine-tune the base model for each
49"
INTRODUCTION,0.07276736493936053,"specific image restoration task. This involves augmenting low-dimensional parameter matrices on
50"
INTRODUCTION,0.07386990077177508,"selected layers within the base model, ensuring efficient fine-tuning while maintaining independence
51"
INTRODUCTION,0.07497243660418963,"between LoRAs for each specific degradation. Additionally, we propose a LoRA composition strategy
52"
