Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.005747126436781609,"The discovery of sparse subnetworks that are able to perform as well as full mod-
els has found broad applied and theoretical interest. While many pruning methods
have been developed to this end, the na¨ıve approach of removing parameters based
on their magnitude has been found to be as robust as more complex, state-of-the-
art algorithms. The lack of theory behind magnitude pruning’s success, especially
pre-convergence, and its relation to other pruning methods, such as gradient based
pruning, are outstanding open questions in the ﬁeld that are in need of being ad-
dressed. We make use of recent advances in dynamical systems theory, namely
Koopman operator theory, to deﬁne a new class of theoretically motivated prun-
ing algorithms. We show that these algorithms can be equivalent to magnitude
and gradient based pruning, unifying these seemingly disparate methods, and ﬁnd
that they can be used to shed light on magnitude pruning’s performance during the
early part of training."
INTRODUCTION,0.011494252873563218,"1
INTRODUCTION"
INTRODUCTION,0.017241379310344827,"A surprising, but well-replicated, result in the study of deep neural network (DNN) optimization is
that it is often possible to signiﬁcantly “prune” the number of parameters after training with little
effect on performance (Janowsky, 1989; Mozer & Smolensky, 1989a;b; LeCun et al., 1989; Karnin,
1990; Han et al., 2015; Blalock et al., 2020). Because DNNs have become increasingly large and
require considerable storage, memory bandwidth, and computational resources (Han et al., 2015),
ﬁnding a reduced form is desirable and has become an area of major research. In addition to the
practical considerations, DNN pruning has become of theoretical interest, as the search for subnet-
works that can be pruned with minimal effect on performance led to new insight on the success of
large DNNs, via the development of the Lottery Ticket Hypothesis (LTH) (Frankle & Carbin, 2019;
Frankle et al., 2020). A considerable body of literature has been devoted to expanding, interrogating,
and critiquing the LTH, furthering the understanding of sparse DNNs."
INTRODUCTION,0.022988505747126436,"While many different methods exist for choosing which parameters to prune, including ones that
take into account the gradient and the Hessian of the loss function (LeCun et al., 1989; Hassibi
& Stork, 1993; Yu et al., 2018; Lee et al., 2019; 2020), the simple approach of pruning based on
a global threshold of parameters’ magnitudes has been found to be robust and competitive with
more complicated, state-of-the-art methods (Blalock et al., 2020). In addition, early work on the
LTH found that magnitude pruning could be successfully performed early during training (although,
iteratively pruning based on magnitude was found to yield considerably better results) (Frankle &
Carbin, 2019). Subsequent research has related the point in training time when iterative magnitude
pruning can be successfully applied to a phenomenon known as “linear mode connectivity” (Frankle
et al., 2020). However, why magnitude pruning does not work before the emergence of linear mode"
INTRODUCTION,0.028735632183908046,Published as a conference paper at ICLR 2022
INTRODUCTION,0.034482758620689655,"connectivity, is not well understood. Therefore, there is a need to develop new, theoretically driven
tools for studying magnitude pruning, especially pre-convergence (Frankle et al., 2021)."
INTRODUCTION,0.040229885057471264,"DNN training can be viewed as a discrete dynamical system, evolving the associated parameters
along a trajectory. Despite the fact that this perspective is familiar (indeed, it is often taught in intro-
ductions to gradient descent), the complex dependence of the trajectory on the choice of optimization
algorithm, architecture, activation functions, and data has kept dynamical systems theory from pro-
viding much insight into the behavior of DNNs. However, the recent development of Koopman
operator theory (Koopman, 1931; Koopman & Neumann, 1932; Mezi´c, 2005; Budiˇsi´c et al., 2012),
a rigorous, data-driven framework for studying nonlinear dynamical systems, has been successfully
applied to DNNs and machine learning, more generally (Dietrich et al., 2020; Dogra & Redman,
2020; Tano et al., 2020; Manojlovi´c et al., 2020; Mohr et al., 2021; Naiman & Azencot, 2021)."
INTRODUCTION,0.04597701149425287,"This recent success motivated us to ask whether we could leverage Koopman operator theory to pro-
vide insight into the pruning of DNNs. We ﬁrst made use of Koopman methods to deﬁne a new class
of pruning algorithms. One method in this class, which we refer to as Koopman magnitude pruning,
is shown to be equivalent to magnitude pruning at convergence. Early during training, we again ﬁnd
that the two methods can be equivalent. The dynamical systems perspective afforded by Koopman
pruning allows us to gain insight into the parameter dynamics present when the equivalence holds
and when it does not. We ﬁnd that the breaking of the equivalence occurs at a similar time that
non-trivial structure emerges within the DNN. Finally, we extend our work beyond magnitude based
pruning, showing that gradient pruning is equivalent to another form of Koopman pruning. Thus,
the Koopman framework uniﬁes magnitude and gradient pruning algorithms. Our contributions are
the following:"
INTRODUCTION,0.05172413793103448,• A new class of theoretically motivated pruning methods;
INTRODUCTION,0.05747126436781609,"• New insight on how training dynamics may impact the success (or lack thereof) of magni-
tude pruning pre-convergence;"
INTRODUCTION,0.06321839080459771,• A unifying framework for magnitude and gradient based pruning.
KOOPMAN OPERATOR THEORY BASED PRUNING,0.06896551724137931,"2
KOOPMAN OPERATOR THEORY BASED PRUNING"
