Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0007423904974016332,"The kernel thinning (KT) algorithm of Dwivedi and Mackey (2021) compresses a
probability distribution more effectively than independent sampling by targeting
a reproducing kernel Hilbert space (RKHS) and leveraging a less smooth square-
root kernel. Here we provide four improvements. First, we show that KT ap-
plied directly to the target RKHS yields tighter, dimension-free guarantees for
any kernel, any distribution, and any fixed function in the RKHS. Second, we
show that, for analytic kernels like Gaussian, inverse multiquadric, and sinc, tar-
get KT admits maximum mean discrepancy (MMD) guarantees comparable to or
better than those of square-root KT without making explicit use of a square-root
kernel. Third, we prove that KT with a fractional power kernel yields better-than-
Monte-Carlo MMD guarantees for non-smooth kernels, like Laplace and Mat´ern,
that do not have square-roots. Fourth, we establish that KT applied to a sum of
the target and power kernels (a procedure we call KT+) simultaneously inherits
the improved MMD guarantees of power KT and the tighter individual function
guarantees of target KT. In our experiments with target KT and KT+, we witness
significant improvements in integration error even in 100 dimensions and when
compressing challenging differential equation posteriors."
INTRODUCTION,0.0014847809948032665,"1
INTRODUCTION"
INTRODUCTION,0.0022271714922048997,"A core task in probabilistic inference is learning a compact representation of a probability dis-
tribution P. This problem is usually solved by sampling points x1, . . . , xn independently from
P or, if direct sampling is intractable, generating n points from a Markov chain converging to
P.
The benefit of these approaches is that they provide asymptotically exact sample estimates
Pinf ≜1"
INTRODUCTION,0.002969561989606533,"n
Pn
i=1 f(xi) for intractable expectations Pf ≜EX∼P[f(X)]. However, they also suffer
from a serious drawback: the learned representations are unnecessarily large, requiring n points to
achieve |Pf −Pinf| = Θ(n−1"
INTRODUCTION,0.003711952487008166,"2 ) integration error. These inefficient representations quickly become
prohibitive for expensive downstream tasks and function evaluations: for example, in computational
cardiology, each function evaluation f(xi) initiates a heart or tissue simulation that consumes 1000s
of CPU hours (Niederer et al., 2011; Augustin et al., 2016; Strocchi et al., 2020)."
INTRODUCTION,0.004454342984409799,"To reduce the downstream computational burden, a standard practice is to thin the initial sample by
discarding every t-th sample point (Owen, 2017). Unfortunately, standard thinning often results in
a substantial loss of accuracy: for example, thinning an i.i.d. or fast-mixing Markov chain sample
from n points to n
1
2 points increases integration error from Θ(n−1"
INTRODUCTION,0.005196733481811433,2 ) to Θ(n−1 4 ).
INTRODUCTION,0.005939123979213066,"The recent kernel thinning (KT) algorithm of Dwivedi & Mackey (2021) addresses this issue by
producing thinned coresets with better-than-i.i.d. integration error in a reproducing kernel Hilbert
space (RKHS, Berlinet & Thomas-Agnan, 2011). Given a target kernel1 k and a suitable sequence
of input points Sin = (xi)n
i=1 approximating P, KT returns a subsequence Sout of √n points with
better-than-i.i.d. maximum mean discrepancy (MMD, Gretton et al., 2012),2"
INTRODUCTION,0.0066815144766146995,"MMDk(P, Pout) ≜sup∥f∥k≤1|Pf −Poutf|
for
Pout ≜
1
√n
P
x∈Sout δx,
(1)"
INTRODUCTION,0.007423904974016332,"1A kernel k is any function that yields positive semi-definite matrices (k(zi, zj))l
i,j=1 for all inputs (zi)l
i=1.
2MMD is a metric for characteristic k, like those in Tab. 1, and controls integration error for all bounded
continuous f when k determines convergence, like each k in Tab. 1 except SINC (Simon-Gabriel et al., 2020)."
INTRODUCTION,0.008166295471417966,Published as a conference paper at ICLR 2022
INTRODUCTION,0.008908685968819599,"where ∥·∥k denotes the norm for the RKHS H associated with k. That is, the KT output admits
o(n−1"
