Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.001976284584980237,"Given the intractably large size of the space of proofs, any model that is capable of
general deductive reasoning must generalize to proofs of greater complexity. Re-
cent studies have shown that large language models (LLMs) possess some abstract
deductive reasoning ability given chain-of-thought prompts. However, they have
primarily been tested on proofs using modus ponens or of a specific size, and from
the same distribution as the in-context examples. To measure the general deductive
reasoning ability of LLMs, we test on a broad set of deduction rules and measure
their ability to generalize to more complex proofs from simpler demonstrations
from multiple angles: depth-, width-, and compositional generalization. To fa-
cilitate systematic exploration, we construct a new synthetic and programmable
reasoning dataset that enables control over deduction rules and proof complexity.
Our experiments on four LLMs of various sizes and training objectives show that
they are able to generalize to compositional proofs. However, they have difficulty
generalizing to longer proofs, and they require explicit demonstrations to produce
hypothetical subproofs, specifically in proof by cases and proof by contradiction."
INTRODUCTION,0.003952569169960474,"1
Introduction"
INTRODUCTION,0.005928853754940711,"In many tasks that require deductive reasoning, such as theorem proving or medical diagnosis,
the complexity of proofs can grow without bound via the use of multiple deduction rules and the
composition of subproofs. Given the large space of proofs, it is infeasible to find data to cover
proofs of all sizes. Therefore, a general reasoning model must extrapolate to complex proofs from
simpler ones. Recent work has shown that LLMs, combined with in-context learning (ICL) and
chain-of-thought (CoT) prompting, are capable of deductive reasoning to an extent [Huang and
Chang, 2022, Han et al., 2022, Wei et al., 2022b, Kojima et al., 2022, Lewkowycz et al., 2022, Nye
et al., 2021, Gontier et al., 2020]. However, much of the prior work focused on a limited set of
deduction rules such as modus ponens [Zhang et al., 2022a, Saparov and He, 2023, Tafjord et al.,
2021]. In addition, the evaluation is in-demonstration, where the test example comes from the same
distribution as the in-context demonstrations. In this work, we evaluate whether LLMs are capable of
general deductive reasoning by measuring how well they generalize to proofs that are more complex"
INTRODUCTION,0.007905138339920948,"∗Equal contribution.
†,∆GPT and PaLM experiments in this paper were conducted independently. Authors affiliated with NYU†"
INTRODUCTION,0.009881422924901186,"were responsible for the GPT experiments, and authors affiliated with Google∆were responsible for the PaLM
experiments."
INTRODUCTION,0.011857707509881422,Train on:
INTRODUCTION,0.01383399209486166,"“Alex is a dog. All dogs are
mammals. Alex is a mammal.”"
INTRODUCTION,0.015810276679841896,Test on unseen deduction rules:
INTRODUCTION,0.017786561264822136,"“Alex is not a mammal. All dogs are mammals. Suppose Alex is a dog. Alex is a
mammal. This contradicts with Alex is not a mammal. Alex is not a dog.”"
INTRODUCTION,0.019762845849802372,Train on:
INTRODUCTION,0.021739130434782608,"“Alex is a dog. All dogs are
mammals. Alex is a mammal.”"
INTRODUCTION,0.023715415019762844,Test on deeper proofs:
INTRODUCTION,0.025691699604743084,“Alex is a dog. All dogs are mammals. Alex is a mammal.
INTRODUCTION,0.02766798418972332,All mammals are vertebrates. Alex is a vertebrate.”
INTRODUCTION,0.029644268774703556,Train on:
INTRODUCTION,0.03162055335968379,"“Alex is a dog. Alex is soft.
Alex is a dog and soft.”"
INTRODUCTION,0.03359683794466403,Test on wider proofs:
INTRODUCTION,0.03557312252964427,"“Alex is a dog. Alex is soft. Alex is kind. Alex is a dog
and soft and kind.”"
INTRODUCTION,0.037549407114624504,Train on:
INTRODUCTION,0.039525691699604744,"“Alex is a dog. All dogs are
mammals. Alex is a mammal.”"
INTRODUCTION,0.041501976284584984,"“Fae is a cat. Fae is soft. Fae
is soft and a cat.”"
INTRODUCTION,0.043478260869565216,Test on compositional proofs:
INTRODUCTION,0.045454545454545456,“Alex is a dog. All dogs are mammals. Alex is a mammal. Alex is not mean.
INTRODUCTION,0.04743083003952569,Alex is a mammal and not mean.”
INTRODUCTION,0.04940711462450593,"FIGURE 1: An overview of the kinds of OOD generalization that we test in our experiments. Each training
example is a sample CoT demonstration provided to the LLM in the few-shot prompt, whereas each test example
is a sample proof that the model is expected to output."
INTRODUCTION,0.05138339920948617,than their demonstrations.1
INTRODUCTION,0.0533596837944664,"We characterize the complexity of proofs from three angles: the deduction rules involved, the depth
of the proof (i.e. length of a sequential chain of proof steps), and the width of the proof (i.e. the
number of premises of each proof step). Each of the three dimensions contributes to the overall size
of the proof. To measure the general deductive reasoning ability of LLMs, we extend prior studies in
two key ways. First, we determine whether LLMs have learned a complete set of deduction rules,
beyond modus ponens. Second, we evaluate whether they can reason over longer proofs than those
given as in-context examples (depth- and width- generalization); and whether they are able to use
multiple different deduction rules in a single proof (compositional generalization). Figure 1 shows an
overview of our study."
