Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.004032258064516129,"Acquiring accurate labels on large-scale datasets is both time consuming and
expensive. To reduce the dependency of deep learning models on learning from
clean labeled data, several recent research efforts are focused on learning with
noisy labels. These methods typically fall into three design categories to learn
a noise robust model: sample selection approaches, noise robust loss functions,
or label correction methods. In this paper, we propose PARS: Pseudo-Label
Aware Robust Sample Selection, a hybrid approach that combines the best from
all three worlds in a joint-training framework to achieve robustness to noisy labels.
Speciﬁcally, PARS exploits all training samples using both the raw/noisy labels
and estimated/refurbished pseudo-labels via self-training, divides samples into
an ambiguous and a noisy subset via loss analysis, and designs label-dependent
noise-aware loss functions for both sets of ﬁltered labels. Results show that PARS
signiﬁcantly outperforms the state of the art on extensive studies on the noisy
CIFAR-10 and CIFAR-100 datasets, particularly on challenging high-noise and
low-resource settings. In particular, PARS achieved an absolute 12% improvement
in test accuracy on the CIFAR-100 dataset with 90% symmetric label noise, and an
absolute 27% improvement in test accuracy when only 1/5 of the noisy labels are
available during training as an additional restriction. On a real-world noisy dataset,
Clothing1M, PARS achieves competitive results to the state of the art."
INTRODUCTION,0.008064516129032258,"1
INTRODUCTION"
INTRODUCTION,0.012096774193548387,"Deep neural networks rely on large-scale training data with human annotated labels for achieving
good performance (Deng et al., 2009; Everingham et al., 2010). Collecting millions or billions
of labeled training data instances is very expensive, requires signiﬁcant human time and effort,
and can also compromise user privacy (Zheng et al., 2020; Bonawitz et al., 2017). Hence, there
has been a paradigm shift in the interests of the research community from large-scale supervised
learning (Krizhevsky et al., 2017; He et al., 2016a; Huang et al., 2017) to Learning with Noisy Labels
(LNL) (Natarajan et al., 2013; Goldberger & Ben-Reuven, 2016; Patrini et al., 2017; Tanno et al.,
2019) and/or unlabeled data (Berthelot et al., 2019b;a; Sohn et al., 2020). This is largely due to the
abundance of raw unlabeled data with weak user tags (Plummer et al., 2015; Xiao et al., 2015) or
caption descriptions (Lin et al., 2014). However, it is not trivial to build models that are robust to
these noisy labels as the deep convolutional neural networks (CNNs) trained with cross-entropy loss
can quickly overﬁt to the noise in the dataset, harming generalization (Zhang et al., 2016)."
INTRODUCTION,0.016129032258064516,"Most of the existing approaches on LNL can be divided into three main categories. First, several
noise robust loss functions (Ghosh et al., 2017; Wang et al., 2019a; Zhang & Sabuncu, 2018) were
proposed that are inherently tolerant to label noise. Second, sample selection methods (also referred
to as loss correction in some literature) (Han et al., 2018; Yu et al., 2019; Arazo et al., 2019) are a
popular technique that analyzes the per-sample loss distribution and separates the clean and noisy
samples. The identiﬁed noisy samples are then re-weighted so that they contribute less in the loss
computation. A challenge in this direction is to design a reliable criterion for separation and hence
prevent overﬁtting to highly conﬁdent noisy samples, a behavior known as self-conﬁrmation bias.
Third, label correction methods attempt to correct the noisy labels using class-prototypes (Han et al.,
2019) or pseudo-labeling techniques (Tanaka et al., 2018; Yi & Wu, 2019). However, in order to
correct noisy labels, we typically need an extra (usually small) set of correctly labeled validation"
INTRODUCTION,0.020161290322580645,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.024193548387096774,"labels. In particular, these methods can fail when the noise ratio is high and estimating correct labels
or high-quality pseudo-labels is non-trivial."
INTRODUCTION,0.028225806451612902,"More recently, the success of several state-of-the-art LNL methods is attributed to leveraging Semi-
Supervised Learning (SSL) based approaches (Li et al., 2020; Kim et al., 2019). Typically, a sample
selection technique is applied to separate clean and noisy labels in the training data, then the noisy
labels are deemed unreliable and hence treated as unlabeled in a SSL setting. Following the recent
SSL literature (Lee et al., 2013; Arazo et al., 2020), estimated pseudo-labels are usually used to
replace the ﬁltered noisy labels during training. These approaches have shown to be highly tolerant
to label-noise. However, the noisy labels are always discarded in favor of pseudo-labels in all the
existing literature, but they may still contain useful information for training. Pseudo-labeling is in
turn only applied to the ﬁltered noisy subset while the rest of the raw labels are typically used as is,
which makes it sensitive to the quality of the ﬁltering algorithm."
INTRODUCTION,0.03225806451612903,"In particular, motivated by a simple principle of making the most of the signal contained in the
noisy training data, we design PARS, short for Pseudo-Label Aware Robust Sample Selection. Our
contributions are as follows:"
INTRODUCTION,0.036290322580645164,"1. PARS proposes a novel, principled training framework for LNL. It trains on both the original
labels and pseudo-labels. Unlike previous works, instead of ﬁltering and then discarding
the low-conﬁdent noisy labels, PARS uses the entire set of original labels, and applies
self-training with pseudo-labeling and data augmentation for the entire dataset (rather than
the ﬁltered noisy data only)."
