Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0015923566878980893,"Multitask learning for face forgery detection has experienced impressive successes
1"
ABSTRACT,0.0031847133757961785,"in recent years. Nevertheless, the semantic relationships among different forgery
2"
ABSTRACT,0.004777070063694267,"detection tasks are generally overlooked in previous methods, which weakens
3"
ABSTRACT,0.006369426751592357,"knowledge transfer across tasks. Moreover, previously adopted multitask learning
4"
ABSTRACT,0.007961783439490446,"schemes require human intervention on allocating model capacity to each task and
5"
ABSTRACT,0.009554140127388535,"computing the loss weighting, which is bound to be suboptimal. In this paper,
6"
ABSTRACT,0.011146496815286623,"we aim at automated multitask learning for face forgery detection from a joint
7"
ABSTRACT,0.012738853503184714,"embedding perspective. We first define a set of coarse-to-fine face forgery detection
8"
ABSTRACT,0.014331210191082803,"tasks based on face attributes at different semantic levels. We describe the ground-
9"
ABSTRACT,0.01592356687898089,"truth for each task via a textural template, and train two encoders to jointly embed
10"
ABSTRACT,0.01751592356687898,"visual face images and textual descriptions in the shared feature space. In such a
11"
ABSTRACT,0.01910828025477707,"manner, the semantic closeness between two tasks is manifested as the distance
12"
ABSTRACT,0.020700636942675158,"in the learned feature space. Moreover, the capacity of the image encoder can be
13"
ABSTRACT,0.022292993630573247,"automatically allocated to each task through end-to-end optimization. Through joint
14"
ABSTRACT,0.02388535031847134,"embedding, face forgery detection can be performed by maximizing the feature
15"
ABSTRACT,0.025477707006369428,"similarity between the test face image and candidate textual descriptions. Extensive
16"
ABSTRACT,0.027070063694267517,"experiments show that the proposed method improves face forgery detection in
17"
ABSTRACT,0.028662420382165606,"terms of generalization to novel face manipulations. In addition, our multitask
18"
ABSTRACT,0.030254777070063694,"learning method renders some degree of model interpretation by providing human-
19"
ABSTRACT,0.03184713375796178,"understandable explanations.
20"
INTRODUCTION,0.03343949044585987,"1
Introduction
21"
INTRODUCTION,0.03503184713375796,"The emergence of deep generative models [1, 34, 67, 71] has significantly simplified and automated
22"
INTRODUCTION,0.03662420382165605,"the process of generating realistic counterfeit face images, popularly known as DeepFake. The
23"
INTRODUCTION,0.03821656050955414,"prevalence of falsified face images can erode the reliability and credibility of digital visual information.
24"
INTRODUCTION,0.03980891719745223,"Additionally, the exploitation and manipulation of such technologies pose a threat to individual rights
25"
INTRODUCTION,0.041401273885350316,"and national security.
26"
INTRODUCTION,0.042993630573248405,"Traditional DeepFake detectors were largely influenced by classic photo forensics [21] to expose
27"
INTRODUCTION,0.044585987261146494,"forgery traces by examining statistical anomalies [51, 58], visual artifacts [32, 46, 50, 51, 59],
28"
INTRODUCTION,0.04617834394904458,"and physical and geometric inconsistencies [15, 33, 35, 56]. With the rapid development of deep
29"
INTRODUCTION,0.04777070063694268,"learning, there has recently been a growing consensus on exploiting multitask learning for face
30"
INTRODUCTION,0.04936305732484077,"forgery detection [8, 10, 19, 41, 55, 80, 81]. The underlying assumption is that the primary task
31"
INTRODUCTION,0.050955414012738856,"(i.e., global face forgery classification) is likely to benefit from other highly relevant auxiliary tasks
32"
INTRODUCTION,0.052547770700636945,"through knowledge transfer. Representative auxiliary tasks include manipulation type (and degree)
33"
INTRODUCTION,0.054140127388535034,"classification [10], manipulation parameter estimation [75], blending boundary detection [41], spatial
34"
INTRODUCTION,0.05573248407643312,"forgery localization [28], face reconstruction [8], and face segmentation [55].
35"
INTRODUCTION,0.05732484076433121,"The prevailing multitask learning paradigm for face forgery detection follows a discriminative
36"
INTRODUCTION,0.0589171974522293,"approach, predicting multiple target outputs, one for each task, directly from the input face image.
37"
INTRODUCTION,0.06050955414012739,"Such a paradigm suffers from two main drawbacks. First, semantic relationships across tasks are
38"
INTRODUCTION,0.06210191082802548,"overlooked, which weakens knowledge transfer. For example, irrelevant information (e.g., every
39"
INTRODUCTION,0.06369426751592357,"detail of the face image in face reconstruction [8]) may be transferred across tasks. Second, extensive
40"
INTRODUCTION,0.06528662420382166,"human expertise should be involved, when determining task-agnostic (and task-specific) model
41"
INTRODUCTION,0.06687898089171974,"parameters and the loss weightings.
42"
INTRODUCTION,0.06847133757961783,"In this paper, we explore multitask learning for face forgery detection from a joint embedding
43"
INTRODUCTION,0.07006369426751592,"perspective [38]. In the joint embedding architecture, both the input and the target output are encoded
44"
INTRODUCTION,0.07165605095541401,"into latent representations in the shared feature space such that the irrelevant information can be
45"
INTRODUCTION,0.0732484076433121,"discarded from feature encoding. More importantly, the semantic closeness between two tasks can
46"
INTRODUCTION,0.07484076433121019,"be naturally modeled as the distance in the learned feature space, which is subsequently end-to-
47"
INTRODUCTION,0.07643312101910828,"end optimized to facilitate knowledge transfer across multiple tasks. Meanwhile, joint embedding
48"
INTRODUCTION,0.07802547770700637,"gives us a great opportunity to automate multitask learning in terms of allocating model capacity
49"
INTRODUCTION,0.07961783439490445,"(i.e., specifying task-agnostic and task-specific model parameters). In the context of face forgery
50"
INTRODUCTION,0.08121019108280254,"detection, the parameters of the face image encoder are shared across all tasks, whose capacity is
51"
INTRODUCTION,0.08280254777070063,"dynamically adjusted through end-to-end optimization. In addition, the multitask loss weightings can
52"
INTRODUCTION,0.08439490445859872,"be automatically computed in either theoretical [45, 65] or empirical [13, 36, 47] ways.
53"
INTRODUCTION,0.08598726114649681,"More concretely, we first introduce three coarse-to-fine face forgery detection tasks based on face
54"
INTRODUCTION,0.0875796178343949,"(2) A photo of a face with the global
attribute of expression altered"
INTRODUCTION,0.08917197452229299,(1) A photo of a fake face
INTRODUCTION,0.09076433121019108,"(3) A photo of a face with the local
attribute of mouth altered"
INTRODUCTION,0.09235668789808917,"Figure 1: Illustration of a fake face image
with its textural descriptions of three coarse-
to-fine face forgery detection tasks at different
semantic levels."
INTRODUCTION,0.09394904458598727,"attributes at different semantic levels. Leveraging
55"
INTRODUCTION,0.09554140127388536,"the recent advances in vision-language correspon-
56"
INTRODUCTION,0.09713375796178345,"dence as joint embedding [61], we encode the binary
57"
INTRODUCTION,0.09872611464968153,"labels of the three tasks via textural prompts, and
58"
INTRODUCTION,0.10031847133757962,"thus the semantic dependencies among tasks can be
59"
INTRODUCTION,0.10191082802547771,"represented with the textual embeddings in the rep-
60"
INTRODUCTION,0.1035031847133758,"resentation space. Fig. 1 shows an example, in which
61"
INTRODUCTION,0.10509554140127389,"we describe a fake face image with a set of coarse-
62"
INTRODUCTION,0.10668789808917198,"to-fine textual descriptions: 1) “A photo of a fake
63"
INTRODUCTION,0.10828025477707007,"face,” 2) “A photo of a face with the global attribute
64"
INTRODUCTION,0.10987261146496816,"of expression altered,” and 3) “A photo of a face with
65"
