Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0007204610951008645,"We consider the overfitting behavior of minimum norm interpolating solutions
of Gaussian kernel ridge regression (i.e. kernel ridgeless regression), when the
bandwidth or input dimension varies with the sample size. For fixed dimensions,
we show that even with varying or tuned bandwidth, the ridgeless solution is
never consistent and, at least with large enough noise, always worse than the null
predictor. For increasing dimension, we give a generic characterization of the
overfitting behavior for any scaling of the dimension with sample size. We use
this to provide the first example of benign overfitting using the Gaussian kernel
with sub-polynomial scaling dimension. All our results are under the Gaussian
universality ansatz and the (non-rigorous) risk predictions in terms of the kernel
eigenstructure."
INTRODUCTION,0.001440922190201729,"1
Introduction"
INTRODUCTION,0.002161383285302594,"A central question in learning theory is how learning algorithms can generalize well even when
returning models that perfectly fit (i.e. interpolate) noisy training data. This phenomenon was
observed empirically by Zhang et al. [63], and does not align with the traditional belief from
statistical learning theory that overfitting to noise leads to poor generalization. Consequently, it
attracted significant interest in recent years, and there has been much effort to understand the
overfitting behavior of linear models, kernel methods, and neural networks."
INTRODUCTION,0.002881844380403458,"In this paper, we study the overfitting behavior of Kernel Ridge Regression (KRR) with Gaussian
kernel, namely, the behavior of the limiting test error when training on noisy data as the number
of samples tends to infinity by insisting on interpolation (achieving zero training error). When the
input dimension and bandwidth are fixed, the overfitting behavior is known to be “catastrophic” [37],
i.e. for any nonzero noise, the test risk tends to infinity as the sample size increases. However,
this is not how Gaussian Kernel Ridge Regression is typically used in practice. In fixed dimension,
the bandwidth is tuned, that is decreased, when the sample size increases [51, 19]. Additionally, it
makes sense to study the behaviour when the input dimension increases with sample size (as in, e.g.
linear models with proportional scaling [42]). This could be because when more data is available,
more input features are used, even with a kernel; because as more resources are available we scale
up both the input dimension and amount of data used; or to capture the fact that very large scale
problems typically involve both more samples and higher input dimension. But unlike with linear
models, where the dimension must scale linearly with the number of samples in order to allow for
interpolation, when a kernel is used we can study the behaviour even when the input dimensionality
increases much slower, and ask how slowly it could increase without catastrophic overfitting. Previous
studies on kernel ridgeless regression considered polynomial increasing dimension (i.e. dimension
∝sample-sizea, for 0 < a ≤1) [4, 64, 24, 38, 40], but not subpolynomial scaling."
INTRODUCTION,0.0036023054755043226,"We aim to provide a more comprehensive picture of overfitting with Gaussian KRR by studying
the overfitting behavior with varying bandwidth or with arbitrarily varying dimension, including"
INTRODUCTION,0.004322766570605188,"sub-polynomially. In particular, we show that for fixed dimension, even with varying bandwidth,
the interpolation learning is never consistent and generally not better than the null predictor (either
the test error tends to infinity or is finite but it is almost always not better than the null predictor).
For increasing dimension, we give an upper and lower bound on the test risk for any scaling of the
dimension with sample size, which indicates in many cases whether the overfitting is catastrophic
(test error tends to infinity), tempered (test error tends to a constant), or benign (consistent). Our
result agrees with the polynomial scaling of the dimension with sample size, showing tempered
overfitting for an exponent that is a reciprocal of an integer and benign overfitting for any other
exponent [4, 64]. Moreover, our result goes further, as we show the first example of sub-polynomially
scaling dimension that achieves benign overfitting for the Gaussian kernel. Additionally, we show that
a class of dot-product kernels on the sphere is inconsistent when the dimension scales logarithmically
with sample size. All our results are under the Gaussian universality ansatz and the non-rigorous but
well-established risk predictions in terms of the kernel eigenstructure [50, 66, 8, 57]."
INTRODUCTION,0.005043227665706052,Related work
INTRODUCTION,0.005763688760806916,"The test performance of overfitting models has been extensively studied for linear regression [27, 6,
3, 43, 45, 16, 32, 58, 53, 65, 30, 54, 13, 2, 49, 25], linear classification [12, 55, 10, 44, 42, 49, 36, 52,
56, 18], neural networks [20, 21, 11, 34, 60, 61, 39, 33, 23, 31, 29], and kernel methods. Below we
focus on overfitting in kernel ridge regression."
INTRODUCTION,0.006484149855907781,"Overfitting in fixed dimension with fixed kernel.
In Mallinar et al. [37], the authors show
that the minimum norm interpolating solution for Gaussian kernel with fixed bandwidth overfits
catastrophically. In [15, 4, 64], the authors derive bounds on the test risk of minimum norm interpolant
with a fixed kernel under various assumptions. Our result for fixed dimension will only apply to the
Gaussian kernel, but it allows for any varying or adaptively chosen bandwidth."
INTRODUCTION,0.007204610951008645,"Inconsistency of Kernel Ridge Regression.
The case of varying bandwidth has been considered
in Beaglehole et al. [5], Rakhlin and Zhai [47], Haas et al. [26]. In Beaglehole et al. [5], the authors
show that there exists a specific data distribution for which the minimum norm interpolanting solution
for a particular set of translation invariant kernels is not consistent. In Rakhlin and Zhai [47], the
authors show that for input distributions on the unit ball, the Laplace kernel is inconsistent, even with
varying bandwidth. In Haas et al. [26], the authors show that under different assumptions on the data
distribution, for a general class of (potentially varying) kernels in fixed dimension, any differentiable
function that overfits the data and is not much different from the minimum norm interpolant is
inconsistent. All of these works only consider whether we can achieve consistency. None of these
results apply in the case of data distributions that we are considering, and even if the predictor is
not consistent, we ask how bad is it by comparing it to the null predictor and whether it might be
tempered."
