Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.005154639175257732,"Traditional semi-supervised learning (SSL) assumes that the feature distributions of
labeled and unlabeled data are consistent which rarely holds in realistic scenarios.
In this paper, we propose a novel SSL setting, where unlabeled samples are drawn
from a mixed distribution that deviates from the feature distribution of labeled
samples. Under this setting, previous SSL methods tend to predict wrong pseudo-
labels with the model fitted on labeled data, resulting in noise accumulation. To
tackle this issue, we propose Self-Supervised Feature Adaptation (SSFA), a generic
framework for improving SSL performance when labeled and unlabeled data come
from different distributions. SSFA decouples the prediction of pseudo-labels from
the current model to improve the quality of pseudo-labels. Particularly, SSFA
incorporates a self-supervised task into the SSL framework and uses it to adapt
the feature extractor of the model to the unlabeled data. In this way, the extracted
features better fit the distribution of unlabeled data, thereby generating high-quality
pseudo-labels. Extensive experiments show that our proposed SSFA is applicable
to various pseudo-label-based SSL learners and significantly improves performance
in labeled, unlabeled, and even unseen distributions."
INTRODUCTION,0.010309278350515464,"1
Introduction"
INTRODUCTION,0.015463917525773196,"Semi-Supervised Learning (SSL) uses a small amount of labeled data and a large amount of unlabeled
data to alleviate the pressure of data labeling and improve the generalization ability of the model.
Traditional SSL methods [21, 43, 32, 28, 22, 30, 5, 6] usually assume that the feature distribution of
unlabeled data is consistent with that of labeled one. However, in many real scenarios, this assumption
may not hold due to different data sources. When unlabeled data is sampled from distributions differ-
ent from labeled data, traditional SSL algorithms will suffer from severe performance degradation,
which greatly limits their practical application."
INTRODUCTION,0.020618556701030927,"In real-world scenarios, it is quite common to observe feature distribution mismatch between labeled
and unlabeled samples. On the one hand, unlabeled samples could contain various corruptions. For
example, in automatic driving, the annotated images used for training can hardly cover all driving
scenes, and a plethora of images under varying weather and camera conditions are captured during
real driving. Similarly, in medical diagnosis, individual differences and shooting conditions among
patients could incur various disturbances in unlabeled data. On the other hand, unlabeled samples
could contain unseen styles. For example, in many tasks, the labeled samples are typically real-world
photos, while unlabeled data collected from the Internet usually contain more styles that are not
present in the labeled data, such as cartoons or sketches. Notably, although the distributions of these
unlabeled data may differ from the labeled data, there is implicit common knowledge between them
that can compensate for the diversity and quantity of training data. Therefore, it is crucial to enlarge
the SSL scope to effectively utilize unlabeled data from different distributions."
INTRODUCTION,0.02577319587628866,"In this study, we focus on a more realistic scenario of Feature Distribution Mismatch SSL (FDM-
SSL), i.e., the feature distributions of labeled and unlabeled data could be different and the feature
distributions of test data could contain multiple distributions. It is generally observed that the
performance of classical SSL algorithms [22, 30, 6, 9] degrades substantially under feature distribution
mismatch. Specifically, in the early stages of training, classical SSL algorithms typically utilize the
current model fitted on labeled data to produce pseudo-labels for unlabeled data. However, when
the distribution of unlabeled data deviates, the current model are not applicable to unlabeled data,
resulting in massive incorrect pseudo-labels and aggravating confirmation bias [3]. Recently, some
works [7, 19] attempt to address FDM-SSL. These approaches assume that the unlabeled feature
distribution comes from a single source and they only focus on the labeled distribution, which do not
always hold in real tasks. However, due to the unknown test scenarios, it is desirable to develop a
method to perform well on labeled, unlabeled and even unseen distributions simultaneously."
INTRODUCTION,0.030927835051546393,"In this work, we propose a generalized Self-Supervised Feature Adaptation (SSFA) framework for
FDM-SSL which does not need to know the distribution of unlabeled data ahead of time. The core
idea of SSFA is to decouple pseudo-label predictions from the current model to address distribution
mismatch. SSFA consists of two modules, including the semi-supervised learning module and
the feature adaptation module. Inspired by [31] that the main classification task can be indirectly
optimized through the auxiliary task, SSFA incorporates an auxiliary self-supervised task into the
SSL module to train with the main task. In the feature adaptation module, given the current model
primarily fitted on labeled data, SSFA utilizes the self-supervised task to update the feature extractor
before making predictions on the unlabeled data. After the feature extractor adapts to the unlabeled
distribution, refined features can be used to generate more accurate pseudo-labels to assist SSL."
INTRODUCTION,0.03608247422680412,"Furthermore, the standard evaluation protocol of SSL normally assumes that test samples follow the
same feature distribution as labeled training data. However, this is too restricted to reflect the diversity
of real-world applications, where different tasks may focus on different test distributions. It is strongly
desired that the SSL model can perform well across a wide range of test distributions. Therefore, in
this work, we propose new evaluation protocols that involve test data from labeled, unlabeled and
unseen distributions, allowing for a more comprehensive assessment of SSL performance. Extensive
experiments are conducted on two types of feature distribution mismatch SSL tasks, i.e., corruption
and style mismatch. The experimental results demonstrate that various pseudo-label-based SSL
methods can be directly incorporated into SSFA, yielding consistent performance gains across a wide
range of test distributions."
RELATED WORK,0.041237113402061855,"2
Related work"
RELATED WORK,0.04639175257731959,"Semi-Supervised Learning (SSL). Existing SSL methods [44, 7, 30, 41, 50, 9, 6] typically combine
various commonly used techniques for semi-supervised tasks, such as consistency regularization[21,
43, 32, 28] and pseudo-label [22], to achieve state-of-the-art performance. For example, [6] expands
the dataset by interpolating between labeled and unlabeled data. [5, 30] use the confident weak
augmented view prediction results to generate pseudo-labels for the corresponding strong augmented
view. [41, 50, 9, 44] improve the performance by applying adaptive thresholds instead of fixed
thresholds. However, these works focus on traditional semi-supervised learning, which assumes
that the labeled data and unlabeled data are sampled from the same distribution. Recently, some
works [2, 53] address the issue of different feature distributions for labeled and unlabeled data
under certain prerequisites. [2] assumes the test and unlabeled samples are drawn from the same
single distribution. [53] studies Semi-Supervised Domain Generalization (SSDG), which requires
multi-source partially-labeled training data. To further expand SSL to a more realistic scenario,
we introduce a new Feature Distribution Mismatch SSL (FDM-SSL) setting, where the unlabeled
data comes from multiple distributions and may differ from the labeled distribution. To solve the
FDM-SSL, we propose Self-Supervised Feature Adaptation (SSFA), a generic framework to improve
the performance in labeled, unlabeled, and even unseen test distributions."
RELATED WORK,0.05154639175257732,"Unsupervised Domain Adaptation (UDA). UDA aims to transfer knowledge from a source domain
with sufficient labeled data to an unlabeled target domain through adaptive learning. The UDA
methods can be roughly categorized into two categories, namely metric-based methods [23, 35, 25,
34, 49] and adversarial methods [1, 16, 8, 24, 46, 29, 37, 10, 42]. Metric-based methods focus on
measuring domain discrepancy to align the feature distributions between source and unlabeled target
domains. Adversarial methods [16, 47, 24] use a domain classifier as a discriminator to enforce the"
RELATED WORK,0.05670103092783505,"Table 1: Comparison between different problem settings.
Task
Labeled
Unlabeled
Train setting
Test distribution"
RELATED WORK,0.061855670103092786,"traditional SSL
scarce
abundant
pl(x) = pu(x)
pl(x)
UDA
abundant
abundant
pl(x) ̸= pu(x)
pu(x)
TTA
abundant
-
pl(x)
pu(x)
FDM-SSL
scarce
abundant
pl(x) ̸= pu(x)
pl(x), pu(x), punseen(x)"
