Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0031847133757961785,"The Winograd algorithm is an efficient convolution implementation, which per-
forms calculations in the transformed domain. To further improve the computation
efficiency, recent works propose to combine it with model quantization. Although
Post-Training Quantization has the advantage of low computational cost and has
been successfully applied in many other scenarios, a severe accuracy drop exists
when utilizing it in Winograd convolution. Besides, despite the Winograd algorithm
consisting of four stages, most existing methods only quantize the element-wise
multiplication stage, leaving a considerable portion of calculations in full precision.
In this paper, observing the inconsistency among different transformation proce-
dures, we present PTQ-Aware Winograd (PAW) to optimize them collaboratively
under a unified objective function. Moreover, we explore the full quantization of
faster Winograd (tile size ≥4) for the first time. We further propose a hardware-
friendly method called Factorized Scale Quantization (FSQ), which can effectively
balance the significant range differences in the Winograd domain. Experiments
demonstrate the effectiveness of our method, e.g., with 8-bit quantization and a
tile size of 6, our method outperforms the previous Winograd PTQ method by
8.27% and 5.38% in terms of the top-1 accuracy on ResNet-18 and ResNet-34,
respectively."
INTRODUCTION,0.006369426751592357,"1
Introduction"
INTRODUCTION,0.009554140127388535,"Recently, Convolution Neural Networks (CNNs) have demonstrated state-of-the-art performance in
various computer vision tasks [1; 2; 3; 4]. However, the high computation and storage cost hinders
their deployment on resource-limited devices. To address this problem, various solutions have been
proposed in the literature, including network pruning [5], low-rank decomposition [6], network
quantization [7; 8; 9; 10; 11] and faster convolution implementation [12; 13]. In this paper, we focus
on network quantization, faster convolution implementation, and their combination."
INTRODUCTION,0.012738853503184714,"Model quantization converts the floating-point weights and activations to low-bit integers. According
to whether data with labels are required for training, quantization can be divided into two categories:
Quantization-Aware Training (QAT) [14; 15; 16; 17] and Post-Training Quantization (PTQ) [18; 19;
20; 21]. Although QAT can achieve promising performance, training the network requires many GPU
resources and a full training dataset. Therefore, it is not always practical when either the training
dataset is unavailable (e.g., privacy and commercial training data) or rapid deployment is required.
On the contrary, as PTQ only needs few-shot, unlabeled calibration data and fewer computation
resources, it is widely applicable in the industry."
INTRODUCTION,0.01592356687898089,†Corresponding authors.
INTRODUCTION,0.01910828025477707,"An alternative method for enhancing the speed of CNNs involves the development of faster convolu-
tion implementations, such as FFT [13] and Winograd [12]. Among them, the Winograd algorithm is
the most popular fast convolution operator [22]. Recent research [23; 24; 25] has focused on combin-
ing the Winograd algorithm with model quantization to further utilize the benefits of both techniques.
However, two significant problems remain: On the one hand, while Winograd convolution with larger
tile sizes (tile size≥4) can provide more significant acceleration, existing PTQ methods for such
convolution still suffer from drastic accuracy degradation. On the other hand, most existing works
[24; 26] only quantize the element-wise multiplications, while leaving the domain transformation
implemented by full-precision matrix multiplications, which can comprise a significant portion of the
computation (40.1% when the input and output channels are 32 [24]). However, according to our
experiments (Table 2 and Figure 2), these matrix multiplications are challenging to quantize because
of the significant distribution imbalance in the Winograd domain."
INTRODUCTION,0.022292993630573247,"In this paper, we first identify that quantization makes the transformation procedures in the Winograd
algorithm inconsistent. Based on this observation, we propose PTQ-Aware Winograd (PAW),
which optimizes transformation matrices collaboratively under a unified objective function. We then
explore the fully quantized Winograd convolution, which is the first time for large tile sizes. We
empirically find it is a non-trivial task because of the significant range differences of pixels in the
Winograd domain. Through theoretical analysis of this phenomenon, we discover that it is possible
to achieve comparable performance to per-pixel quantization without sacrificing computational
efficiency via Factorized Scale Quantization (FSQ), which factorizes the tile size scales into vector
size scales. Experiments are conducted to demonstrate the effectiveness of our method, e.g., with
8-bit quantization and a tile size of 6, our method outperforms the previous Winograd PTQ method
by 8.27% and 5.38% in terms of the top-1 accuracy on ResNet-18 and ResNet-34, respectively."
INTRODUCTION,0.025477707006369428,"Overall, our contributions in this work are threefold:"
INTRODUCTION,0.028662420382165606,"• We experimentally observe that quantization will disrupt the consistency between different
transformation procedures and propose PTQ-Aware Winograd, which utilizes a unified
optimization procedure to make the Winograd algorithm more robust to quantization."
INTRODUCTION,0.03184713375796178,"• Through extensive experiments and theoretical analysis, we propose Factorized Scale Quan-
tization, a hardware-friendly method suitable for the distribution characteristic of the Wino-
grad domain tensors."
INTRODUCTION,0.03503184713375796,"• To the best of our knowledge, we are the first to achieve full quantization of Winograd
convolution with large tile sizes (4 and 6). Experiments prove that our proposed method
shows significant improvements over previous PTQ methods, even under fully-quantization
settings."
RELATED WORKS,0.03821656050955414,"2
Related Works"
RELATED WORKS,0.041401273885350316,"Quantization-aware training (QAT) [8; 27; 28; 29; 30] is a technique that simulates quantization
noise during end-to-end training of neural networks. It uses discretized weights during both forward
and backward propagation and updates original full-precision weights. Since the gradient of the
quantization function is either zero or undefined everywhere, this procedure is done via a gradient
approximation method called straight-through estimator [31]. Recently, some methods also add
quantization related parameters to this training procedure, such as clipping range [32] and step size
[14]. Although QAT methods have promising performance, they need the whole dataset and huge
GPU resources."
RELATED WORKS,0.044585987261146494,"Post-training quantization (PTQ) [7; 21; 9; 18; 33] is a more lightweight method that does not
require retraining the network end-to-end. It only needs a small number of samples to estimate
activation distribution. Despite its efficiency, PTQ suffers from a more significant accuracy degra-
dation than QAT. The research community has actively proposed various methods to alleviate this
problem. For example, [21] observes the scaling equivariance of activation functions and proposes
to balance weights in consecutive layers. They also propose bias correction, which absorbs high
biases into the next layer. Recently, some methods have found that the change in feature maps is a
practical proxy signal for final task loss and use a layer-wise feature map reconstruction procedure
to boost performance. Bit-Split [7] turns the low-bit discrete optimization into multiple single-bit
optimization problems to find the optimal quantization scales and integer weights. AdaRound [18]"
RELATED WORKS,0.04777070063694268,"Table 1: Percentage of the computational burden of different operations in F(6,3) Winograd convolu-
tion. Experiments are conducted on different blocks of ResNet-20. ""Offline"" means this operation
can be preprocessed before inference."
RELATED WORKS,0.050955414012738856,"Operation
Block 0
Block 1
Block 2
Total"
RELATED WORKS,0.054140127388535034,"BT XB
22%
16%
10%
16%
U ⊙V
39%
56%
72%
56%
AT OA
39%
28%
18%
28%"
RELATED WORKS,0.05732484076433121,"GWGT
Offline
Offline
Offline
Offline"
RELATED WORKS,0.06050955414012739,"proposes optimizing the round function with a soft relaxation, which makes huge progress than the
original round-to-nearest function."
RELATED WORKS,0.06369426751592357,"Winograd convolution quantization Winograd is an fast convolution implementation first applied
by [12]. To further improve computational efficiency, many works [23; 24; 34; 35; 36] focus on
combining it with model quantization. For Winograd convolution networks with tile size ≥4, most
works can only achieve an acceptable accuracy drop when using QAT, where the strong effectiveness
of retraining the whole network hides the difficulty of quantization [23; 34; 36]. For instance, BQW
[24] observes the heterogeneity of channel ranges in transformed tensors and equalizes them via
migrating the scale variance from activations to weights. However, compared to the significant
performance improvements achieved in QAT, their method only achieves limited progress in the case
of PTQ. One of the reasons, we think, is that their method ignores the quantization impact on the
Winograd algorithm, which is more notable without fine-tuning the whole network. In this paper,
we will solve this problem and explore a more challenging scenario, fully quantized Winograd
convolution using PTQ."
BACKGROUND,0.06687898089171974,"3
Background"
WINOGRAD,0.07006369426751592,"3.1
Winograd"
WINOGRAD,0.0732484076433121,"Winograd proposes the minimum filtering algorithm of finite impulse response (FIR) filtering in
[37]. For r × r standard convolutions with filter size r, the algorithm transforms the convolution
operations to the Winograd domain and generates m × m (spatial) outputs at a time, which is denoted
as F(m, r). The parameter m is called tile size, which is used to balance the speedup and numerical
precision. The Winograd algorithm can be divided into four stages:"
