Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0029069767441860465,"The challenge of answering graph queries over incomplete knowledge graphs is
gaining significant attention in the machine learning community. Neuro-symbolic
models have emerged as a promising approach, combining good performance
with high interpretability. These models utilize trained architectures to execute
atomic queries and integrate modules that mimic symbolic query operators. Most
neuro-symbolic query processors, however, are either constrained to tree-like
graph pattern queries or incur an extensive computational overhead. We intro-
duce a framework for efficiently answering arbitrary graph pattern queries over
incomplete knowledge graphs, encompassing both tree-like and cyclic queries.
Our approach employs an approximation scheme that facilitates acyclic traversals
for cyclic patterns, thereby embedding additional symbolic bias into the query
execution process. Supporting general graph pattern queries is crucial for practi-
cal applications but remains a limitation for most current neuro-symbolic models.
Our framework addresses this gap and we experimentally demonstrate that it
performs competitively on three datasets, effectively handling cyclic queries
through our approximation strategy. Additionally, it maintains the performance
of existing neuro-symbolic models on anchored tree-like queries and extends
their capabilities to queries with existentially quantified variables."
INTRODUCTION,0.005813953488372093,"1
Introduction"
INTRODUCTION,0.00872093023255814,"Knowledge graphs are prevalent in both industry and the scientific community, playing a crucial role
in representing organizational knowledge [1, 2]. They model information as nodes (entities) and edges
(relations between entities). Many applications using knowledge graphs, however, encounter the issue
of missing information. As knowledge graphs are created or updated, their information can become
stale or conflicting, and some data sources may remain unintegrated. Consequently, knowledge graphs
often remain incomplete, lacking some entities or relations relevant to the application domain [3]."
INTRODUCTION,0.011627906976744186,"A particularly important reasoning task on knowledge graphs is answering queries. Traditional
query answering methods, especially those from the data management and semantic web literature,
focus on symbolic queries specified in specific symbolic query languages, and on extracting the
information that can be derived from the knowledge present in the graph [2, 4, 5]. Given the
incomplete nature of knowledge graphs, these methods fail to address the need to reason about
unknown information, reducing their usefulness in many application domains [6]. This observation"
INTRODUCTION,0.014534883720930232,UnRavL: A Neuro-Symbolic Framework for Answering Graph Pattern Queries in Knowledge Graphs y z x
INTRODUCTION,0.01744186046511628,Employee
INTRODUCTION,0.020348837209302327,Employee
INTRODUCTION,0.023255813953488372,Friend
INTRODUCTION,0.02616279069767442,Friend Bank Tech y z x
INTRODUCTION,0.029069767441860465,Employee
INTRODUCTION,0.03197674418604651,Employee
INTRODUCTION,0.03488372093023256,Friend
INTRODUCTION,0.0377906976744186,"Friend
Tech w
x y
z"
INTRODUCTION,0.040697674418604654,"Coworker
Friend"
INTRODUCTION,0.0436046511627907,Friend
INTRODUCTION,0.046511627906976744,"q(x) ←E(w, y) ∧E(Tech, z) ∧F(y, x) ∧F(z, x)
q(x) ←E(Bank, y) ∧E(Tech, z) ∧F(y, x) ∧F(z, x)
q(x) ←F(x, y) ∧F(y, z) ∧C(z, x)"
INTRODUCTION,0.04941860465116279,"(a) Anchored tree-like CQs
(b) Tree-like CQs
(c) Cyclic CQs"
INTRODUCTION,0.05232558139534884,"Figure 1: (a) Edges in anchored tree-like queries are structured as trees where the leaves are anchors
and the root is the target variable (here x); (b) leaves in tree-like queries can be anchors or existential
(unanchored) variables (here w); (c) arbitrary pattern queries can have cycles."
INTRODUCTION,0.055232558139534885,"has spurred the development of numerous machine learning approaches to query answering [7–12],
see Ren et al. [3] for a comprehensive recent survey."
INTRODUCTION,0.05813953488372093,"Ren et al. argue that most existing approaches evaluate queries using tree-based query plans. In these
plans, the leaves contain indicator vectors representing specific nodes, known as query anchors, within
the knowledge graph. A bottom-up vector propagation scheme is then employed: along edges that
represent relationships in the knowledge graph, learned relational predicates handle the propagation,
while at internal nodes, learned logical operations (such as conjunction) combine multiple input
vectors into one. Ultimately, the vector at the root node reflects the likelihood of entities belonging to
the query result. However, the reliance on tree-based query plans imposes limitations on the types of
queries that can be processed. Yin et al. [13] characterized these permissible queries as (anchored)
tree-form queries, illustrated in Figure 1(a). This constraint precludes the evaluation of more complex
queries, such as unanchored tree-like query patterns where leaf nodes may corresponds to variables
instead of nodes, shown in Figure 1(b), cyclic query patterns as depicted in Figure 1(c), and queries
involving multiple edges between entities. Ren et al. [3] identified the support for such queries as a
significant open problem."
INTRODUCTION,0.061046511627906974,"Recently, Yin et al. [13] proposed a method – Fuzzy Inference with Truth values (FIT) – for
evaluating complex query patterns that involves the fuzzification of logical operations and, crucially,
the grounding of existentially quantified variables. However, supporting general queries with this
approach incurs a computational cost of O(nk), where n is the number of entities in the knowledge
graph and k is the number of variables."
