Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0014684287812041115,"We describe an algorithm that learns two-layer residual units using rectiﬁed linear
unit (ReLU) activation: suppose the input x is from a distribution with support
space Rd and the ground-truth generative model is a residual unit of this type, given
by y = B∗h
(A∗x)+ + x
i
, where ground-truth network parameters A∗∈Rd×d"
ABSTRACT,0.002936857562408223,"represent a nonnegative full-rank matrix and B∗∈Rm×d is full-rank with m ≥d
and for c ∈Rd, [c+]i = max{0, ci}. We design layer-wise objectives as function-
als whose analytic minimizers express the exact ground-truth network in terms
of its parameters and nonlinearities. Following this objective landscape, learning
residual units from ﬁnite samples can be formulated using convex optimization
of a nonparametric function: for each layer, we ﬁrst formulate the corresponding
empirical risk minimization (ERM) as a positive semi-deﬁnite quadratic program
(QP), then we show the solution space of the QP can be equivalently determined by
a set of linear inequalities, which can then be efﬁciently solved by linear program-
ming (LP). We further prove the statistical strong consistency of our algorithm, and
demonstrate its robustness and sample efﬁciency through experimental results."
INTRODUCTION,0.004405286343612335,"1
INTRODUCTION"
INTRODUCTION,0.005873715124816446,"Neural networks have achieved remarkable success in various ﬁelds such as computer vision (LeCun
et al., 1998; Krizhevsky et al., 2012; He et al., 2016a) and natural language processing (Kim, 2014;
Sutskever et al., 2014). This success is largely due to the strong expressive power of neural networks
(Bengio & Delalleau, 2011), where nonlinear activation units, such as rectiﬁed linear units (ReLU)
(Nair & Hinton, 2010) and hyperbolic tangents (tanh) play a vital role to ensure the large learning
capacity of the networks (Maas et al., 2013). However, the nonlinearity of neural networks makes
them signiﬁcantly more difﬁcult to train than linear models (Livni et al., 2014). Therefore, with the
development of neural network applications, ﬁnding efﬁcient algorithms with provable properties to
train such nontrivial neural networks has become an important and a relatively new goal. A ReLU B"
INTRODUCTION,0.007342143906020558,"Residual networks, or ResNets (He et al., 2016a), are a class of deep neural networks that
adopt skip connections to feed values between nonadjacent layers, where skipped layers
may contain nonlinearities in between. Without loss of expressivity, ResNets avoid the
vanishing gradient problem by directly passing gradient information from previous layers
to current layers where otherwise gradients might vanish without skipping. In practice,
ResNets have shown strong learning efﬁciency in several tasks, e.g. achieving at least
93% test accuracy on CIFAR-10 classiﬁcation, lowering single-crop error to 20.1% on
the 1000-class ImageNet dataset (Russakovsky et al., 2015; He et al., 2016b)."
INTRODUCTION,0.00881057268722467,"Common ResNets are often aggregated by many repeated shallow networks, where each
network acts as a minimal unit with this kind of skip propagation, named a residual unit
(He et al., 2016b). Given the ﬂexibility and simplicity of residual units, much theoretical work
has been devoted to study them and develop training algorithms for them in a way that sidesteps
from the standard backpropagation regime and provides guarantees on the quality of estimation (see
subsection 1.1). In this paper, we propose algorithms that can learn a general class of single-skip two-
layer residual units with ReLU activation as shown on the right by the equation: y = B
h
(Ax)+ + x
i
,"
INTRODUCTION,0.010279001468428781,"where for a scalar c, c+ = max{0, c} (for a vector, this maximization is applied coordinate-wise), x"
INTRODUCTION,0.011747430249632892,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.013215859030837005,"is a random vector as the network input with support space Rd, and A ∈Rd×d and B ∈Rm×d are
weight matrices of layer 1 and layer 2, respectively."
