Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.000819000819000819,"Recent research has shown that Transformers with linear attention are capable
of in-context learning (ICL) by implementing a linear estimator through gradient
descent steps. However, the existing results on the optimization landscape apply
under stylized settings where task and feature vectors are assumed to be IID and
the attention weights are fully parameterized. In this work, we develop a stronger
characterization of the optimization and generalization landscape of ICL through
contributions on architectures, low-rank parameterization, and correlated designs:
(1) We study the landscape of 1-layer linear attention and 1-layer H3, a state-
space model. Under a suitable correlated design assumption, we prove that both
implement 1-step preconditioned gradient descent. We show that thanks to its native
convolution filters, H3 also has the advantage of implementing sample weighting
and outperforming linear attention in suitable settings. (2) By studying correlated
designs, we provide new risk bounds for retrieval augmented generation (RAG)
and task-feature alignment which reveal how ICL sample complexity benefits from
distributional alignment. (3) We derive the optimal risk for low-rank parameterized
attention weights in terms of covariance spectrum. Through this, we also shed light
on how LoRA can adapt to a new distribution by capturing the shift between task
covariances. Experimental results corroborate our theoretical findings. Overall, this
work explores the optimization and risk landscape of ICL in practically meaningful
settings and contributes to a more thorough understanding of its mechanics."
ABSTRACT,0.001638001638001638,a) Correlated features
ABSTRACT,0.002457002457002457,"b) Task-feature alignment: Task and 
feature vectors are 𝛼-correlated"
ABSTRACT,0.003276003276003276,"Query
features"
ABSTRACT,0.004095004095004095,Database
ABSTRACT,0.004914004914004914,"Relevant
examples"
ABSTRACT,0.005733005733005733,"Ex: Retrieval Augmented Generation
ATTN
(𝑄𝐾!𝑉)"
ABSTRACT,0.006552006552006552,"Linear Attention
H3 (SSM) × SSM ×"
ABSTRACT,0.007371007371007371,"Distributional Alignment
Architecture Choice
Low-rank Parameterization"
ABSTRACT,0.00819000819000819,Pretrained
ABSTRACT,0.009009009009009009,Weights
ABSTRACT,0.009828009828009828,"rank 𝑟
+ 𝑊! 𝑊"""
ABSTRACT,0.010647010647010647,a) Low-rank attention weights:
ABSTRACT,0.011466011466011465,"rank 𝑊!, 𝑊"" ≤𝑟
b) LoRA adaptation"
ABSTRACT,0.012285012285012284,"0
10
20
30
40
50
# in-context samples 0.3 0.4 0.5 0.6 0.7 0.8 0.9"
ABSTRACT,0.013104013104013105,Test risk
ABSTRACT,0.013923013923013924,"Linear Att
H3
Theorem 1"
ABSTRACT,0.014742014742014743,(a) Linear attention=H3
ABSTRACT,0.015561015561015561,"0
10
20
30
40
50
# in-context samples 0.2 0.4 0.6 0.8"
ABSTRACT,0.01638001638001638,Test risk
ABSTRACT,0.0171990171990172,"= 0
= 0.2
= 0.4
= 0.6"
ABSTRACT,0.018018018018018018,(b) RAG with α correlation
ABSTRACT,0.018837018837018837,"0
10
20
30
40
50
# in-context samples 0.1 0.3 0.5 0.7 0.9"
ABSTRACT,0.019656019656019656,Test risk
ABSTRACT,0.020475020475020474,"r = 1
r = 5
r = 10
r = 20"
ABSTRACT,0.021294021294021293,"(c) LoRA
Figure 1: We investigate the optimization landscape of in-context learning from the lens of archi-
tecture choice, the role of distributional alignment, and low-rank parameterization. The empirical
performance (solid curves) are aligned with our theoretical results (dotted curves) from Section 3.
More experimental details and discussion are deferred to Section 4."
INTRODUCTION,0.022113022113022112,"1
Introduction"
INTRODUCTION,0.02293202293202293,"Modern language models exhibit the remarkable ability to learn novel tasks or solve complex problems
from the demonstrations provided within their context window [Brown et al., 2020, GeminiTeam
et al., 2023, OpenAI, 2023, Touvron et al., 2023]. Such in-context learning (ICL) offers a novel and
effective alternative to traditional fine-tuning techniques and has become an important feature of LLM
with its applications spanning retrieval-augmented generation [Lewis et al., 2020], and reasoning via
advanced prompting techniques, such as chain-of-thought [Wei et al., 2022]."
INTRODUCTION,0.02375102375102375,"ICL ability presents an important research avenue to develop stronger theoretical and mechanistic
understanding of large language models. To this aim, there has been significant recent interest in
demystifying ICL through the lens of function approximation [Liu et al., 2023a], Bayesian inference
[Müller et al., 2021, Xie et al., 2022, Han et al., 2023], and learning and optimization theory [Ahn
et al., 2023, Mahankali et al., 2024, Zhang et al., 2024, Duraisamy, 2024]. The latter is concerned
with understanding the optimization landscape of ICL, which is also crucial for understanding the
generalization properties of the model. A notable result in this direction is the observation that
linear attention models [Schlag et al., 2021, Von Oswald et al., 2023, Ahn et al., 2023] implement
preconditioned gradient descent (PGD) during ICL [Ahn et al., 2023, Mahdavi et al., 2024]. While
this line of works provide a fresh perspective to ICL, the existing studies do not address many
questions arising from real-life applications nor provide guiding principles for various ICL setups
motivated by practical considerations."
INTRODUCTION,0.02457002457002457,"To this aim, we revisit the theoretical exploration of ICL with linear data model where we feed an
in-context prompt containing n examples (xi, yi = x⊤
i β + ξi)n
i=1 ⊂Rd × R and a test instance or query
xn+1 ∈Rd to the model, with d being the feature dimension, β ∈Rd being the task weight vector,
and (ξi)n
i=1 denoting the noise in individual labels. Given the in-context prompt, the model is tasked
to predict ˆyn+1 – an estimate for yn+1 = x⊤
n+1β + ξn+1. We aim to provide answers to the following
questions by exploring the loss landscape of ICL:"
INTRODUCTION,0.025389025389025387,"(Q1) Is the ability to implement gradient-based ICL unique to (linear) attention? Can alternative
sequence models implement richer algorithms beyond PGD?
(Q2) In language modeling, ICL often works well with few-shot samples whereas standard linear
estimation typically requires O (d) samples. How can we reconcile this discrepancy between
classical learning and ICL?
(Q3) To our knowledge, existing works assume linear-attention is fully parameterized, i.e., key and
query projections Wk,Wq ∈Rd×d. What happens when they are low-rank? What happens when
there is distribution shift between training and test in-context prompts and we use LoRA [Hu
et al., 2022] for adaptation?"
INTRODUCTION,0.02620802620802621,"In this work, we conduct a careful investigation of these questions. Specifically, we focus on ICL
with 1-layer models and make the following contributions:"
INTRODUCTION,0.02702702702702703,"(A1) We jointly investigate the landscape of linear attention and H3 [Fu et al., 2023], a widely popu-
lar state-space model (SSM). We prove that under correlated design, both models implement
1-step PGD (c.f. Proposition 1) and the alignments in Fig. 1a verify that where the dotted
curve represents the theoretical PGD result derived from Theorem 1. Our analysis reveals
that the gating mechanism in H3 imitates attention. We also empirically show that H3 has the
advantage of implementing sample-weighting which allows it to outperform linear attention in
temporally-heterogeneous problem settings in Appendix D.
(A2) Proposition 1 allows for task and features to be correlated to each other as long as odd moments
are zero. Through this, we can assess the impact of distributional alignment on the sample
complexity of ICL. Specifically, we characterize the performance of Retrieval Augmented
Generation (RAG) (c.f. Theorem 2 and Fig. 1b) and Task-Feature Alignment (c.f. Theorem 3),
where the in-context examples are α-correlated with either the query or the task vector. For
both settings, we prove that alignment amplifies the effective sample size of ICL by a factor of
α2d + 1, highlighting that aligned data are crucial for the success of ICL in few-shot settings.
(A3) We show that, under low-rank parameterization, optimal attention-weights still implements
PGD according to the truncated eigenspectrum of the fused task-feature covariance (see
Section 3.2). We similarly derive risk upper bounds for LoRA adaptation (c.f. Eq. (14) and
Fig. 1c), and show that, these bounds accurately predict the empirical performance."
PROBLEM SETUP AND PRELIMINARIES,0.027846027846027847,"2
Problem Setup and Preliminaries"
PROBLEM SETUP AND PRELIMINARIES,0.028665028665028666,"We begin with a short note on notation. Let bold lowercase and uppercase letters (e.g., x and X)
represent vectors and matrices, respectively. The symbol ⊙is defined as the element-wise (Hadamard)
product, and ∗denotes the convolution operator. 1d and 0d denote the d-dimensional all-ones and
all-zeros vectors, respectively; and Id denotes the identity matrix of dimension d × d. Additionally,
let tr (W) denote the trace of the square matrix W."
PROBLEM SETUP AND PRELIMINARIES,0.029484029484029485,"As mentioned earlier, we study the optimization landscapes of 1-layer linear attention [Katharopoulos
et al., 2020, Schlag et al., 2021] and H3 [Fu et al., 2023] models when training with prompts
containing in-context data following a linear model. We construct the input in-context prompt similar
to Ahn et al. [2023], Mahankali et al. [2024], Zhang et al. [2024] as follows."
PROBLEM SETUP AND PRELIMINARIES,0.030303030303030304,"Linear data distribution. Let (x, y) ∈Rd × R be a (feature, label) pair generated by a d-dimensional
linear model parameterized by β ∈Rd, i.e., y = x⊤β + ξ, where x and β are feature and task vectors,
and ξ is the label noise. Given demonstrations (xi, yi)n+1
i=1 sampled from a single β, define the input
in-context prompt"
PROBLEM SETUP AND PRELIMINARIES,0.031122031122031123,"Z = [z1 . . . zn zn+1]⊤=
""
x1
. . .
xn
xn+1
y1
. . .
yn
0"
PROBLEM SETUP AND PRELIMINARIES,0.03194103194103194,"#⊤
∈R(n+1)×(d+1).
(1)"
PROBLEM SETUP AND PRELIMINARIES,0.03276003276003276,"Here, we set zi =
""
xi
yi"
PROBLEM SETUP AND PRELIMINARIES,0.03357903357903358,"#
for i ≤n and the last/query token zn+1 =
""
xn+1
0"
PROBLEM SETUP AND PRELIMINARIES,0.0343980343980344,"#
. Then, given Z, the goal of"
PROBLEM SETUP AND PRELIMINARIES,0.03521703521703522,"the model is to predict the correct label yn+1 corresponding to xn+1. For cleaner notation, when it
is clear from context, we drop the subscript n + 1 and set x = xn+1, z = zn+1. Different from the
previous work [Ahn et al., 2023, Mahankali et al., 2024, Zhang et al., 2024, Mahdavi et al., 2024]
where (xi)n+1
i=1 and β are assumed to be independent, our analysis focuses on a more general linear
setting that captures the dependency between (xi)n+1
i=1 and β."
PROBLEM SETUP AND PRELIMINARIES,0.036036036036036036,"Model architectures. To start with, we first review the architectures of both Transformer and
state-space model (SSM). Similar to the previous work [Von Oswald et al., 2023, Ahn et al., 2023,
Mahankali et al., 2024, Zhang et al., 2024] and to simplify the model structure, we focus on single-
layer models and omit the nonlinearity, e.g., softmax operation and MLP activation, from the
Transformer. Given the input prompt Z ∈R(n+1)×(d+1) in (1), which can be treated as a sequence of
(d + 1)-dimensional tokens, the single-layer linear attention ATT and H3-like single-layer SSM SSM
are denoted by"
PROBLEM SETUP AND PRELIMINARIES,0.036855036855036855,"ATT(Z) = (ZWqW⊤
k Z⊤)ZWv
(2a)"
PROBLEM SETUP AND PRELIMINARIES,0.03767403767403767,"SSM(Z) =

(ZWq) ⊙((ZWk ⊙ZWv) ∗f)

(2b)"
PROBLEM SETUP AND PRELIMINARIES,0.03849303849303849,"where Wk, Wq, Wv ∈R(d+1)×(d+1) denote the key, query and value weight matrices, respectively.
In (2b), the parameter f ∈Rn+1 is a 1-D convolutional filter that mixes tokens. The Hadamard
product ⊙is the gating mechanism [Dauphin et al., 2017] between key and query channels, which is
crucial for attention-like feature creation. Thus, (2b) is more generally a gated-convolution layer. For
f only, we use indexing f = [f0 . . . fn]⊤∈Rn+1 and given any vector a, denote convolution output
(a ∗f)i = Pi
j=1 fi−ja j. Note that our notation slightly differs from the original H3 model [Fu et al.,
2023] in two ways:"
