Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0030959752321981426,"Unsupervised domain adaptation methods aim to generalize well on unlabeled
test data that may have a different (shifted) distribution from the training data.
Such methods are typically developed on image data, and their application to time
series data is less explored. Existing works on time series domain adaptation
suffer from inconsistencies in evaluation schemes, datasets, and backbone neu-
ral network architectures. Moreover, labeled target data are usually employed for
model selection, which violates the fundamental assumption of unsupervised do-
main adaptation. To address these issues, we propose a benchmarking evaluation
suite (ADATIME) to systematically and fairly evaluate different domain adaptation
methods on time series data. Speciﬁcally, we standardize the backbone neural net-
work architectures and benchmarking datasets, while also exploring more realistic
model selection approaches that can work with no labeled data or just few labeled
samples. Our evaluation includes adapting state-of-the-art visual domain adap-
tation methods to time series data in addition to the recent methods speciﬁcally
developed for time series data. We conduct extensive experiments to evaluate 10
state-of-the-art methods on 4 representative datasets spanning 20 cross-domain
scenarios. Our results suggest that with careful selection of hyper-parameters, vi-
sual domain adaptation methods are competitive with methods proposed for time
series domain adaptation. In addition, we ﬁnd that hyper-parameters could be se-
lected based on realistic model selection approaches without relying on labeled
samples from target domain. Our work unveils practical insights for applying do-
main adaptation methods on time series data, and builds a solid foundation for
future works in the ﬁeld."
INTRODUCTION,0.006191950464396285,"1
INTRODUCTION"
INTRODUCTION,0.009287925696594427,"Time series classiﬁcation problem is predominant in many real-world applications including health-
care and manufacturing. Yet, time series data with its inherit temporal dynamics and complex un-
derlying pattern can be more challenging than static data. Recently, deep learning has gained more
attention in time series classiﬁcation tasks, assuming access to a vast amount of labeled data for
training (Fawaz et al., 2019). However, annotating time series data can be challenging and bur-
densome due to its complex underlying patterns and complicated domain knowledge (Chang et al.,
2020). One way to reduce labeling burden is to leverage annotated data (e.g., synthetic or public
data) from a relevant domain (i.e., source domain) to train the model, while testing it on the domain
of interest (i.e., target domain). Nevertheless, deep learning tends to perform poorly when tested
on unseen data that have different distribution from the training data, which is well-known as the
domain shift problem. Considering time series applications, source and target domains usually rep-
resent data from different subjects (persons) as in human activity recognition (HAR) (Wilson et al.,
2020; Chang et al., 2020) or sleep stage classiﬁcation (SSC) tasks (Phan et al., 2020). A consider-
able amount of literature has been developed on Unsupervised Domain Adaptation (UDA) for visual
applications to mitigate the domain shift problem (Long et al., 2015; Ganin et al., 2016; Long et al.,
2018; Chen et al., 2020; Rahman et al., 2020)."
INTRODUCTION,0.01238390092879257,"Recently, more attention has been paid to time series UDA (TS-UDA) (Wilson et al., 2020; Chang
et al., 2020; Ragab et al., 2020; Liu & Xue, 2021). However, the literature of TS-UDA methods
suffers from the following limitations:"
INTRODUCTION,0.015479876160990712,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.018575851393188854,"• Existing TS-UDA works lack consistent evaluation schemes including benchmark datasets,
preprocessing, and backbone networks. For instance, some methods that leverage recur-
rent neural network as backbone network (Purushotham et al., 2017) are compared against
methods with convolutional based backbone networks (Wilson et al., 2020). In addition,
even with a similar architecture, training procedures can also vary among different algo-
rithms including number of epochs, weight decay, and learning rate schedulers (Tonutti
et al., 2019; Purushotham et al., 2017).
• Existing TS-UDA works use labeled data from the target domain for model selection, vio-
lating the basic assumption of UDA (Wilson et al., 2020; Liu & Xue, 2021), and providing
an overoptimistic view of their performance. It is worth noting that model selection for
domain adaptation in the absence of target domain labels is a long standing problem.
• Most of existing algorithms are mainly application speciﬁc, and few works have been pro-
posed for general TS-UDA. As a result, there is a shortage of baseline methods when ap-
plying domain adaptation on time series data."
INTRODUCTION,0.021671826625386997,"All the aforementioned challenges can highly affect the performance and can be mistakenly at-
tributed to the proposed domain adaptation methods."
INTRODUCTION,0.02476780185758514,"In this work, we propose a systematic evaluation suite (ADATIME) to tackle the aforementioned
obstacles and remove all extraneous factors to ensure a fair evaluation of different UDA algorithms
on time series data. Speciﬁcally, to address the inconsistent evaluation schemes and backbone net-
works, we ﬁrst standardize the preparation and processing of four benchmarking datasets from two
classic real-world applications, including healthcare and human activity recognition. Besides, we
unify the backbone network and the training procedures when comparing between different UDA
methods. Second, to select the model hyper-parameters in the absence of target labels, we explore
more realistic model selection strategies for TS-UDA problem that do not require target labels. Par-
ticularly, we investigate the model performance when selecting models based on source dataset (i.e.,
source risk (Ganin et al., 2016)), unlabeled target data (i.e., deep embedded evaluation (DEV) (You
et al., 2019)), or only few-shot labeled samples from target data. Last, to address the lack of TS-
UDA baselines, we re-implement various state-of-the-art visual UDA methods that can be adapted
to time series data while comparing to the existing TS-UDA methods"
INTRODUCTION,0.02786377708978328,"Given our standard methodology, we aim to systematically study the following questions: (1) With
standard backbone network and evaluation schemes, how will the visual UDA methods perform on
time series data; (2) Can we use realistic model selection methods —relying on only few or no
target labels— and still achieve acceptable adaptation performance on time series data; (3) How
can the backbone network contribute to the performance. In this paper, we conduct comprehensive
experiments to answer the aforementioned three questions. Some of our ﬁndings are summarized as
follows:"
INTRODUCTION,0.030959752321981424,"• Visual domain adaptation methods can achieve comparable or even better performance than
the methods proposed for time series data.
• Unlike image data, selecting models based on source risk can achieve reasonable perfor-
mance and outperforms the DEV risk for time series data. Additionally, we ﬁnd that our
proposed few-shot target risk can achieve comparable performance to target risk, with af-
fordable few labels samples.
• Changing the base architecture can be pivotal to the performance. Moreover, complex
architectures with time series data can have lower generalization performance on cross-
domain experiments."
DOMAIN ADAPTATION PROBLEM,0.034055727554179564,"2
DOMAIN ADAPTATION PROBLEM"
DOMAIN ADAPTATION PROBLEM,0.03715170278637771,"We start by deﬁning the unsupervised domain adaptation problem. We assume the access to a labeled
source domain XS = {(xs
i, ys
i )}NS
i=1 that represents uni-variate or multivariate time series data,
and unlabeled target domain XT = {(xT
i )}NT
i=1 where NS and NT denote the number of samples
for XS and XT respectively. The source and target domains are sampled from different marginal
distributions, i.e., PS(x) ̸= PT (x), while the conditional distribution remains stable (PS(y|x) ="
DOMAIN ADAPTATION PROBLEM,0.04024767801857585,Under review as a conference paper at ICLR 2022
DOMAIN ADAPTATION PROBLEM,0.043343653250773995,Data Preparation 
DOMAIN ADAPTATION PROBLEM,0.04643962848297214,Source Model
