Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.002136752136752137,"Most convergence guarantees for stochastic gradient descent with momentum
(SGDm) rely on iid sampling. Yet, SGDm is often used outside this regime, in
settings with temporally correlated input samples such as continual learning and
reinforcement learning. Existing work has shown that SGDm with a decaying step-
size can converge under Markovian temporal correlation. In this work, we show
that SGDm under covariate shift with a fixed step-size can be unstable and diverge.
In particular, we show SGDm under covariate shift is a parametric oscillator,
and so can suffer from a phenomenon known as resonance. We approximate the
learning system as a time varying system of ordinary differential equations, and
leverage existing theory to characterize the system’s divergence/convergence as
resonant/nonresonant modes. The theoretical result is limited to the linear setting
with periodic covariate shift, so we empirically supplement this result to show that
resonance phenomena persist even under non-periodic covariate shift, nonlinear
dynamics with neural networks, and optimizers other than SGDm."
INTRODUCTION,0.004273504273504274,"1
INTRODUCTION"
INTRODUCTION,0.00641025641025641,"Stochastic gradient descent (SGD) (Robbins & Monro, 1951) – and its variants such as Adagrad
(Duchi et al., 2011), ADAM (Kingma & Ba, 2014) and RMSprop (Hinton et al., 2012) – are very
widely used optimization algorithms across machine learning. SGD is conceptually straightforward,
easy to implement, and often performs well in practice. Among the variants of SGD, accelerated
versions based on Polyak’s or Nesterov’s acceleration (Polyak, 1964; Nesterov, 1983), known
generally as Stochastic Gradient Descent with Momentum (SGDm), are used widely due to the
improvements in convergence rate they offer. SGDm can give up to a quadratic speedup to SGD
on many functions, and is in fact optimal among all methods having only information about the
gradient at consecutive iterates for convex and Lipschitz continuous optimization problems (Nesterov,
2004; Goh, 2017). SGDm has the same computational complexity as SGD, but exhibits superior
convergence rates under reasonable assumptions (Su et al., 2014)."
INTRODUCTION,0.008547008547008548,"These convergence results for SGDm, however, rely on independent and identically distributed (iid)
sampling. Little is known about the convergence properties of SGDm under non-iid sampling, yet
the non-iid setting is critical. In many machine learning problems it is expensive or impossible to
obtain iid samples. In online learning (Rakhlin et al., 2010) and reinforcement learning (RL) (Sutton
& Barto, 2018), the data becomes available in a sequential order and there is a temporal dependence
among the samples. There is a particularly strong temporal dependence in RL, where observed states
are sampled according to the transition dynamics of the underlying Markov decision process (MDP).
Federated learning (Hsieh et al., 2020) and time-series learning (Kuznetsov & Mohri, 2014) provide
further examples of when non-iid sampling is essential to the learning problem."
INTRODUCTION,0.010683760683760684,"Without momentum, SGD’s convergence rate has been examined under non-iid sampling with the
stochastic approximation framework in (Benveniste et al., 2012; Kushner & Yin, 2003), and more
recently under specific assumptions of ergodicity (Duchi et al., 2012) or Markovian sampling (Nagaraj
et al., 2020; Doan et al., 2020b; Sun et al., 2018). Convergence rates under Markovian sampling
are also known for ADAM-type algorithms when applied to policy gradient and temporal difference"
INTRODUCTION,0.01282051282051282,Published as a conference paper at ICLR 2022
INTRODUCTION,0.014957264957264958,"learning (Xiong et al., 2020). To our knowledge, however, there has been little work on providing
convergence rates or guarantees for SGDm under non-iid sampling. In (Doan et al., 2020a), a progress
bound is provided for SGDm under Markovian sampling based on mixing time—the time required
for a distribution’s convergence toward its stationary distribution—along with a convergence rate
guarantee under decaying step-sizes. In this work, we assume a fixed step-size, since it is a common
choice in the online setting, especially when the practitioner is unsure of mixing rate or stationarity."
INTRODUCTION,0.017094017094017096,"There is a broad literature using ordinary differential equations (ODEs) to analyze gradient descent
methods by approximating descent updates as continuous-time flows. Early work is comprehensively
discussed in (Kushner & Yin, 2003; Benveniste et al., 2012). Despite the age and establishment of
the linear setting, the gradient flow lens continues to reveal new insights (e.g. implicit rank reduction
(Arora et al., 2019)) and new perspectives on old insights (e.g. regularization of early stopping (Ali
et al., 2019)). Recent work has paid particular attention to the flow induced by momentum accelerated
methods (Su et al., 2014; Wibisono et al., 2016; Wilson et al., 2016; Scieur et al., 2017; Muehlebach &
Jordan, 2021; Diakonikolas & Orecchia, 2019; Muehlebach & Jordan, 2019; Li et al., 2017; Simsekli
et al., 2020; Betancourt et al., 2018; Kovachki & Stuart, 2019; Attouch et al., 2018; Shi et al., 2019;
Siegel, 2019; Zhang et al., 2018; Berthier et al., 2021; Kovachki & Stuart, 2021). In these works, it is
demonstrated that linear regression under iid sampling with SGDm can be represented as an ODE
resembling a harmonic oscillator, sometimes with a time-decaying damping coefficient."
INTRODUCTION,0.019230769230769232,"Contributions: In this work, we show that non-iid sampling, due to covariate shift, induces a related
system: the parametric oscillator, a harmonic oscillator having coefficients which vary over time in
a manner capable of exponentially exciting the system (Mumford, 1960; Csörg˝o & Hatvani, 2010;
Halanay, 1966). We characterize the underlying time-varying ODE, which requires a novel approach
to incorporate covariate shift, and develop specific conditions on covariate shift that lead to divergence
in SGDm. We provide an empirical design, with synthetic data, to systematically test the response of
the learning system to different covariate shift frequencies. We empirically validate that resonance-
driven divergence occurs in a learning system which aligns well with theoretical assumptions. We
follow with similar demonstrations on learning systems which progressively relax further and further
away from our theoretical assumptions, including non-periodic covariate shift, learning with neural
networks and optimizers other than SDGm. The implications of this work are that resonance can
occur in learning systems with momentum, causing instability or poor accuracy, simply due to certain
temporal correlations in the input sequence. Our results provide a novel direction to better understand
the properties of our learning systems for time varying inputs—namely beyond iid sampling—and
point to a gap in the robustness of our algorithms that merits further investigation."
PROBLEM SETTING,0.021367521367521368,"2
PROBLEM SETTING"
PROBLEM SETTING,0.023504273504273504,"Figure 1: An example of the problem setting. 1D regression
(left), Gaussian covariates {Xk} with shifting mean ¯xk over
time (right)."
PROBLEM SETTING,0.02564102564102564,"We investigate the effect of non-iid
sampling on a model optimized us-
ing SGDm.
We assume labelled
training data sampled from discrete-
indexed, real-valued stochastic pro-
cesses {Xk}k∈N and {Yk}k∈N such
that {Xk}k∈N has a unique stationary
distribution Π. Yk is a function of
Xk with zero-mean observation noise,
Yk = f(Xk) + ϵk. The learning al-
gorithm does not have access to iid
samples from Π. Instead, the learning
algorithm may only update parame-
ters θk at time k using samples zk = (xk, yk), where Xk’s marginal over time converges to Π. The
goal is to train a model with parameters θ to minimize an objective function L(z; θ) with respect
to the stationary distribution Π: θ∗= arg minθ∈Rd EΠ[L(z; θ)] =
R"
PROBLEM SETTING,0.027777777777777776,"R L(z; θ)dΠ(x). An example of
this problem setting is illustrated in Figure 1."
PROBLEM SETTING,0.029914529914529916,"This setting is identical to that explored in prior work on Markovian sampling (Sun et al., 2018;
Xiong et al., 2020; Nagaraj et al., 2020), but we do not require that our stochastic processes adhere to
the Markov property. Note, also, that the underlying functional relationship between the inputs, Xk,"
PROBLEM SETTING,0.03205128205128205,Published as a conference paper at ICLR 2022
PROBLEM SETTING,0.03418803418803419,"and the targets, Yk, does not change over time. That is, the non-iid sampling is a result of covariate
shift rather than a changing relationship between the inputs and targets."
PROBLEM SETTING,0.03632478632478633,"We consider Polyak’s Heavy Ball method (Polyak, 1964) with the formulation from Sutskever et al.
(2013), namely SGD with momentum (SGDm)"
PROBLEM SETTING,0.038461538461538464,"vk+1 = µvk −η∇θL(zk; θk)
θk+1 = θk + vk+1
(1)"
PROBLEM SETTING,0.0405982905982906,"where η ≥0 is the learning rate and µ ∈(0, 1) the momentum coefficient. Our goal is to understand
the behavior of SGDm when learning on this non-iid sequence zk."
COVARIATE SHIFT AS A DRIVING FORCE,0.042735042735042736,"3
COVARIATE SHIFT AS A DRIVING FORCE"
COVARIATE SHIFT AS A DRIVING FORCE,0.04487179487179487,"In this section we characterize SGDm as a discretization of a particular parametric oscillator in
continuous time. A parametric oscillator resembles a harmonic oscillator ODE, but has time-varying
system coefficients which are capable of driving the system. It is well understood that parametric
oscillators can suffer from global solution instability due to coefficients oscillating at particular
frequencies (Halanay, 1966), a condition known as parametric resonance. We show parametric
resonance conditions sufficient to induce exponential divergence in SGDm. We provide proof sketches
and defer complete proofs to Appendix A.4."
COVARIATE SHIFT AS A DRIVING FORCE,0.04700854700854701,"Notation: Capital letters are matrices and random variables. {Xk} is a stochastic process, shorthand
for {Xk}k∈N. k and t index discrete and continuous time, respectively. When a discrete sequence
and a function approximate each other, they share the same symbol and are differentiated by subscript
k and function argument t, e.g. the sequence {θk} and the function θ(t). Pk is the joint distribution
of Xk and Yk. For loss function L(z; θ) on training pair z = (x, y) and weights θ, we denote the
time-varying expected gradient gk(θ) := EPk[∇θL(z; θ)]"
COVARIATE SHIFT INDUCES A LINEAR TIME-VARYING EXPECTED GRADIENT,0.049145299145299144,"3.1
COVARIATE SHIFT INDUCES A LINEAR TIME-VARYING EXPECTED GRADIENT"
COVARIATE SHIFT INDUCES A LINEAR TIME-VARYING EXPECTED GRADIENT,0.05128205128205128,"We begin by showing that linear least squares regression with covariate shift and a fixed target induces
a linear time-varying expected loss gradient. That is, the gradient function gk(θ) = Bk(θ −θ∗) for
some matrix Bk that varies with time, due to covariate shift.
Assumption 1. The covariate generating process {Xk}k∈N is not identically distributed:
Corr(Xk1, Xk1) ̸= Corr(Xk2, Xk2) for some k1, k2 ∈N.
Assumption 2. The targets Yk are a fixed linear function of Xk with iid zero-mean observation noise,
ϵk such that E[ϵk] = 0. That is, Yk = ⟨θ∗, Xk⟩+ ϵk where θ∗∈Rd is fixed for all k."
COVARIATE SHIFT INDUCES A LINEAR TIME-VARYING EXPECTED GRADIENT,0.053418803418803416,"Proposition 1. Under Assumptions 1, 2, a linear model with weights θk making predictions bYk =
⟨θk, Xk⟩with a mean squared error (MSE) objective will induce time-varying linear expected loss
gradients gk(θk) = Bk(θk −θ∗) for all k ∈N, where Bk ∈Rd×d and Bk1 ̸= Bk2 for some k1, k2."
COVARIATE SHIFT INDUCES A LINEAR TIME-VARYING EXPECTED GRADIENT,0.05555555555555555,"Proof Sketch: We fix a time step k and take the expectation of the MSE loss over observation noise,
and over the distribution of Xk. A time-varying expected loss surface remains, and the linear setting
implies the loss gradient is a linear function for all steps k, with Bk depending on Xk:"
COVARIATE SHIFT INDUCES A LINEAR TIME-VARYING EXPECTED GRADIENT,0.057692307692307696,"Bk = 2Corr(Xk, Xk) = 2Cov(Xk, Xk) + 2EPk[Xk]EPk[Xk]T
(2)"
ODE CORRESPONDENCE,0.05982905982905983,"3.2
ODE CORRESPONDENCE"
ODE CORRESPONDENCE,0.06196581196581197,"Next, we show that the iterates {θk} generated by SGDm are a first order numerical integration
of a particular ODE. The procedure is similar to (Muehlebach & Jordan, 2021), but due to the
time-varying loss gradient, we must pay specific attention to the conditions on the ODE necessary to
have integration consistency, . Let B(t) be a matrix-valued function, Lipschitz continuous in t, such
that {Bk} are samples spaced √η apart, i.e. Bk = B(√ηk). The existence and uniqueness of this
B(t) are ensured if we assume the {Xk} are sampled from an underlying continuous-time X(t).
Proposition 2. The SGDm iterates {θk} numerically integrate the ODE system in equation 3 with
integration step √η and first order consistency."
ODE CORRESPONDENCE,0.0641025641025641,"¨θ(t) + 1 −µ
√η
˙θ(t) + B(t)(θ(t) −θ∗) = 0
(3)"
ODE CORRESPONDENCE,0.06623931623931624,Published as a conference paper at ICLR 2022
ODE CORRESPONDENCE,0.06837606837606838,"Proof Sketch: First, the ODE in equation 3 is converted to first order linear form, and split into a sum
of two separate systems. The sum’s terms have implicit and explicit Euler integrations; using operator
splitting, these can be composed into a consistent numerical integrator for linear time-varying systems.
Then, it is shown that the composed integrator is precisely equivalent to SGDm when the integration
time step is √η. □"
ODE CORRESPONDENCE,0.07051282051282051,"The first order consistency guarantee in Proposition 2 means that when the step-size η is small and
initial conditions agree between continuous and discrete time, i.e. θ0 = θ(0), the continuous and
discrete time trajectories approximate each other as θk ≈θ(k√η), where the difference between them
depends on the integration time step h = √η (Hairer et al., 2006). Therefore, assuming θ0 = θ(0),
the difference accrued in one step of k (local error) is θ1 = θ(√η) + O(η) and over arbitrarily many
steps (global error) is θk = θ(√ηk) + O(ηk)."
PARAMETRIC RESONANCE FOR ODE CONVERGENCE AND DIVERGENCE,0.07264957264957266,"3.3
PARAMETRIC RESONANCE FOR ODE CONVERGENCE AND DIVERGENCE"
