Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0019120458891013384,"Reinforcement Learning (RL) algorithms have shown tremendous success in simu-
1"
ABSTRACT,0.0038240917782026767,"lation environments, but their application to real-world problems faces signiﬁcant
2"
ABSTRACT,0.0057361376673040155,"challenges, with safety being a major concern. In particular, enforcing state-wise
3"
ABSTRACT,0.0076481835564053535,"constraints is essential for many challenging tasks such as autonomous driving
4"
ABSTRACT,0.009560229445506692,"and robot manipulation. However, existing safe RL algorithms under the frame-
5"
ABSTRACT,0.011472275334608031,"work of Constrained Markov Decision Process (CMDP) do not consider state-wise
6"
ABSTRACT,0.01338432122370937,"constraints. To address this gap, we propose State-wise Constrained Policy Opti-
7"
ABSTRACT,0.015296367112810707,"mization (SCPO), the ﬁrst general-purpose policy search algorithm for state-wise
8"
ABSTRACT,0.017208413001912046,"constrained reinforcement learning. SCPO provides guarantees for state-wise con-
9"
ABSTRACT,0.019120458891013385,"straint satisfaction in expectation. In particular, we introduce the framework of
10"
ABSTRACT,0.021032504780114723,"Maximum Markov Decision Process, and prove that the worst-case safety violation
11"
ABSTRACT,0.022944550669216062,"is bounded under SCPO. We demonstrate the effectiveness of our approach on
12"
ABSTRACT,0.0248565965583174,"training neural network policies for extensive robot locomotion tasks, where the
13"
ABSTRACT,0.02676864244741874,"agent must satisfy a variety of state-wise safety constraints. Our results show
14"
ABSTRACT,0.028680688336520075,"that SCPO signiﬁcantly outperforms existing methods and can handle state-wise
15"
ABSTRACT,0.030592734225621414,"constraints in high-dimensional robotics tasks.
16"
INTRODUCTION,0.032504780114722756,"1
Introduction
17"
INTRODUCTION,0.03441682600382409,"Reinforcement learning (RL) has achieved remarkable progress in games and control tasks [Mnih
18"
INTRODUCTION,0.036328871892925434,"et al., 2015, Vinyals et al., 2019, Brown and Sandholm, 2018, He et al., 2022, Zhao et al., 2019].
19"
INTRODUCTION,0.03824091778202677,"However, one major barrier that limits the application of RL algorithms to real-world problems is
20"
INTRODUCTION,0.040152963671128104,"the lack of safety assurance. RL agents learn to make reward-maximizing decisions, which may
21"
INTRODUCTION,0.04206500956022945,"violate safety constraints. For example, an RL agent controlling a self-driving car may receive high
22"
INTRODUCTION,0.04397705544933078,"rewards by driving at high speeds but will be exposed to high chances of collision. Although the
23"
INTRODUCTION,0.045889101338432124,"reward signals can be designed to penalize risky behaviors, there is no guarantee for safety. In other
24"
INTRODUCTION,0.04780114722753346,"words, RL agents may sometimes prioritize maximizing the reward over ensuring safety, which can
25"
INTRODUCTION,0.0497131931166348,"lead to unsafe or even catastrophic outcomes [Gu et al., 2022].
26"
INTRODUCTION,0.05162523900573614,"Emerging in the literature, safe RL aims to provide safety guarantees during or after training. Early
27"
INTRODUCTION,0.05353728489483748,"attempts have been made under the framework of constrained Markov Decision Process, where the
28"
INTRODUCTION,0.055449330783938815,"majority of works enforce cumulative constraints or chance constraints [Ray et al., 2019, Achiam
29"
INTRODUCTION,0.05736137667304015,"et al., 2017a, Liu et al., 2021]. In real-world applications, however, many critical constraints are
30"
INTRODUCTION,0.05927342256214149,"instantaneous. For instance, collision avoidance must be enforced at all times for autonomous
31"
INTRODUCTION,0.06118546845124283,"cars [Zhao et al., 2023]. Another example is that when a robot holds a glass, the robot can only
32"
INTRODUCTION,0.06309751434034416,"release the glass when the glass is on a stable surface. The violation of those constraints will lead to
33"
INTRODUCTION,0.06500956022944551,"irreversible failures of the task. In this work, we focus on state-wise (instantaneous) constraints.
34"
INTRODUCTION,0.06692160611854685,"The State-wise Constrained Markov Decision Process (SCMDP) is a novel formulation in reinforce-
35"
INTRODUCTION,0.06883365200764818,"ment learning that requires policies to satisfy hard state-wise constraints. Unlike cumulative or
36"
INTRODUCTION,0.07074569789674952,"probabilistic constraints, state-wise constraints demand full compliance at each time step as for-
37"
INTRODUCTION,0.07265774378585087,"malized by Zhao et al. [2023]. Existing state-wise safe RL methods can be categorized based on
38"
INTRODUCTION,0.0745697896749522,"whether safety is ensured during training. There is a fundamental limitation that it is impossible to
39"
INTRODUCTION,0.07648183556405354,"guarantee hard state-wise safety during training without prior knowledge of the dynamic model. The
40"
INTRODUCTION,0.07839388145315487,"best we can achieve in a model free setting is to learn to satisfy the constraints using as few samples
41"
INTRODUCTION,0.08030592734225621,"as possible, which is the focus of this paper. We aim to provide theoretical guarantees on state-wise
42"
INTRODUCTION,0.08221797323135756,"safety violation and worst case reward degredation during training.
43"
INTRODUCTION,0.0841300191204589,"Our approach is underpinned by a key insight that constraining the maximum violation is equivalent
44"
INTRODUCTION,0.08604206500956023,"to enforcing state-wise safety. This insight leads to a novel formulation of MDP called the Maximum
45"
INTRODUCTION,0.08795411089866156,"Markov Decision Process (MMDP). With MMDP, we establish a new theoretical result that provides
46"
INTRODUCTION,0.08986615678776291,"a bound on the difference between the maximum cost of two policies for episodic tasks. This result
47"
INTRODUCTION,0.09177820267686425,"expands upon the cumulative discounted reward and cost bounds for policy search using trust regions,
48"
INTRODUCTION,0.09369024856596558,"as previously documented in literature [Achiam et al., 2017b]. We leverage this result to design a
49"
INTRODUCTION,0.09560229445506692,"policy improvement step that not only guarantees worst-case performance degradation but also ensures
50"
INTRODUCTION,0.09751434034416825,"state-wise cost constraints. Our proposed algorithm, State-wise Constrained Policy Optimization
51"
INTRODUCTION,0.0994263862332696,"(SCPO), approximates the theoretically-justiﬁed update, which achieves a state-of-the-art trade-off
52"
