Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.001869158878504673,"Graph pooling is crucial for enlarging receptive field and reducing computational
1"
ABSTRACT,0.003738317757009346,"cost in deep graph representation learning. In this work, we propose a simple
2"
ABSTRACT,0.005607476635514018,"but effective non-deterministic graph pooling method, called graph Bernoulli
3"
ABSTRACT,0.007476635514018692,"pooling (BernPool), to facilitate graph feature learning. In contrast to most graph
4"
ABSTRACT,0.009345794392523364,"pooling methods with deterministic modes, we design a probabilistic Bernoulli
5"
ABSTRACT,0.011214953271028037,"sampling to reach an expected sampling rate through deducing a variational bound
6"
ABSTRACT,0.013084112149532711,"as the constraint. To further mine more useful info, a learnable reference set is
7"
ABSTRACT,0.014953271028037384,"introduced to encode nodes into a latent expressive probability space. Hereby
8"
ABSTRACT,0.016822429906542057,"the resultant Bernoulli sampling would endeavor to capture salient substructures
9"
ABSTRACT,0.018691588785046728,"of the graph while possessing much diversity on sampled nodes due to its non-
10"
ABSTRACT,0.020560747663551402,"deterministic manner. Considering the complementarity of node dropping and
11"
ABSTRACT,0.022429906542056073,"node clustering, further, we propose a hybrid graph pooling paradigm to combine
12"
ABSTRACT,0.024299065420560748,"a compact subgraph (via dropping) and a coarsening graph (via clustering), in
13"
ABSTRACT,0.026168224299065422,"order to retain both representative substructures and input graph info. Extensive
14"
ABSTRACT,0.028037383177570093,"experiments on multiple public graph classification datasets demonstrate that our
15"
ABSTRACT,0.029906542056074768,"BernPool is superior to various graph pooling methods, and achieves state-of-
16"
ABSTRACT,0.03177570093457944,"the-art performance. The code is publicly available in an anonymous format at
17"
ABSTRACT,0.03364485981308411,"https:/github/BernPool.
18"
INTRODUCTION,0.03551401869158879,"1
Introduction
19"
INTRODUCTION,0.037383177570093455,"Graph Neural Networks (GNNs) [13, 36] have been widely used to learn expressive representation
20"
INTRODUCTION,0.03925233644859813,"from ubiquitous graph-structured data such as social networks [31], chemical molecules [15] and
21"
INTRODUCTION,0.041121495327102804,"biological networks [24]. To improve representation ability, multiple GNN variants, e.g., graph
22"
INTRODUCTION,0.04299065420560748,"convolutional networks (GCNs) [16] and graph attention networks (GATs) [25], have been developed
23"
INTRODUCTION,0.044859813084112146,"to facilitate various graph-related tasks including node classification[16], link prediction[19, 35], and
24"
INTRODUCTION,0.04672897196261682,"graph classification[36]. Specifically, for graph-related learning tasks, graph pooling has become
25"
INTRODUCTION,0.048598130841121495,"an essential component in various GNN architectures. Aiming to learn compact representation for
26"
INTRODUCTION,0.05046728971962617,"graphs, graph pooling facilitates graph topology modeling by enlarging receptive fields as well as
27"
INTRODUCTION,0.052336448598130844,"scaling down the graph size which effectively reduces computational costs.
28"
INTRODUCTION,0.05420560747663551,"The existing graph pooling techniques generally fall into two main categories, i.e., the global graph
29"
INTRODUCTION,0.056074766355140186,"pooling [5, 27, 14, 33, 26, 36] and hierarchical graph pooling. The former directly compresses a set
30"
INTRODUCTION,0.05794392523364486,"of nodes into a compact graph-level representation. This operation results in a flat feature as a whole
31"
INTRODUCTION,0.059813084112149535,"graph embedding. In contrast, the hierarchical pooling coarsens graphs gradually and outputs the
32"
INTRODUCTION,0.0616822429906542,"corresponding pooled graphs of smaller sizes. For this purpose, two different types of coarsening,
33"
INTRODUCTION,0.06355140186915888,"named node dropping [17, 10, 20, 37, 18, 11] and node clustering [33, 1, 34], are often employed.
34"
INTRODUCTION,0.06542056074766354,"The node dropping picks up a subset of nodes to construct the coarsened graph, while the node
35"
INTRODUCTION,0.06728971962616823,"clustering learns an assignment matrix to aggregate those nodes in the original graph into new clusters.
36"
INTRODUCTION,0.0691588785046729,"In this work, our proposed BernPool falls in the category of the latter.
37"
INTRODUCTION,0.07102803738317758,"Even though considerable progress has been made, most pooling methods select a part of nodes or
38"
INTRODUCTION,0.07289719626168224,"cluster nodes in a deterministic manner according to the importance scores of nodes, which degrades
39"
INTRODUCTION,0.07476635514018691,"the sampling diversity. For this issue, some previous works [21, 7] propose stochastic node dropping
40"
INTRODUCTION,0.07663551401869159,"independent from the data, i.e., randomly dropping. However, they do not consider the intrinsic
41"
INTRODUCTION,0.07850467289719626,"structural characteristics of data while enriching the sampling diversity. Thus the current bottleneck
42"
INTRODUCTION,0.08037383177570094,"is how to adaptively extract expressive substructures and meanwhile keeping rich sampling diversity
43"
INTRODUCTION,0.08224299065420561,"in graph pooling, with the precondition of high-efficient and effective graph representation learning.
44"
INTRODUCTION,0.08411214953271028,"To address the above problem, in this work, we propose a graph Bernoulli pooling method called
45"
INTRODUCTION,0.08598130841121496,"BernPool to facilitate graph representation learning. Different from the existing graph pooling
46"
INTRODUCTION,0.08785046728971962,"methods, we design a probabilistic Bernoulli sampling by estimating the sampling probabilities of
47"
INTRODUCTION,0.08971962616822429,"graph nodes. To restrict the sampling process, we formulate a variational Bernoulli learning constraint
48"
INTRODUCTION,0.09158878504672897,"by deriving an upper bound between an expected distribution and a learned distribution. To better
49"
INTRODUCTION,0.09345794392523364,"capture expressive info, a learnable reference set is further introduced to encode nodes into a latent
50"
INTRODUCTION,0.09532710280373832,"expressive probability space. Thus the advantage of the resultant Bernoulli sampling is two-fold: i)
51"
INTRODUCTION,0.09719626168224299,"capture representative substructures of graph; and ii) preserve certain diversity (like random dropping)
52"
INTRODUCTION,0.09906542056074766,"due to its non-deterministic manner. Considering the complementary characteristics between node
53"
INTRODUCTION,0.10093457943925234,"dropping and node clustering, we propose a hybrid graph pooling paradigm to fuse a compact
54"
INTRODUCTION,0.102803738317757,"subgraph after node dropping and a coarsening graph after node clustering. The node clustering
55"
INTRODUCTION,0.10467289719626169,"in our framework is also Bernoulli-induced without high-computation cost because it adopts the
56"
INTRODUCTION,0.10654205607476636,"sampled nodes as clustering centers. The hybrid graph pooling can jointly learn representative
57"
INTRODUCTION,0.10841121495327102,"substructures and preserve the input graph topology. We conduct extensive experiments on 8 public
58"
INTRODUCTION,0.1102803738317757,"graph classification datasets to test our BernPool, and the experimental results validate that our
59"
INTRODUCTION,0.11214953271028037,"BernPool achieves better performance than those existing pooling methods and keep high efficiency
60"
INTRODUCTION,0.11401869158878504,"on par with those node-dropping methods.
61"
INTRODUCTION,0.11588785046728972,"The contributions of this work are summarized as: i) propose a probabilistic Bernoulli sampling
62"
INTRODUCTION,0.11775700934579439,"method to not only learn effective sampling but also preserve high efficiency; ii) propose a hybrid
63"
