Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.00390625,"Neural networks have recently been used to model the dynamics of diverse phys-
ical systems. While existing methods achieve impressive results, they are limited
by their strong demand for training data and their weak generalization abilities.
To overcome these limitations, in this work we propose to combine neural im-
plicit representations for appearance modeling with neural ordinary differential
equations (ODEs) in order to obtain interpretable physical models directly from
visual observations. Our proposed model combines several unique advantages:
(i) Contrary to existing approaches that require large training datasets, we are
able to identify physical parameters from only a single video (ii) The use of neu-
ral implicit representations enables the processing of high-resolution videos and
the synthesis of photo-realistic imagery. (iii) The embedded neural ODE has a
known parametric form that allows for the identiﬁcation of interpretable physi-
cal parameters, and (iv) long-term prediction in state space. (v) Furthermore, the
photo-realistic rendering of novel scenes with modiﬁed physical parameters be-
comes possible."
ABSTRACT,0.0078125,"synth | real
synth | real
synth | real
synth | real
synth | real
synth | real
pendulum length"
ABSTRACT,0.01171875,"Figure 1: Our method infers physical parameters directly from real-world videos, like the shown
pendulum motion. Separated by the red line, the right half of each image shows the input frame, and
the left half shows our reconstruction based on physical parameters that we estimate from the input.
We show 6 out of 10 frames that were used for training. The proposed model can precisely recover
the metric length of the pendulum from the monocular video (relative error to true length is less than
2.5%). Best viewed on screen with magniﬁcation. Please also consider the supplementary video."
INTRODUCTION,0.015625,"1
INTRODUCTION"
INTRODUCTION,0.01953125,"The physics of many real-world phenomena can be described concisely and accurately using dif-
ferential equations. However, such equations are usually formulated in terms of highly abstracted
quantities that are typically not directly observable using commodity sensors, such as cameras. For
example, a pendulum is physically described by the deﬂection angle, the angular velocity, the damp-
ing coefﬁcient, and the pendulum’s length, but automatically extracting those physical parameters
directly from video data is challenging. Thus, due to the complex relationship between the physical
process and images of respective scenes, measuring such quantities often necessitates a trained ex-
pert operating customised measuring equipment. While for many physical phenomena humans are
able to infer (a rough estimation of) physical quantities from a given video, physical understanding
from videos is an open problem in machine learning."
INTRODUCTION,0.0234375,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.02734375,"Recently, the combination of deep learning and physics has become popular, particularly in the con-
text of video prediction. While earlier works (Lutter et al., 2019; Greydanus et al., 2019; Cranmer
et al., 2020; Zhong et al., 2020) require coordinate data, i.e. already abstracted physical quantities,
more recent works directly use image data (Levine et al., 2020; Zhong & Leonard, 2020). A major
downside is that all these approaches rely on massive amounts of training data, and, as we experi-
mentally conﬁrm in App. F, they exhibit poor generalization abilities. In contrast, in our work we
address this shortcoming by proposing a solution that extracts semantic physical parameters directly
from a single video, see Figure 1. Therefore, we alleviate the need for large data and furthermore
facilitate interpretation due to the semantics of the inferred parameters in respective physical equa-
tions. Additionally, the six previously mentioned works model physical systems using Lagrangian
or Hamiltonian energy formulations, which elegantly guarantee the conservation of energy, but can
therefore not easily model dissipative systems that are much more common in the real world (Gal-
ley, 2013). The proposed model effectively transforms the camera into a physical measuring device
with which we can observe quantities such as the length or the damping coefﬁcient of a pendulum."
INTRODUCTION,0.03125,"To achieve the learning of physical models from a single video, we propose to utilise physics-
based neural implicit representations in an analysis-by-synthesis manner, where the latter relies on
neural ordinary differential equations for representing abstract physics of visual scenes. Overall, we
summarize our main contributions as follows:"
INTRODUCTION,0.03515625,"1. We present the ﬁrst method that is able to identify physical parameters from a single video using
neural implicit representations.
2. Our approach infers parameters of an underlying ODE-based physical model that directly allows
for interpretability and long-term predictions.
3. The unique combination of powerful neural implicit representations with rich physical models
allows to synthesize high-resolution and photo-realistic imagery. Moreover, it enables physical
editing by rendering novel scenes with modiﬁed physical parameters.
4. Contrary to existing learning-based approaches that require large corpora of training data, we
propose a per-scene model, so that only a single short video clip that depicts the physical phe-
nomenon is necessary."
RELATED WORK,0.0390625,"2
RELATED WORK"
