Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.006369426751592357,"Differentiable simulations of optical systems can be combined with deep learning-
based reconstruction networks to enable high performance computational imaging
via end-to-end (E2E) optimization of both the optical encoder and the deep decoder.
This has enabled imaging applications such as 3D localization microscopy, depth
estimation, and lensless photography via the optimization of local optical encoders.
More challenging computational imaging applications, such as 3D snapshot mi-
croscopy which compresses 3D volumes into single 2D images, require a highly
non-local optical encoder. We show that existing deep network decoders have
a locality bias which prevents the optimization of such highly non-local optical
encoders. We address this with a decoder based on a shallow neural network
architecture using global kernel Fourier convolutional neural networks (Fourier-
Nets). We show that FourierNets surpass existing deep network based decoders at
reconstructing photographs captured by the highly non-local DiffuserCam optical
encoder. Further, we show that FourierNets enable E2E optimization of highly
non-local optical encoders for 3D snapshot microscopy. By combining Fourier-
Nets with a large-scale multi-GPU differentiable optical simulation, we are able
to optimize non-local optical encoders 170× to 7372× larger than prior state of
the art, and demonstrate the potential for ROI-type specific optical encoding with a
programmable microscope."
INTRODUCTION,0.012738853503184714,"1
Introduction"
INTRODUCTION,0.01910828025477707,"Modern computational optics relies on the end-to-end (E2E) optimization of the optical system
(optical encoder) and the computational image reconstruction algorithm (computational decoder).
This has been enabled by the development of differentiable physics-based simulations of optical
encoders, paired with deep network based decoders. This E2E approach has been successfully applied
to the estimation of depth from defocus [1, 2, 3, 4], lensless photography [5], and particle localization
microscopy [6, 7]. Despite this wide success, only the space of local optical encoders has been
explored in this fashion due to the computational expense of physics-based simulation of highly
non-local optical encoders [3]. This is particularly the case for 3D snapshot microscopy which is
well-known to require highly non-local optical encoders, and for which no E2E solutions have yet
been demonstrated."
INTRODUCTION,0.025477707006369428,"We show that there are actually two issues blocking the E2E optimization of highly non-local optical
encoders. First, the computational expense of physics-based simulation of non-local optical encoders
is significantly greater, since they are orders of magnitude larger than local encoders. And second, the
locality bias inherent to deep network architectures currently used for computational imaging prevents
decoding from non-local solutions. In this paper, we primarily focus on developing a computational
framework for engineering highly non-local optical encoders by solving both issues. We solve the
first issue by developing a large-scale multi-GPU differentiable optical simulation, and the second by
developing FourierNet: a new decoder network architecture based on Fourier convolutions."
INTRODUCTION,0.03184713375796178,"In 3D snapshot microscopy, all existing methods [8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 5, 19]
employ a highly non-local optical encoder to optically transform a 3D volume into a single 2D camera
image, which is computationally decoded to reconstruct the 3D volume. Fast volumetric imaging
is invaluable across biology, including for imaging neural activity throughout the whole brain of an
animal [20, 21, 22]. Here, we focus on developing a 3D snapshot microscope for imaging neuronal
activity across the whole brain of the larval zebrafish (Danio rerio) at camera rates exceeding 100
Hz. This is two orders of magnitude faster than the fastest conventional microscopes — light sheet
imaging of whole brain neural activity can only achieve 0.5 Hz - 2 Hz volume rates [20]. This
improvement of temporal resolution is essential for imaging with fast calcium indicators [23] and
voltage indicators [24]."
INTRODUCTION,0.03821656050955414,"Newly developed programmable microscopes with up to 106 free parameters, e.g. pixels on a spatial
light modulator (SLM), enable the implementation of a rich space of optical encodings and present
the possibility of direct optimization of snapshot microscope parameters specifically for particular
ROI types and imaging tasks. While our paper primarily focuses on addressing the computational
challenges of E2E optimization of highly non-local optical encoders, we also demonstrate a proof-of-
concept that an SLM-based programmable microscope can implement such an engineered non-local
optical encoder, paving the way to implementing multiple ROI-type and task specific optical encoders
in a single physical microscope. In contrast, 3D snapshot imaging has classically been performed
using fixed optical encoders based on microlens arrays [8, 9, 10, 11, 12, 13, 14, 15], pseudorandom
diffusers/masks [16, 17], and designed or optimized diffusers/masks [18, 5, 19], with some of these
methods using deep learning for reconstruction [11, 15]."
INTRODUCTION,0.044585987261146494,"Problem statement We define an optical encoder as Mϕ parameterized by ϕ and a computational
decoder as Rθ parameterized by θ. Optical encoders can usually be modeled as linear transfer
functions implemented by the optics. In special cases, such as for the optical systems explored
in this paper, they can be represented as a linear convolution filter called a “point spread function”
with coefficients computed by a wave optics simulation, dependent on the physical parameters ϕ of
the optical system (Appendix A.1). We wish to develop a reconstruction network architecture for
decoding non-local encodings in 2D images c produced by Mϕ and also to enable the end-to-end
optimization of ϕ to produce non-local encodings. We’ll consider two applications to investigate
these optimization problems: (1) lensless photography (Figure 2), where we optimize only the
reconstruction network Rθ to reconstruct images of natural scenes from camera images captured
by the DiffuserCam [25], and (2) 3D snapshot microscopy using an SLM-based programmable
microscope (Figure 1A), where we perform E2E optimization of both the reconstruction network Rθ
and the optical encoding Mϕ based on the SLM parameters in order to image 3D volumes v and
reconstruct 3D volumes ˆv. While we focus on solving the computational challenges involved in this
E2E optimization of a large highly non-local optical encoder, we also demonstrate a proof-of-concept
implementation of our optimized optical encoder using an SLM-based programmable microscope."
OUR CONTRIBUTIONS,0.050955414012738856,"1.1
Our contributions"
OUR CONTRIBUTIONS,0.05732484076433121,"1. We developed a large-scale, parallel, multi-GPU differentiable wave optics simulation of a
programmable microscope, based on a 4f optical model with a phase mask (ϕ) implemented
using a spatial light modulator (SLM), described further in Appendix A.1. SLMs (ϕ) can
have over 106 optimizable parameters, which we can feasibly simulate and optimize to
produce PSFs with 170× to 7372× more unique voxels than previous attempts at deep
learning PSF optimization using single GPUs [6, 3] (Appendix A.5)."
